"","date","L008_CHLOROPHYLL-A_ug/L","days"
"70",1982-01-07,20.8,2686
"71",1982-02-11,13.3,2721
"72",1982-03-04,23.2,2742
"73",1982-04-01,30.8,2770
"74",1982-05-05,37.9,2804
"75",1982-05-19,90.1,2818
"76",1982-06-24,22.9,2854
"77",1982-07-09,19.5,2869
"78",1982-08-25,8.1,2916
"79",1982-09-28,22.1,2950
"80",1982-11-23,11.6,3006
"81",1982-12-20,13.1,3033
"82",1983-01-25,19.1,3069
"83",1983-02-24,19.7,3099
"84",1983-03-23,9.4,3126
"85",1983-04-20,12.8,3154
"86",1983-05-26,16.125,3190
"87",1983-06-28,85,3223
"88",1983-07-19,23.8,3244
"89",1983-08-30,23.9,3286
"90",1983-09-30,16.1,3317
"91",1983-10-27,10.2,3344
"92",1983-12-21,8.4,3399
"93",1984-01-18,36.3,3427
"94",1984-02-15,14.4,3455
"95",1984-03-22,12.6,3491
"96",1984-04-18,10.4,3518
"97",1984-05-16,17.8,3546
"98",1984-06-21,44.3,3582
"99",1984-07-26,31.4,3617
"100",1984-08-22,14,3644
"101",1984-10-18,30.5,3701
"102",1984-11-29,19.7,3743
"103",1984-12-20,15.7,3764
"104",1985-01-15,15.8,3790
"105",1985-02-27,50.7,3833
"106",1985-04-04,20.4,3869
"107",1985-05-01,23.7,3896
"108",1985-06-06,24.5,3932
"109",1985-07-10,16.3,3966
"110",1985-08-08,40.9,3995
"111",1985-09-05,17.8,4023
"112",1985-10-17,59,4065
"113",1985-11-14,26.8,4093
"114",1985-12-11,31.9,4120
"115",1986-01-30,24.2,4170
"116",1986-02-20,17.6,4191
"117",1986-04-03,23,4233
"118",1986-05-01,32.8,4261
"119",1986-06-03,56.2,4294
"120",1986-07-02,12.1,4323
"121",1986-08-12,32,4364
"122",1986-08-20,10.9,4372
"123",1986-09-25,53.6,4408
"124",1986-10-23,28,4436
"125",1986-12-10,51.6,4484
"126",1987-01-14,11.9,4519
"127",1987-02-12,11.2,4548
"128",1987-04-02,15,4597
"129",1987-05-01,11.2,4626
"130",1987-06-04,26.9,4660
"131",1987-06-24,31.7,4680
"132",1987-07-21,35.9,4707
"133",1987-08-18,18,4735
"134",1987-09-14,8.6,4762
"135",1987-11-18,17.5,4827
"136",1987-12-14,24.7,4853
"137",1988-01-19,9.4,4889
"138",1988-02-17,11.4,4918
"139",1988-03-22,8.1,4952
"140",1988-04-20,7.6,4981
"141",1988-05-04,14.5,4995
"142",1988-05-18,24.7,5009
"143",1988-06-02,21,5024
"144",1988-06-15,11.3,5037
"145",1988-06-29,19.7,5051
"146",1988-07-13,37.6,5065
"147",1988-07-25,52.6,5077
"148",1988-08-10,37.1,5093
"149",1988-08-24,12.2,5107
"150",1988-09-08,26.2,5122
"151",1988-09-21,39.9,5135
"152",1988-10-05,30.6,5149
"153",1988-10-19,26,5163
"154",1988-11-02,45.9,5177
"155",1988-11-16,48.2,5191
"156",1988-12-12,39.9,5217
"157",1989-01-11,44.4,5247
"158",1989-02-08,25.3,5275
"159",1989-03-15,17.9,5310
"160",1989-04-05,24.3,5331
"161",1989-05-17,60,5373
"162",1989-06-13,40,5400
"163",1989-06-27,22.2,5414
"164",1989-07-11,29,5428
"165",1989-07-26,81.7,5443
"166",1989-08-08,30.6,5456
"167",1989-08-22,38.2,5470
"168",1989-09-06,46,5485
"169",1989-09-20,40.7,5499
"170",1989-10-05,52.6,5514
"171",1989-10-18,46.2,5527
"172",1989-11-01,30.4,5541
"173",1990-01-10,17.1,5611
"174",1990-02-07,32.7,5639
"175",1990-04-05,28.8,5696
"176",1990-04-18,21.1,5709
"177",1990-05-02,26.8,5723
"178",1990-05-16,41.6,5737
"179",1990-06-12,29.5,5764
"180",1990-06-26,27.4,5778
"181",1990-07-10,10.9,5792
"182",1990-07-24,36.8,5806
"183",1990-08-07,48,5820
"184",1990-08-20,29.1,5833
"185",1990-09-18,26.7,5862
"186",1990-10-02,29.5,5876
"187",1990-10-17,43.3,5891
"188",1990-10-31,34.7,5905
"189",1990-11-14,31.5,5919
"190",1990-12-11,25.7,5946
"191",1991-01-07,33.1,5973
"192",1991-02-07,94.3,6004
"193",1991-03-06,29.4,6031
"194",1991-05-01,34.4,6087
"195",1991-05-13,26.3,6099
"196",1991-05-29,30.1,6115
"197",1991-06-12,50.4,6129
"198",1991-07-10,40.4,6157
"199",1991-07-24,18.8,6171
"200",1991-08-06,13.2,6184
"201",1991-08-20,12,6198
"202",1991-09-16,31.1,6225
"203",1991-10-14,50,6253
"204",1991-10-28,35.8,6267
"205",1991-12-12,26.8,6312
"206",1992-01-22,17.3,6353
"207",1992-02-04,35.5,6366
"208",1992-03-09,26.7,6400
"209",1992-04-08,81.9,6430
"210",1992-05-05,17.5,6457
"211",1992-05-19,38,6471
"212",1992-06-02,41.4,6485
"213",1992-06-16,47.1,6499
"214",1992-07-01,23.7,6514
"215",1992-08-03,9.8,6547
"216",1992-08-18,30.7,6562
"217",1992-08-26,42,6570
"218",1992-09-08,41.1,6583
"219",1992-10-12,56.1,6617
"220",1992-11-23,43.7,6659
"221",1992-12-08,22.4,6674
"222",1993-01-06,27.4,6703
"223",1993-03-09,18.7,6765
"224",1993-06-09,24.1,6857
"225",1993-06-15,8.9,6863
"226",1993-07-07,21.1,6885
"227",1993-07-20,9.3,6898
"228",1993-08-17,27,6926
"229",1993-10-06,21,6976
"230",1993-10-20,25.9,6990
"231",1993-12-28,25.6,7059
"232",1994-02-03,47,7096
"233",1994-02-24,19.9,7117
"234",1994-04-13,34.6,7165
"235",1994-04-27,32.6,7179
"236",1994-05-11,23.7,7193
"237",1994-05-17,37.2,7199
"238",1994-05-25,18.7,7207
"239",1994-06-27,17.8,7240
"240",1994-07-07,11.4,7250
"241",1994-07-20,10.5,7263
"242",1994-08-08,20.5,7282
"243",1994-08-18,33.1,7292
"244",1994-10-12,23.4,7347
"245",1994-10-27,39.3,7362
"246",1994-12-06,35.4,7402
"247",1995-01-18,4.4,7445
"248",1995-02-14,27.9,7472
"249",1995-03-14,12.9,7500
"250",1995-04-04,17.6,7521
"251",1995-04-19,3.5,7536
"252",1995-05-02,15.6,7549
"253",1995-05-16,12.6,7563
"254",1995-06-01,31.6,7579
"255",1995-06-14,33.7,7592
"256",1995-06-28,27.4,7606
"257",1995-07-13,45.1,7621
"258",1995-08-09,34.8,7648
"259",1995-09-21,23.4,7691
"260",1995-10-26,38.9,7726
"261",1995-11-27,8.1,7758
"262",1995-12-27,13.3,7788
"263",1996-01-17,10.3,7809
"264",1996-02-14,81.4,7837
"265",1996-03-25,13.8,7877
"266",1996-04-15,10.2,7898
"267",1996-04-29,18,7912
"268",1996-05-14,20.6,7927
"269",1996-05-28,18,7941
"270",1996-06-25,25.3,7969
"271",1996-07-11,14.1,7985
"272",1996-08-08,31.8,8013
"273",1996-08-19,24.2,8024
"274",1996-09-05,47.4,8041
"275",1996-10-16,22.9,8082
"276",1996-11-12,33.1,8109
"277",1996-12-10,1.4,8137
"278",1997-01-06,16.8,8164
"279",1997-02-03,16.1,8192
"280",1997-03-03,1.1,8220
"281",1997-04-08,19,8256
"282",1997-04-24,16.8,8272
"283",1997-05-08,20.6,8286
"284",1997-05-20,42.3,8298
"285",1997-06-02,74,8311
"286",1997-06-17,50.7,8326
"287",1997-07-15,17.6,8354
"288",1997-08-13,19.9,8383
"289",1997-08-25,25.8,8395
"290",1997-09-09,56.8,8410
"291",1997-09-23,58.8,8424
"292",1997-10-20,49,8451
"293",1997-11-17,22.2,8479
"294",1998-01-12,26.1,8535
"295",1998-02-10,14.7,8564
"296",1998-03-16,17.5,8598
"297",1998-03-31,31,8613
"298",1998-04-14,26.3,8627
"299",1998-04-28,15.1,8641
"300",1998-05-11,15.3,8654
"301",1998-05-27,18.5,8670
"302",1998-06-09,1.7,8683
"303",1998-06-23,10.7,8697
"304",1998-07-07,15.3,8711
"305",1998-07-21,28.8,8725
"306",1998-08-03,10.9,8738
"307",1998-08-18,31.9,8753
"308",1998-09-01,22.7,8767
"309",1998-09-29,14.7,8795
"310",1998-10-27,28.1,8823
"311",1998-11-24,64.1,8851
"312",1998-12-21,25.7,8878
"313",1999-01-20,19.6,8908
"314",1999-02-17,16.6,8936
"315",1999-03-16,27,8963
"316",1999-04-13,22.4,8991
"317",1999-04-27,20.1,9005
"318",1999-05-25,24.6,9033
"319",1999-06-15,36.4,9054
"320",1999-06-22,13.4,9061
"321",1999-07-06,26.1,9075
"322",1999-07-19,38,9088
"323",1999-08-03,37.1,9103
"324",1999-08-16,31.7,9116
"325",1999-08-31,22.5,9131
"326",1999-09-28,33.3,9159
"327",1999-10-11,44.9,9172
"328",1999-11-08,22.5,9200
"329",1999-12-06,13,9228
"330",2000-01-12,9,9265
"331",2000-02-14,5.9,9298
"332",2000-03-13,17,9326
"333",2000-04-10,1.6,9354
"334",2000-05-08,22.9,9382
"335",2000-05-23,13.9,9397
"336",2000-06-06,14.5,9411
"337",2000-06-20,15.5,9425
"338",2000-07-05,18,9440
"339",2000-08-15,13.7,9481
"340",2000-09-12,30.7,9509
"341",2000-09-26,12.2,9523
"342",2000-10-12,26.7,9539
"343",2000-11-07,12.1,9565
"344",2000-12-05,21.8,9593
"345",2001-01-29,23.5,9648
"346",2001-02-28,40.9,9678
"347",2001-04-04,26.3,9713
"348",2001-05-30,21.1,9769
"349",2001-06-14,33.7,9784
"350",2001-06-25,28.1,9795
"351",2001-07-10,31.7,9810
"352",2001-08-09,31.3,9840
"353",2001-08-20,15.8,9851
"354",2001-09-04,17.4,9866
"355",2001-10-15,29.2,9907
"356",2001-11-27,8.6,9950
"357",2001-12-10,20.5,9963
"358",2002-01-14,5.3,9998
"359",2002-02-11,8.6,10026
"360",2002-03-12,9.45,10055
"361",2002-04-10,21.5,10084
"362",2002-04-22,23.5,10096
"363",2002-05-06,19.2,10110
"364",2002-05-20,28.2,10124
"365",2002-06-04,82.5,10139
"366",2002-06-17,39.2,10152
"367",2002-07-15,18.1,10180
"368",2002-07-29,17.8,10194
"369",2002-08-12,54.7,10208
"370",2002-08-26,25.95,10222
"371",2002-09-09,26.4,10236
"372",2002-09-25,15.1,10252
"373",2002-10-21,45.7,10278
"374",2002-11-19,2.2,10307
"375",2002-12-16,27.1,10334
"376",2003-01-21,11.9,10370
"377",2003-02-18,15.1,10398
"378",2003-03-11,11.9,10419
"379",2003-04-02,17.9,10441
"380",2003-04-14,17.9,10453
"381",2003-05-05,11.6,10474
"382",2003-06-09,8.3,10509
"383",2003-07-14,20,10544
"384",2003-08-27,29.6,10588
"385",2003-09-09,18,10601
"386",2003-10-14,40,10636
"387",2003-11-13,31,10666
"388",2003-12-09,16,10692
"389",2004-01-06,31,10720
"390",2004-02-04,14,10749
"391",2004-03-17,24,10791
"392",2004-04-20,12,10825
"393",2004-05-18,28,10853
"394",2004-06-09,9.5,10875
"395",2004-07-20,43,10916
"396",2004-08-10,19.5,10937
"397",2004-10-11,19,10999
"398",2004-11-18,18,11037
"399",2004-12-29,22,11078
"400",2005-01-10,13,11090
"401",2005-02-07,7,11118
"402",2005-03-07,24,11146
"403",2005-04-11,6,11181
"404",2005-05-09,16,11209
"405",2005-06-21,3,11252
"406",2005-07-20,8,11281
"407",2005-08-16,43,11308
"408",2005-09-13,8,11336
"409",2005-10-10,10,11363
"410",2005-11-01,8,11385
"411",2005-12-19,11,11433
"412",2006-01-19,9,11464
"413",2006-02-14,13,11490
"414",2006-03-14,7,11518
"415",2006-04-24,15,11559
"416",2006-05-17,3,11582
"417",2006-06-14,3,11610
"418",2006-07-10,6,11636
"419",2006-08-14,8,11671
"420",2006-09-27,2.5,11715
"421",2006-10-16,15,11734
"422",2006-11-06,12,11755
"423",2006-12-12,9,11791
"424",2007-01-16,16,11826
"425",2007-02-13,11,11854
"426",2007-03-19,10,11888
"427",2007-04-18,26,11918
"428",2007-06-07,13,11968
"429",2007-07-05,13,11996
"430",2007-08-13,26,12035
"431",2007-10-15,21,12098
"432",2007-11-05,14,12119
"433",2007-12-11,18,12155
"434",2008-01-14,27,12189
"435",2008-02-14,18,12220
"436",2008-03-11,8.5,12246
"437",2008-04-14,51,12280
"438",2008-05-21,21,12317
"439",2008-06-09,20,12336
"440",2008-07-21,18,12378
"441",2008-08-11,16,12399
"442",2008-09-23,26,12442
"443",2008-10-20,19,12469
"444",2008-11-18,19,12498
"445",2008-12-16,5,12526
"446",2009-01-13,8,12554
"447",2009-02-12,6,12584
"448",2009-03-10,25,12610
"449",2009-04-28,34,12659
"450",2009-05-12,19,12673
"451",2009-06-10,18,12702
"452",2009-07-07,26,12729
"453",2009-08-18,48,12771
"454",2009-09-15,25,12799
"455",2009-10-13,18,12827
"456",2009-11-17,48,12862
"457",2009-12-15,22,12890
"458",2010-01-14,5,12920
"459",2010-03-10,19,12975
"460",2010-04-20,8,13016
"461",2010-05-19,23,13045
"462",2010-06-15,32,13072
"463",2010-07-13,30,13100
"464",2010-08-25,9,13143
"465",2010-09-20,115,13169
"466",2010-10-20,24,13199
"467",2010-11-01,41,13211
"468",2010-12-15,14,13255
"469",2011-01-04,14,13275
"470",2011-02-14,15,13316
"471",2011-03-08,20,13338
"472",2011-04-18,14,13379
