"Date","S65E_NITRATE+NITRITE-N_mg/L","S65E_S_FLOW_cfs"
"2007-07-17",0.025,495774.068690074
"2007-08-06",0.002,2350865.51087109
"2007-08-20",0.0035,1710107.37531084
"2007-08-21",0.006,1503763.19374095
"2007-09-04",0.0185,2200009.66268993
"2007-09-17",0.199,1081190.66539438
"2007-10-01",0.271,1123540.8880998
"2007-10-15",0.071,1820252.20640256
"2007-10-29",0.255,1462146.94369941
"2007-11-05",0.286,965614.436590003
"2007-11-20",0.255,408186.664134682
"2007-11-26",0.262,83550.554904096
"2007-12-03",0.1356,255911.802136704
"2007-12-18",0.24,240791.965260941
"2008-01-17",0.223,294323.038212672
"2008-01-29",0.098,212656.346479181
"2008-02-04",0.213,259483.802434214
"2008-02-19",0.132,450487.955329171
"2008-02-20",0.089,261220.871072045
"2008-03-03",0.0036,80051.9518729728
"2008-03-17",0.001,2266189.53121573
"2008-04-07",0.013,5229873.28490901
"2008-04-21",0.005,2670804.1950529
"2008-06-17",0.033,798684.587070048
"2008-07-16",0.004,3200194.21174831
"2008-08-06",0.005,6396155.84780162
"2008-08-26",0.036,35719513.6599948
"2008-08-28",0.006,34634873.3230802
"2008-09-08",0.014,16131031.0147797
"2008-09-22",0.012,3835618.81261776
"2008-10-06",0.1565,474709.053236947
"2008-10-20",0.269,503945.631014515
"2008-11-13",0.2155,582480.706048819
"2008-11-19",0.359,316170.957840595
"2008-11-24",0.371,184594.124963808
"2008-12-10",0.1435,287301.366394963
"2008-12-23",0.051,245269.19851056
"2009-01-14",0.0625,481143.546923558
"2009-01-27",0.198,321847.013107872
"2009-02-02",0.148,458145.736788902
"2009-02-17",0.007,289062.900788256
"2009-02-18",0.032,519970.700842387
"2009-03-03",0.0362,176569.357172141
"2009-03-31",0.015,618543.229600397
"2009-04-14",0.053,433459.789527341
"2009-04-29",0.132,140922.751463424
"2009-05-13",0.003,449411.462088826
"2009-05-20",0.006,1376100.88173815
"2009-05-27",0.08,6704399.9008724
"2009-06-16",0.031,6559636.02580138
"2009-07-07",0.02,7477150.7871523
"2009-07-20",0.034,9846683.6694412
"2009-08-04",0.0125,9656731.54403113
"2009-08-18",0.0135,4052899.18687933
"2009-08-26",0.056,5263317.97262611
"2009-09-08",0.0085,8248996.4404801
"2009-09-22",0.0132,6937313.89287445
"2009-10-07",0.0225,757312.99458313
"2009-10-21",0.1345,458537.188876301
"2009-11-09",0.149,168275.466070387
"2009-11-18",0.1785,575654.76027481
"2009-11-30",0.1865,386754.662349619
"2009-12-16",0.1505,1099344.25594748
"2009-12-28",0.1645,161547.383318227
"2010-01-11",0.318,710558.935894483
"2010-01-25",0.222,1214969.41626278
"2010-02-08",0.224,3007061.53812812
"2010-02-17",0.248,5463643.57835224
"2010-02-24",0.056,6194337.83099228
"2010-03-15",0.0634,12576205.6776039
"2010-03-29",0.056,14088238.2966911
"2010-04-12",0.0375,10710422.7002858
"2010-04-26",0.049,7250426.63128224
"2010-05-10",0.0075,7009390.00846668
"2010-05-24",0.022,5469050.51030943
"2010-05-26",0.017,5420559.38298296
"2010-06-07",0.00875,4413842.47721612
"2010-06-21",0.009,1116568.14779301
"2010-07-08",0.025,6177211.8021686
"2010-07-19",0.005,1466428.45090533
"2010-08-02",0.111,416920.938834758
"2010-08-16",0.102,1269112.13310108
"2010-08-18",0.132,872106.31921271
"2010-09-14",0.014,1130905.08049398
"2010-09-27",0.064,1228229.8557234
"2010-10-11",0.253,933001.584558624
"2010-10-26",0.221,468470.285594035
"2010-11-09",0.171,185230.23460583
"2010-11-17",0.172,187823.604684845
"2010-11-29",0.157,252559.993638355
"2010-12-09",0.114,641125.121892192
"2010-12-22",0.031,354631.125427488
"2011-01-10",0.03,222564.977441453
"2011-01-24",0.04,52821.5660433216
"2011-02-17",0.1,573257.116239494
"2011-03-09",0.02,251605.829175322
"2011-07-20",0.022,3643758.35828162
"2011-08-03",0.015,1740444.91208421
"2011-08-17",0.04,1325383.3706646
"2011-08-24",0.076,1798551.08130741
"2011-08-31",0.058,1166037.90533798
"2011-09-14",0.008,5095164.83533304
"2011-09-28",0.018,3550030.04910517
"2011-10-12",0.011,49859252.3719342
"2011-10-26",0.015,26836854.1530385
"2011-11-07",0.042,8133885.0610295
"2011-11-16",0.075,4161869.66170886
"2011-11-22",0.079,2923902.43531142
"2011-12-07",0.119,1232486.89717386
"2011-12-21",0.171,1537525.93627907
"2012-01-04",0.175,1137828.88928984
"2012-01-18",0.146,1277748.5447793
"2012-02-01",0.058,1628147.0945118
"2012-02-15",0.089,2209428.97854296
"2012-02-22",0.068,2004087.89294703
"2012-02-29",0.025,1793829.19050317
"2012-03-14",0.054,1371085.40186836
"2012-03-28",0.047,115282.639738829
"2012-04-11",0.087,28624.933891008
"2012-04-25",0.08,1054718.71798406
"2012-05-23",0.006,1917919.50220846
"2012-07-11",0.005,717800.799511354
"2012-07-25",0.194,1199140.07247861
"2012-08-08",0.121,414743.486598605
"2012-08-22",0.136,1317847.91798218
"2012-09-05",0.007,16971796.701245
"2012-09-19",0.008,9036989.49241308
"2012-10-03",0.008,10330322.7234219
"2012-10-17",0.016,6668533.10336452
"2012-10-31",0.06,1815285.65804369
"2012-11-14",0.085,1113901.38044761
"2012-11-28",0.197,1557098.54064899
"2012-12-05",0.211,205561.277395085
"2012-12-19",0.183,2112813.71022194
"2013-01-02",0.123,835774.672351046
"2013-01-16",0.253,494770.972716115
"2013-01-30",0.27,594493.391980858
"2013-02-06",0.27,263667.446618285
"2013-02-13",0.061,602028.844663277
"2013-03-13",0.033,363634.523437651
"2013-06-19",0.016,3187545.41617425
"2013-07-02",0.02,10733983.2227961
"2013-07-17",0.009,15942693.6292301
"2013-07-31",0.01,23006471.0120897
"2013-08-07",0.007,16762296.4372205
"2013-08-14",0.045,11823320.9847594
"2013-08-28",0.033,7879294.40968777
"2013-09-11",0.032,6725831.90265746
"2013-09-25",0.04,4302278.63230758
"2013-10-09",0.026,2090647.73577301
"2013-10-23",0.18,764408.063667226
"2013-11-04",0.288,645847.012696435
"2013-11-06",0.318,701995.921482643
"2013-11-20",0.261,805975.382197843
"2013-12-04",0.223,488263.081763117
"2013-12-18",0.179,612598.051023034
"2013-12-30",0.152,604010.570855731
"2014-01-15",0.145,634715.093961043
"2014-01-29",0.135,894052.101862483
"2014-02-03",0.132,1297957.25879124
"2014-02-12",0.045,3924160.38163619
"2014-03-12",0.009,1458281.35433635
"2014-03-26",0.017,2602324.54551364
"2014-07-01",0.033,4360825.1851291
"2014-07-16",0.04,6966085.62129823
"2014-07-30",0.005,8636827.59607006
"2014-08-13",0.01,7414836.50798957
"2014-08-18",0.021,12094352.6237719
"2014-08-27",0.005,6552222.90189627
"2014-09-10",0.057,3818321.52350584
"2014-09-24",0.044,6825676.65069951
"2014-10-08",0.007,12502710.5481948
"2014-10-22",0.041,1936024.16125064
"2014-11-03",0.229,1221330.51268301
"2014-11-05",0.303,1070474.66450185
"2014-11-19",0.245,739991.23971575
"2014-12-03",0.114,4086882.12121661
"2014-12-17",0.026,3903388.95524861
"2014-12-30",0.024,3766233.93012639
"2015-01-14",0.092,3180328.01831284
"2015-01-28",0.037,7597669.09856008
"2015-02-02",0.023,7439400.12647382
"2015-02-11",0.028,9916875.92186283
"2015-02-25",0.03,8511220.4075261
"2015-03-11",0.033,11216496.8520255
"2015-03-25",0.061,2710634.44494568
"2015-04-08",0.035,2723797.02138445
"2015-04-22",0.025,5172892.54043708
"2015-05-04",0.018,7033953.62695093
"2015-05-06",0.007,6020092.72058907
"2015-06-03",0.008,1073386.08940188
"2015-07-01",0.01,1272586.27037674
"2015-07-29",0.034,1498600.91933839
"2015-08-03",0.077,1687036.16790979
"2015-08-12",0.054,3254190.13405382
"2015-10-07",0.015,7220456.0808408
"2015-10-21",0.03,3759261.18981961
"2015-10-26",0.03,4346072.33458527
"2015-11-04",0.026,3222188.92590901
"2015-11-18",0.081,1241367.96640671
"2015-12-02",0.253,1444262.4764564
"2015-12-21",0.168,1009285.81009039
"2016-01-04",0.235,1140250.99908061
"2016-01-20",0.101,6890535.36843034
"2016-02-01",0.083,9611641.15671393
"2016-02-15",0.01,8666651.35197873
"2016-02-29",0.023,8544420.43768858
"2016-03-14",0.035,1347916.33144547
"2016-03-28",0.185,3951537.56199861
"2016-04-11",0.011,8905999.83766739
"2016-04-25",0.013,4678023.70469912
"2016-05-09",0.048,3940527.97204053
"2016-05-23",0.014,20275163.0037783
"2016-06-06",0.01,8780025.66279149
"2016-06-20",0.014,12651731.4647163
"2016-07-06",0.02,4598876.98577825
"2016-07-18",0.067,2996051.94817004
"2016-08-01",0.021,2254641.69463747
"2016-08-15",0.016,2699551.45772122
"2016-08-29",0.051,2970803.28853285
"2016-09-12",0.021,13170503.343541
"2016-09-26",0.022,12998044.2332866
"2016-10-10",0.048,10132639.4192857
"2016-10-24",0.05,4102956.1225554
"2016-11-07",0.073,2201061.69017482
"2016-11-21",0.038,1980502.90468128
"2016-12-19",0.036,1861012.15500292
"2017-01-09",0.087,932267.611894752
"2017-01-23",0.122,1147810.9175185
"2017-02-06",0.138,1628978.93019752
"2017-06-05",0.01,13945.480613568
"2017-09-13",0.01,10412234.07271
"2017-09-25",0.008,17802849.4827918
"2017-10-09",0.058,11108627.3361918
"2017-10-23",0.098,3435285.65598651
"2017-11-06",0.086,4625666.98800958
"2017-11-20",0.114,2823617.30367105
"2017-12-04",0.206,1144459.10902015
"2018-03-26",0.027,509939.741102803
"2018-04-09",0.019,261245.336827507
"2018-05-21",0.038,87587.404555392
"2018-06-04",0.023,46533.8668894848
"2018-12-11",0.362,46705.1271777216
"2018-12-26",0.295,285466.434735283
"2019-01-07",0.211,531078.153822317
"2019-01-22",0.201,1042730.49780749
"2019-02-04",0.013,3169954.53799678
"2019-02-18",0.02,4828218.97748279
"2019-03-04",0.0886666666666667,2701239.59484812
"2019-03-06",0.086,2306655.89075053
"2019-06-20",0.014,1770219.73648195
"2019-07-15",0.077,1959878.27282648
"2019-07-29",0.005,1776678.69592403
"2019-08-26",0.011,12475773.7514307
"2019-09-09",0.026,364221.701568749
"2019-09-23",0.018,2512070.37361284
"2019-10-08",0.074,894590.348482656
"2019-10-21",0.277,507126.179224627
"2019-11-04",0.315,282285.886525171
"2019-11-18",0.325,983498.903833018
"2019-12-02",0.182,841842.179705722
"2019-12-16",0.052,676331.344002586
"2019-12-30",0.116,985309.369737235
"2020-01-13",0.176,702240.579037267
"2020-01-27",0.031,306898.436520346
"2020-02-24",0.013,1239190.51417056
"2020-06-15",0.013,2232524.65169946
"2020-06-29",0.023,2123529.71111447
"2020-07-13",0.01,3398807.21459207
"2020-07-27",0.006,9354383.73802679
"2020-08-10",0.006,9821190.35224938
"2020-09-08",0.01,6483792.18386794
"2020-09-21",0.014,8877546.16406462
"2020-10-05",0.024,12004269.7121593
"2020-10-19",0.039,3549760.92579508
"2020-11-02",0.129,2823641.76942651
"2020-11-16",0.094,4709951.51557755
"2020-11-30",0.038,3740544.88689087
"2020-12-28",0.045,2816179.71401048
"2021-01-11",0.022,1715269.6497134
"2021-02-22",0.032,2505219.96208337
"2021-03-08",0.017,2246641.39260127
"2021-03-22",0.007,2022877.59314216
"2021-04-05",0.008,732137.73221232
"2021-06-28",0.005,2239497.39200625
"2021-07-12",0.03,2681618.05896728
"2021-07-26",0.005,4202482.81577645
"2021-08-09",0.017,4273042.05453001
"2021-08-23",0.013,5237677.86090152
"2021-09-20",0.012,5148989.49735032
"2021-10-04",0.012,5773722.5630827
"2021-10-18",0.018,4511607.63604387
"2021-11-01",0.03,3566691.22857506
"2021-11-15",0.044,3634118.85062943
"2021-11-29",0.072,929992.296636749
"2021-12-13",0.048,922212.186399706
"2021-12-27",0.237,931460.241964493
"2022-01-10",0.127,857255.605647034
"2022-01-24",0.108,1179053.68724398
"2022-03-07",0.005,703047.948967527
"2022-05-02",0.009,3964479.94663822
"2022-07-11",0.35,464751.49076375
"2022-07-25",0.245,108481.159720282
"2022-08-08",0.669,135564.751017158
"2022-08-22",0.447,658153.287694022
"2022-09-06",0.293,702803.291412902
"2022-09-19",0.343,3028126.55358125
"2022-10-31",0.006,11474781.8324421
"2022-11-14",0.018,7079508.86362191
"2022-11-28",0.035,7317291.54096098
"2022-12-12",0.068,3838065.388164
"2022-12-27",0.068,3526909.9101932
"2023-01-09",0.064,3707662.91154941
"2023-01-23",0.064,3372212.93840444
"2023-02-06",0.066,3406146.94123079
"2023-02-20",0.064,3152119.00226469
"2023-03-06",0.046,1885380.04744347
"2023-03-20",0.183,1271876.76346833
"2023-04-03",0.021,1107907.27035932
"2023-04-17",0.141,859457.52363865
