"Date","CULV10A_NITRATE+NITRITE-N_mg/L","L8.441_FLOW_cfs"
"2005-02-28",0.811,119882.20176576
"2005-03-14",0.778,917465.82984
"2005-04-04",0.766,1025115.15387456
"2005-04-18",0.75,890553.49883136
"2005-05-02",0.662,746205.5416032
"2005-05-16",0.618,785350.75034304
"2005-06-13",0.428,-188386.31706048
"2005-06-27",0.627,-203065.77033792
"2005-07-11",0.225,247104.13017024
"2005-07-25",0.426,1127871.32681664
"2005-08-22",0.045,919912.40538624
"2005-09-06",0.237,78290.41747968
"2005-09-20",0.275,721739.7861408
"2005-10-03",0.306,848961.71454528
"2005-10-17",0.244,19083.289260672
"2005-11-01",0.864,2152.9864806912
"2005-11-14",0.265,621430.18874496
"2005-12-05",0.433,609197.31101376
"2005-12-19",0.546,990863.0962272
"2006-01-09",0.526,1037348.03160576
"2006-01-23",0.634,472189.08042432
"2006-02-06",1.09,-129668.50395072
"2006-02-21",0.578,1037348.03160576
"2006-03-06",0.619,963950.76521856
"2006-03-20",0.612,653235.67084608
"2006-04-03",0.559,702167.18177088
"2006-04-17",0.508,663021.97303104
"2006-05-08",0.263,538246.6201728
"2006-05-22",0.506,396345.23849088
"2006-06-05",0.547,305821.94328
"2006-06-19",0.488,296035.64109504
"2006-07-05",0.355,-39145.20873984
"2006-07-17",0.308,-39145.20873984
"2006-10-09",0.128,-900339.80101632
"2006-10-23",0.107,1810.4659042176
"2006-11-14",0.195,2691.233100864
"2006-11-27",0.334,-5382.466201728
"2006-12-04",0.307,-2250.8495025408
"2006-12-18",0.503,-239764.40353152
"2007-01-08",0.117,-604304.15992128
"2007-01-22",0.264,2055.1234588416
"2007-02-12",0.357,-1834.93165968
"2007-02-26",0.489,-1247.7535285824
"2007-03-12",0.398,-2324.246768928
"2007-03-26",0.317,-41591.78428608
"2007-04-23",0.114,58717.81310976
"2007-05-07",0.053,25444.385680896
"2007-07-09",0.085,-1228180.92421248
"2007-07-17",0.12,-489315.109248
"2007-07-23",0.157,-902786.37656256
"2007-07-31",0.152,-699720.60622464
"2007-08-06",0.115,-1330937.09715456
"2007-08-14",0.08,-1636759.04043456
"2007-08-20",0.079,-1450819.29892032
"2007-08-28",0.304,-1017775.42723584
"2007-09-04",0.116,-589624.70664384
"2007-09-10",0.114,-511334.28916416
"2007-09-18",0.0435,-1103405.57135424
"2007-09-24",0.091,-1617186.43606464
"2007-10-02",0.271,-2617835.8344768
"2007-10-08",0.091,-2312013.8911968
"2007-10-22",0.427,-2060016.60993408
"2007-11-13",0.05,-2037997.43001792
"2007-11-26",1.118,-85630.1441184
"2007-12-05",0.499,-19327.946815296
"2007-12-19",0.362,-271569.88563264
"2008-01-02",0.403,-39145.20873984
"2008-01-16",0.507,-26912.33100864
"2008-02-06",0.296,-15658.083495936
"2008-02-20",0.091,-1575594.65177856
"2008-03-05",0.078,-1480178.2054752
"2008-03-19",0.078,-1480178.2054752
"2008-04-02",0.056,-1384761.75917184
"2008-04-16",0.051,-1277112.43513728
"2008-05-28",0.226,-15168.768386688
"2008-06-25",0.074,-900339.80101632
"2008-07-16",0.525,-1127871.32681664
"2008-07-30",0.267,-1600060.40724096
"2008-08-13",0.114,-1294238.46396096
"2008-08-28",0.321,-2544438.5680896
"2008-09-10",0.38,-288695.91445632
"2008-09-24",0.434,589624.70664384
"2008-10-08",0.092,-518674.01580288
"2008-10-22",0.338,462402.77823936
"2008-11-05",0.428,428150.720592
"2008-11-19",0.432,868534.3189152
"2008-12-03",0.494,800030.20362048
"2008-12-17",0.514,782904.1747968
"2009-01-07",0.513,807369.9302592
"2009-01-21",0.558,587178.1310976
"2009-02-04",0.532,650789.09529984
"2009-02-18",0.377,538246.6201728
"2009-03-11",0.44,374326.05857472
"2009-03-25",0.397,14679.45327744
"2009-04-08",0.456,127221.92840448
"2009-04-22",0.225,-276463.03672512
"2009-05-06",0.334,6850.411529472
"2009-05-20",0.224,-31805.48210112
"2009-06-03",0.63,-239764.40353152
"2009-06-17",0.054,-1411674.09018048
"2009-07-08",0.2115,-601857.58437504
"2009-07-22",0.135,234871.25243904
"2009-08-12",0.022,171260.2882368
"2009-08-26",0.107,587178.1310976
"2009-09-09",0.287,325394.54764992
"2009-09-23",0.281,599411.0088288
"2009-10-14",0.031,523567.16689536
"2009-10-28",0.255,719293.21059456
"2009-11-04",0.197,719293.21059456
"2009-11-18",0.307,746205.5416032
"2009-12-09",0.351,433043.87168448
"2009-12-23",0.366,264230.15899392
"2010-01-13",0.438,185939.74151424
"2010-01-27",0.419,249550.70571648
"2010-02-10",0.453,161473.98605184
"2010-02-24",0.426,477082.2315168
"2010-03-03",0.41,685041.1529472
"2010-03-17",1.051,58717.81310976
"2010-04-07",0.402,839175.41236032
"2010-04-21",0.51,993309.67177344
"2010-05-12",0.328,1003095.9739584
"2010-05-26",0.274,961504.18967232
"2010-06-16",0.029,797583.62807424
"2010-06-30",0.02,719293.21059456
"2010-07-14",0.017,704613.75731712
"2010-07-28",0.01,702167.18177088
"2010-08-04",0.027,521120.59134912
"2010-08-18",0.015,550479.497904
"2010-09-15",0.141,420810.99395328
"2010-09-29",0.128,-305821.94328
"2010-10-13",0.098,570052.10227392
"2010-10-27",0.074,401238.38958336
"2010-11-03",0.072,31805.48210112
"2010-11-17",0.297,557819.22454272
"2010-12-01",0.329,557819.22454272
"2010-12-13",0.392,724186.36168704
"2011-01-05",0.403,349860.30311232
"2011-01-20",0.404,288695.91445632
"2011-02-03",0.377,342520.5764736
"2011-02-17",0.347,384112.36075968
"2011-03-02",0.249,286249.33891008
"2011-03-16",0.31,320501.39655744
"2011-04-06",0.396,100309.59739584
"2011-04-20",0.096,203065.77033792
"2011-05-04",0.056,215298.64806912
"2011-05-18",0.079,97863.0218496
"2011-06-08",0.017,70950.69084096
"2011-06-22",0.009,56271.23756352
"2011-07-06",0.099,-132115.07949696
"2011-07-20",0.116,-318054.8210112
"2011-08-10",0.087,-195726.0436992
"2011-08-24",0.768,-707060.33286336
"2011-09-07",0.246,-403684.9651296
"2011-09-21",0.16,-212852.07252288
"2011-10-05",0.071,-107649.32403456
"2011-10-19",0.466,-349860.30311232
"2011-11-02",0.436,-716846.63504832
"2011-11-16",0.17,-53824.66201728
"2011-12-07",0.342,406131.54067584
"2011-12-21",0.376,560265.80008896
"2012-01-04",0.377,653235.67084608
"2012-01-18",0.418,623876.7642912
"2012-02-08",0.339,-88076.71966464
"2012-02-22",0.288,472189.08042432
"2012-03-07",0.397,393898.66294464
"2012-03-21",0.372,163920.56159808
"2012-04-04",0.228,68504.11529472
"2012-04-18",0.275,146794.5327744
"2012-05-02",0.74,-95416.44630336
"2012-05-16",0.08,-1289345.31286848
"2012-06-06",0.061,-1401887.78799552
"2012-06-20",0.062,-973737.06740352
"2012-07-11",0.113,-758438.4193344
"2012-07-25",0.117,-961504.18967232
"2012-08-08",0.121,-1235520.6508512
"2012-08-22",0.142,-1267326.13295232
"2012-09-05",0.323,-2334033.07111296
"2012-09-20",0.906,-154134.25941312
"2012-10-03",0.358,330287.6987424
"2012-10-17",0.181,567605.52672768
"2012-11-14",0.351,535800.04462656
"2012-11-28",0.367,638556.21756864
"2012-12-05",0.379,1034901.45605952
"2012-12-19",0.358,714400.05950208
"2013-01-09",0.422,932145.28311744
"2013-01-23",0.456,959057.61412608
"2013-02-06",0.401,939485.00975616
"2013-02-21",0.452,900339.80101632
"2013-03-06",0.454,973737.06740352
"2013-03-20",0.393,616537.03765248
"2013-04-03",0.265,665468.54857728
"2013-04-17",0.355,741312.39051072
"2013-05-22",3.647,-237317.82798528
"2013-06-05",0.173,-190832.89260672
"2013-06-19",0.092,-166367.13714432
"2013-07-10",0.686,-41591.78428608
"2013-07-24",0.324,-44038.35983232
"2013-08-07",0.089,1049580.90933696
"2013-08-21",0.044,1262432.98185984
"2013-09-04",0.032,1171909.68664896
"2013-09-18",0.045,352306.87865856
"2013-10-07",0.079,817156.23244416
"2013-10-21",0.007,1122978.17572416
"2013-11-04",0.155,1010435.70059712
"2013-11-18",0.202,978630.218496
"2013-12-02",0.284,917465.82984
"2013-12-16",0.253,814709.65689792
"2014-01-06",0.356,738865.81496448
"2014-01-21",0.38,680148.00185472
"2014-02-03",0.196,508887.71361792
"2014-02-17",0.294,587178.1310976
"2014-03-03",0.291,702167.18177088
"2014-03-17",0.372,457509.62714688
"2014-04-07",0.181,530906.89353408
"2014-04-21",0.44,528460.31798784
"2014-05-05",0.274,-856301.441184
"2014-05-19",0.292,-797583.62807424
"2014-06-09",0.209,-1005542.54950464
"2014-06-23",1.74,-1225734.34866624
"2014-07-07",0.304,-1274665.85959104
"2014-07-21",0.027,266676.73454016
"2014-08-18",0.006,846515.13899904
"2014-09-08",0.122,677701.42630848
"2014-09-22",0.075,3669.86331936
"2014-10-06",0.24,122328.777312
"2014-10-20",0.261,650789.09529984
"2014-11-03",0.071,242210.97907776
"2014-11-17",0.235,479528.80706304
"2014-12-01",0.311,415917.8428608
"2014-12-15",0.366,572498.67782016
"2014-12-30",0.231,851408.29009152
"2015-01-05",0.316,839175.41236032
"2015-01-06",0.34,858748.01673024
"2015-01-12",0.357,807369.9302592
"2015-01-20",0.405,944378.16084864
"2015-01-27",0.453,1044687.75824448
"2015-02-03",0.399,917465.82984
"2015-02-10",0.41,733972.663872
"2015-02-16",0.44,905232.9521088
"2015-02-17",0.446,902786.37656256
"2015-02-24",0.39,983523.36958848
"2015-03-02",0.31,543139.77126528
"2015-03-03",0.34,648342.5197536
"2015-03-10",0.31,760884.99488064
"2015-03-16",0.329,787797.32588928
"2015-03-17",0.338,927252.13202496
"2015-03-24",0.327,826942.53462912
"2015-03-31",0.403,738865.81496448
"2015-04-06",0.278,660575.3974848
"2015-04-07",0.302,645895.94420736
"2015-04-20",0.189,552926.07345024
"2015-05-04",0.431,533353.46908032
"2015-05-18",0.286,494208.26034048
"2015-06-01",0.213,178600.01487552
"2015-06-15",0.198,-63610.96420224
"2015-07-06",0.175,-675254.85076224
"2015-07-20",0.236,-371879.48302848
"2015-08-03",0.428,-486868.53370176
"2015-08-17",0.168,-26912.33100864
"2015-08-31",0.385,-114989.05067328
"2015-09-14",0.037,464849.3537856
"2015-09-28",0.067,491761.68479424
"2015-10-12",0.048,900339.80101632
"2015-10-26",0.241,577391.82891264
"2015-11-09",0.228,521120.59134912
"2015-11-23",0.286,582284.98000512
"2015-12-07",0.343,435490.44723072
"2015-12-21",0.337,359646.60529728
"2016-01-04",0.368,540693.19571904
"2016-01-20",0.36,606750.73546752
"2016-02-01",6.557,7829.041747968
"2016-02-15",0.3,110095.8995808
"2016-02-29",0.272,39145.20873984
"2016-03-14",0.414,484421.95815552
"2016-03-28",0.436,496654.83588672
"2016-04-11",0.433,499101.41143296
"2016-04-25",0.416,503994.56252544
"2016-05-09",0.184,687487.72849344
"2016-05-23",0.174,540693.19571904
"2016-06-06",0.064,552926.07345024
"2016-06-20",0.046,572498.67782016
"2016-07-06",0.007,971290.49185728
"2016-07-18",0.063,890553.49883136
"2016-08-01",0.031,856301.441184
"2016-08-15",0.05,310715.09437248
"2016-08-29",0.247,6361.096420224
"2016-09-12",0.114,594517.85773632
"2016-09-26",0.078,354753.4542048
"2016-10-10",1.205,-9884.1652068096
"2016-10-24",0.411,418364.41840704
"2016-11-07",0.376,672808.275216
"2016-11-21",0.408,596964.43328256
"2016-12-05",0.415,315608.24546496
"2016-12-19",0.41,878320.62110016
"2017-01-04",0.335,844068.5634528
"2017-01-17",0.404,660575.3974848
"2017-01-30",0.47,125509.325522112
"2017-02-13",0.441,550479.497904
"2017-02-27",0.446,469742.50487808
"2017-03-14",0.401,235115.909993664
"2017-03-27",0.422,440383.5983232
"2017-04-10",0.433,-27890.961227136
"2017-04-24",0.265,-269123.3100864
"2017-05-08",0.161,-63366.306647616
"2017-05-22",0.207,-259337.00790144
"2017-06-05",0.129,-993309.67177344
"2017-06-19",0.311,-853854.86563776
"2017-07-05",0.107,-1252646.67967488
"2017-07-17",0.044,-692380.87958592
"2017-08-01",0.078,-601857.58437504
"2017-08-14",0.012,92480.555647872
"2017-08-28",0.05,-376772.63412096
"2017-09-13",0.764,-3205013.9655744
"2017-09-25",0.093,-58473.155555136
"2017-10-09",0.35,-623876.7642912
"2017-10-23",0.116,65078.909529984
"2018-04-09",0.528,606750.73546752
"2018-05-07",0.552,288695.91445632
"2018-06-04",0.017,-1825145.35749504
"2018-06-18",0.016,-111563.844908544
"2018-07-02",0.536,-2250.8495025408
"2018-07-16",0.937,4991.0141143296
"2018-07-30",0.75,-3987.9181403712
"2018-08-27",0.695,-10055.4254950464
"2018-09-10",0.44,-24245.5636632384
"2018-09-24",0.681,3694.3290748224
"2018-10-08",0.78,-513.7808647104
"2018-11-05",0.178,347413.72756608
"2018-11-19",0.263,481975.38260928
"2018-12-03",0.368,503994.56252544
"2018-12-17",0.28,391452.0873984
"2019-01-02",0.304,322947.97210368
"2019-01-14",0.298,196460.016363072
"2019-01-28",1.476,-1191482.29101888
"2019-02-11",0.375,132849.052160832
"2019-02-25",0.336,80981.650580544
"2019-03-11",0.39,251997.28126272
"2019-03-25",0.443,-76333.157042688
"2019-04-08",0.333,-254443.85680896
"2019-04-22",0.615,-4991.0141143296
"2019-05-06",0.444,-23805.1800649152
"2019-05-20",0.796,-9394.8500975616
"2019-06-03",0.022,4208.1099395328
"2019-06-17",0.256,-114010.420454784
"2019-07-01",0.112,-116456.996001024
"2019-07-15",0.119,-103000.830496704
"2019-07-29",0.085,-80981.650580544
"2019-08-12",0.048,-247104.13017024
"2019-08-26",0.028,-433043.87168448
"2019-09-09",0.085,1247.7535285824
"2019-09-23",0.548,362093.18084352
"2019-10-07",0.351,398791.81403712
"2019-10-21",0.375,52601.37424416
"2019-11-04",0.426,222638.37470784
"2019-11-18",0.257,-40857.811622208
"2019-12-02",0.397,472189.08042432
"2019-12-16",0.544,-66546.854857728
"2020-01-13",0.456,-84896.171454528
"2020-01-27",0.532,72173.97861408
"2020-02-10",0.493,308268.51882624
"2020-02-24",0.429,316342.218128832
"2020-03-09",0.466,231446.046674304
"2020-03-23",0.433,294396.435479059
"2020-04-06",0.271,256890.4323552
"2020-04-20",0.388,52601.37424416
"2020-05-04",0.317,46484.93537856
"2020-05-18",0.332,-47218.908042432
"2020-06-01",0.126,-10275.617294208
"2020-06-15",0.09,-159761.383169472
"2020-06-29",0.099,251997.28126272
"2020-07-13",0.084,-220191.7991616
"2020-09-08",0.313,-1030008.30496704
"2020-09-21",0.268,-626323.33983744
"2020-10-05",0.441,-102022.200278208
"2021-01-06",1.309,-9370.3843420992
"2021-03-22",0.432,1056920.63597568
"2021-04-05",0.372,763331.57042688
"2021-04-19",0.118,34007.400092736
"2021-05-03",0.022,229244.128682688
"2021-05-17",0.17,162941.931379584
"2021-06-01",0.164,130891.79172384
"2021-06-14",0.078,221170.429380096
"2021-06-28",0.335,48686.853370176
"2021-07-12",0.016,123552.06508512
"2021-07-26",0.094,-64834.25197536
"2021-08-09",0.042,-279521.25615792
"2021-08-23",0.038,112542.47512704
"2021-09-20",0.232,-663021.97303104
"2021-10-18",0.022,-303375.36773376
"2021-11-01",0.359,-43793.702277696
"2022-01-10",0.236,369432.90748224
"2022-01-24",0.315,100064.939841216
"2022-02-07",0.323,23462.6594884416
"2022-02-21",0.319,447723.32496192
"2022-03-07",0.347,606750.73546752
"2022-03-21",0.33,391452.0873984
"2022-04-04",0.38,3890.0551185216
"2022-04-18",0.263,37921.92096672
"2022-05-02",0.281,-15291.097164
"2022-05-16",0.124,413471.26731456
"2022-05-19",0.076,354753.4542048
"2022-05-23",0.198,125998.64063136
"2022-05-31",0.135,125998.64063136
"2022-06-13",0.027,-88076.71966464
"2022-06-15",0.139,167345.767362816
"2022-06-16",0.235,291142.49000256
"2022-06-27",0.129,141167.409018048
"2022-07-11",0.005,244657.554624
"2022-07-25",0.107,126487.955740608
"2022-08-08",0.057,266676.73454016
"2022-08-22",0.084,433043.87168448
"2022-09-06",0.082,310715.09437248
"2022-09-19",0.319,-430597.29613824
"2022-10-03",0.042,-1671011.09808192
"2022-10-31",0.164,-10422.4118269824
"2022-11-14",0.73,-293.5890655488
"2022-11-28",0.478,-33028.76987424
"2022-12-12",0.481,126243.298185984
"2022-12-27",0.57,-4110.2469176832
"2023-01-09",0.478,14826.2478102144
"2023-01-23",0.49,303375.36773376
"2023-02-06",0.524,46484.93537856
"2023-02-20",0.509,680148.00185472
"2023-03-06",0.437,1135211.05345536
"2023-03-20",0.5,885660.34773888
"2023-04-03",0.361,621430.18874496
"2023-04-17",0.453,69238.087958592
