"","date","CULV10A_NITRATE+NITRITE-N_mg/L","days"
"202",2001-01-22,0.435,6842
"203",2001-02-05,0.572,6856
"204",2001-03-05,0.476,6884
"205",2001-03-19,0.256,6898
"206",2001-04-16,0.066,6926
"207",2001-05-14,0.008,6954
"208",2001-06-18,0.01,6989
"209",2001-07-02,0.05,7003
"210",2001-07-05,0.0495,7006
"211",2001-07-09,0.078,7010
"212",2001-07-16,0.128,7017
"213",2001-07-30,0.094,7031
"214",2001-08-07,0.881,7039
"215",2001-08-13,0.368,7045
"216",2001-08-21,0.044,7053
"217",2001-08-27,0.08,7059
"218",2001-09-04,0.018,7067
"219",2001-09-10,0.113,7073
"220",2001-09-18,0.086,7081
"221",2001-09-24,0.103,7087
"222",2001-10-02,0.189,7095
"223",2001-10-08,0.023,7101
"224",2001-10-16,0.067,7109
"225",2001-11-05,0.35,7129
"226",2001-11-19,0.64,7143
"227",2001-12-17,0.098,7171
"228",2002-01-07,0.455,7192
"229",2002-01-22,0.211,7207
"230",2002-02-04,0.335,7220
"231",2002-02-19,0.375,7235
"232",2002-03-04,0.454,7248
"233",2002-03-18,0.208,7262
"234",2002-04-01,0.314,7276
"235",2002-04-15,0.296,7290
"236",2002-04-29,NA,7304
"237",2002-05-13,NA,7318
"238",2002-05-28,0.302,7333
"239",2002-06-10,0.178,7346
"240",2002-06-24,0.927,7360
"241",2002-07-08,0.139,7374
"242",2002-07-22,0.066,7388
"243",2002-08-05,0.143,7402
"244",2002-08-19,0.336,7416
"245",2002-09-03,0.012,7431
"246",2002-09-16,0.048,7444
"247",2002-09-30,0.095,7458
"248",2002-10-14,0.121,7472
"249",2002-10-28,0.064,7486
"250",2002-11-12,0.122,7501
"251",2002-11-25,0.101,7514
"252",2002-12-09,0.291,7528
"253",2002-12-30,0.3,7549
"254",2003-01-13,0.281,7563
"255",2003-01-27,0.399,7577
"256",2003-02-10,0.382,7591
"257",2003-02-24,0.475,7605
"258",2003-03-10,0.375,7619
"259",2003-03-24,0.446,7633
"260",2003-04-07,0.404,7647
"261",2003-04-21,0.433,7661
"262",2003-05-05,0.232,7675
"263",2003-05-19,0.133,7689
"264",2003-06-02,0.111,7703
"265",2003-06-16,0.032,7717
"266",2003-07-08,0.045,7739
"267",2003-07-21,NA,7752
"268",2003-08-04,2.366,7766
"269",2003-08-18,0.06,7780
"270",2003-09-02,0.091,7795
"271",2003-09-15,0.105,7808
"272",2003-10-06,0.127,7829
"273",2003-10-20,0.207,7843
"274",2003-11-03,0.173,7857
"275",2003-11-17,0.226,7871
"276",2003-12-01,0.225,7885
"277",2003-12-15,0.256,7899
"278",2004-01-05,0.33,7920
"279",2004-01-20,0.345,7935
"280",2004-02-02,0.22,7948
"281",2004-02-17,0.318,7963
"282",2004-03-01,0.344,7976
"283",2004-03-15,0.351,7990
"284",2004-04-05,0.21,8011
"285",2004-04-19,0.435,8025
"286",2004-05-03,0.408,8039
"287",2004-05-17,0.336,8053
"288",2004-06-07,0.124,8074
"289",2004-06-21,0.16,8088
"290",2004-07-12,0.067,8109
"291",2004-07-26,0.177,8123
"292",2004-08-09,0.172,8137
"293",2004-08-23,0.18,8151
"294",2004-09-13,0.036,8172
"295",2004-10-04,0.028,8193
"296",2004-10-11,NA,8200
"297",2004-10-18,1.14,8207
"298",2004-11-01,0.866,8221
"299",2004-11-15,0.872,8235
"300",2004-12-06,0.881,8256
"301",2004-12-20,0.9,8270
"302",2005-01-03,0.82,8284
"303",2005-01-18,0.822,8299
"304",2005-01-31,0.748,8312
"305",2005-02-14,0.384,8326
"306",2005-02-28,0.811,8340
"307",2005-03-14,0.778,8354
"308",2005-04-04,0.766,8375
"309",2005-04-18,0.75,8389
"310",2005-05-02,0.662,8403
"311",2005-05-16,0.618,8417
"312",2005-06-13,0.428,8445
"313",2005-06-27,0.627,8459
"314",2005-07-11,0.225,8473
"315",2005-07-20,NA,8482
"316",2005-07-25,0.426,8487
"317",2005-08-08,NA,8501
"318",2005-08-22,0.045,8515
"319",2005-09-06,0.237,8530
"320",2005-09-20,0.275,8544
"321",2005-10-03,0.306,8557
"322",2005-10-17,0.244,8571
"323",2005-11-01,0.864,8586
"324",2005-11-14,0.265,8599
"325",2005-12-05,0.433,8620
"326",2005-12-19,0.546,8634
"327",2006-01-09,0.526,8655
"328",2006-01-23,0.634,8669
"329",2006-02-06,1.09,8683
"330",2006-02-21,0.578,8698
"331",2006-03-06,0.619,8711
"332",2006-03-20,0.612,8725
"333",2006-04-03,0.559,8739
"334",2006-04-17,0.508,8753
"335",2006-05-08,0.263,8774
"336",2006-05-22,0.506,8788
"337",2006-06-05,0.547,8802
"338",2006-06-19,0.488,8816
"339",2006-07-05,0.355,8832
"340",2006-07-17,0.308,8844
"341",2006-08-07,0.057,8865
"342",2006-08-21,0.083,8879
"343",2006-09-11,0.122,8900
"344",2006-09-25,0.076,8914
"345",2006-10-09,0.128,8928
"346",2006-10-23,0.107,8942
"347",2006-11-14,0.195,8964
"348",2006-11-27,0.334,8977
"349",2006-12-04,0.307,8984
"350",2006-12-18,0.503,8998
"351",2007-01-08,0.117,9019
"352",2007-01-22,0.264,9033
"353",2007-02-12,0.357,9054
"354",2007-02-26,0.489,9068
"355",2007-03-12,0.398,9082
"356",2007-03-26,0.317,9096
"357",2007-04-09,0.053,9110
"358",2007-04-23,0.114,9124
"359",2007-05-07,0.053,9138
"360",2007-05-21,0.037,9152
"361",2007-07-09,0.085,9201
"362",2007-07-17,0.12,9209
"363",2007-07-23,0.157,9215
"364",2007-07-31,0.152,9223
"365",2007-08-06,0.115,9229
"366",2007-08-14,0.08,9237
"367",2007-08-20,0.079,9243
"368",2007-08-28,0.304,9251
"369",2007-09-04,0.116,9258
"370",2007-09-10,0.114,9264
"371",2007-09-18,0.0435,9272
"372",2007-09-24,0.091,9278
"373",2007-10-02,0.271,9286
"374",2007-10-08,0.091,9292
"375",2007-10-22,0.427,9306
"376",2007-11-13,0.05,9328
"377",2007-11-26,1.118,9341
"378",2007-12-05,0.499,9350
"379",2007-12-19,0.362,9364
"380",2008-01-02,0.403,9378
"381",2008-01-16,0.507,9392
"382",2008-02-06,0.296,9413
"383",2008-02-20,0.091,9427
"384",2008-03-05,0.078,9441
"385",2008-03-19,0.078,9455
"386",2008-04-02,0.056,9469
"387",2008-04-16,0.051,9483
"388",2008-05-28,0.226,9525
"389",2008-06-11,0.044,9539
"390",2008-06-25,0.074,9553
"391",2008-07-16,0.525,9574
"392",2008-07-30,0.267,9588
"393",2008-08-13,0.114,9602
"394",2008-08-28,0.321,9617
"395",2008-09-10,0.38,9630
"396",2008-09-24,0.434,9644
"397",2008-10-08,0.092,9658
"398",2008-10-22,0.338,9672
"399",2008-11-05,0.428,9686
"400",2008-11-19,0.432,9700
"401",2008-12-03,0.494,9714
"402",2008-12-17,0.514,9728
"403",2009-01-07,0.513,9749
"404",2009-01-21,0.558,9763
"405",2009-02-04,0.532,9777
"406",2009-02-18,0.377,9791
"407",2009-03-11,0.44,9812
"408",2009-03-25,0.397,9826
"409",2009-04-08,0.456,9840
"410",2009-04-22,0.225,9854
"411",2009-05-06,0.334,9868
"412",2009-05-20,0.224,9882
"413",2009-06-03,0.63,9896
"414",2009-06-17,0.054,9910
"415",2009-07-08,0.2115,9931
"416",2009-07-22,0.135,9945
"417",2009-08-12,0.022,9966
"418",2009-08-26,0.107,9980
"419",2009-09-09,0.287,9994
"420",2009-09-23,0.281,10008
"421",2009-10-14,0.031,10029
"422",2009-10-28,0.255,10043
"423",2009-11-04,0.197,10050
"424",2009-11-18,0.307,10064
"425",2009-12-09,0.351,10085
"426",2009-12-23,0.366,10099
"427",2010-01-13,0.438,10120
"428",2010-01-27,0.419,10134
"429",2010-02-10,0.453,10148
"430",2010-02-24,0.426,10162
"431",2010-03-03,0.41,10169
"432",2010-03-17,1.051,10183
"433",2010-04-07,0.402,10204
"434",2010-04-21,0.51,10218
"435",2010-05-12,0.328,10239
"436",2010-05-26,0.274,10253
"437",2010-06-16,0.029,10274
"438",2010-06-30,0.02,10288
"439",2010-07-14,0.017,10302
"440",2010-07-28,0.01,10316
"441",2010-08-04,0.027,10323
"442",2010-08-18,0.015,10337
"443",2010-09-15,0.141,10365
"444",2010-09-29,0.128,10379
"445",2010-10-13,0.098,10393
"446",2010-10-27,0.074,10407
"447",2010-11-03,0.072,10414
"448",2010-11-17,0.297,10428
"449",2010-12-01,0.329,10442
"450",2010-12-13,0.392,10454
"451",2011-01-05,0.403,10477
"452",2011-01-20,0.404,10492
"453",2011-02-03,0.377,10506
"454",2011-02-17,0.347,10520
"455",2011-03-02,0.249,10533
"456",2011-03-16,0.31,10547
"457",2011-04-06,0.396,10568
"458",2011-04-20,0.096,10582
"459",2011-05-04,0.056,10596
"460",2011-05-18,0.079,10610
"461",2011-06-08,0.017,10631
"462",2011-06-22,0.009,10645
"463",2011-07-06,0.099,10659
"464",2011-07-20,0.116,10673
"465",2011-08-10,0.087,10694
"466",2011-08-24,0.768,10708
"467",2011-09-07,0.246,10722
"468",2011-09-21,0.16,10736
"469",2011-10-05,0.071,10750
"470",2011-10-19,0.466,10764
"471",2011-11-02,0.436,10778
"472",2011-11-16,0.17,10792
"473",2011-12-07,0.342,10813
"474",2011-12-21,0.376,10827
"475",2012-01-04,0.377,10841
"476",2012-01-18,0.418,10855
"477",2012-02-08,0.339,10876
"478",2012-02-22,0.288,10890
"479",2012-03-07,0.397,10904
"480",2012-03-21,0.372,10918
"481",2012-04-04,0.228,10932
"482",2012-04-18,0.275,10946
"483",2012-05-02,0.74,10960
"484",2012-05-16,0.08,10974
"485",2012-06-06,0.061,10995
"486",2012-06-20,0.062,11009
"487",2012-07-11,0.113,11030
"488",2012-07-25,0.117,11044
"489",2012-08-08,0.121,11058
"490",2012-08-22,0.142,11072
"491",2012-09-05,0.323,11086
"492",2012-09-20,0.906,11101
"493",2012-10-03,0.358,11114
"494",2012-10-17,0.181,11128
"495",2012-11-14,0.351,11156
"496",2012-11-28,0.367,11170
"497",2012-12-05,0.379,11177
"498",2012-12-19,0.358,11191
"499",2013-01-09,0.422,11212
"500",2013-01-23,0.456,11226
"501",2013-02-06,0.401,11240
"502",2013-02-21,0.452,11255
"503",2013-03-06,0.454,11268
"504",2013-03-20,0.393,11282
"505",2013-04-03,0.265,11296
"506",2013-04-17,0.355,11310
"507",2013-05-08,NA,11331
"508",2013-05-22,3.647,11345
"509",2013-06-05,0.173,11359
"510",2013-06-19,0.092,11373
"511",2013-07-10,0.686,11394
"512",2013-07-24,0.324,11408
"513",2013-08-07,0.089,11422
"514",2013-08-21,0.044,11436
"515",2013-09-04,0.032,11450
"516",2013-09-18,0.045,11464
"517",2013-10-07,0.079,11483
"518",2013-10-21,0.007,11497
"519",2013-11-04,0.155,11511
"520",2013-11-18,0.202,11525
"521",2013-12-02,0.284,11539
"522",2013-12-16,0.253,11553
"523",2014-01-06,0.356,11574
"524",2014-01-21,0.38,11589
"525",2014-02-03,0.196,11602
"526",2014-02-17,0.294,11616
"527",2014-03-03,0.291,11630
"528",2014-03-17,0.372,11644
"529",2014-04-07,0.181,11665
"530",2014-04-21,0.44,11679
"531",2014-05-05,0.274,11693
"532",2014-05-19,0.292,11707
"533",2014-06-09,0.209,11728
"534",2014-06-23,1.74,11742
"535",2014-07-07,0.304,11756
"536",2014-07-21,0.027,11770
"537",2014-08-04,NA,11784
"538",2014-08-18,0.006,11798
"539",2014-09-08,0.122,11819
"540",2014-09-22,0.075,11833
"541",2014-10-06,0.24,11847
"542",2014-10-20,0.261,11861
"543",2014-11-03,0.071,11875
"544",2014-11-17,0.235,11889
"545",2014-12-01,0.311,11903
"546",2014-12-15,0.366,11917
"547",2014-12-30,0.231,11932
"548",2015-01-05,0.316,11938
"549",2015-01-06,0.34,11939
"550",2015-01-12,0.357,11945
"551",2015-01-20,0.405,11953
"552",2015-01-27,0.453,11960
"553",2015-02-03,0.399,11967
"554",2015-02-10,0.41,11974
"555",2015-02-16,0.44,11980
"556",2015-02-17,0.446,11981
"557",2015-02-24,0.39,11988
"558",2015-03-02,0.31,11994
"559",2015-03-03,0.34,11995
"560",2015-03-10,0.31,12002
"561",2015-03-16,0.329,12008
"562",2015-03-17,0.338,12009
"563",2015-03-24,0.327,12016
"564",2015-03-31,0.403,12023
"565",2015-04-06,0.278,12029
"566",2015-04-07,0.302,12030
"567",2015-04-20,0.189,12043
"568",2015-05-04,0.431,12057
"569",2015-05-18,0.286,12071
"570",2015-06-01,0.213,12085
"571",2015-06-15,0.198,12099
"572",2015-07-06,0.175,12120
"573",2015-07-20,0.236,12134
"574",2015-08-03,0.428,12148
"575",2015-08-17,0.168,12162
"576",2015-08-31,0.385,12176
"577",2015-09-14,0.037,12190
"578",2015-09-28,0.067,12204
"579",2015-10-12,0.048,12218
"580",2015-10-26,0.241,12232
"581",2015-11-09,0.228,12246
"582",2015-11-23,0.286,12260
"583",2015-12-07,0.343,12274
"584",2015-12-21,0.337,12288
"585",2016-01-04,0.368,12302
"586",2016-01-20,0.36,12318
"587",2016-02-01,6.557,12330
"588",2016-02-15,0.3,12344
"589",2016-02-29,0.272,12358
"590",2016-03-14,0.414,12372
"591",2016-03-28,0.436,12386
"592",2016-04-11,0.433,12400
"593",2016-04-25,0.416,12414
"594",2016-05-09,0.184,12428
"595",2016-05-23,0.174,12442
"596",2016-06-06,0.064,12456
"597",2016-06-20,0.046,12470
"598",2016-07-06,0.007,12486
"599",2016-07-18,0.063,12498
"600",2016-08-01,0.031,12512
"601",2016-08-15,0.05,12526
"602",2016-08-29,0.247,12540
"603",2016-09-12,0.114,12554
"604",2016-09-26,0.078,12568
"605",2016-10-10,1.205,12582
"606",2016-10-24,0.411,12596
"607",2016-11-07,0.376,12610
"608",2016-11-21,0.408,12624
"609",2016-12-05,0.415,12638
"610",2016-12-19,0.41,12652
"611",2017-01-04,0.335,12668
"612",2017-01-17,0.404,12681
"613",2017-01-30,0.47,12694
"614",2017-02-13,0.441,12708
"615",2017-02-27,0.446,12722
"616",2017-03-14,0.401,12737
"617",2017-03-27,0.422,12750
"618",2017-04-10,0.433,12764
"619",2017-04-24,0.265,12778
"620",2017-05-08,0.161,12792
"621",2017-05-22,0.207,12806
"622",2017-06-05,0.129,12820
"623",2017-06-19,0.311,12834
"624",2017-07-05,0.107,12850
"625",2017-07-17,0.044,12862
"626",2017-08-01,0.078,12877
"627",2017-08-14,0.012,12890
"628",2017-08-28,0.05,12904
"629",2017-09-13,0.764,12920
"630",2017-09-25,0.093,12932
"631",2017-10-09,0.35,12946
"632",2017-10-23,0.116,12960
"633",2018-04-09,0.528,13128
"634",2018-05-07,0.552,13156
"635",2018-06-04,0.017,13184
"636",2018-06-18,0.016,13198
"637",2018-07-02,0.536,13212
"638",2018-07-16,0.937,13226
"639",2018-07-30,0.75,13240
"640",2018-08-27,0.695,13268
"641",2018-09-10,0.44,13282
"642",2018-09-24,0.681,13296
"643",2018-10-08,0.78,13310
"644",2018-10-22,NA,13324
"645",2018-11-05,0.178,13338
"646",2018-11-19,0.263,13352
"647",2018-12-03,0.368,13366
"648",2018-12-17,0.28,13380
"649",2019-01-02,0.304,13396
"650",2019-01-14,0.298,13408
"651",2019-01-28,1.476,13422
"652",2019-02-11,0.375,13436
"653",2019-02-25,0.336,13450
"654",2019-03-11,0.39,13464
"655",2019-03-25,0.443,13478
"656",2019-04-08,0.333,13492
"657",2019-04-22,0.615,13506
"658",2019-05-06,0.444,13520
"659",2019-05-20,0.796,13534
"660",2019-06-03,0.022,13548
"661",2019-06-17,0.256,13562
"662",2019-07-01,0.112,13576
"663",2019-07-15,0.119,13590
"664",2019-07-29,0.085,13604
"665",2019-08-12,0.048,13618
"666",2019-08-26,0.028,13632
"667",2019-09-09,0.085,13646
"668",2019-09-23,0.548,13660
"669",2019-10-07,0.351,13674
"670",2019-10-21,0.375,13688
"671",2019-11-04,0.426,13702
"672",2019-11-18,0.257,13716
"673",2019-12-02,0.397,13730
"674",2019-12-16,0.544,13744
"675",2020-01-13,0.456,13772
"676",2020-01-27,0.532,13786
"677",2020-02-10,0.493,13800
"678",2020-02-24,0.429,13814
"679",2020-03-09,0.466,13828
"680",2020-03-23,0.433,13842
"681",2020-04-06,0.271,13856
"682",2020-04-20,0.388,13870
"683",2020-05-04,0.317,13884
"684",2020-05-18,0.332,13898
"685",2020-06-01,0.126,13912
"686",2020-06-15,0.09,13926
"687",2020-06-29,0.099,13940
"688",2020-07-13,0.084,13954
"689",2020-09-08,0.313,14011
"690",2020-09-21,0.268,14024
"691",2020-10-05,0.441,14038
"692",2021-01-06,1.309,14131
"693",2021-03-22,0.432,14206
"694",2021-04-05,0.372,14220
"695",2021-04-19,0.118,14234
"696",2021-05-03,0.022,14248
"697",2021-05-17,0.17,14262
"698",2021-06-01,0.164,14277
"699",2021-06-14,0.078,14290
"700",2021-06-28,0.335,14304
"701",2021-07-12,0.016,14318
"702",2021-07-26,0.094,14332
"703",2021-08-09,0.042,14346
"704",2021-08-23,0.038,14360
"705",2021-09-20,0.232,14388
"706",2021-10-18,0.022,14416
"707",2021-11-01,0.359,14430
"708",2022-01-10,0.236,14500
"709",2022-01-24,0.315,14514
"710",2022-02-07,0.323,14528
"711",2022-02-21,0.319,14542
"712",2022-03-07,0.347,14556
"713",2022-03-21,0.33,14570
"714",2022-04-04,0.38,14584
"715",2022-04-18,0.263,14598
"716",2022-05-02,0.281,14612
"717",2022-05-16,0.124,14626
"718",2022-05-19,0.076,14629
"719",2022-05-23,0.198,14633
"720",2022-05-31,0.135,14641
"721",2022-06-13,0.027,14654
"722",2022-06-15,0.139,14656
"723",2022-06-16,0.235,14657
"724",2022-06-27,0.129,14668
"725",2022-07-11,0.005,14682
"726",2022-07-25,0.107,14696
"727",2022-08-08,0.057,14710
"728",2022-08-22,0.084,14724
"729",2022-09-06,0.082,14739
"730",2022-09-19,0.319,14752
"731",2022-10-03,0.042,14766
"732",2022-10-17,NA,14780
"733",2022-10-31,0.164,14794
"734",2022-11-14,0.73,14808
"735",2022-11-28,0.478,14822
"736",2022-12-12,0.481,14836
"737",2022-12-27,0.57,14851
"738",2023-01-09,0.478,14864
"739",2023-01-23,0.49,14878
"740",2023-02-06,0.524,14892
"741",2023-02-20,0.509,14906
"742",2023-03-06,0.437,14920
"743",2023-03-20,0.5,14934
"744",2023-04-03,0.361,14948
"745",2023-04-17,0.453,14962
"746",2023-05-01,0.567,14976
