"Date","CULV10A_PHOSPHATE_Ld_mg","L8.441_FLOW_cfd"
"2007-02-26",-122279.845801075,-1247.7535285824
"2007-03-12",-255667.14458208,-2324.246768928
"2007-03-26",-3868035.93860544,-41591.78428608
"2007-04-23",11919716.0612813,58717.81310976
"2007-05-07",4630878.19392307,25444.385680896
"2007-07-09",-142468987.208648,-1228180.92421248
"2007-07-17",-53335346.908032,-489315.109248
"2007-07-23",-193196284.584388,-902786.37656256
"2007-07-31",-46181560.0108262,-699720.60622464
"2007-08-06",-126439024.229683,-1330937.09715456
"2007-08-14",-117846650.911288,-1636759.04043456
"2007-08-20",-105909808.821183,-1450819.29892032
"2007-08-28",-86510911.3150464,-1017775.42723584
"2007-09-04",-30070860.0388358,-589624.70664384
"2007-09-10",-25566714.458208,-511334.28916416
"2007-09-18",-45791331.211201,-1103405.57135424
"2007-09-24",-158484270.734335,-1617186.43606464
"2007-10-02",-204191195.08919,-2617835.8344768
"2007-10-08",-178025069.622154,-2312013.8911968
"2007-10-22",-146261179.30532,-2060016.60993408
"2007-11-13",-71329910.0506272,-2037997.43001792
"2007-11-26",-7877973.2588928,-85630.1441184
"2007-12-05",-2570616.92643437,-19327.946815296
"2007-12-19",-16022623.2523258,-271569.88563264
"2008-01-02",-8416219.8790656,-39145.20873984
"2008-01-16",-2260635.80472576,-26912.33100864
"2008-02-06",-1675414.93406515,-15658.083495936
"2008-02-20",-64599380.722921,-1575594.65177856
"2008-03-05",-62167484.6299584,-1480178.2054752
"2008-03-19",-51806237.191632,-1480178.2054752
"2008-04-02",-60929517.403561,-1384761.75917184
"2008-04-16",-63855621.756864,-1277112.43513728
"2008-05-28",-1698902.05930906,-15168.768386688
"2008-06-25",-69326164.6782566,-900339.80101632
"2008-07-16",-86846092.1648813,-1127871.32681664
"2008-07-30",-102403866.063421,-1600060.40724096
"2008-08-13",-81537023.2295405,-1294238.46396096
"2008-08-28",-221366155.423795,-2544438.5680896
"2008-09-10",-24250456.8143309,-288695.91445632
"2008-09-24",98467326.0095213,589624.70664384
"2008-10-08",-21784308.663721,-518674.01580288
"2008-10-22",63811583.3970317,462402.77823936
"2008-11-05",163981725.986736,428150.720592
"2008-11-19",422107678.992787,868534.3189152
"2008-12-03",289610933.710614,800030.20362048
"2008-12-17",128396284.666675,782904.1747968
"2009-01-07",158244506.330803,807369.9302592
"2009-01-21",424529788.783565,587178.1310976
"2009-02-04",286347201.93193,650789.09529984
"2009-02-18",88272445.7083392,538246.6201728
"2009-03-11",51282670.0247366,374326.05857472
"2009-03-25",2363391.97766784,14679.45327744
"2009-04-08",35622139.9532544,127221.92840448
"2009-04-22",-33452027.4437395,-276463.03672512
"2009-05-06",691891.564476672,6850.411529472
"2009-05-20",-4929849.7256736,-31805.48210112
"2009-06-03",-33567016.4944128,-239764.40353152
"2009-06-17",-238572921.240501,-1411674.09018048
"2009-07-08",-29491021.634377,-601857.58437504
"2009-07-22",33586589.0987827,234871.25243904
"2009-08-12",15584686.2295488,171260.2882368
"2009-08-26",71635731.9939072,587178.1310976
"2009-09-09",50436154.8857376,325394.54764992
"2009-09-23",79721664.1742304,599411.0088288
"2009-10-14",47121045.0205824,523567.16689536
"2009-10-28",107893981.589184,719293.21059456
"2009-11-04",159683092.751992,719293.21059456
"2009-11-18",128347353.15575,746205.5416032
"2009-12-09",57161791.0623514,433043.87168448
"2009-12-23",62886777.840553,264230.15899392
"2010-01-13",40906743.1331328,185939.74151424
"2010-01-27",39928112.9146368,249550.70571648
"2010-02-10",59099478.8949734,161473.98605184
"2010-02-24",57726950.0135328,477082.2315168
"2010-03-03",245244732.755098,685041.1529472
"2010-03-17",8396647.27469568,58717.81310976
"2010-04-07",118323733.142805,839175.41236032
"2010-04-21",162902786.170844,993309.67177344
"2010-05-12",164507739.729178,1003095.9739584
"2010-05-26",182685796.037741,961504.18967232
"2010-06-16",90126949.9723891,797583.62807424
"2010-06-30",58982043.2687539,719293.21059456
"2010-07-14",55664486.8280525,704613.75731712
"2010-07-28",72323219.7224006,702167.18177088
"2010-08-04",46379732.6300717,521120.59134912
"2010-08-18",57800347.27992,550479.497904
"2010-09-15",50076508.2804403,420810.99395328
"2010-09-29",-38533564.85328,-305821.94328
"2010-10-13",68406252.2728704,570052.10227392
"2010-10-27",43734984.4645862,401238.38958336
"2010-11-03",3466797.54902208,31805.48210112
"2010-11-17",72516499.1905536,557819.22454272
"2010-12-01",102080918.091318,557819.22454272
"2010-12-13",338195030.907848,724186.36168704
"2011-01-05",23440640.3085254,349860.30311232
"2011-01-20",28003503.702263,288695.91445632
"2011-02-03",28429207.8473088,342520.5764736
"2011-02-17",44557033.8481229,384112.36075968
"2011-03-02",48089888.9368934,286249.33891008
"2011-03-16",31088635.4660717,320501.39655744
"2011-04-06",24074303.3750016,100309.59739584
"2011-04-20",27616944.7659571,203065.77033792
"2011-05-04",24544045.8798797,215298.64806912
"2011-05-18",19474741.3480704,97863.0218496
"2011-06-08",8088378.75586944,70950.69084096
"2011-06-22",3713901.67919232,56271.23756352
"2011-07-06",-17174960.3346048,-132115.07949696
"2011-07-20",-44209620.1205568,-318054.8210112
"2011-08-10",-24661481.5060992,-195726.0436992
"2011-08-24",-114543773.923864,-707060.33286336
"2011-09-07",-49249565.7458112,-403684.9651296
"2011-09-21",-15325349.2216474,-212852.07252288
"2011-10-05",-10549633.7553869,-107649.32403456
"2011-10-19",-43732537.88904,-349860.30311232
"2011-11-02",-54480344.2636723,-716846.63504832
"2011-11-16",-3660077.01717504,-53824.66201728
"2011-12-07",43456074.8523149,406131.54067584
"2011-12-21",60508706.4096077,560265.80008896
"2012-01-04",187478637.532825,653235.67084608
"2012-01-18",64883183.4862848,623876.7642912
"2012-02-08",-8103058.20914688,-88076.71966464
"2012-02-22",72244929.304921,472189.08042432
"2012-03-07",61448191.4193638,393898.66294464
"2012-03-21",23276719.7469274,163920.56159808
"2012-04-04",9659080.25655552,68504.11529472
"2012-04-18",18349316.5968,146794.5327744
"2012-05-02",-11354557.1100998,-95416.44630336
"2012-05-16",-197269832.868877,-1289345.31286848
"2012-06-06",-130375564.283583,-1401887.78799552
"2012-06-20",-73030280.055264,-973737.06740352
"2012-07-11",-47023181.9987328,-758438.4193344
"2012-07-25",-45190696.914599,-961504.18967232
"2012-08-08",-63011553.1934112,-1235520.6508512
"2012-08-22",-74772241.8441869,-1267326.13295232
"2012-09-05",-245073472.466861,-2334033.07111296
"2012-09-20",-19883319.4642925,-154134.25941312
"2012-10-03",50534017.9075872,330287.6987424
"2012-10-17",48814075.2985805,567605.52672768
"2012-11-14",69118205.7568262,535800.04462656
"2012-11-28",80458083.4136486,638556.21756864
"2012-12-05",124188174.727142,1034901.45605952
"2012-12-19",112875209.401329,714400.05950208
"2013-01-09",116518160.38968,932145.28311744
"2013-01-23",262781786.270546,959057.61412608
"2013-02-06",136225326.414643,939485.00975616
"2013-02-21",118844853.734154,900339.80101632
"2013-03-06",299911016.760284,973737.06740352
"2013-03-20",78300203.781865,616537.03765248
"2013-04-03",78525288.732119,665468.54857728
"2013-04-17",100077172.718947,741312.39051072
"2013-05-08",102951898.985779,643449.36866112
"2013-05-22",-29902046.3261453,-237317.82798528
"2013-06-05",-24999108.9314803,-190832.89260672
"2013-06-19",-24622336.2973594,-166367.13714432
"2013-07-10",-4949422.33004352,-41591.78428608
"2013-07-24",-6077293.65686016,-44038.35983232
"2013-08-07",128048870.939109,1049580.90933696
"2013-08-21",119931133.276685,1262432.98185984
"2013-09-04",137113433.337928,1171909.68664896
"2013-09-18",39106063.5311002,352306.87865856
"2013-10-07",106230310.217741,817156.23244416
"2013-10-21",156093966.425658,1122978.17572416
"2013-11-04",217243675.628381,1010435.70059712
"2013-11-18",128200558.622976,978630.218496
"2013-12-02",229366457.46,917465.82984
"2013-12-16",164571350.69338,814709.65689792
"2014-01-06",132995846.693606,738865.81496448
"2014-01-21",131948712.359816,680148.00185472
"2014-02-03",53942097.6434995,508887.71361792
"2014-02-17",156189382.871962,587178.1310976
"2014-03-03",105325077.265632,702167.18177088
"2014-03-17",130390243.736861,457509.62714688
"2014-04-07",108835913.174486,530906.89353408
"2014-04-21",186546492.249708,528460.31798784
"2014-05-05",-174685494.001536,-856301.441184
"2014-05-19",-131601298.63225,-797583.62807424
"2014-06-09",-170942233.415789,-1005542.54950464
"2014-06-23",-221857917.108589,-1225734.34866624
"2014-07-07",-212869198.551704,-1274665.85959104
"2014-07-21",29601117.5339578,266676.73454016
"2014-08-04",65602476.6968794,533353.46908032
"2014-08-18",111739998.347873,846515.13899904
"2014-09-08",86068081.141177,677701.42630848
"2014-09-22",458732.91492,3669.86331936
"2014-10-06",21896851.138848,122328.777312
"2014-10-20",89158106.0560781,650789.09529984
"2014-11-03",47957773.8573965,242210.97907776
"2014-11-17",68572619.4100147,479528.80706304
"2014-12-01",70706033.286336,415917.8428608
"2014-12-15",101332265.974168,572498.67782016
"2014-12-30",93654911.9100672,851408.29009152
"2015-01-05",99022698.6585177,839175.41236032
"2015-01-06",131388446.559727,858748.01673024
"2015-01-12",138060258.074323,807369.9302592
"2015-01-20",181320606.882939,944378.16084864
"2015-01-27",653974536.661044,1044687.75824448
"2015-02-03",366986331.936,917465.82984
"2015-02-10",219457826.497728,733972.663872
"2015-02-16",182857056.325978,905232.9521088
"2015-02-17",167015479.664074,902786.37656256
"2015-02-24",129825084.785679,983523.36958848
"2015-03-02",80384686.1472614,543139.77126528
"2015-03-03",98548063.0025472,648342.5197536
"2015-03-10",111089209.252573,760884.99488064
"2015-03-16",111079422.950388,787797.32588928
"2015-03-17",134451559.143619,927252.13202496
"2015-03-24",193504553.103214,826942.53462912
"2015-03-31",154422955.327576,738865.81496448
"2015-04-06",90498829.4554176,660575.3974848
"2015-04-07",92363120.0216525,645895.94420736
"2015-04-20",138784444.43601,552926.07345024
"2015-05-04",75736192.6094054,533353.46908032
"2015-05-18",76602280.3527744,494208.26034048
"2015-06-01",24289602.0230707,178600.01487552
"2015-06-15",-5979430.63501056,-63610.96420224
"2015-07-06",-78329562.6884198,-675254.85076224
"2015-07-20",-38675466.2349619,-371879.48302848
"2015-08-03",-52094933.1060883,-486868.53370176
"2015-08-17",-3068005.73498496,-26912.33100864
"2015-08-31",-16903390.4489722,-114989.05067328
"2015-09-14",45555236.6709888,464849.3537856
"2015-09-28",44258551.6314816,491761.68479424
"2015-10-12",124246892.540252,900339.80101632
"2015-10-26",72751370.4429926,577391.82891264
"2015-11-09",56281023.865705,521120.59134912
"2015-11-23",169444929.18149,582284.98000512
"2015-12-07",71855923.7930688,435490.44723072
"2015-12-21",60060983.0846458,359646.60529728
"2016-01-04",137336071.712636,540693.19571904
"2016-01-20",200834493.439749,606750.73546752
"2016-02-01",1213501.47093504,7829.041747968
"2016-02-15",17725439.8325088,110095.8995808
"2016-02-29",5362893.59735808,39145.20873984
"2016-03-14",77023091.3467277,484421.95815552
"2016-03-28",85424631.7725158,496654.83588672
"2016-04-11",108305006.280952,499101.41143296
"2016-04-25",88703043.0044774,503994.56252544
"2016-05-09",101060696.088536,687487.72849344
"2016-05-23",195190243.654573,540693.19571904
"2016-06-06",50869198.7574221,552926.07345024
"2016-06-20",116217231.597493,572498.67782016
"2016-07-06",141808411.811163,971290.49185728
"2016-07-18",132692471.325873,890553.49883136
"2016-08-01",103612474.383264,856301.441184
"2016-08-15",33557230.1922278,310715.09437248
"2016-08-29",712442.799065088,6361.096420224
"2016-09-12",64802446.4932589,594517.85773632
"2016-09-26",34765838.5120704,354753.4542048
"2016-10-08",-5890130.6275728,-55047.9497904
"2016-10-10",-1047721.51192182,-9884.1652068096
"2016-10-17",25029446.4682537,180067.960203264
"2016-10-24",96223816.2336192,418364.41840704
"2016-11-07",93520350.255024,672808.275216
"2016-11-21",139092712.954836,596964.43328256
"2016-12-05",43238329.6286995,315608.24546496
"2016-12-19",117694963.227421,878320.62110016
"2017-01-04",233806992.076426,844068.5634528
"2017-01-17",94462281.8403264,660575.3974848
"2017-01-30",33385480.5888818,125509.325522112
"2017-02-13",171749603.346048,550479.497904
"2017-02-27",96297213.5000064,469742.50487808
"2017-03-14",157292543.785761,235115.909993664
"2017-03-27",70020992.1333888,440383.5983232
"2017-04-10",-5438737.43929152,-27890.961227136
"2017-04-24",-76161896.7544512,-269123.3100864
"2017-05-08",-12166330.8763423,-63366.306647616
"2017-05-22",-59647511.8173312,-259337.00790144
"2017-06-05",-355604862.494892,-993309.67177344
"2017-06-19",-130639794.442577,-853854.86563776
"2017-07-05",-129022608.006513,-1252646.67967488
"2017-07-17",-45697138.0526707,-692380.87958592
"2017-08-01",-73426625.2937549,-601857.58437504
"2017-08-14",17756266.6843914,92480.555647872
"2017-08-28",-29011492.8273139,-376772.63412096
"2017-09-13",-378191647.937779,-3205013.9655744
"2017-09-25",-4093120.88885952,-58473.155555136
"2017-10-09",-42423619.9718016,-623876.7642912
"2017-10-23",14642754.6442464,65078.909529984
"2018-04-09",127417654.448179,606750.73546752
"2018-05-07",60626142.0358272,288695.91445632
"2018-06-04",-180689390.392009,-1825145.35749504
"2018-06-18",-10598565.2663117,-111563.844908544
"2018-07-02",-252095.14428457,-2250.8495025408
"2018-07-16",459173.298518323,4991.0141143296
"2018-07-30",-370876.387054522,-3987.9181403712
"2018-08-27",-1588757.22821733,-10055.4254950464
"2018-09-10",-5843180.84284045,-24245.5636632384
"2018-09-24",676062.220692499,3694.3290748224
"2018-10-08",-59598.5803064064,-513.7808647104
"2018-10-22",66742580.9014272,379219.2096672
"2018-11-05",59407747.4137997,347413.72756608
"2018-11-19",86755568.8696704,481975.38260928
"2018-12-03",79631140.8790195,503994.56252544
"2018-12-17",126830476.317082,391452.0873984
"2019-01-02",43275028.2618931,322947.97210368
"2019-01-14",58545084.8761955,196460.016363072
"2019-01-28",-300253537.336758,-1191482.29101888
"2019-02-11",18731716.3546773,132849.052160832
"2019-02-25",15386513.6103034,80981.650580544
"2019-03-11",42335543.252137,251997.28126272
"2019-03-25",-11297307.2423178,-76333.157042688
"2019-04-08",-37148803.0941082,-254443.85680896
"2019-04-22",-848472.399436032,-4991.0141143296
"2019-05-06",-4713425.65285321,-23805.1800649152
"2019-05-20",-1493781.16551229,-9394.8500975616
"2019-06-03",690130.030083379,4208.1099395328
"2019-06-17",-20065834.000042,-114010.420454784
"2019-07-01",-14207753.5121249,-116456.996001024
"2019-07-15",-11536093.0156308,-103000.830496704
"2019-07-29",-7855220.10631277,-80981.650580544
"2019-08-12",-27922766.7092371,-247104.13017024
"2019-08-26",-37674816.8365498,-433043.87168448
"2019-09-09",198392.811044602,1247.7535285824
"2019-09-23",50330952.1372493,362093.18084352
"2019-10-07",54634478.5230854,398791.81403712
"2019-10-21",8521422.62755392,52601.37424416
"2019-11-04",43414483.0680288,222638.37470784
"2019-11-18",-3513771.79950989,-40857.811622208
"2019-12-02",161016476.424693,472189.08042432
"2019-12-16",-8384903.71207373,-66546.854857728
"2020-01-13",-12564633.3752701,-84896.171454528
"2020-01-27",18620886.4824326,72173.97861408
"2020-02-10",59187555.6146381,308268.51882624
"2020-02-24",67380892.4614412,316342.218128832
"2020-03-09",47677885.6149066,231446.046674304
"2020-03-23",46514636.8056913,294396.435479059
"2020-04-06",59084799.441696,256890.4323552
"2020-04-20",16937642.5066195,52601.37424416
"2020-05-04",8925107.59268352,46484.93537856
"2020-05-18",-8971592.52806208,-47218.908042432
"2020-06-01",-1664650.0016617,-10275.617294208
"2020-06-15",-29076571.7368439,-159761.383169472
"2020-06-29",49643464.4087558,251997.28126272
"2020-07-13",-31047043.6817856,-220191.7991616
"2020-09-08",-95790772.3619347,-1030008.30496704
"2020-09-21",-58874393.9447194,-626323.33983744
"2020-10-05",-7549642.82058739,-102022.200278208
"2021-01-06",-1021371.89328881,-9370.3843420992
"2021-03-22",438622063.929907,1056920.63597568
"2021-04-05",177092924.339036,763331.57042688
"2021-04-19",14079063.6383927,34007.400092736
"2021-05-03",44702605.0931242,229244.128682688
"2021-05-17",34054863.6583331,162941.931379584
"2021-06-01",26832817.3033872,130891.79172384
"2021-06-14",66351128.8140288,221170.429380096
"2021-06-28",8617573.04652115,48686.853370176
"2021-07-12",15691112.2658102,123552.06508512
"2021-07-26",-8169115.74889536,-64834.25197536
"2021-08-09",-34660635.7635821,-279521.25615792
"2021-08-23",18006796.0203264,112542.47512704
"2021-09-20",-49063626.004297,-663021.97303104
"2021-10-18",-15168768.386688,-303375.36773376
"2021-11-01",-5036275.76193504,-43793.702277696
"2022-01-10",67236789.1617677,369432.90748224
"2022-01-24",33821949.666331,100064.939841216
"2022-02-07",4528293.28126923,23462.6594884416
"2022-02-21",81485645.1430694,447723.32496192
"2022-03-07",121350147.093504,606750.73546752
"2022-03-21",79856225.8292736,391452.0873984
"2022-04-04",680759.64574128,3890.0551185216
"2022-04-18",6408804.64337568,37921.92096672
"2022-05-02",-2431284.449076,-15291.097164
"2022-05-16",87655908.6706867,413471.26731456
"2022-05-19",84786075.5549472,354753.4542048
"2022-05-23",25325726.7669034,125998.64063136
"2022-05-31",22301759.3917507,125998.64063136
"2022-06-13",-8895748.68612864,-88076.71966464
"2022-06-15",20416183.6182636,167345.767362816
"2022-06-16",40759948.6003584,291142.49000256
"2022-06-27",20751609.1256531,141167.409018048
"2022-07-11",51622744.025664,244657.554624
"2022-07-25",17202361.9807227,126487.955740608
"2022-08-08",42134924.0573453,266676.73454016
"2022-08-22",67554843.9827789,433043.87168448
"2022-09-06",48782269.8164794,310715.09437248
"2022-09-19",-44782118.798377,-430597.29613824
"2022-10-03",-177127176.396684,-1671011.09808192
"2022-10-17",-40221701.9801856,-670361.69966976
"2022-10-31",-1479982.4794315,-10422.4118269824
"2022-11-14",-33175.5644070144,-293.5890655488
"2022-11-28",-5548833.33887232,-33028.76987424
"2022-12-12",28530985.3900324,126243.298185984
"2022-12-27",-727513.704429926,-4110.2469176832
"2023-01-09",1942238.46313809,14826.2478102144
"2023-01-23",63708827.2240896,303375.36773376
"2023-02-06",17106456.2193101,46484.93537856
"2023-02-20",191121588.521176,680148.00185472
"2023-03-06",225906999.637617,1135211.05345536
"2023-03-20",524310925.861417,885660.34773888
"2023-04-03",143550373.600086,621430.18874496
"2023-04-17",26518187.6881407,69238.087958592
