"Date","CULV10A_AMMONIA_N_Ld_mg","L8.441_FLOW_cfd"
"2007-11-13",-108013863.79095,-2037997.43001792
"2007-11-26",-16355357.5266144,-85630.1441184
"2007-12-05",-2300025.67102022,-19327.946815296
"2007-12-19",-50240428.8420384,-271569.88563264
"2008-01-02",-5167167.55365888,-39145.20873984
"2008-01-16",-3875375.66524416,-26912.33100864
"2008-02-06",-1816337.68552858,-15658.083495936
"2008-02-20",-85082111.1960422,-1575594.65177856
"2008-03-05",-59207128.219008,-1480178.2054752
"2008-03-19",-45885524.3697312,-1480178.2054752
"2008-04-02",-66468564.4402483,-1384761.75917184
"2008-04-16",-132819693.254277,-1277112.43513728
"2008-05-28",-2381496.63671002,-15168.768386688
"2008-06-25",-86432620.8975667,-900339.80101632
"2008-07-16",-206400452.807445,-1127871.32681664
"2008-07-30",-256009665.158554,-1600060.40724096
"2008-08-13",-82831261.6935014,-1294238.46396096
"2008-08-28",-1081386391.43808,-2544438.5680896
"2008-09-10",-176393203.732812,-288695.91445632
"2008-10-08",-36307181.1062016,-518674.01580288
"2008-10-22",2774416.66943616,462402.77823936
"2008-11-05",4709657.926512,428150.720592
"2008-11-19",9553877.5080672,868534.3189152
"2008-12-03",9600362.44344576,800030.20362048
"2008-12-17",7829041.747968,782904.1747968
"2009-01-07",15340028.6749248,807369.9302592
"2009-01-21",4697425.0487808,587178.1310976
"2009-02-04",4555523.66709888,650789.09529984
"2009-02-18",22068111.4270848,538246.6201728
"2009-03-11",5240564.82004608,374326.05857472
"2009-03-25",381665.78521344,14679.45327744
"2009-04-08",1781106.99766272,127221.92840448
"2009-04-22",-9123280.21192896,-276463.03672512
"2009-05-06",445276.74941568,6850.411529472
"2009-05-20",-2194578.26497728,-31805.48210112
"2009-06-03",-95426232.605545,-239764.40353152
"2009-06-17",-141167409.018048,-1411674.09018048
"2009-07-08",-97199999.876569,-601857.58437504
"2009-07-22",14092275.1463424,234871.25243904
"2009-08-12",6507890.9529984,171260.2882368
"2009-08-26",52258853.6676864,587178.1310976
"2009-09-09",10738020.0724474,325394.54764992
"2009-09-23",12587631.1854048,599411.0088288
"2009-10-14",25654791.1778726,523567.16689536
"2009-10-28",31648901.2661606,719293.21059456
"2009-11-04",20859503.1072422,719293.21059456
"2009-11-18",8208260.9576352,746205.5416032
"2009-12-09",10826096.792112,433043.87168448
"2009-12-23",5020373.02088448,264230.15899392
"2010-01-13",4462553.79634176,185939.74151424
"2010-01-27",3992811.29146368,249550.70571648
"2010-02-10",3068005.73498496,161473.98605184
"2010-02-24",8587480.1673024,477082.2315168
"2010-03-03",19181152.2825216,685041.1529472
"2010-03-17",24602763.6929894,58717.81310976
"2010-04-07",29371139.4326112,839175.41236032
"2010-04-21",18872883.7636954,993309.67177344
"2010-05-12",23071207.4010432,1003095.9739584
"2010-05-26",16345571.2244294,961504.18967232
"2010-06-16",24725092.4703014,797583.62807424
"2010-06-30",15105157.4224858,719293.21059456
"2010-07-14",35935301.6231731,704613.75731712
"2010-07-28",9128173.36302144,702167.18177088
"2010-08-04",19281461.8799174,521120.59134912
"2010-08-18",11560069.455984,550479.497904
"2010-09-15",28615147.588823,420810.99395328
"2010-09-29",-89300007.43776,-305821.94328
"2010-10-13",24512240.3977786,570052.10227392
"2010-10-27",23271826.5958349,401238.38958336
"2010-11-03",3307770.13851648,31805.48210112
"2010-11-17",13945480.613568,557819.22454272
"2010-12-01",7809469.14359808,557819.22454272
"2010-12-13",34760945.3609779,724186.36168704
"2011-01-05",5597764.84979712,349860.30311232
"2011-01-20",3753046.88793216,288695.91445632
"2011-02-03",3425205.764736,342520.5764736
"2011-02-17",8450471.93671296,384112.36075968
"2011-03-02",9159978.84512256,286249.33891008
"2011-03-16",4487019.55180416,320501.39655744
"2011-04-06",2206811.14270848,100309.59739584
"2011-04-20",9747156.97622016,203065.77033792
"2011-05-04",3660077.01717504,215298.64806912
"2011-05-18",2740164.6117888,97863.0218496
"2011-06-08",2838027.6336384,70950.69084096
"2011-06-22",2926104.35330304,56271.23756352
"2011-07-06",-77023091.3467277,-132115.07949696
"2011-07-20",-33713811.0271872,-318054.8210112
"2011-08-10",-54607566.1920768,-195726.0436992
"2011-08-24",-286359434.809661,-707060.33286336
"2011-09-07",-104554405.968566,-403684.9651296
"2011-09-21",-55767243.0009946,-212852.07252288
"2011-10-05",-27773525.6009165,-107649.32403456
"2011-10-19",-228108917.629233,-349860.30311232
"2011-11-02",-189964358.287805,-716846.63504832
"2011-11-16",-3983024.98927872,-53824.66201728
"2011-12-07",4061315.4067584,406131.54067584
"2011-12-21",6162923.80097856,560265.80008896
"2012-01-04",8492063.72099904,653235.67084608
"2012-01-18",4991014.1143296,623876.7642912
"2012-02-08",-1233074.07530496,-88076.71966464
"2012-02-22",14165672.4127296,472189.08042432
"2012-03-07",5514581.28122496,393898.66294464
"2012-03-21",3278411.2319616,163920.56159808
"2012-04-04",1233074.07530496,68504.11529472
"2012-04-18",2935890.655488,146794.5327744
"2012-05-02",-8396647.27469568,-95416.44630336
"2012-05-16",-121198459.409637,-1289345.31286848
"2012-06-06",-92524594.0077043,-1401887.78799552
"2012-06-20",-53555538.7071936,-973737.06740352
"2012-07-11",-59916635.1274176,-758438.4193344
"2012-07-25",-81727856.1221472,-961504.18967232
"2012-08-08",-100077172.718947,-1235520.6508512
"2012-08-22",-126732613.295232,-1267326.13295232
"2012-09-05",-658197326.053855,-2334033.07111296
"2012-09-20",-113751083.446883,-154134.25941312
"2012-10-03",4954315.481136,330287.6987424
"2012-10-17",4540844.21382144,567605.52672768
"2012-11-14",5893800.49089216,535800.04462656
"2012-11-28",7024118.39325504,638556.21756864
"2012-12-05",16558423.2969523,1034901.45605952
"2012-12-19",22860801.9040666,714400.05950208
"2013-01-09",10253598.1142918,932145.28311744
"2013-01-23",16303979.4401434,959057.61412608
"2013-02-06",7515880.07804928,939485.00975616
"2013-02-21",15305776.6172774,900339.80101632
"2013-03-06",13632318.9436493,973737.06740352
"2013-03-20",9864592.60243968,616537.03765248
"2013-04-03",8651091.13150464,665468.54857728
"2013-04-17",17050184.9817466,741312.39051072
"2013-05-08",9651740.5299168,643449.36866112
"2013-05-22",-92079317.2582886,-237317.82798528
"2013-06-05",-75760658.3648679,-190832.89260672
"2013-06-19",-33439794.5660083,-166367.13714432
"2013-07-10",-29654942.195975,-41591.78428608
"2013-07-24",-12110548.953888,-44038.35983232
"2013-08-07",34636170.0081197,1049580.90933696
"2013-08-21",42922721.3832346,1262432.98185984
"2013-09-04",29297742.166224,1171909.68664896
"2013-09-18",10216899.4810982,352306.87865856
"2013-10-07",12257343.4866624,817156.23244416
"2013-10-21",20213607.1630349,1122978.17572416
"2013-11-04",9093921.30537408,1010435.70059712
"2013-11-18",16636713.714432,978630.218496
"2013-12-02",12844521.61776,917465.82984
"2013-12-16",11405935.1965709,814709.65689792
"2014-01-06",8127523.96460928,738865.81496448
"2014-01-21",5441184.01483776,680148.00185472
"2014-02-03",6615540.27703296,508887.71361792
"2014-02-17",9982028.2286592,587178.1310976
"2014-03-03",16852012.3625011,702167.18177088
"2014-03-17",5032605.89861568,457509.62714688
"2014-04-07",16989020.5930906,530906.89353408
"2014-04-21",8983825.40579328,528460.31798784
"2014-05-05",-29114249.000256,-856301.441184
"2014-05-19",-21534757.9580045,-797583.62807424
"2014-06-09",-26144106.2871206,-1005542.54950464
"2014-06-23",-300304915.423229,-1225734.34866624
"2014-07-07",-191199878.938656,-1274665.85959104
"2014-07-21",5866888.15988352,266676.73454016
"2014-08-04",10667069.3816064,533353.46908032
"2014-08-18",5925605.97299328,846515.13899904
"2014-09-08",14231729.9524781,677701.42630848
"2014-09-22",143124.66945504,3669.86331936
"2014-10-06",5015479.869792,122328.777312
"2014-10-20",8460258.23889792,650789.09529984
"2014-11-03",3148742.72801088,242210.97907776
"2014-11-17",8631518.52713472,479528.80706304
"2014-12-01",4159178.428608,415917.8428608
"2014-12-15",11449973.5564032,572498.67782016
"2015-01-05",15944332.8348461,839175.41236032
"2015-01-20",12276916.0910323,944378.16084864
"2015-02-16",8147096.5689792,905232.9521088
"2015-03-02",10319655.6540403,543139.77126528
"2015-03-16",24421717.1025677,787797.32588928
"2015-04-06",13211507.949696,660575.3974848
"2015-04-20",12717299.6893555,552926.07345024
"2015-05-04",12800483.2579277,533353.46908032
"2015-05-18",20756746.9343002,494208.26034048
"2015-06-01",14466601.2049171,178600.01487552
"2015-06-15",-3371381.10271872,-63610.96420224
"2015-07-06",-71577014.1807974,-675254.85076224
"2015-07-20",-38675466.2349619,-371879.48302848
"2015-08-03",-39436351.2298426,-486868.53370176
"2015-08-17",-1695476.85354432,-26912.33100864
"2015-08-31",-154775262.206235,-114989.05067328
"2015-09-14",7902439.0143552,464849.3537856
"2015-09-28",37373888.0443622,491761.68479424
"2015-10-12",30611553.2345549,900339.80101632
"2015-10-26",13280012.0649907,577391.82891264
"2015-11-09",15112497.1491245,521120.59134912
"2015-11-23",4658279.84004096,582284.98000512
"2015-12-07",11322751.6279987,435490.44723072
"2015-12-21",7192932.1059456,359646.60529728
"2016-01-04",9191784.32722368,540693.19571904
"2016-01-20",7887759.56107776,606750.73546752
"2016-02-01",7030479.48967526,7829.041747968
"2016-02-15",3412972.8870048,110095.8995808
"2016-02-29",1370082.3058944,39145.20873984
"2016-03-14",9688439.1631104,484421.95815552
"2016-03-28",7946477.37418752,496654.83588672
"2016-04-11",16470346.5772877,499101.41143296
"2016-04-25",8063913.00040704,503994.56252544
"2016-05-09",15124730.0268557,687487.72849344
"2016-05-23",7569704.74006656,540693.19571904
"2016-06-06",37598972.9946163,552926.07345024
"2016-06-20",13167469.5898637,572498.67782016
"2016-07-06",21368390.8208602,971290.49185728
"2016-07-18",89055349.883136,890553.49883136
"2016-08-01",42815072.0592,856301.441184
"2016-08-15",17710760.3792314,310715.09437248
"2016-08-29",2315439.09696154,6361.096420224
"2016-09-12",44588839.330224,594517.85773632
"2016-09-26",31927810.878432,354753.4542048
"2016-10-10",-6721232.34063053,-9884.1652068096
"2016-10-24",41418077.422297,418364.41840704
"2016-11-07",49787812.365984,672808.275216
"2016-11-21",37608759.2968013,596964.43328256
"2016-12-05",6312164.9092992,315608.24546496
"2016-12-19",43916031.055008,878320.62110016
"2017-01-04",49800045.2437152,844068.5634528
"2017-01-17",7266329.3723328,660575.3974848
"2017-01-30",8283615.48445939,125509.325522112
"2017-02-13",5504794.97904,550479.497904
"2017-02-27",36170172.8756122,469742.50487808
"2017-03-14",3761854.55989862,235115.909993664
"2017-03-27",9248055.5647872,440383.5983232
"2017-04-10",-1059856.52663117,-27890.961227136
"2017-04-24",-27719700.9388992,-269123.3100864
"2017-05-08",-2788117.4924951,-63366.306647616
"2017-05-22",-24118341.7348339,-259337.00790144
"2017-06-05",-97344347.8337971,-993309.67177344
"2017-06-19",-281772105.660461,-853854.86563776
"2017-07-05",-220465815.622779,-1252646.67967488
"2017-07-17",-90009514.3461696,-692380.87958592
"2017-08-01",-131204953.393759,-601857.58437504
"2017-08-14",1664650.0016617,92480.555647872
"2017-08-28",-75731299.458313,-376772.63412096
"2017-09-13",-301271312.763994,-3205013.9655744
"2017-09-25",-13039513.6887953,-58473.155555136
"2017-10-09",-243311938.073568,-623876.7642912
"2017-10-23",5011076.03380877,65078.909529984
"2018-04-09",20629525.0058957,606750.73546752
"2018-05-07",21363497.6697677,288695.91445632
"2018-06-04",-142361337.884613,-1825145.35749504
"2018-06-18",-13833916.7686595,-111563.844908544
"2018-07-02",-60772.9365686016,-2250.8495025408
"2018-07-16",1432421.0508126,4991.0141143296
"2018-07-30",-327009.287510438,-3987.9181403712
"2018-08-27",-2513856.3737616,-10055.4254950464
"2018-09-10",-43690505.7211556,-24245.5636632384
"2018-09-24",3517001.27923092,3694.3290748224
"2018-10-08",-58571.0185769856,-513.7808647104
"2018-10-22",8342822.6126784,379219.2096672
"2018-11-05",55933610.1381389,347413.72756608
"2018-11-19",22170867.6000269,481975.38260928
"2018-12-03",14615842.3132378,503994.56252544
"2018-12-17",28184550.2926848,391452.0873984
"2019-01-02",41660288.4013747,322947.97210368
"2019-01-14",18074321.5054026,196460.016363072
"2019-01-28",-275232409.225361,-1191482.29101888
"2019-02-11",8768037.44261491,132849.052160832
"2019-02-25",7288348.55224896,80981.650580544
"2019-03-11",10079891.2505088,251997.28126272
"2019-03-25",-13129303.0113423,-76333.157042688
"2019-04-08",-25189941.824087,-254443.85680896
"2019-04-22",-948292.681722624,-4991.0141143296
"2019-05-06",-6094126.09661829,-23805.1800649152
"2019-05-20",-4462553.79634176,-9394.8500975616
"2019-06-03",239862.26655337,4208.1099395328
"2019-06-17",-29300678.0568795,-114010.420454784
"2019-07-01",-32258587.8922837,-116456.996001024
"2019-07-15",-20291163.6078507,-103000.830496704
"2019-07-29",-13523935.6469508,-80981.650580544
"2019-08-12",-43490326.9099622,-247104.13017024
"2019-08-26",-67987887.8544634,-433043.87168448
"2019-09-09",948292.681722624,1247.7535285824
"2019-09-23",43813274.8820659,362093.18084352
"2019-10-07",11564962.6070765,398791.81403712
"2019-10-21",4260711.31377696,52601.37424416
"2019-11-04",9796088.48714496,222638.37470784
"2019-11-18",-1430023.40677728,-40857.811622208
"2019-12-02",23609454.021216,472189.08042432
"2019-12-16",-22226649.5224812,-66546.854857728
"2020-01-13",-1358338.74327245,-84896.171454528
"2020-01-27",4691308.6099152,72173.97861408
"2020-02-10",2466148.15060992,308268.51882624
"2020-02-24",3796106.61754598,316342.218128832
"2020-03-09",2545906.51341734,231446.046674304
"2020-03-23",2649567.91931153,294396.435479059
"2020-04-06",3339575.6206176,256890.4323552
"2020-04-20",736419.23941824,52601.37424416
"2020-05-04",604304.15992128,46484.93537856
"2020-05-18",-2077631.95386701,-47218.908042432
"2020-06-01",-524056.482004608,-10275.617294208
"2020-06-15",-33709651.8487586,-159761.383169472
"2020-06-29",4031956.50020352,251997.28126272
"2020-07-13",-40735482.844896,-220191.7991616
"2020-09-08",-427453446.561322,-1030008.30496704
"2020-09-21",-10647496.7772365,-626323.33983744
"2020-10-05",-46828189.9276975,-102022.200278208
"2021-01-06",-674667.672631142,-9370.3843420992
"2021-03-22",14796888.9036595,1056920.63597568
"2021-04-05",8396647.27469568,763331.57042688
"2021-04-19",306066.600834624,34007.400092736
"2021-05-03",3897150.1876057,229244.128682688
"2021-05-17",65502656.4145928,162941.931379584
"2021-06-01",7460832.12825888,130891.79172384
"2021-06-14",4202238.15822182,221170.429380096
"2021-06-28",1022423.9207737,48686.853370176
"2021-07-12",3212353.69221312,123552.06508512
"2021-07-26",-9011961.02457504,-64834.25197536
"2021-08-09",-64569410.1724795,-279521.25615792
"2021-08-23",3038646.82843008,112542.47512704
"2021-09-20",-188298240.340815,-663021.97303104
"2021-10-18",-27000407.7283046,-303375.36773376
"2021-11-01",-22641344.0775688,-43793.702277696
"2022-01-10",8127523.96460928,369432.90748224
"2022-01-24",800519.518729728,100064.939841216
"2022-02-07",539641.168234157,23462.6594884416
"2022-02-21",6268126.54946688,447723.32496192
"2022-03-07",8494510.29654528,606750.73546752
"2022-03-21",3914520.873984,391452.0873984
"2022-04-04",93361.3228445184,3890.0551185216
"2022-04-18",1441032.99673536,37921.92096672
"2022-05-02",-626934.983724,-15291.097164
"2022-05-16",2894298.87120192,413471.26731456
"2022-05-19",9933096.7177344,354753.4542048
"2022-05-23",8567907.56293248,125998.64063136
"2022-05-31",4535951.06272896,125998.64063136
"2022-06-13",-4139605.82423808,-88076.71966464
"2022-06-15",3012223.81253069,167345.767362816
"2022-06-16",7860847.23006912,291142.49000256
"2022-06-27",6493700.81483021,141167.409018048
"2022-07-25",12142843.7510984,126487.955740608
"2022-08-08",10933746.1161466,266676.73454016
"2022-08-22",56295703.3189824,433043.87168448
"2022-09-06",35110805.6640902,310715.09437248
"2022-09-19",-99898572.7040717,-430597.29613824
"2022-10-03",-397700641.343497,-1671011.09808192
"2022-10-17",-123346552.739236,-670361.69966976
"2022-10-31",-3470663.13838514,-10422.4118269824
"2022-11-14",-212852.07252288,-293.5890655488
"2022-11-28",-7959933.53969184,-33028.76987424
"2022-12-12",1388676.28004582,126243.298185984
"2022-12-27",-106866.419859763,-4110.2469176832
"2023-01-09",2031195.94999937,14826.2478102144
"2023-01-23",3640504.41280512,303375.36773376
"2023-02-06",883213.77219264,46484.93537856
"2023-02-20",4761036.01298304,680148.00185472
"2023-03-06",5676055.2672768,1135211.05345536
"2023-03-20",9742263.82512768,885660.34773888
"2023-04-03",21128626.4173286,621430.18874496
"2023-04-17",761618.967544512,69238.087958592
