"Date","S191_NITRATE+NITRITE-N_mg/L","S191_PHOSPHATE, TOTAL AS P_mg/L","S191_AMMONIA-N_mg/L","S191_S_FLOW_cfs"
"1979-10-01",0.149,0.839,0.26,3711455.10364608
"1979-10-29",0.873666666666667,0.950666666666667,1.03333333333333,207958.9214304
"1979-11-13",1.599,0.878,0.26,207958.9214304
"1979-11-27",1.377,0.649,0.03,198172.61924544
"1979-12-11",1.494,0.976,0.72,254443.85680896
"1980-01-22",1.41,1.139,0.03,14679.45327744
"1980-02-05",1.041,1.151,0.46,364539.75638976
"1980-02-19",0.763,0.926,0.18,1666117.94698944
"1980-03-04",0.555,0.834,0.21,802476.77916672
"1980-05-13",0.533,1.095,0.23,114989.05067328
"1980-05-28",0.589,1.147,0.05,195726.0436992
"1980-08-20",0.118,0.63,0.11,73397.2663872
"1980-09-03",0.303,1.121,1.54,1507090.53648384
"1980-09-17",0.128,0.983,1.3,415917.8428608
"1980-10-01",0.142,0.873,1.64,386558.93630592
"1980-10-14",0.822,0.805,0.28,261783.58344768
"1980-10-29",0.623,0.852,0.44,34252.05764736
"1980-11-12",0.871,0.887,0.12,39145.20873984
"1980-12-02",1.09,1.022,0.4,335180.84983488
"1981-01-14",1.538,0.155,0.14,232424.6768928
"1981-02-24",1.117,1.22,1.46,156580.83495936
"1981-07-28",0.011,1.043,0.03,188386.31706048
"1981-08-12",0.242,1.674,0.68,1071600.08925312
"1981-09-10",0.054,1.442,0.64,2285101.56018816
"1981-09-23",0.164,0.983,0.4,1702816.58018304
"1981-12-02",1.16,1.228,0.04,83183.56857216
"1982-04-05",0.643,1.47,0.44,362093.18084352
"1982-04-19",0.72,1.116,0.19,863641.16782272
"1982-05-04",0.715,0.98,0.24,415917.8428608
"1982-05-18",0.682,0.828,0.04,88076.71966464
"1982-06-01",0.27,0.58,0.24,1012882.27614336
"1982-07-01",0.036,1.017,0.41,645895.94420736
"1982-07-12",0.154,0.845,0.55,1428800.11900416
"1982-07-27",0.315,0.657,0.31,344967.15201984
"1982-08-25",0.29,0.784,0.48,577391.82891264
"1982-09-09",0.793,0.766,0.49,692380.87958592
"1982-09-21",0.311,0.668,0.6,305821.94328
"1982-10-05",0.175,0.736,0.29,1164569.96001024
"1982-10-20",0.27,0.654,0.39,215298.64806912
"1982-11-01",0.833,0.681,0.11,215298.64806912
"1982-11-22",0.748,0.892,0.41,217745.22361536
"1983-02-01",0.762,0.885,0.33,251997.28126272
"1983-02-17",0.167,0.777,0.13,3283304.38305408
"1983-03-02",0.151,0.854,0.13,1377422.03253312
"1983-03-15",0.399,0.818,0.21,305821.94328
"1983-03-29",0.196,0.641,0.15,587178.1310976
"1983-04-15",0.447,0.775,0.02,110095.8995808
"1983-06-21",0.033,0.764,0.31,92969.87075712
"1983-08-02",0.11,0.614,0.45,234871.25243904
"1983-08-30",0.087,0.648,0.53,242210.97907776
"1983-09-12",0.007,0.645,0.65,85630.1441184
"1983-10-10",0.186,0.791,0.52,127221.92840448
"1983-10-25",0.101,0.787,0.15,2676553.64758656
"1983-11-08",0.339,0.653,0.35,437937.02277696
"1983-12-20",1.014,0.788,0.1,462402.77823936
"1984-01-04",0.926,0.826,0.3,344967.15201984
"1984-01-31",1.099,1.021,0.13,159027.4105056
"1984-02-14",1.009,1.011,0.09,222638.37470784
"1984-02-29",0.235,0.9,0.13,3503496.18221568
"1984-07-31",0.2,1.317,0.02,778011.02370432
"1984-08-13",0.148,1.014,0.19,149241.10832064
"1984-09-25",0.302,1.04,0.31,181046.59042176
"1984-10-09",0.324,1.449,0.19,146794.5327744
"1984-12-04",0.443,0.624,0.27,168813.71269056
"1985-01-15",0.907,0.72,0.06,242210.97907776
"1985-02-26",1.14,0.648,0.05,36698.6331936
"1985-07-30",0.218,0.733,0.1,176153.43932928
"1985-08-27",0.112,1.186,0.5,305821.94328
"1985-09-09",0.207,0.881,0.18,1142550.78009408
"1985-09-24",0.34,1.029,0.17,1837378.23522624
"1985-10-08",0.256,0.688,0.43,648342.5197536
"1985-11-05",1.09,0.729,0.11,173706.86378304
"1985-12-03",0.784,0.697,0.03,19572.60436992
"1986-01-14",1.095,0.797,0.27,44038.35983232
"1986-02-12",0.459,0.485,0.01,237317.82798528
"1986-03-11",0.077,0.53,0.06,185939.74151424
"1986-06-17",0.09,0.801,0.1,746205.5416032
"1986-06-23",0.139,0.885,0.36,2047783.73220288
"1986-07-01",0.07,1.314,0.42,1081386.39143808
"1986-07-15",0.053,1.155,0.54,782904.1747968
"1986-07-29",0.177,0.776,0.25,1419013.8168192
"1986-08-14",0.264,0.753,0.31,785350.75034304
"1986-08-26",0.179,0.827,0.07,689934.30403968
"1986-09-09",0.222,0.672,0.21,1206161.74429632
"1986-09-23",0.262,0.924,0.43,518674.01580288
"1986-10-07",0.53,0.778,0.24,36698.6331936
"1986-10-21",0.47,0.776,0.35,68504.11529472
"1986-11-04",0.386,0.446,0.3,447723.32496192
"1986-11-18",0.352,0.7,0.2,259337.00790144
"1986-12-03",0.561,0.759,0.15,68504.11529472
"1986-12-18",0.807,0.777,0.23,239764.40353152
"1987-01-07",0.345,0.752,0.2,905232.9521088
"1987-01-22",0.395,0.909,0.4,229978.10134656
"1987-02-03",0.813,0.746,0.11,48931.5109248
"1987-02-18",1.05,0.639,0.06,22019.17991616
"1987-03-03",1.022,0.604,0.05,193279.46815296
"1987-03-17",0.462,0.676,0.08,19572.60436992
"1987-03-31",0.229,0.51,0.13,1360296.00370944
"1987-04-14",0.315,0.781,0.11,78290.41747968
"1987-04-28",0.279,0.69,0.01,63610.96420224
"1987-05-11",0.112,0.667,0.03,53824.66201728
"1987-05-26",0.127,0.663,0.01,44038.35983232
"1987-06-10",0.176,0.642,0.03,271569.88563264
"1987-08-04",0.017,0.649,0.03,132115.07949696
"1987-10-13",0.171,0.649,0.02,1245306.95303616
"1987-11-10",0.155,1.075,0.31,763331.57042688
"1987-11-12",0.22,1.075,0.14,415917.8428608
"1987-11-13",0.1725,1.0705,0.06,393898.66294464
"1987-11-15",0.205,1.03,0.09,237317.82798528
"1987-11-17",0.207,1.085,0.2,237317.82798528
"1987-11-19",0.292,0.66,0.05,2740164.6117888
"1987-11-20",0.404,0.682,0.04,4186090.75961664
"1987-11-21",0.358,0.833,0.07,3432545.49137472
"1987-11-22",0.336,0.884,0.22,1871630.2928736
"1987-11-23",0.215,0.924,0.12,1330937.09715456
"1987-11-24",0.227,0.8845,0.125,1154783.65782528
"1987-11-26",0.183,0.882,0.08,902786.37656256
"1987-11-28",0.182,0.899,0.12,594517.85773632
"1987-11-30",0.192,0.9585,0.105,423257.56949952
"1987-12-02",0.216,1.062,0.13,210405.49697664
"1987-12-03",0.232,1.073,0.14,237317.82798528
"1987-12-06",0.269,1.04,0.13,4893.15109248
"1987-12-08",0.239,0.914,0.14,181046.59042176
"1987-12-09",0.333,0.8985,0.11,195726.0436992
"1987-12-10",0.359,0.884,0.09,203065.77033792
"1987-12-13",0.364,0.799,0.08,56271.23756352
"1987-12-14",0.377,0.823,0.15,119882.20176576
"1987-12-17",0.352,0.739,0.06,198172.61924544
"1987-12-18",0.345,0.751,0.06,176153.43932928
"1987-12-20",0.329,0.766,0.08,195726.0436992
"1987-12-22",0.378,0.665,0.09,178600.01487552
"1988-01-01",0.219,0.509,0.03,201353.167455552
"1988-01-08",0.325,0.515,0.07,190832.89260672
"1988-01-19",0.365666666666667,0.780333333333333,0.0166666666666667,188386.31706048
"1988-01-21",0.4,0.427,0.03,207958.9214304
"1988-01-23",0.442,0.456,0.03,205512.34588416
"1988-01-25",0.439,0.458,0.06,188386.31706048
"1988-01-27",0.404,0.429,0.1,212852.07252288
"1988-02-02",0.3915,0.463,0.04,168813.71269056
"1988-02-11",0.431,0.545,0.09,381665.78521344
"1988-02-13",0.477,0.579,0.13,205512.34588416
"1988-02-16",0.393,0.581,0.15,215298.64806912
"1988-02-17",0.3955,0.5305,0.11,217745.22361536
"1988-02-19",0.293,0.46,0.12,379219.2096672
"1988-02-21",0.483,0.489,0.12,78290.41747968
"1988-02-23",0.504,0.484,0.09,183493.165968
"1988-03-03",0.367,0.459,0.01,173706.86378304
"1988-03-07",0.651,0.4625,0.005,132115.07949696
"1988-03-11",0.404,0.45,0.07,205512.34588416
"1988-03-14",0.351,0.435,0.02,185939.74151424
"1988-03-16",0.165,0.439,0.2,193279.46815296
"1988-03-18",0.369,0.435,0.01,229978.10134656
"1988-03-19",0.362,0.432,0.05,797583.62807424
"1988-03-20",0.259,0.379,0.03,1110745.29799296
"1988-03-21",0.2295,0.439,0.03,709506.9084096
"1988-03-28",0.405,0.7255,0.05,207958.9214304
"1988-04-04",0.399,0.709,0.11,163920.56159808
"1988-04-30",0.1995,0.747,0.06,139454.80613568
"1988-05-05",0.254,0.6885,0.045,163920.56159808
"1988-05-17",0.192,0.62,0.03,134561.6550432
"1988-05-18",0.209,0.577,0.01,97863.0218496
"1988-06-07",0.156,0.585,0.193333333333333,127221.92840448
"1988-06-10",0.075,0.539,0.12,88076.71966464
"1988-06-21",0.023,0.56,0.005,119882.20176576
"1988-06-30",0.049,0.496,0.085,132115.07949696
"1988-07-01",0.031,0.473,0.11,132115.07949696
"1988-07-02",0.025,0.529,0.14,117435.62621952
"1988-07-06",0.0366666666666667,0.622666666666667,0.103333333333333,100309.59739584
"1988-07-29",0.059,0.536,0.05,327841.12319616
"1988-07-30",0.0415,0.5595,0.025,665468.54857728
"1988-08-01",0.037,0.651,0.08,582284.98000512
"1988-08-02",0.0505,0.5945,0.015,1612293.28497216
"1988-08-03",0.0255,0.6655,0.025,1507090.53648384
"1988-08-08",0.032,0.786,0.04,530906.89353408
"1988-08-09",0.033,0.884,0.11,545586.34681152
"1988-08-10",0.04,0.932,0.1,1103405.57135424
"1988-08-11",0.128,0.998,0.05,2463701.57506368
"1988-08-16",0.03,0.984,0.28,1233074.07530496
"1988-08-17",0.104,0.7355,0.205,985969.94513472
"1988-08-19",0.208,0.795,0.19,966397.3407648
"1988-08-21",0.071,0.939,0.24,1164569.96001024
"1988-08-22",0.068,0.971,0.23,1350509.70152448
"1988-08-23",0.334,1.0515,0.25,1130317.90236288
"1988-08-25",0.465,0.763,0.03,1282005.58622976
"1988-08-27",0.124,0.854,0.32,873427.47000768
"1988-08-28",0.082,0.976,0.27,636109.6420224
"1988-08-30",0.126333333333333,3.84466666666667,0.3,413471.26731456
"1988-09-03",0.271,1.095,0.08,428150.720592
"1988-09-05",0.16,1.111,0.2,234871.25243904
"1988-09-07",0.155333333333333,0.921333333333333,0.126666666666667,185939.74151424
"1988-09-09",0.331,0.933,0.01,433043.87168448
"1988-09-10",0.364,0.88,0.02,420810.99395328
"1988-09-12",0.2775,0.9335,0.145,210405.49697664
"1988-09-13",0.443,0.858,0.14,181046.59042176
"1988-10-03",0.147,0.55,0.01,134561.6550432
"1988-11-04",0.377,0.477,0.27,225084.95025408
"1988-11-06",0.208,0.394,0.24,210405.49697664
"1988-11-08",0.348,0.439,0.03,210405.49697664
"1988-11-30",0.349,0.783,0.2,193279.46815296
"1989-03-07",0.056,0.315,0.01,205512.34588416
"1989-03-18",0.012,5.935,1.01,83183.56857216
"1989-07-24",0.008,0.756,0.01,41591.78428608
"1989-07-25",0.04,0.735,0.13,168813.71269056
"1989-07-28",0.021,0.769,0.03,215298.64806912
"1989-07-31",0.04,0.807,0.03,237317.82798528
"1989-08-02",0.03,0.7605,0.005,217745.22361536
"1989-08-14",0.049,0.719,0.13,442830.17386944
"1989-08-15",0.044,0.66,0.05,215298.64806912
"1989-08-21",0.108,0.622,0.24,800030.20362048
"1989-08-28",0.078,1.027,0.35,486868.53370176
"1989-08-30",0.06,0.884,0.32,217745.22361536
"1989-09-06",0.076,0.69,0.2,2576244.05019072
"1989-09-12",0.065,0.9575,0.215,389005.51185216
"1989-09-13",0.069,0.996,0.33,222638.37470784
"1989-09-15",0.085,0.958,0.26,215298.64806912
"1989-09-17",0.102,0.913,0.25,379219.2096672
"1989-09-19",0.107,0.94,0.38,457509.62714688
"1989-09-20",0.125,0.893,0.35,445276.74941568
"1989-09-22",0.142,0.889,0.31,207958.9214304
"1989-09-24",0.169,0.872,0.28,251997.28126272
"1989-09-25",0.25,1.094,0.37,1546235.74522368
"1989-09-27",0.146,0.966,0.31,773117.87261184
"1989-09-28",0.161,0.882,0.32,787797.32588928
"1989-09-29",0.131,0.876,0.28,491761.68479424
"1989-10-01",0.139,0.82,0.3,256890.4323552
"1989-10-03",0.147,0.7735,0.19,229978.10134656
"1989-10-05",0.118,0.832,0.31,203065.77033792
"1989-10-07",0.154,0.807,0.25,332734.27428864
"1989-10-09",0.1185,0.6405,0.27,4660726.4155872
"1989-10-11",0.084,0.948,0.27,4775715.46626048
"1989-10-15",0.065,1.02,0.15,1629419.31379584
"1989-10-17",0.087,1.107,0.225,826942.53462912
"1989-10-20",0.161,1.079,0.24,985969.94513472
"1989-10-22",0.212,1.069,0.25,462402.77823936
"1989-10-24",0.229,1.072,0.36,232424.6768928
"1989-10-25",0.23,1.094,0.3,413471.26731456
"1989-10-27",0.26,0.934,0.25,415917.8428608
"1989-10-29",0.307,0.883,0.28,29358.90655488
"1989-10-31",0.347,0.869,0.38,205512.34588416
"1989-11-01",0.273,0.842,0.16,181046.59042176
"1989-11-03",0.427,0.816,0.22,220191.7991616
"1989-12-23",0.509,0.781,0.09,474635.65597056
"1989-12-24",0.621,0.682,0.1,222638.37470784
"1989-12-25",0.568,0.63,0.07,283802.76336384
"1989-12-26",0.696,0.567,0.09,447723.32496192
"1989-12-29",0.606,0.533,0.06,222638.37470784
"1989-12-31",0.527,0.515,0.1,207958.9214304
"1990-02-26",0.592,0.472,0.06,4893.15109248
"1990-07-16",0.031,0.471,0.08,1071600.08925312
"1990-07-18",0.078,0.638,0.1,393898.66294464
"1990-07-23",0.161,0.6385,0.13,217745.22361536
"1990-07-30",0.133,0.802,0.16,166367.13714432
"1990-08-01",0.013,0.754,0.02,183493.165968
"1990-08-06",0.144,0.7005,0.08,359646.60529728
"1990-08-13",0.091,0.4055,0.13,1037348.03160576
"1990-08-15",0.063,0.537,0.18,1671011.09808192
"1990-08-20",0.051,0.6485,0.21,430597.29613824
"1990-08-27",0.029,0.668,0.29,567605.52672768
"1990-08-29",0.113,0.5025,0.26,7148893.74611328
"1990-09-04",0.105,0.83,0.24,2395197.45976896
"1990-09-24",0.207,0.613,0.21,841621.98790656
"1990-09-25",0.218,0.625,0.29,570052.10227392
"1990-10-01",0.157,0.735,0.15,5563512.79214976
"1990-10-09",0.145,0.781333333333333,0.215,890553.49883136
"1990-10-16",0.149,1.089,0.21,981076.79404224
"1990-10-22",0.183,0.9525,0.27,256890.4323552
"1990-10-24",0.213,1.056,0.31,247104.13017024
"1990-10-31",0.359,0.9625,0.23,232424.6768928
"1990-11-19",0.635,0.625,0.02,225084.95025408
"1991-01-15",0.604,0.396,0.05,273771.803624256
"1991-01-17",0.577,0.5225,0.08,1057899.26619418
"1991-01-28",0.4,0.526,0.09,275484.406506624
"1991-02-26",0.355,0.432,0.06,151687.68386688
"1991-03-04",0.374,0.3595,0.03,524301.139559232
"1991-03-12",0.281,0.433,0.07,288940.572010944
"1991-03-18",0.31,0.39,0.03,293833.723103424
"1991-03-25",0.52,0.4135,0.105,273771.803624256
"1991-04-08",0.402,0.477,0.07,288695.91445632
"1991-04-09",0.326,0.421,0.08,346435.097347584
"1991-04-22",0.216,0.43,0.08,279154.269825984
"1991-04-23",0.195,0.457,0.09,269367.967641024
"1991-04-29",0.136,0.437,0.09,264964.131657792
"1991-05-20",0.231,0.388,0.01,272793.17340576
"1991-05-28",0.17,0.509,0.03,549990.182794752
"1991-06-04",0.061,0.63,0.01,141412.066572672
"1991-06-10",0.118,0.607,0.08,156825.492513984
"1991-06-24",0.079,0.615,0.15,431086.611247488
"1991-07-01",0.1,0.56,0.09,558308.539651968
"1991-07-02",0.106,0.517,0.15,857280.071402496
"1991-07-08",0.146,0.601,0.09,268878.652531776
"1991-07-16",0.17,0.493,0.14,569562.787164672
"1991-07-23",0.186,0.5765,0.17,690668.276703552
"1991-07-29",0.184,0.603,0.17,544118.401483776
"1991-07-30",0.196,0.628,0.16,271080.570523392
"1991-08-12",0.116,0.623,0.04,1306715.99924678
"1991-08-13",0.104,0.647,0.07,569807.444719296
"1991-08-20",0.124,0.871,0.19,271325.228078016
"1991-08-27",0.119,0.463,0.09,1352466.96196147
"1991-08-28",0.123,0.507,0.09,1310385.86256614
"1991-09-03",0.146,0.574,0.08,818379.52021728
"1991-09-10",0.187,0.555333333333333,0.14,1493389.7134249
"1991-09-16",0.147,0.513,0.07,522833.194231488
"1991-09-24",0.194,0.587,0.23,846759.796553664
"1991-09-25",0.203,0.5155,0.19,944378.16084864
"1991-09-30",0.144,0.577,0.22,816422.259780288
"1991-10-07",0.109,0.512,0.08,1652661.78148512
"1991-10-08",0.108,0.6135,0.05,1330692.43959994
"1991-10-14",0.072,0.644,0.26,256890.4323552
"1991-10-21",0.207,0.557,0.21,252731.253926592
"1991-10-23",0.225,0.392,0.12,241477.006413888
"1992-06-29",0.183,0.858,0.12,3485391.5231735
"1992-07-13",0.001,1.1615,0.405,284536.736027712
"1992-07-21",0.081,0.862,0.37,1568744.24024909
"1992-07-27",0.0835,0.8665,0.315,595007.172845568
"1992-08-03",0.059,0.672,0.2,277441.666943616
"1992-08-10",0.155,0.469,0.19,1808019.32867136
"1992-08-11",0.158,0.441,0.21,2233968.13127174
"1992-08-17",0.13,0.588,0.15,346190.43979296
"1992-08-25",0.119,0.695,0.11,1096065.84471552
"1992-08-31",0.1255,0.893666666666667,0.13,917955.144949248
"1992-09-08",0.186,0.83,0.13,182269.87819488
"1992-09-09",0.191,0.803,0.11,769203.351737856
"1992-09-15",0.1535,0.609,0.07,1060101.18418579
"1992-09-21",0.196,0.638666666666667,0.015,490538.39702112
"1992-09-22",0.202,0.609,0.07,526503.057550848
"1992-09-28",0.189,0.625,0.11,466806.614222592
"1992-10-05",0.242,0.556,0.1,518674.01580288
"1992-10-06",0.253,0.6005,0.12,240498.376195392
"1992-10-14",0.228,0.44,0.09,227286.868245696
"1992-10-20",0.2365,0.416,0.1,228265.498464192
"1992-11-17",0.201,0.1875,0.025,234381.937329792
"1992-11-18",0.455,0.2935,0.05,238785.773313024
"1992-11-23",0.331666666666667,0.352428571428571,0.166666666666667,546564.977030016
"1992-11-30",0.346,0.423,0.04,213586.045186752
"1993-01-06",0.288,0.3445,0.05,445766.064524928
"1993-01-11",0.254,0.4855,0.08,815932.94467104
"1993-01-13",0.193,0.503,0.11,500080.041651456
"1993-01-21",0.323,0.47,0.06,251507.966153472
"1993-01-27",0.185,0.515,0.05,2796435.84935232
"1993-01-28",0.208,0.507,0.06,2219044.02043968
"1993-02-08",0.282,0.48,0.04,231690.704228928
"1993-02-18",0.282,0.395,0.03,467051.271777216
"1993-02-24",0.22,0.331,0.055,1109766.66777446
"1993-03-03",0.204,0.405,0.05,274995.091397376
"1993-03-08",0.127,0.1875,0.005,193279.46815296
"1993-03-17",0.132,0.386,0.03,739599.787628352
"1993-03-25",0.0905,0.746,0.03,4570937.09304019
"1993-03-30",0.107,0.7125,0.08,613845.804551616
"1993-04-05",0.15,0.736,0.12,604059.502366656
"1993-04-06",0.174,0.792,0.1,520386.618685248
"1993-04-13",0.258,0.736,0.07,178844.672430144
"1993-06-26",0.009,0.28,0.05,189854.262388224
"1993-07-13",0.018,0.3552,0.01,171871.93212336
"1993-07-15",0.01375,0.41,0.0325,118536.585215328
"1993-08-10",0.004,0.4934,0.0075,130451.408125517
"1993-08-17",0.0338,0.232166666666667,0.044,114842.256140506
"1993-08-24",0.0155,0.2065,0.02,131601.29863225
"1993-08-31",0.0178,0.281666666666667,0.078,122133.051268301
"1993-09-07",0.094,0.358,0.04,272597.447362061
"1993-09-08",0.07,0.405,0.08,581844.596406797
"1993-09-14",0.11,0.815,0.09,611032.24267344
"1993-09-21",0.152333333333333,0.479857142857143,0.05,114010.420454784
"1993-10-04",0.208,0.683,0.05,60136.8269265792
"1993-10-19",0.0888,0.339777777777778,0.032,426609.377997869
"1993-10-20",0.152,0.4385,0.04,258700.898259418
"1993-10-26",0.0564,0.2966,0.03,251434.568887085
"1993-11-01",0.159,0.4635,0.1,111490.447642157
"1993-11-02",0.0925,0.237,0.04,124359.435015379
"1993-11-09",0.1494,0.295888888888889,0.044,127711.243513728
"1993-11-29",0.1925,0.182,0.025,60430.415992128
"1993-12-15",0.342,0.3155,0.03,63513.1011803904
"1994-01-03",0.285,0.279,0.02,133852.14813479
"1994-01-04",0.251,0.286,0.02,113349.845057299
"1994-02-15",0.203,0.29,0.06,117802.612551456
"1994-02-16",0.512,0.342,0.09,247935.965855962
"1994-02-23",0.174,0.617,0.1,556718.265546912
"1994-03-01",0.082,3.074,0.125,305821.94328
"1994-03-02",0.221,0.558,0.1,377775.730094918
"1994-03-22",0.165,0.395,0.04,141509.929594522
"1994-03-28",0.195,0.4085,0.03,166000.150812384
"1994-04-19",0.034,0.583,0.017,195407.988878189
"1994-04-25",0.091,0.3385,0.055,331462.055004595
"1994-04-26",0.0165,0.267833333333333,0.0065,174905.685800698
"1994-05-03",0.012,0.367,0.16,219041.908654867
"1994-05-10",0.0775,0.346285714285714,0.0215,184618.59071927
"1994-06-03",0.10975,0.372,0.03475,156067.05409465
"1994-06-07",0.056,0.2685,0.005,509939.741102803
"1994-06-14",0.0185,0.2165,0.0045,336599.863651699
"1994-06-21",0.096,0.525,0.119,1646031.56175481
"1994-06-28",0.08,0.707,0.138,304060.408886707
"1994-07-05",0.056,0.3445,0.063,745398.171672941
"1994-07-07",0.56,0.378333333333333,0.0805,511089.631609536
"1994-07-12",0.091,0.515,0.094,306384.655655635
"1994-07-20",0.0603333333333333,0.41075,0.0906666666666667,136494.44972473
"1994-07-26",0.163,0.419,0.091,147381.710905498
"1994-08-02",0.138,0.565,0.018,177719.247678874
"1994-08-10",0.0665,0.2145,0.0395,792959.600291847
"1994-08-15",0.101,0.4435,0.083,2560463.63791747
"1994-08-24",0.022,0.5525,0.107,575189.910921024
"1994-08-29",0.0775,0.544666666666667,0.1,2993580.90686834
