"","date","INDUST_FLOW_cfs"
"75",2000-03-15,156580.83495936
"76",2000-03-16,384112.36075968
"77",2000-03-17,251997.28126272
"78",2000-03-18,29358.90655488
"79",2000-03-19,31805.48210112
"80",2000-03-20,20061.919479168
"81",2000-03-21,6605.753974848
"82",2000-03-22,9052.329521088
"83",2000-03-23,22753.152580032
"84",2000-03-24,200619.19479168
"85",2000-03-25,154134.25941312
"86",2000-03-26,151687.68386688
"87",2000-03-27,122328.777312
"88",2000-03-28,141901.38168192
"89",2000-03-29,188386.31706048
"90",2000-03-30,283802.76336384
"91",2000-03-31,154134.25941312
"92",2000-04-01,3669.86331936
"93",2000-04-02,92969.87075712
"94",2000-04-03,217745.22361536
"95",2000-04-04,469742.50487808
"96",2000-04-05,366986.331936
"97",2000-04-06,276463.03672512
"98",2000-04-07,548032.92235776
"99",2000-04-08,376772.63412096
"100",2000-04-09,274016.46117888
"101",2000-04-10,447723.32496192
"102",2000-04-11,638556.21756864
"103",2000-04-12,570052.10227392
"104",2000-04-13,-256890.4323552
"105",2000-04-14,-1316257.64387712
"106",2000-04-15,-1362742.57925568
"107",2000-04-16,-1122978.17572416
"108",2000-04-17,-868534.3189152
"109",2000-04-18,-305821.94328
"110",2000-04-19,-9541.644630336
"111",2000-04-20,244657.554624
"112",2000-04-21,303375.36773376
"113",2000-04-22,105202.74848832
"114",2000-04-23,102756.17294208
"115",2000-04-24,281356.1878176
"116",2000-04-25,403684.9651296
"117",2000-04-26,327841.12319616
"118",2000-04-27,455063.05160064
"119",2000-04-28,648342.5197536
"120",2000-04-29,709506.9084096
"121",2000-04-30,618983.61319872
"122",2000-05-01,719293.21059456
"123",2000-05-02,623876.7642912
"124",2000-05-03,643449.36866112
"125",2000-05-04,618983.61319872
"126",2000-05-05,577391.82891264
"127",2000-05-06,347413.72756608
"128",2000-05-07,364539.75638976
"129",2000-05-08,403684.9651296
"130",2000-05-09,322947.97210368
"131",2000-05-10,340074.00092736
"132",2000-05-11,374326.05857472
"133",2000-05-12,298482.21664128
"134",2000-05-13,562712.3756352
"135",2000-05-14,601857.58437504
"136",2000-05-15,724186.36168704
"137",2000-05-16,665468.54857728
"138",2000-05-17,641002.79311488
"139",2000-05-18,721739.7861408
"140",2000-05-19,648342.5197536
"141",2000-05-20,719293.21059456
"142",2000-05-21,614090.46210624
"143",2000-05-22,709506.9084096
"144",2000-05-23,763331.57042688
"145",2000-05-24,753545.26824192
"146",2000-05-25,915019.25429376
"147",2000-05-26,702167.18177088
"148",2000-05-27,484421.95815552
"149",2000-05-28,425704.14504576
"150",2000-05-29,506441.13807168
"151",2000-05-30,567605.52672768
"152",2000-05-31,572498.67782016
"153",2000-06-01,675254.85076224
"154",2000-06-02,787797.32588928
"155",2000-06-03,707060.33286336
"156",2000-06-04,631216.49092992
"157",2000-06-05,540693.19571904
"158",2000-06-06,283802.76336384
"159",2000-06-07,254443.85680896
"160",2000-06-08,117435.62621952
"161",2000-06-09,163920.56159808
"162",2000-06-10,305821.94328
"163",2000-06-11,207958.9214304
"164",2000-06-12,56271.23756352
"165",2000-06-13,-264230.15899392
"166",2000-06-14,-83183.56857216
"167",2000-06-15,300928.79218752
"168",2000-06-16,562712.3756352
"169",2000-06-17,516227.44025664
"170",2000-06-18,447723.32496192
"171",2000-06-19,587178.1310976
"172",2000-06-20,570052.10227392
"173",2000-06-21,577391.82891264
"174",2000-06-22,628769.91538368
"175",2000-06-23,616537.03765248
"176",2000-06-24,425704.14504576
"177",2000-06-25,13945.480613568
"178",2000-06-26,-579838.40445888
"179",2000-06-27,-797583.62807424
"180",2000-06-28,-804923.35471296
"181",2000-06-29,-682594.57740096
"182",2000-06-30,-247104.13017024
"183",2000-07-01,-149241.10832064
"184",2000-07-02,-188386.31706048
"185",2000-07-03,-139454.80613568
"186",2000-07-04,14434.795722816
"187",2000-07-05,-53824.66201728
"188",2000-07-06,-6605.753974848
"189",2000-07-07,39145.20873984
"190",2000-07-08,-34252.05764736
"191",2000-07-09,21285.207252288
"192",2000-07-10,48931.5109248
"193",2000-07-11,53824.66201728
"194",2000-07-12,-18104.659042176
"195",2000-07-13,-41591.78428608
"196",2000-07-14,-247104.13017024
"197",2000-07-15,4403.835983232
"198",2000-07-16,-34252.05764736
"199",2000-07-17,6116.4388656
"200",2000-07-18,9541.644630336
"201",2000-07-19,5871.781310976
"202",2000-07-20,-1076.4932403456
"203",2000-07-21,26912.33100864
"204",2000-07-22,61164.388656
"205",2000-07-23,78290.41747968
"206",2000-07-24,46484.93537856
"207",2000-07-25,78290.41747968
"208",2000-07-26,105202.74848832
"209",2000-07-27,-154134.25941312
"210",2000-07-28,-205512.34588416
"211",2000-07-29,10520.274848832
"212",2000-07-30,-119882.20176576
"213",2000-07-31,-274016.46117888
"214",2000-08-01,-281356.1878176
"215",2000-08-02,44038.35983232
"216",2000-08-03,26912.33100864
"217",2000-08-04,12966.850395072
"218",2000-08-05,-36698.6331936
"219",2000-08-06,29358.90655488
"220",2000-08-07,46484.93537856
"221",2000-08-08,88076.71966464
"222",2000-08-09,161473.98605184
"223",2000-08-10,144347.95722816
"224",2000-08-11,171260.2882368
"225",2000-08-12,122328.777312
"226",2000-08-13,14190.138168192
"227",2000-08-14,151687.68386688
"228",2000-08-15,217745.22361536
"229",2000-08-16,200619.19479168
"230",2000-08-17,653235.67084608
"231",2000-08-18,614090.46210624
"232",2000-08-19,628769.91538368
"233",2000-08-20,604304.15992128
"234",2000-08-21,565158.95118144
"235",2000-08-22,486868.53370176
"236",2000-08-23,112542.47512704
"237",2000-08-24,296035.64109504
"238",2000-08-25,592071.28219008
"239",2000-08-26,594517.85773632
"240",2000-08-27,526013.7424416
"241",2000-08-28,296035.64109504
"242",2000-08-29,413471.26731456
"243",2000-08-30,154134.25941312
"244",2000-08-31,161473.98605184
"245",2000-09-01,254443.85680896
"246",2000-09-02,479528.80706304
"247",2000-09-03,462402.77823936
"248",2000-09-04,533353.46908032
"249",2000-09-05,51378.08647104
"250",2000-09-06,-357200.02975104
"251",2000-09-07,-379219.2096672
"252",2000-09-08,-729079.51277952
"253",2000-09-09,-508887.71361792
"254",2000-09-10,-220191.7991616
"255",2000-09-11,-359646.60529728
"256",2000-09-12,203065.77033792
"257",2000-09-13,545586.34681152
"258",2000-09-14,325394.54764992
"259",2000-09-15,322947.97210368
"260",2000-09-16,161473.98605184
"261",2000-09-17,-878320.62110016
"262",2000-09-18,-1259986.4063136
"263",2000-09-19,-1118085.02463168
"264",2000-09-20,-682594.57740096
"265",2000-09-21,-237317.82798528
"266",2000-09-22,-178600.01487552
"267",2000-09-23,-51378.08647104
"268",2000-09-24,-119882.20176576
"269",2000-09-25,70950.69084096
"270",2000-09-26,-75843.84193344
"271",2000-09-27,310715.09437248
"272",2000-09-28,146794.5327744
"273",2000-09-29,-308268.51882624
"274",2000-09-30,-161473.98605184
"275",2000-10-01,-114989.05067328
"276",2000-10-02,-66057.53974848
"277",2000-10-03,-699720.60622464
"278",2000-10-04,-687487.72849344
"279",2000-10-05,-1132764.47790912
"280",2000-10-06,-486868.53370176
"281",2000-10-07,-159027.4105056
"282",2000-10-08,5871.781310976
"283",2000-10-09,264230.15899392
"284",2000-10-10,293.5890655488
"285",2000-10-11,53824.66201728
"286",2000-10-12,205512.34588416
"287",2000-10-13,139454.80613568
"288",2000-10-14,188386.31706048
"289",2000-10-15,332734.27428864
"290",2000-10-16,320501.39655744
"291",2000-10-17,114989.05067328
"292",2000-10-18,244657.554624
"293",2000-10-19,178600.01487552
"294",2000-10-20,303375.36773376
"295",2000-10-21,442830.17386944
"296",2000-10-22,259337.00790144
"297",2000-10-23,291142.49000256
"298",2000-10-24,440383.5983232
"299",2000-10-25,364539.75638976
"300",2000-10-26,342520.5764736
"301",2000-10-27,222638.37470784
"302",2000-10-28,75843.84193344
"303",2000-10-29,305821.94328
"304",2000-10-30,435490.44723072
"305",2000-10-31,535800.04462656
"306",2000-11-01,337627.42538112
"307",2000-11-02,269123.3100864
"308",2000-11-03,112542.47512704
"309",2000-11-04,234871.25243904
"310",2000-11-05,281356.1878176
"311",2000-11-06,288695.91445632
"312",2000-11-07,748652.11714944
"313",2000-11-08,631216.49092992
"314",2000-11-09,371879.48302848
"315",2000-11-10,281356.1878176
"316",2000-11-11,327841.12319616
"317",2000-11-12,408578.11622208
"318",2000-11-13,137008.23058944
"319",2000-11-14,332734.27428864
"320",2000-11-15,305821.94328
"321",2000-11-16,203065.77033792
"322",2000-11-17,601857.58437504
"323",2000-11-18,281356.1878176
"324",2000-11-19,7095.069084096
"325",2000-11-20,200619.19479168
"326",2000-11-21,237317.82798528
"327",2000-11-22,315608.24546496
"328",2000-11-23,232424.6768928
"329",2000-11-24,210405.49697664
"330",2000-11-25,41591.78428608
"331",2000-11-26,-34252.05764736
"332",2000-11-27,44038.35983232
"333",2000-11-28,129668.50395072
"334",2000-11-29,166367.13714432
"335",2000-11-30,146794.5327744
"336",2000-12-01,159027.4105056
"337",2000-12-02,29358.90655488
"338",2000-12-03,139454.80613568
"339",2000-12-04,239764.40353152
"340",2000-12-05,56271.23756352
"341",2000-12-06,313161.66991872
"342",2000-12-07,119882.20176576
"343",2000-12-08,457509.62714688
"344",2000-12-09,48931.5109248
"345",2000-12-10,-513.7808647104
"346",2000-12-11,423257.56949952
"347",2000-12-12,19083.289260672
"348",2000-12-13,225084.95025408
"349",2000-12-14,2935.890655488
"350",2000-12-15,249550.70571648
"351",2000-12-16,-97863.0218496
"352",2000-12-17,26912.33100864
"353",2000-12-18,215298.64806912
"354",2000-12-19,315608.24546496
"355",2000-12-20,689934.30403968
"356",2000-12-21,308268.51882624
"357",2000-12-22,318054.8210112
"358",2000-12-23,-22019.17991616
"359",2000-12-24,58717.81310976
"360",2000-12-25,85630.1441184
"361",2000-12-26,-26912.33100864
"362",2000-12-27,249550.70571648
"363",2000-12-28,-24465.7554624
"364",2000-12-29,318054.8210112
"365",2000-12-30,359646.60529728
"366",2000-12-31,521120.59134912
"367",2001-01-01,269123.3100864
"368",2001-01-02,88076.71966464
"369",2001-01-03,-29358.90655488
"370",2001-01-04,198172.61924544
"371",2001-01-05,173706.86378304
"372",2001-01-06,41591.78428608
"373",2001-01-07,100309.59739584
"374",2001-01-08,31805.48210112
"375",2001-01-09,122328.777312
"376",2001-01-10,114989.05067328
"377",2001-01-11,-78290.41747968
"378",2001-01-12,134561.6550432
"379",2001-01-13,24221.097907776
"380",2001-01-14,-36698.6331936
"381",2001-01-15,159027.4105056
"382",2001-01-16,-13700.823058944
"383",2001-01-17,132115.07949696
"384",2001-01-18,6116.4388656
"385",2001-01-19,66057.53974848
"386",2001-01-20,14924.110832064
"387",2001-01-21,119882.20176576
"388",2001-01-22,17126.02882368
"389",2001-01-23,-88076.71966464
"390",2001-01-24,-31805.48210112
"391",2001-01-25,-4648.493537856
"392",2001-01-26,11009.58995808
"393",2001-01-27,-29358.90655488
"394",2001-01-28,-3180.548210112
"395",2001-01-29,58717.81310976
"396",2001-01-30,-24221.097907776
"397",2001-01-31,46484.93537856
"398",2001-02-01,-23976.440353152
"399",2001-02-02,207958.9214304
"400",2001-02-03,-13456.16550432
"401",2001-02-04,-15413.425941312
"402",2001-02-05,51378.08647104
"403",2001-02-06,-1810.4659042176
"404",2001-02-07,122328.777312
"405",2001-02-08,-5137.808647104
"406",2001-02-09,168813.71269056
"407",2001-02-10,-14924.110832064
"408",2001-02-11,9541.644630336
"409",2001-02-12,237317.82798528
"410",2001-02-13,34252.05764736
"411",2001-02-14,119882.20176576
"412",2001-02-15,-56271.23756352
"413",2001-02-16,195726.0436992
"414",2001-02-17,5627.123756352
"415",2001-02-18,132115.07949696
"416",2001-02-19,10275.617294208
"417",2001-02-20,-2201.917991616
"418",2001-02-21,159027.4105056
"419",2001-02-22,29358.90655488
"420",2001-02-23,462402.77823936
"421",2001-02-24,83183.56857216
"422",2001-02-25,-39145.20873984
"423",2001-02-26,26912.33100864
"424",2001-02-27,-20061.919479168
"425",2001-02-28,210405.49697664
"426",2001-03-01,41591.78428608
"427",2001-03-02,330287.6987424
"428",2001-03-03,22508.495025408
"429",2001-03-04,-29358.90655488
"430",2001-03-05,73397.2663872
"431",2001-03-06,-11743.562621952
"432",2001-03-07,276463.03672512
"433",2001-03-08,15168.768386688
"434",2001-03-09,171260.2882368
"435",2001-03-10,56271.23756352
"436",2001-03-11,-36698.6331936
"437",2001-03-12,181046.59042176
"438",2001-03-13,-10520.274848832
"439",2001-03-14,286249.33891008
"440",2001-03-15,7339.72663872
"441",2001-03-16,229978.10134656
"442",2001-03-17,13211.507949696
"443",2001-03-18,-7095.069084096
"444",2001-03-19,68504.11529472
"445",2001-03-20,-489.315109248
"446",2001-03-21,-203065.77033792
"447",2001-03-22,20795.89214304
"448",2001-03-23,137008.23058944
"449",2001-03-24,14679.45327744
"450",2001-03-25,-21774.522361536
"451",2001-03-26,171260.2882368
"452",2001-03-27,3425.205764736
"453",2001-03-28,210405.49697664
"454",2001-03-29,-26912.33100864
"455",2001-03-30,17615.343932928
"456",2001-03-31,-36698.6331936
"457",2001-04-01,-14679.45327744
"458",2001-04-02,168813.71269056
"459",2001-04-03,3914.520873984
"460",2001-04-04,234871.25243904
"461",2001-04-05,20061.919479168
"462",2001-04-06,384112.36075968
"463",2001-04-07,-9541.644630336
"464",2001-04-08,-11743.562621952
"465",2001-04-09,274016.46117888
"466",2001-04-10,20061.919479168
"467",2001-04-11,296035.64109504
"468",2001-04-12,13456.16550432
"469",2001-04-13,310715.09437248
"470",2001-04-14,13211.507949696
"471",2001-04-15,-709.5069084096
"472",2001-04-16,205512.34588416
"473",2001-04-17,20061.919479168
"474",2001-04-18,349860.30311232
"475",2001-04-19,29358.90655488
"476",2001-04-20,256890.4323552
"477",2001-04-21,112542.47512704
"478",2001-04-22,21285.207252288
"479",2001-04-23,181046.59042176
"480",2001-04-24,149241.10832064
"481",2001-04-25,237317.82798528
"482",2001-04-26,357200.02975104
"483",2001-04-27,296035.64109504
"484",2001-04-28,68504.11529472
"485",2001-04-29,14924.110832064
"486",2001-04-30,261783.58344768
"487",2001-05-01,222638.37470784
"488",2001-05-02,85630.1441184
"489",2001-05-03,75843.84193344
"490",2001-05-04,68504.11529472
"491",2001-05-05,44038.35983232
"492",2001-05-06,29358.90655488
"493",2001-05-07,78290.41747968
"494",2001-05-08,46484.93537856
"495",2001-05-09,22263.837470784
"496",2001-05-10,41591.78428608
"497",2001-05-11,39145.20873984
"498",2001-05-12,13945.480613568
"499",2001-05-13,34252.05764736
"500",2001-05-14,41591.78428608
"501",2001-05-15,6116.4388656
"502",2001-05-16,29358.90655488
"503",2001-05-17,51378.08647104
"504",2001-05-18,29358.90655488
"505",2001-05-19,-9296.987075712
"506",2001-05-20,15902.74105056
"507",2001-05-21,29358.90655488
"508",2001-05-22,-34252.05764736
"509",2001-05-23,6361.096420224
"510",2001-05-24,22019.17991616
"511",2001-05-25,1786.0001487552
"512",2001-05-26,5382.466201728
"513",2001-05-27,14679.45327744
"514",2001-05-28,34252.05764736
"515",2001-05-29,7095.069084096
"516",2001-05-30,17615.343932928
"517",2001-05-31,3914.520873984
"518",2001-06-01,3180.548210112
"519",2001-06-02,3669.86331936
"520",2001-06-03,4893.15109248
"521",2001-06-04,1737.0686378304
"522",2001-06-05,-2691.233100864
"523",2001-06-06,-13456.16550432
"524",2001-06-07,-16392.056159808
"525",2001-06-08,-14434.795722816
"526",2001-06-09,-26912.33100864
"527",2001-06-10,1100.958995808
"528",2001-06-11,-19572.60436992
"529",2001-06-12,1859.3974151424
"530",2001-06-13,13456.16550432
"531",2001-06-14,16881.371269056
"532",2001-06-15,14679.45327744
"533",2001-06-16,-23731.782798528
"534",2001-06-17,-9296.987075712
"535",2001-06-18,5871.781310976
"536",2001-06-19,26912.33100864
"537",2001-06-20,26912.33100864
"538",2001-06-21,31805.48210112
"539",2001-06-22,21774.522361536
"540",2001-06-23,12966.850395072
"541",2001-06-24,18838.631706048
"542",2001-06-25,-141901.38168192
"543",2001-06-26,-484421.95815552
"544",2001-06-27,-670361.69966976
"545",2001-06-28,31805.48210112
"546",2001-06-29,20061.919479168
"547",2001-06-30,-4648.493537856
"548",2001-07-01,2935.890655488
"549",2001-07-02,15168.768386688
"550",2001-07-03,11254.247512704
"551",2001-07-04,7339.72663872
"552",2001-07-05,44038.35983232
"553",2001-07-06,20061.919479168
"554",2001-07-07,10520.274848832
"555",2001-07-08,-5871.781310976
"556",2001-07-09,-13456.16550432
"557",2001-07-10,13211.507949696
"558",2001-07-11,23731.782798528
"559",2001-07-12,29358.90655488
"560",2001-07-13,-212852.07252288
"561",2001-07-14,-467295.92933184
"562",2001-07-15,-807369.9302592
"563",2001-07-16,-516227.44025664
"564",2001-07-17,13945.480613568
"565",2001-07-18,11254.247512704
"566",2001-07-19,-20551.234588416
"567",2001-07-20,-954.1644630336
"568",2001-07-21,-10275.617294208
"569",2001-07-22,-6605.753974848
"570",2001-07-23,11498.905067328
"571",2001-07-24,11743.562621952
"572",2001-07-25,-22263.837470784
"573",2001-07-26,-14434.795722816
"574",2001-07-27,-31805.48210112
"575",2001-07-28,-17370.686378304
"576",2001-07-29,-36698.6331936
"577",2001-07-30,-16147.398605184
"578",2001-07-31,-26912.33100864
"579",2001-08-01,26912.33100864
"580",2001-08-02,-44038.35983232
"581",2001-08-03,-511334.28916416
"582",2001-08-04,-149241.10832064
"583",2001-08-05,-256890.4323552
"584",2001-08-06,-300928.79218752
"585",2001-08-07,-618983.61319872
"586",2001-08-08,-562712.3756352
"587",2001-08-09,4648.493537856
"588",2001-08-10,-8073.699302592
"589",2001-08-11,-100309.59739584
"590",2001-08-12,31805.48210112
"591",2001-08-13,2299.7810134656
"592",2001-08-14,-129668.50395072
"593",2001-08-15,24465.7554624
"594",2001-08-16,-13211.507949696
"595",2001-08-17,9786.30218496
"596",2001-08-18,13945.480613568
"597",2001-08-19,10764.932403456
"598",2001-08-20,340074.00092736
"599",2001-08-21,-6361.096420224
"600",2001-08-22,-349860.30311232
"601",2001-08-23,-24465.7554624
"602",2001-08-24,-18593.974151424
"603",2001-08-25,-159027.4105056
"604",2001-08-26,51378.08647104
"605",2001-08-27,195726.0436992
"606",2001-08-28,251997.28126272
"607",2001-08-29,296035.64109504
"608",2001-08-30,234871.25243904
"609",2001-08-31,396345.23849088
"610",2001-09-01,264230.15899392
"611",2001-09-02,36698.6331936
"612",2001-09-03,376772.63412096
"613",2001-09-04,14434.795722816
"614",2001-09-05,-132115.07949696
"615",2001-09-06,-46484.93537856
"616",2001-09-07,-10520.274848832
"617",2001-09-08,2275.3152580032
"618",2001-09-09,-210405.49697664
"619",2001-09-10,-606750.73546752
"620",2001-09-11,-716846.63504832
"621",2001-09-12,-305821.94328
"622",2001-09-13,-951717.88748736
"623",2001-09-14,-1306471.34169216
"624",2001-09-15,-1064260.3626144
"625",2001-09-16,-244657.554624
"626",2001-09-17,-44038.35983232
"627",2001-09-18,-80736.99302592
"628",2001-09-19,18349.3165968
"629",2001-09-20,4159.178428608
"630",2001-09-21,905.2329521088
"631",2001-09-22,18104.659042176
"632",2001-09-23,8563.01441184
"633",2001-09-24,-7829.041747968
"634",2001-09-25,23731.782798528
"635",2001-09-26,-36698.6331936
"636",2001-09-27,-733972.663872
"637",2001-09-28,-983523.36958848
"638",2001-09-29,-1042241.18269824
"639",2001-09-30,-971290.49185728
"640",2001-10-01,-452616.4760544
"641",2001-10-02,-151687.68386688
"642",2001-10-03,-1688.1371269056
"643",2001-10-04,-21040.549697664
"644",2001-10-05,-61164.388656
"645",2001-10-06,2104.0549697664
"646",2001-10-07,-8318.356857216
"647",2001-10-08,34252.05764736
"648",2001-10-09,6605.753974848
"649",2001-10-10,29358.90655488
"650",2001-10-11,24465.7554624
"651",2001-10-12,51378.08647104
"652",2001-10-13,29358.90655488
"653",2001-10-14,44038.35983232
"654",2001-10-15,100309.59739584
"655",2001-10-16,-611.64388656
"656",2001-10-17,56271.23756352
"657",2001-10-18,73397.2663872
"658",2001-10-19,1003.0959739584
"659",2001-10-20,29358.90655488
"660",2001-10-21,10764.932403456
"661",2001-10-22,-264230.15899392
"662",2001-10-23,-374326.05857472
"663",2001-10-24,-222638.37470784
"664",2001-10-25,-188386.31706048
"665",2001-10-26,-34252.05764736
"666",2001-10-27,-119882.20176576
"667",2001-10-28,-51378.08647104
"668",2001-10-29,-75843.84193344
"669",2001-10-30,29358.90655488
"670",2001-10-31,-139454.80613568
"671",2001-11-01,-18104.659042176
"672",2001-11-02,-110095.8995808
"673",2001-11-03,-5871.781310976
"674",2001-11-04,36698.6331936
"675",2001-11-05,13211.507949696
"676",2001-11-06,2691.233100864
"677",2001-11-07,-48931.5109248
"678",2001-11-08,129668.50395072
"679",2001-11-09,110095.8995808
"680",2001-11-10,70950.69084096
"681",2001-11-11,225084.95025408
"682",2001-11-12,234871.25243904
"683",2001-11-13,18593.974151424
"684",2001-11-14,63610.96420224
"685",2001-11-15,36698.6331936
"686",2001-11-16,178600.01487552
"687",2001-11-17,296035.64109504
"688",2001-11-18,222638.37470784
"689",2001-11-19,29358.90655488
"690",2001-11-20,17370.686378304
"691",2001-11-21,29358.90655488
"692",2001-11-22,4648.493537856
"693",2001-11-23,251997.28126272
"694",2001-11-24,141901.38168192
"695",2001-11-25,26912.33100864
"696",2001-11-26,16881.371269056
"697",2001-11-27,20061.919479168
"698",2001-11-28,23976.440353152
"699",2001-11-29,39145.20873984
"700",2001-11-30,212852.07252288
"701",2001-12-01,46484.93537856
"702",2001-12-02,66057.53974848
"703",2001-12-03,205512.34588416
"704",2001-12-04,210405.49697664
"705",2001-12-05,66057.53974848
"706",2001-12-06,39145.20873984
"707",2001-12-07,29358.90655488
"708",2001-12-08,58717.81310976
"709",2001-12-09,48931.5109248
"710",2001-12-10,39145.20873984
"711",2001-12-11,13456.16550432
"712",2001-12-12,36698.6331936
"713",2001-12-13,24465.7554624
"714",2001-12-14,36698.6331936
"715",2001-12-15,24465.7554624
"716",2001-12-16,36698.6331936
"717",2001-12-17,46484.93537856
"718",2001-12-18,34252.05764736
"719",2001-12-19,144347.95722816
"720",2001-12-20,296035.64109504
"721",2001-12-21,95416.44630336
"722",2001-12-22,516227.44025664
"723",2001-12-23,151687.68386688
"724",2001-12-24,56271.23756352
"725",2001-12-25,36698.6331936
"726",2001-12-26,122328.777312
"727",2001-12-27,44038.35983232
"728",2001-12-28,736419.23941824
"729",2001-12-29,993309.67177344
"730",2001-12-30,423257.56949952
"731",2001-12-31,36698.6331936
"732",2002-01-01,29358.90655488
"733",2002-01-02,26912.33100864
"734",2002-01-03,286249.33891008
"735",2002-01-04,266676.73454016
"736",2002-01-05,212852.07252288
"737",2002-01-06,73397.2663872
"738",2002-01-07,105202.74848832
"739",2002-01-08,641002.79311488
"740",2002-01-09,1025115.15387456
"741",2002-01-10,780457.59925056
"742",2002-01-11,530906.89353408
"743",2002-01-12,633663.06647616
"744",2002-01-13,611643.88656
"745",2002-01-14,374326.05857472
"746",2002-01-15,-335180.84983488
"747",2002-01-16,-447723.32496192
"748",2002-01-17,1272.2192840448
"749",2002-01-18,-48931.5109248
"750",2002-01-19,-97863.0218496
"751",2002-01-20,39145.20873984
"752",2002-01-21,-151687.68386688
"753",2002-01-22,-2935.890655488
"754",2002-01-23,379219.2096672
"755",2002-01-24,577391.82891264
"756",2002-01-25,533353.46908032
"757",2002-01-26,609197.31101376
"758",2002-01-27,582284.98000512
"759",2002-01-28,587178.1310976
"760",2002-01-29,765778.14597312
"761",2002-01-30,736419.23941824
"762",2002-01-31,716846.63504832
"763",2002-02-01,770671.2970656
"764",2002-02-02,709506.9084096
"765",2002-02-03,631216.49092992
"766",2002-02-04,726632.93723328
"767",2002-02-05,677701.42630848
"768",2002-02-06,577391.82891264
"769",2002-02-07,562712.3756352
"770",2002-02-08,1052027.4848832
"771",2002-02-09,863641.16782272
"772",2002-02-10,481975.38260928
"773",2002-02-11,-413471.26731456
"774",2002-02-12,-489315.109248
"775",2002-02-13,-173706.86378304
"776",2002-02-14,-114989.05067328
"777",2002-02-15,4893.15109248
"778",2002-02-16,31805.48210112
"779",2002-02-17,31805.48210112
"780",2002-02-18,9786.30218496
"781",2002-02-19,13700.823058944
"782",2002-02-20,408578.11622208
"783",2002-02-21,907679.52765504
"784",2002-02-22,479528.80706304
"785",2002-02-23,-41591.78428608
"786",2002-02-24,286249.33891008
"787",2002-02-25,528460.31798784
"788",2002-02-26,1000649.39841216
"789",2002-02-27,1582934.37841728
"790",2002-02-28,1220841.19757376
"791",2002-03-01,778011.02370432
"792",2002-03-02,763331.57042688
"793",2002-03-03,800030.20362048
"794",2002-03-04,919912.40538624
"795",2002-03-05,998202.82286592
"796",2002-03-06,822049.38353664
"797",2002-03-07,618983.61319872
"798",2002-03-08,577391.82891264
"799",2002-03-09,753545.26824192
"800",2002-03-10,797583.62807424
"801",2002-03-11,792690.47698176
"802",2002-03-12,900339.80101632
"803",2002-03-13,917465.82984
"804",2002-03-14,905232.9521088
"805",2002-03-15,990863.0962272
"806",2002-03-16,1042241.18269824
"807",2002-03-17,951717.88748736
"808",2002-03-18,1174356.2621952
"809",2002-03-19,1379868.60807936
"810",2002-03-20,1357849.4281632
"811",2002-03-21,944378.16084864
