"","date","L001_RADP_MICROMOLE/m^2/s"
"102",2000-04-11,597.75
"103",2000-04-12,376.48
"104",2000-04-13,336.11
"105",2000-04-14,113.06
"106",2000-04-15,479.23
"107",2000-04-16,559.23
"108",2000-04-17,577.92
"109",2000-04-18,612.69
"110",2000-04-19,622.82
"111",2000-04-20,625.92
"112",2000-04-21,615.31
"113",2000-04-22,629.68
"114",2000-04-23,618.23
"115",2000-04-24,532.64
"116",2000-04-25,480.74
"117",2000-04-26,621.6
"118",2000-04-27,620.93
"119",2000-04-28,623.09
"120",2000-04-29,514.98
"121",2000-04-30,600.33
"122",2000-05-01,556.76
"123",2000-05-02,638.15
"124",2000-05-03,590.62
"125",2000-05-04,614.25
"126",2000-05-05,595.32
"127",2000-05-06,597.5
"128",2000-05-07,640.66
"129",2000-05-08,628.1
"130",2000-05-09,556.45
"131",2000-05-10,652.94
"132",2000-05-11,808.53
"133",2000-05-12,590.19
"134",2000-05-13,605.22
"135",2000-05-14,564.86
"136",2000-05-15,557.35
"137",2000-05-16,611.78
"138",2000-05-17,587.65
"139",2000-05-18,426.9
"140",2000-05-19,371.91
"141",2000-05-20,408.62
"142",2000-05-21,441.32
"143",2000-05-22,406.54
"144",2000-05-23,502.63
"145",2000-05-24,518.61
"146",2000-05-25,647.9
"147",2000-05-26,655.81
"148",2000-05-27,609.03
"149",2000-05-28,556.44
"150",2000-05-29,484.85
"151",2000-05-30,565.06
"152",2000-05-31,543.71
"153",2000-06-01,597.11
"154",2000-06-02,648.19
"155",2000-06-03,635.6
"156",2000-06-04,618.74
"157",2000-06-05,438.4
"158",2000-06-06,355.75
"159",2000-06-07,436.02
"160",2000-06-08,111.22
"161",2000-06-09,548.36
"162",2000-06-10,502.33
"163",2000-06-11,173.46
"164",2000-06-12,478.47
"165",2000-06-13,585.54
"166",2000-06-14,257.98
"167",2000-06-15,554.17
"168",2000-06-16,380.23
"169",2000-06-17,538.84
"170",2000-06-18,498.49
"171",2000-06-19,516.43
"172",2000-06-20,525.45
"173",2000-06-21,573.83
"174",2000-06-22,86.72
"175",2000-06-23,174.24
"176",2000-06-24,401.62
"177",2000-06-25,89.05
"178",2000-06-26,178.49
"179",2000-06-27,98.01
"180",2000-06-28,192.6
"181",2000-06-29,141.48
"182",2000-06-30,214.95
"183",2000-07-01,134.09
"184",2000-07-02,138.03
"185",2000-07-03,168.83
"186",2000-07-04,89.39
"187",2000-07-05,298.92
"188",2000-07-06,372.85
"189",2000-07-07,499.36
"190",2000-07-08,260.97
"191",2000-07-09,550.46
"192",2000-07-10,496.34
"193",2000-07-11,309.04
"194",2000-07-12,567.13
"195",2000-07-13,548.72
"196",2000-07-14,534.22
"197",2000-07-15,485.38
"198",2000-07-16,401.77
"199",2000-07-17,491.32
"200",2000-07-18,297.98
"201",2000-07-19,351.31
"202",2000-07-20,518.36
"203",2000-07-21,548.1
"204",2000-07-22,314.26
"205",2000-07-23,427.82
"206",2000-07-24,274.17
"207",2000-07-25,286.65
"208",2000-07-26,82.2
"209",2000-07-27,220.04
"210",2000-07-28,294.03
"211",2000-07-29,304.99
"212",2000-07-30,108.68
"213",2000-07-31,231.68
"214",2000-08-01,209.39
"215",2000-08-02,274.2
"216",2000-08-03,270.36
"217",2000-08-04,81.93
"218",2000-08-05,441.7
"219",2000-08-06,165.56
"220",2000-08-07,264.98
"221",2000-08-08,250.54
"222",2000-08-09,141.7
"223",2000-08-10,279.31
"224",2000-08-11,301.9
"225",2000-08-12,297.59
"226",2000-08-13,409.61
"227",2000-08-14,209.84
"228",2000-08-15,334.97
"229",2000-08-16,510.11
"230",2000-08-17,316.61
"231",2000-08-18,321.41
"232",2000-08-19,242.63
"233",2000-08-20,178.91
"234",2000-08-21,89.24
"235",2000-08-22,187
"236",2000-08-23,210.48
"237",2000-08-24,168.81
"238",2000-08-25,222.35
"239",2000-08-26,192.87
"240",2000-08-27,117.52
"241",2000-08-28,422.6
"242",2000-08-29,353.93
"243",2000-08-30,256.39
"244",2000-08-31,287.6
"245",2000-09-01,545.07
"246",2000-09-02,381.34
"247",2000-09-03,381.85
"248",2000-09-04,442.47
"249",2000-09-05,140.04
"250",2000-09-06,212.52
"251",2000-09-07,118.78
"252",2000-09-08,236.91
"253",2000-09-09,214.14
"254",2000-09-10,194.52
"255",2000-09-11,167.7
"256",2000-09-12,296.91
"257",2000-09-13,441.88
"258",2000-09-14,253.53
"259",2000-09-15,275.74
"260",2000-09-16,78.31
"261",2000-09-17,78.32
"262",2000-09-18,34.96
"263",2000-09-19,257.58
"264",2000-09-20,161.86
"265",2000-09-21,143.56
"266",2000-09-22,145.41
"267",2000-09-23,201.28
"268",2000-09-24,229.03
"269",2000-09-25,125.78
"270",2000-09-26,280.38
"271",2000-09-27,123
"272",2000-09-28,190.39
"273",2000-09-29,208.7
"274",2000-09-30,296.87
"275",2000-10-01,365.01
"276",2000-10-02,199.64
"277",2000-10-03,115.3
"278",2000-10-04,105.37
"279",2000-10-05,247.56
"280",2000-10-06,232.22
"281",2000-10-07,369.47
"282",2000-10-08,401.95
"283",2000-10-09,28.27
"284",2000-10-10,285.99
"285",2000-10-11,221.91
"286",2000-10-12,304.18
"287",2000-10-13,358.17
"288",2000-10-14,333.78
"289",2000-10-15,340.27
"290",2000-10-16,403.57
"291",2000-10-17,342.51
"292",2000-10-18,334.47
"293",2000-10-19,297.9
"294",2000-10-20,322.05
"295",2000-10-21,280.99
"296",2000-10-22,376.63
"297",2000-10-23,379.23
"298",2000-10-24,265.15
"299",2000-10-25,350.72
"300",2000-10-26,396.16
"301",2000-10-27,393.31
"302",2000-10-28,353.3
"303",2000-10-29,346.98
"304",2000-10-30,312.48
"305",2000-10-31,388.81
"306",2000-11-01,329.94
"307",2000-11-02,339.06
"308",2000-11-03,325.39
"309",2000-11-04,324.15
"310",2000-11-05,358.9
"311",2000-11-06,320.34
"312",2000-11-07,359.53
"313",2000-11-08,352.22
"314",2000-11-09,282.96
"315",2000-11-10,331.97
"316",2000-11-11,254.71
"317",2000-11-12,363.81
"318",2000-11-13,108
"319",2000-11-14,225.3
"320",2000-11-15,181.74
"321",2000-11-16,181.88
"322",2000-11-17,354.47
"323",2000-11-18,262.13
"324",2000-11-19,327.9
"325",2000-11-20,44.68
"326",2000-11-21,314.52
"327",2000-11-22,357.28
"328",2000-11-23,189.68
"329",2000-11-24,320.22
"330",2000-11-25,78.96
"331",2000-11-26,90.29
"332",2000-11-27,147.47
"333",2000-11-28,122.85
"334",2000-11-29,224.58
"335",2000-11-30,345.09
"336",2000-12-01,310.48
"337",2000-12-02,90.84
"338",2000-12-03,205.84
"339",2000-12-04,205.22
"340",2000-12-05,298.2
"341",2000-12-06,207.93
"342",2000-12-07,290.07
"343",2000-12-08,240.48
"344",2000-12-09,221.89
"345",2000-12-10,183.62
"346",2000-12-11,141.07
"347",2000-12-12,218.95
"348",2000-12-13,314.11
"349",2000-12-14,318.82
"350",2000-12-15,327.19
"351",2000-12-16,325.64
"352",2000-12-17,274.75
"353",2000-12-18,287.07
"354",2000-12-19,254.06
"355",2000-12-20,332.88
"356",2000-12-21,210.65
"357",2000-12-22,193.3
"358",2000-12-23,251.21
"359",2000-12-24,187.94
"360",2000-12-25,280.51
"361",2000-12-26,177.49
"362",2000-12-27,318.1
"363",2000-12-28,118.8
"364",2000-12-29,293.86
"365",2000-12-30,307.24
"366",2000-12-31,337.29
"367",2001-01-01,327.03
"368",2001-01-02,259.58
"369",2001-01-03,325.39
"370",2001-01-04,338
"371",2001-01-05,232.29
"372",2001-01-06,321.54
"373",2001-01-07,337.07
"374",2001-01-08,277.43
"375",2001-01-09,340.02
"376",2001-01-10,338.82
"377",2001-01-11,91.7
"378",2001-01-12,255.05
"379",2001-01-13,323.25
"380",2001-01-14,201.39
"381",2001-01-15,248.99
"382",2001-01-16,317.36
"383",2001-01-17,142.87
"384",2001-01-18,307.41
"385",2001-01-19,317.6
"386",2001-01-20,100.68
"387",2001-01-21,361.71
"388",2001-01-22,52.52
"389",2001-01-23,350.13
"390",2001-01-24,354
"391",2001-01-25,364.33
"392",2001-01-26,338.09
"393",2001-01-27,212.48
"394",2001-01-28,350.48
"395",2001-01-29,330.3
"396",2001-01-30,268.12
"397",2001-01-31,371.86
"398",2001-02-01,275.1
"399",2001-02-02,299.85
"400",2001-02-03,284
"401",2001-02-04,229.45
"402",2001-02-05,236.04
"403",2001-02-06,390.06
"404",2001-02-07,384.04
"405",2001-02-08,395.33
"406",2001-02-09,382.71
"407",2001-02-10,384.05
"408",2001-02-11,383.72
"409",2001-02-12,414.25
"410",2001-02-13,365.46
"411",2001-02-14,412.25
"412",2001-02-15,421.72
"413",2001-02-16,426.46
"414",2001-02-17,367.47
"415",2001-02-18,392.83
"416",2001-02-19,396.14
"417",2001-02-20,355.59
"418",2001-02-21,356.68
"419",2001-02-22,422.78
"420",2001-02-23,418.72
"421",2001-02-24,434.71
"422",2001-02-25,418.33
"423",2001-02-26,432.93
"424",2001-02-27,395.87
"425",2001-02-28,413.17
"426",2001-03-01,398.43
"427",2001-03-02,347.81
"428",2001-03-03,430.07
"429",2001-03-04,245.57
"430",2001-03-05,414.5
"431",2001-03-06,481.68
"432",2001-03-07,480.91
"433",2001-03-08,483.04
"434",2001-03-09,440.4
"435",2001-03-10,351.44
"436",2001-03-11,444.11
"437",2001-03-12,467.3
"438",2001-03-13,409.79
"439",2001-03-14,355.46
"440",2001-03-15,322.11
"441",2001-03-16,267.55
"442",2001-03-17,331.61
"443",2001-03-18,315.35
"444",2001-03-19,65.17
"445",2001-03-20,428.72
"446",2001-03-21,225.03
"447",2001-03-22,521.76
"448",2001-03-23,519.63
"449",2001-03-24,524.51
"450",2001-03-25,480.92
"451",2001-03-26,395.48
"452",2001-03-27,465.46
"453",2001-03-28,472.41
"454",2001-03-29,394.25
"455",2001-03-30,166.75
"456",2001-03-31,444.93
"457",2001-04-01,544.67
"458",2001-04-02,551.04
"459",2001-04-03,548.97
"460",2001-04-04,409.86
"461",2001-04-05,532.71
"462",2001-04-06,514.77
"463",2001-04-07,546.3
"464",2001-04-08,522.43
"465",2001-04-09,554.38
"466",2001-04-10,546.31
"467",2001-04-11,570.82
"468",2001-04-12,534.3
"469",2001-04-13,568.85
"470",2001-04-14,556.81
"471",2001-04-15,491.69
"472",2001-04-16,475.87
"473",2001-04-17,560.58
"474",2001-04-18,555.72
"475",2001-04-19,524.58
"476",2001-04-20,511.75
"477",2001-04-21,419.73
"478",2001-04-22,513.88
"479",2001-04-23,572.46
"480",2001-04-24,579.63
"481",2001-04-25,472.33
"482",2001-04-26,435.71
"483",2001-04-27,516.18
"484",2001-04-28,285.35
"485",2001-04-29,76.13
"486",2001-04-30,145.2
"487",2001-05-01,284.43
"488",2001-05-02,299.17
"489",2001-05-03,257.46
"490",2001-05-04,436.47
"491",2001-05-05,440.85
"492",2001-05-06,580.87
"493",2001-05-07,550.61
"494",2001-05-08,572.24
"495",2001-05-09,580.43
"496",2001-05-10,516.81
"497",2001-05-11,544.81
"498",2001-05-12,403.94
"499",2001-05-13,616.3
"500",2001-05-14,590.97
"501",2001-05-15,0
"502",2001-05-16,0
"503",2001-05-17,0.03
"504",2001-05-18,NA
"505",2001-05-19,NA
"506",2001-05-20,NA
"507",2001-05-21,NA
"508",2001-05-22,NA
"509",2001-05-23,NA
"510",2001-05-24,NA
"511",2001-05-25,NA
"512",2001-05-26,NA
"513",2001-05-27,NA
"514",2001-05-28,NA
"515",2001-05-29,NA
"516",2001-05-30,0
"517",2001-05-31,528.72
"518",2001-06-01,457.27
"519",2001-06-02,537.32
"520",2001-06-03,499.48
"521",2001-06-04,500.75
"522",2001-06-05,519.94
"523",2001-06-06,523.47
"524",2001-06-07,659.31
"525",2001-06-08,239.19
"526",2001-06-09,438.41
"527",2001-06-10,645.92
"528",2001-06-11,665.36
"529",2001-06-12,482.14
"530",2001-06-13,499.36
"531",2001-06-14,692.66
"532",2001-06-15,669.2
"533",2001-06-16,575.67
"534",2001-06-17,618.23
"535",2001-06-18,271.89
"536",2001-06-19,399.28
"537",2001-06-20,435.62
"538",2001-06-21,458.33
"539",2001-06-22,429
"540",2001-06-23,316.15
"541",2001-06-24,470.13
"542",2001-06-25,457.37
"543",2001-06-26,310.57
"544",2001-06-27,491.69
"545",2001-06-28,205.7
"546",2001-06-29,597.66
"547",2001-06-30,596.26
"548",2001-07-01,524.89
"549",2001-07-02,671.11
"550",2001-07-03,553.64
"551",2001-07-04,387.37
"552",2001-07-05,674.96
"553",2001-07-06,563.86
"554",2001-07-07,512.52
"555",2001-07-08,567.91
"556",2001-07-09,291.57
"557",2001-07-10,391.12
"558",2001-07-11,266.32
"559",2001-07-12,200.84
"560",2001-07-13,217.68
"561",2001-07-14,134.25
"562",2001-07-15,350.76
"563",2001-07-16,431.22
"564",2001-07-17,160.25
"565",2001-07-18,381.1
"566",2001-07-19,181.97
"567",2001-07-20,185.24
"568",2001-07-21,100.58
"569",2001-07-22,470.64
"570",2001-07-23,129.66
"571",2001-07-24,426.39
"572",2001-07-25,448.5
"573",2001-07-26,335.66
"574",2001-07-27,200.07
"575",2001-07-28,299.51
"576",2001-07-29,395.8
"577",2001-07-30,449.62
"578",2001-07-31,329.7
"579",2001-08-01,200.52
"580",2001-08-02,91.35
"581",2001-08-03,143.43
"582",2001-08-04,380.59
"583",2001-08-05,418.02
"584",2001-08-06,327.67
"585",2001-08-07,133.63
"586",2001-08-08,220.17
"587",2001-08-09,463.73
"588",2001-08-10,175.39
"589",2001-08-11,291.51
"590",2001-08-12,387.88
"591",2001-08-13,197.6
"592",2001-08-14,160.75
"593",2001-08-15,341.55
"594",2001-08-16,387.13
"595",2001-08-17,485.8
"596",2001-08-18,532.18
"597",2001-08-19,466.5
"598",2001-08-20,424.15
"599",2001-08-21,332.51
"600",2001-08-22,519.39
"601",2001-08-23,498.34
"602",2001-08-24,511.77
"603",2001-08-25,300.18
"604",2001-08-26,530.4
"605",2001-08-27,256.48
"606",2001-08-28,167.95
"607",2001-08-29,275.98
"608",2001-08-30,277.74
"609",2001-08-31,476.26
"610",2001-09-01,171.7
"611",2001-09-02,169.24
"612",2001-09-03,126.18
"613",2001-09-04,0
"614",2001-09-05,NA
"615",2001-09-06,NA
"616",2001-09-07,NA
"617",2001-09-08,NA
"618",2001-09-09,NA
"619",2001-09-10,NA
"620",2001-09-11,NA
"621",2001-09-12,NA
"622",2001-09-13,NA
"623",2001-09-14,NA
"624",2001-09-15,NA
"625",2001-09-16,NA
"626",2001-09-17,NA
"627",2001-09-18,NA
"628",2001-09-19,NA
"629",2001-09-20,NA
"630",2001-09-21,NA
"631",2001-09-22,NA
"632",2001-09-23,NA
"633",2001-09-24,181.5
"634",2001-09-25,214.32
"635",2001-09-26,243.53
"636",2001-09-27,70.08
"637",2001-09-28,50.24
"638",2001-09-29,75.7
"639",2001-09-30,332.71
"640",2001-10-01,290.64
"641",2001-10-02,268.49
"642",2001-10-03,162.92
"643",2001-10-04,382.43
"644",2001-10-05,235.87
"645",2001-10-06,236.87
"646",2001-10-07,216.39
"647",2001-10-08,167.91
"648",2001-10-09,327.95
"649",2001-10-10,437.49
"650",2001-10-11,392.38
"651",2001-10-12,236.81
"652",2001-10-13,434.87
"653",2001-10-14,237.01
"654",2001-10-15,155.17
"655",2001-10-16,51.81
"656",2001-10-17,337.71
"657",2001-10-18,280.03
"658",2001-10-19,248.09
"659",2001-10-20,177.88
"660",2001-10-21,40.21
"661",2001-10-22,76.4
"662",2001-10-23,299.25
"663",2001-10-24,173.53
"664",2001-10-25,91.06
"665",2001-10-26,107.58
"666",2001-10-27,197.86
"667",2001-10-28,305.74
"668",2001-10-29,241.79
"669",2001-10-30,175.24
"670",2001-10-31,122.34
"671",2001-11-01,294.63
"672",2001-11-02,316.16
"673",2001-11-03,277.08
"674",2001-11-04,82.84
"675",2001-11-05,78.63
"676",2001-11-06,204.4
"677",2001-11-07,328.31
"678",2001-11-08,385.97
"679",2001-11-09,395.66
"680",2001-11-10,226.5
"681",2001-11-11,362.97
"682",2001-11-12,176.87
"683",2001-11-13,294.63
"684",2001-11-14,338.31
"685",2001-11-15,137.5
"686",2001-11-16,162.54
"687",2001-11-17,278.99
"688",2001-11-18,NA
"689",2001-11-19,NA
"690",2001-11-20,NA
"691",2001-11-21,NA
"692",2001-11-22,NA
"693",2001-11-23,NA
"694",2001-11-24,NA
"695",2001-11-25,NA
"696",2001-11-26,364.02
"697",2001-11-27,356.85
"698",2001-11-28,336.25
"699",2001-11-29,310.25
"700",2001-11-30,328.91
"701",2001-12-01,251.39
"702",2001-12-02,303.63
"703",2001-12-03,231.44
"704",2001-12-04,338.67
"705",2001-12-05,231.06
"706",2001-12-06,287.86
"707",2001-12-07,234.18
"708",2001-12-08,333.56
"709",2001-12-09,331.38
"710",2001-12-10,340.87
"711",2001-12-11,326.48
"712",2001-12-12,317.08
"713",2001-12-13,332.7
"714",2001-12-14,310.48
"715",2001-12-15,329.97
"716",2001-12-16,286.88
"717",2001-12-17,307.08
"718",2001-12-18,251.32
"719",2001-12-19,331.61
"720",2001-12-20,311.96
"721",2001-12-21,333.47
"722",2001-12-22,258.4
"723",2001-12-23,208.15
"724",2001-12-24,236.3
"725",2001-12-25,159.51
"726",2001-12-26,314.25
"727",2001-12-27,148.83
"728",2001-12-28,319.16
"729",2001-12-29,220.33
"730",2001-12-30,165.68
"731",2001-12-31,57.17
"732",2002-01-01,320.93
"733",2002-01-02,69.65
"734",2002-01-03,69.26
"735",2002-01-04,341.02
"736",2002-01-05,227.65
"737",2002-01-06,126.31
"738",2002-01-07,193.88
"739",2002-01-08,300.36
"740",2002-01-09,347.78
"741",2002-01-10,349.62
"742",2002-01-11,331.83
"743",2002-01-12,321.18
"744",2002-01-13,304.3
"745",2002-01-14,123.9
"746",2002-01-15,73.72
"747",2002-01-16,316.49
"748",2002-01-17,354.39
"749",2002-01-18,285.03
"750",2002-01-19,361.09
"751",2002-01-20,365.15
"752",2002-01-21,301.79
"753",2002-01-22,323.03
"754",2002-01-23,368.04
"755",2002-01-24,362.53
"756",2002-01-25,378.61
"757",2002-01-26,362.98
"758",2002-01-27,242.32
"759",2002-01-28,349
"760",2002-01-29,386.76
"761",2002-01-30,374.36
"762",2002-01-31,392.13
"763",2002-02-01,349.09
"764",2002-02-02,381.88
"765",2002-02-03,336.45
"766",2002-02-04,381.93
"767",2002-02-05,345.53
"768",2002-02-06,290.82
"769",2002-02-07,297.47
"770",2002-02-08,393.15
"771",2002-02-09,61.99
"772",2002-02-10,151.39
"773",2002-02-11,257.58
"774",2002-02-12,383.31
"775",2002-02-13,341.92
"776",2002-02-14,262.21
"777",2002-02-15,385.71
"778",2002-02-16,209.22
"779",2002-02-17,429.65
"780",2002-02-18,443.81
"781",2002-02-19,405.03
"782",2002-02-20,322.53
"783",2002-02-21,276.08
"784",2002-02-22,214.93
"785",2002-02-23,79.76
"786",2002-02-24,443.18
"787",2002-02-25,411.32
"788",2002-02-26,451.67
"789",2002-02-27,358.5
"790",2002-02-28,403.67
"791",2002-03-01,203.51
"792",2002-03-02,368.4
"793",2002-03-03,453.4
"794",2002-03-04,154.96
"795",2002-03-05,NA
"796",2002-03-06,NA
"797",2002-03-07,NA
"798",2002-03-08,565.45
"799",2002-03-09,460.45
"800",2002-03-10,502.65
"801",2002-03-11,495.84
"802",2002-03-12,468.71
"803",2002-03-13,411.14
"804",2002-03-14,495.14
"805",2002-03-15,501.89
"806",2002-03-16,466.07
"807",2002-03-17,512.53
"808",2002-03-18,513.9
"809",2002-03-19,514.09
"810",2002-03-20,510.69
"811",2002-03-21,487.89
"812",2002-03-22,509.59
"813",2002-03-23,494.47
"814",2002-03-24,418.73
"815",2002-03-25,516.89
"816",2002-03-26,518.98
"817",2002-03-27,521.13
"818",2002-03-28,522.12
"819",2002-03-29,484.59
"820",2002-03-30,521.51
"821",2002-03-31,520.85
"822",2002-04-01,454.74
"823",2002-04-02,393.63
"824",2002-04-03,394.14
"825",2002-04-04,480.12
"826",2002-04-05,407.22
"827",2002-04-06,536.48
"828",2002-04-07,421
"829",2002-04-08,578.2
"830",2002-04-09,553.75
"831",2002-04-10,376.35
"832",2002-04-11,296.56
"833",2002-04-12,270.53
"834",2002-04-13,489.7
"835",2002-04-14,393.55
"836",2002-04-15,606.66
"837",2002-04-16,448.93
"838",2002-04-17,388.54
"839",2002-04-18,588.97
"840",2002-04-19,614.43
"841",2002-04-20,580.42
"842",2002-04-21,0
"843",2002-04-22,NA
"844",2002-04-23,NA
"845",2002-04-24,NA
"846",2002-04-25,NA
"847",2002-04-26,NA
"848",2002-04-27,0
"849",2002-04-28,0
"850",2002-04-29,NA
"851",2002-04-30,NA
"852",2002-05-01,936.56
"853",2002-05-02,647.09
"854",2002-05-03,669.79
"855",2002-05-04,671.26
"856",2002-05-05,605.07
"857",2002-05-06,558.14
"858",2002-05-07,629.14
"859",2002-05-08,676.6
"860",2002-05-09,682.09
"861",2002-05-10,679.81
"862",2002-05-11,550.68
"863",2002-05-12,697.49
"864",2002-05-13,690.44
"865",2002-05-14,463
"866",2002-05-15,533.76
"867",2002-05-16,275.09
"868",2002-05-17,624.79
"869",2002-05-18,674.95
"870",2002-05-19,101.74
"871",2002-05-20,509.06
"872",2002-05-21,601.4
"873",2002-05-22,548.08
"874",2002-05-23,555.71
"875",2002-05-24,674.2
"876",2002-05-25,522.68
"877",2002-05-26,596.45
"878",2002-05-27,627.63
"879",2002-05-28,630.89
"880",2002-05-29,675.84
"881",2002-05-30,653.67
"882",2002-05-31,600.98
"883",2002-06-01,638.93
"884",2002-06-02,666.18
"885",2002-06-03,648.62
"886",2002-06-04,421.1
"887",2002-06-05,501.54
"888",2002-06-06,469.99
"889",2002-06-07,391.72
"890",2002-06-08,265.46
"891",2002-06-09,333.49
"892",2002-06-10,405.87
"893",2002-06-11,510.52
"894",2002-06-12,480.11
"895",2002-06-13,495.7
"896",2002-06-14,514.66
"897",2002-06-15,187.45
"898",2002-06-16,345.7
"899",2002-06-17,487.43
"900",2002-06-18,410.03
"901",2002-06-19,332.97
"902",2002-06-20,261.57
"903",2002-06-21,511.36
"904",2002-06-22,319.54
"905",2002-06-23,397.98
"906",2002-06-24,541.14
"907",2002-06-25,350.59
"908",2002-06-26,839.31
"909",2002-06-27,663.97
"910",2002-06-28,773.71
"911",2002-06-29,978.32
"912",2002-06-30,697.17
"913",2002-07-01,273.1
"914",2002-07-02,970.19
"915",2002-07-03,609.03
"916",2002-07-04,947.95
"917",2002-07-05,969.2
"918",2002-07-06,722.53
"919",2002-07-07,503.46
"920",2002-07-08,353.62
"921",2002-07-09,393.58
"922",2002-07-10,560.59
"923",2002-07-11,767.75
"924",2002-07-12,436.86
"925",2002-07-13,908.8
"926",2002-07-14,759.75
"927",2002-07-15,403.57
"928",2002-07-16,1014.3
"929",2002-07-17,747.54
"930",2002-07-18,603.19
"931",2002-07-19,998.11
"932",2002-07-20,800.7
"933",2002-07-21,635.62
"934",2002-07-22,792.15
"935",2002-07-23,820.23
"936",2002-07-24,497.1
"937",2002-07-25,392.81
"938",2002-07-26,796.97
"939",2002-07-27,1073.95
"940",2002-07-28,809.08
"941",2002-07-29,434.36
"942",2002-07-30,657.7
"943",2002-07-31,644.47
"944",2002-08-01,924.44
"945",2002-08-02,304.3
"946",2002-08-03,973.2
"947",2002-08-04,1018.89
"948",2002-08-05,702.92
"949",2002-08-06,1004.75
"950",2002-08-07,381.08
"951",2002-08-08,1012.62
"952",2002-08-09,802.27
"953",2002-08-10,797.39
"954",2002-08-11,644.93
"955",2002-08-12,968.19
"956",2002-08-13,538.27
"957",2002-08-14,336.85
"958",2002-08-15,979.33
"959",2002-08-16,610.5
"960",2002-08-17,738.21
"961",2002-08-18,453
"962",2002-08-19,NA
"963",2002-08-20,NA
"964",2002-08-21,NA
"965",2002-08-22,NA
"966",2002-08-23,NA
"967",2002-08-24,NA
"968",2002-08-25,NA
"969",2002-08-26,NA
"970",2002-08-27,NA
"971",2002-08-28,NA
"972",2002-08-29,NA
"973",2002-08-30,NA
"974",2002-08-31,NA
"975",2002-09-01,NA
"976",2002-09-02,NA
"977",2002-09-03,NA
"978",2002-09-04,NA
"979",2002-09-05,NA
"980",2002-09-06,NA
"981",2002-09-07,NA
"982",2002-09-08,0.27
"983",2002-09-09,590.51
"984",2002-09-10,578.71
"985",2002-09-11,158.88
"986",2002-09-12,242.33
"987",2002-09-13,307.32
"988",2002-09-14,457.3
"989",2002-09-15,405.33
"990",2002-09-16,499.64
"991",2002-09-17,563.81
"992",2002-09-18,540.56
"993",2002-09-19,441.15
"994",2002-09-20,410.83
"995",2002-09-21,444.25
"996",2002-09-22,484.91
"997",2002-09-23,383.02
"998",2002-09-24,352.42
"999",2002-09-25,378.11
"1000",2002-09-26,547.78
"1001",2002-09-27,464.68
"1002",2002-09-28,580.22
"1003",2002-09-29,577.06
