"Date","S65E_PHOSPHATE, TOTAL AS P_mg/L","S65E_S_FLOW_cfs"
"2001-07-25",0.244,2669947.89361171
"2001-07-31",0.228,1593356.79024426
"2001-08-01",0.1225,1931718.18828925
"2001-08-08",0.236,6111986.09810584
"2001-08-14",0.18,5637839.75724453
"2001-08-15",0.1095,4323563.83955987
"2001-08-22",0.146,3472082.15220196
"2001-08-28",0.098,2310790.60342368
"2001-08-29",0.111,1866174.42940548
"2001-09-05",0.11,1244426.18583951
"2001-09-11",0.0624,5479203.79882633
"2001-09-25",0.086,10707486.8096303
"2001-09-26",0.096,10896851.7569093
"2001-10-03",0.08,11242283.7582829
"2001-10-08",0.062,8093345.30422831
"2001-10-09",0.062,7840491.7215244
"2001-10-10",0.069,7156062.21246376
"2001-10-17",0.074,3435212.25872012
"2001-10-31",0.086,5785637.38599289
"2001-11-06",0.0545,3882201.61101817
"2001-11-07",0.123,3222188.92590901
"2001-11-14",0.051,2633078.00012988
"2001-11-20",0.039,1819689.49402692
"2001-11-21",0.038,2189929.77143942
"2001-12-04",0.036,1175775.27601202
"2001-12-12",0.062,1190968.51015417
"2001-12-18",0.065,1437950.3115471
"2001-12-19",0.051,1317383.06862839
"2001-12-26",0.058,1117962.69585437
"2002-01-02",0.037,981663.972173338
"2002-01-09",0.052,913428.980188704
"2002-01-15",0.0205,955387.75080672
"2002-01-16",0.047,995462.658254131
"2002-01-23",0.045,1022179.26321907
"2002-01-29",0.0235,945870.571931847
"2002-01-30",0.049,1022766.44135017
"2002-02-06",0.057,709629.237186912
"2002-02-12",0.0385,1003218.30273571
"2002-02-13",0.0305,792788.34000361
"2002-02-20",0.071,879152.456785882
"2002-02-26",0.068,1001505.69985334
"2002-02-27",0.031,1139125.57432934
"2002-03-06",0.064,840839.083731763
"2002-03-12",0.049,929258.323972877
"2002-03-13",0.058,1089093.10440874
"2002-03-18",0.022,1117253.18894596
"2002-03-20",0.0205,1026362.90740314
"2002-03-26",0.05,841548.590640173
"2002-03-27",0.05,891678.92358263
"2002-04-03",0.024,936891.639677146
"2002-04-09",0.0325,721495.128586176
"2002-04-10",0.0255,655951.369702406
"2002-04-17",0.055,847346.974684762
"2002-04-23",0.04,775858.037223629
"2002-04-24",0.048,544974.70292496
"2002-05-01",0.018,978581.286985075
"2002-05-07",0.035,736223.513374541
"2002-05-08",0.037,720810.087433229
"2002-05-15",0.033,455283.243399802
"2002-05-21",0.042,550601.826681312
"2002-05-22",0.039,530368.646913907
"2002-05-29",0.055,412027.787742278
"2002-06-04",0.039,485033.60204208
"2002-06-05",0.045,449851.845687149
"2002-06-12",0.017,348930.604404749
"2002-06-18",0.00933333333333333,729055.047024058
"2002-06-19",0.0165,800984.368083514
"2002-06-24",0.0585,1922152.07790346
"2002-06-26",0.023,4531180.24041379
"2002-07-02",0.368,10535737.2062842
"2002-07-03",0.1065,13114770.3525977
"2002-07-10",0.287,11669186.7253463
"2002-07-16",0.086,15024395.9637044
"2002-07-17",0.085,13811701.8626996
"2002-07-24",0.057,10447342.4317986
"2002-07-30",0.0435,7770372.86636917
"2002-07-31",0.046,7995115.29604677
"2002-08-07",0.086,7471009.88253124
"2002-08-13",0.058,7277020.90746987
"2002-08-21",0.024,12524387.2075345
"2002-08-27",0.033,12878039.7027435
"2002-08-28",0.0295,12674093.1652089
"2002-09-04",0.075,17736547.2854887
"2002-09-10",0.0355,14285994.9980937
"2002-09-11",0.085,15087786.7361075
"2002-09-16",0.055,12346252.0420128
"2002-09-18",0.06,12675683.439314
"2002-09-24",0.025,9466412.43228912
"2002-09-25",0.024,10020733.0538007
"2002-10-02",0.05,6758273.4944006
"2002-10-08",0.052,4592466.9578471
"2002-10-09",0.051,5095115.90382211
"2002-10-16",0.057,3860206.89685747
"2002-10-22",0.052,2799591.93180697
"2002-10-23",0.056,2636772.3292047
"2002-10-30",0.035,2181611.41458221
"2002-11-05",0.054,1476630.67093315
"2002-11-19",0.05,2231766.21328013
"2002-11-20",0.049,1800239.21843432
"2002-11-27",0.033,1469242.01278351
"2002-12-03",0.048,1740689.56963884
"2002-12-04",0.054,1509732.83807378
"2002-12-11",0.026,6225360.40891861
"2002-12-17",0.0452,13603082.3658717
"2002-12-18",0.0365,13566995.3765647
"2002-12-26",0.061,12824117.1777044
"2002-12-30",0.0495,15113549.1766094
"2002-12-31",0.063,15831374.4418762
"2003-01-02",0.032,19764048.9064133
"2003-01-08",0.101,27755567.7364071
"2003-01-14",0.076,24899092.92315
"2003-01-15",0.092,23258786.3481734
"2003-01-22",0.051,10840531.5878348
"2003-01-28",0.047,6879158.79214032
"2003-01-29",0.052,5866888.15988352
"2003-02-11",0.063,1831995.76902451
"2003-02-12",0.061,1992344.33032508
"2003-02-19",0.032,1093325.68010373
"2003-02-25",0.096,852680.509375565
"2003-02-26",0.066,1566371.06196924
"2003-03-05",0.085,655682.24639232
"2003-03-11",0.097,217573.963327123
"2003-03-12",0.083,1585038.43338705
"2003-03-19",0.083,2399527.8984858
"2003-03-24",0.1105,6251294.10970875
"2003-03-25",0.113,5609312.68637537
"2003-03-26",0.104,6196564.21473936
"2003-04-02",0.066,5317264.9634207
"2003-04-08",0.049,6385268.58662085
"2003-04-09",0.053,6287454.49628218
"2003-04-16",0.051,5389071.95570285
"2003-04-22",0.049,4770406.39732514
"2003-04-23",0.024,5136634.2908418
"2003-05-06",0.025,2927376.57258708
"2003-05-07",0.048,2440630.36766264
"2003-05-14",0.0315,2103320.99710253
"2003-05-20",0.063,2570421.20039067
"2003-05-21",0.052,1663010.79604572
"2003-05-28",0.0335,2499030.12595139
"2003-06-03",0.027,1529256.51093277
"2003-06-04",0.067,1227838.40363601
"2003-06-11",0.067,1567961.33607429
"2003-06-16",0.0785,1697140.52491576
"2003-06-17",0.037,1007108.35785423
"2003-06-18",0.08,618004.982980224
"2003-06-25",0.101,3358805.70441105
"2003-07-01",0.11,2121132.06707916
"2003-07-02",0.123,2930973.03864006
"2003-07-09",0.087,3359833.26614047
"2003-07-15",0.073,3104900.09422226
"2003-07-16",0.065,2143053.38397347
"2003-07-30",0.079,4763140.06795281
"2003-08-06",0.071,7023726.94116764
"2003-08-12",0.078,12784849.6401872
"2003-08-13",0.079,13535899.401372
"2003-08-20",0.089,15248012.9686307
"2003-08-26",0.109,23675780.6842746
"2003-08-27",0.111,26348542.1397645
"2003-09-03",0.135,32500456.3507849
"2003-09-09",0.043,29418969.9845402
"2003-09-10",0.117,28461184.5896982
"2003-09-15",0.075,21730092.5496163
"2003-09-17",0.103,15761108.7921882
"2003-09-23",0.101,6079006.25974253
"2003-09-24",0.086,6639541.18314158
"2003-10-01",0.121,7348460.91342008
"2003-10-07",0.063,6155314.95102975
"2003-10-09",0.139,4546177.74851224
"2003-10-15",0.127,2467591.6301822
"2003-10-21",0.117,2567265.11793602
"2003-10-22",0.128,2518455.93578853
"2003-10-29",0.097,2058181.6782744
"2003-11-04",0.086,1954202.2175592
"2003-11-05",0.086,1888878.65047459
"2003-11-12",0.078,2022657.401343
"2003-11-18",0.091,1661738.57676167
"2003-11-20",0.089,1891985.80141832
"2003-11-25",0.084,1151358.45206054
"2003-12-02",0.079,1310777.31465354
"2003-12-03",0.076,1268182.4343935
"2003-12-10",0.178,1421582.72114275
"2003-12-15",0.0453333333333333,1500509.24826445
"2003-12-16",0.073,1931449.06497917
"2003-12-17",0.182,3809758.509094
"2003-12-24",0.075,1574713.88458191
"2003-12-30",0.029,3341679.67558737
"2003-12-31",0.16,3609604.16365611
"2004-01-07",0.061,5545041.14677565
"2004-01-13",0.055,4334279.8404524
"2004-01-14",0.063,5063726.33956385
"2004-01-21",0.05,4662316.68969226
"2004-01-27",0.0535,4271574.10920227
"2004-02-05",0.054,3387504.03556844
"2004-02-10",0.037,414474.363288518
"2004-02-18",0.056,3931182.05345389
"2004-02-24",0.058,2824351.27633492
"2004-02-25",0.059,4556600.16033923
"2004-03-03",0.059,3862237.55456085
"2004-03-09",0.074,3359710.93736316
"2004-03-10",0.074,3286411.5339978
"2004-03-15",0.065,2836070.37320141
"2004-03-17",0.061,3778589.13663491
"2004-03-23",0.054,2881332.02080685
"2004-03-24",0.056,1910530.84405882
"2004-03-31",0.057,2051600.39005501
"2004-04-06",0.061,601808.652864115
"2004-04-07",0.067,772750.886279904
"2004-04-12",0.056,3444264.58824121
"2004-04-20",0.069,1189622.89360374
"2004-04-21",0.029,869366.154600922
"2004-04-28",0.058,947191.722726816
"2004-05-04",0.0295,1535739.93613031
"2004-05-05",0.06,860680.81141177
"2004-05-12",0.057,1023451.48250312
"2004-05-17",0.0715,860827.605944544
"2004-05-18",0.073,523909.687471834
"2004-05-19",0.081,825890.507144237
"2004-05-26",0.062,535115.003473613
"2004-06-02",0.044,1021494.22206612
"2004-06-08",0.039,1107050.96891814
"2004-06-09",0.042,888840.895948992
"2004-06-16",0.044,833621.685870355
"2004-06-22",0.042,655780.10941417
"2004-06-23",0.02,592095.747945542
"2004-06-30",0.047,401972.362247232
"2004-07-06",0.0195,707892.168549082
"2004-07-07",0.054,939827.530332634
"2004-07-14",0.05,877831.305990912
"2004-07-20",0.0245,636036.244756013
"2004-07-21",0.05,725213.923416461
"2004-07-28",0.067,467883.107462938
"2004-08-03",0.073,826355.356498022
"2004-08-04",0.07,820777.164252595
"2004-08-11",0.0315,1436188.7771538
"2004-08-17",0.102,3466822.01477754
"2004-08-18",0.078,4279672.27426032
"2004-08-23",0.1615,4548722.18708033
"2004-08-25",0.223,3376396.58258851
"2004-08-31",0.271,3942656.49276576
"2004-09-01",0.282,3271854.40949768
"2004-09-14",0.173,27949116.3278701
"2004-09-15",0.196,27255536.6262666
"2004-09-21",0.141,29290475.8368517
"2004-09-29",0.211,48245442.2101234
"2004-09-30",0.155,48010448.628907
"2004-10-06",0.166,30749050.7802536
"2004-10-12",0.129,20165776.6111059
"2004-10-13",0.0585,18530828.0365755
"2004-10-20",0.12,10231823.5919303
"2004-10-26",0.0376666666666667,8954980.28010311
"2004-10-27",0.111,8965573.95221833
"2004-11-03",0.1,5694135.46056351
"2004-11-09",0.111,5303392.88007352
"2004-11-10",0.103,4740289.05235093
"2004-11-17",0.041,4451911.19271562
"2004-11-22",0.0785,4097573.65635368
"2004-12-01",0.074,3419456.31220234
"2004-12-07",0.081,3476534.91969612
"2004-12-08",0.072,3268282.40920017
"2004-12-16",0.07,2598287.69586234
"2004-12-21",0.0395,2358449.89506444
"2004-12-22",0.071,2151591.93262984
"2004-12-29",0.065,2331341.8380121
"2005-01-04",0.065,2505489.08539346
"2005-01-06",0.058,2815078.75501467
"2005-01-13",0.055,1700247.67585949
"2005-01-18",0.077,2069411.46003164
"2005-01-20",0.036,1924990.10553709
"2005-01-27",0.067,2145353.16498693
"2005-02-01",0.063,2141976.89073312
"2005-02-03",0.058,2098501.24327644
"2005-02-10",0.0555,2186480.09991923
"2005-02-14",0.058,1996797.09781924
"2005-02-15",0.058,999303.781861728
"2005-02-17",0.056,685603.865322835
"2005-02-24",0.058,2059918.74691223
"2005-03-01",0.0295,2620306.8757785
"2005-03-03",0.06025,1536229.25123956
"2005-03-10",0.0675,3394990.55673994
"2005-03-15",0.065,4965300.60533862
"2005-03-17",0.06075,4984432.82611021
"2005-03-24",0.066,9375571.08225723
"2005-03-29",0.072,10387548.1254485
"2005-03-31",0.068,9414667.35948614
"2005-04-07",0.063,11406693.6349902
"2005-04-12",0.058,5840636.40427237
"2005-04-14",0.061,5599771.04174504
"2005-04-21",0.052,6313437.12858324
"2005-04-26",0.053,3809195.79671837
"2005-04-28",0.0353333333333333,4521589.66427253
"2005-05-05",0.0645,4532036.54185498
"2005-05-10",0.068,5501125.11572064
"2005-05-12",0.0421666666666667,4545296.9813156
"2005-05-16",0.0305,3643611.56374884
"2005-05-19",0.02975,3506236.34682747
"2005-05-24",0.056,2939169.06671996
"2005-05-26",0.0376666666666667,2878542.92468413
"2005-06-02",0.0435,8588165.20845535
"2005-06-07",0.058,17071103.2026669
"2005-06-09",0.0833333333333333,14230115.2126176
"2005-06-16",0.08225,8178217.00992737
"2005-06-21",0.133,9754912.62070174
"2005-06-23",0.0943333333333333,12964232.5592375
"2005-06-30",0.096,20513728.5852921
"2005-07-05",0.0715,24519335.4668627
"2005-07-07",0.0811666666666667,25333164.3565639
"2005-07-14",0.0485,25575913.5822619
"2005-07-19",0.047,22707817.5351602
"2005-07-21",0.0678333333333333,19725564.2730709
"2005-07-28",0.04375,11031266.6174197
"2005-08-02",0.0405,8259002.93446422
"2005-08-04",0.0578333333333333,7216101.17636849
"2005-08-11",0.042,6772708.29012342
"2005-08-16",0.091,7769687.82521622
"2005-08-18",0.0875,6424829.71320355
"2005-08-22",0.086,6514374.37819594
"2005-08-29",0.074,7644472.08875966
"2005-08-30",0.063,8316203.87073531
"2005-09-01",0.0456666666666667,9343912.39468888
"2005-09-08",0.0305,9705711.98646685
"2005-09-12",0.0295,8437554.01782881
"2005-09-15",0.0391666666666667,7008925.15911289
"2005-09-22",0.0345,5610120.05630563
"2005-09-26",0.078,3657385.78407418
"2005-09-29",0.0415,3739835.37998246
"2005-10-06",0.0755,2772875.32684203
"2005-10-11",0.059,2669629.8387907
"2005-10-13",0.05,3067027.10476646
"2005-10-20",0.04125,2218505.77381951
"2005-11-03",0.0535,26243681.9118526
"2005-11-08",0.0425,14987428.2072007
"2005-11-10",0.0465,13140924.245187
"2005-11-14",0.087,9979924.17368943
"2005-11-16",0.082,8889999.23359498
"2005-11-17",0.0565,8305096.41775538
"2005-11-23",0.03425,6880700.13473445
"2005-12-01",0.0426666666666667,4568588.3805158
"2005-12-06",0.07,4738331.79191393
"2005-12-08",0.02875,4135715.76911956
"2005-12-14",0.0386666666666667,3767188.09458943
"2005-12-20",0.061,3937274.02656403
"2005-12-22",0.0265,4147948.64685076
"2005-12-29",0.10375,3738709.95523119
"2006-01-03",0.054,3651807.59182875
"2006-01-05",0.03525,3303635.42584333
"2006-01-12",0.0338333333333333,3474088.34414988
"2006-01-17",0.052,2912941.77686427
"2006-01-19",0.026,3460705.57591194
"2006-01-26",0.0356666666666667,2752152.83196538
"2006-01-30",0.062,3048017.21277218
"2006-02-02",0.029,2518896.31938685
"2006-02-09",0.06975,4541553.72072985
"2006-02-13",0.04,3674340.55260962
"2006-02-16",0.063,3205845.80126012
"2006-02-21",0.0435,2951034.95811923
"2006-02-22",0.056,2925933.0930148
"2006-02-28",0.06,2605382.76494644
"2006-03-01",0.055,2928697.72338205
"2006-03-08",0.063,2129450.42393637
"2006-03-13",0.033,1951804.57352388
"2006-03-15",0.067,1580634.59740381
"2006-03-22",0.069,1153389.10976392
"2006-03-28",0.073,711610.963379366
"2006-03-29",0.072,1082120.36410195
"2006-04-05",0.067,1076615.56912291
"2006-04-11",0.031,1254163.55651355
"2006-04-12",0.061,1048284.22429745
"2006-04-18",0.061,791565.05223049
"2006-04-24",0.06,713078.90870711
"2006-04-26",0.06,800715.244773427
"2006-05-03",0.06,1551642.67718087
"2006-05-08",0.057,1490062.37068201
"2006-05-10",0.067,1787101.10775101
"2006-05-16",0.028,1340772.33085044
"2006-05-22",0.065,1162172.31597492
"2006-05-23",0.0335,1437020.61283953
"2006-05-24",0.078,1374241.48432301
"2006-05-31",0.035,1155762.28804378
"2006-06-06",0.0312,612916.105844045
"2006-06-07",0.072,609221.776769222
"2006-06-14",0.061,801571.546214611
"2006-06-19",0.0325,206980.291211904
"2006-06-21",0.067,539543.305212307
"2006-06-28",0.06,775001.735782445
"2006-07-12",0.062,451588.914324979
"2006-07-18",0.051,61555.8407433984
"2006-07-19",0.065,153424.75250471
"2006-07-26",0.072,161229.328497216
"2006-07-31",0.037,115184.776716979
"2006-08-09",0.077,32417.12598768
"2006-08-14",0.056,361799.591777971
"2006-08-31",0.0865,3161391.52358494
"2006-09-06",0.108,7863538.46316998
"2006-09-11",0.143666666666667,6092168.8361813
"2006-09-13",0.364,5735262.39549581
"2006-09-20",0.282,1467553.8756566
"2006-09-25",0.337,517891.111628083
"2006-09-26",0.271,701506.606373395
"2006-10-04",0.257,177474.59012425
"2006-10-10",0.276,262493.09035609
"2006-10-11",0.286,261734.651936755
"2006-10-24",0.256,107282.337702624
"2006-10-25",0.118,161473.98605184
"2007-01-17",0.13,459295.627295635
"2007-07-17",0.115,495774.068690074
"2007-07-26",0.146,3543987.00750595
"2007-08-01",0.189,3151482.89262267
"2007-08-06",0.118,2350865.51087109
"2007-08-08",0.198,2233209.69285241
"2007-08-15",0.202,2289750.05372602
"2007-08-20",0.166,1710107.37531084
"2007-08-21",0.201,1503763.19374095
"2007-08-22",0.181,1290544.13488614
"2007-08-29",0.197,676918.522133683
"2007-09-04",0.069,2200009.66268993
"2007-09-05",0.14,1239704.29503527
"2007-09-12",0.114,1792336.77941996
"2007-09-17",0.08,1081190.66539438
"2007-09-19",0.086,1241686.02122772
"2007-09-26",0.096,1434671.90031514
"2007-10-01",0.084,1123540.8880998
"2007-10-03",0.08,1702718.71716119
"2007-10-10",0.0845,2490197.98822946
"2007-10-15",0.0485,1820252.20640256
"2007-10-17",0.0955,1425277.05021757
"2007-10-24",0.115,1340747.86509498
"2007-10-29",0.128,1462146.94369941
"2007-10-31",0.11,2259852.90055096
"2007-11-05",0.116,965614.436590003
"2007-11-07",0.1065,1099148.52990378
"2007-11-14",0.0965,627057.312501312
"2007-11-20",0.079,408186.664134682
"2007-11-21",0.067,221757.607511194
"2007-11-26",0.076,83550.554904096
"2007-11-28",0.0765,396247.37546903
"2007-12-03",0.041,255911.802136704
"2007-12-05",0.048,340245.261215597
"2007-12-12",0.065,297161.06584631
"2007-12-18",0.075,240791.965260941
"2007-12-19",0.08,304867.778816966
"2007-12-26",0.0775,368943.592372992
"2008-01-02",0.0775,609808.95490032
"2008-01-09",0.078,393874.197189178
"2008-01-16",0.065,301785.093628704
"2008-01-17",0.066,294323.038212672
"2008-01-23",0.0565,322213.999439808
"2008-01-29",0.03,212656.346479181
"2008-01-30",0.0525,157681.793955168
"2008-02-04",0.059,259483.802434214
"2008-02-06",0.059,233256.512578522
"2008-02-13",0.0525,870026.729998406
"2008-02-19",0.0556666666666667,450487.955329171
"2008-02-20",0.057,261220.871072045
"2008-02-27",0.041,46117.949046624
"2008-03-03",0.033,80051.9518729728
"2008-03-05",0.0705,318348.410076749
"2008-03-12",0.069,1484802.23325759
"2008-03-17",0.024,2266189.53121573
"2008-03-20",0.06,2595523.06549509
"2008-03-26",0.0755,3256171.86024628
"2008-04-02",0.0815,4289262.85040158
"2008-04-07",0.085,5229873.28490901
"2008-04-09",0.0905,4080251.9014863
"2008-04-16",0.1085,3208806.15767107
"2008-04-21",0.088,2670804.1950529
"2008-04-23",0.12,2501501.16725309
"2008-04-30",0.0985,1329518.08333774
"2008-05-06",0.051,1160043.7952497
"2008-05-07",0.0795,1641603.26001612
"2008-05-14",0.0675,1065850.63671946
"2008-05-19",0.0235,878736.538943021
"2008-05-20",0.065,851799.742178919
"2008-05-27",0.03,21334.1387632128
"2008-05-28",0.039,348245.563251802
"2008-06-03",0.0214,7657.7814597312
"2008-06-05",0.064,82645.3219519872
"2008-06-12",0.0435,256009.665158554
"2008-06-17",0.035,798684.587070048
"2008-06-26",0.0395,688539.755978323
"2008-07-01",0.018,1139884.01274868
"2008-07-02",0.0435,731183.567749287
"2008-07-09",0.061,3057509.92589159
"2008-07-15",0.066,3381460.99396923
"2008-07-16",0.057,3200194.21174831
"2008-07-24",0.126,5710160.53039139
"2008-07-29",0.158,5800023.25020478
"2008-08-06",0.203,6396155.84780162
"2008-08-13",0.17,3329813.7841881
"2008-08-18",0.173,1668368.79649198
"2008-08-26",0.205,35719513.6599948
"2008-08-28",0.191,34634873.3230802
"2008-09-03",0.203,26264404.4067293
"2008-09-08",0.0508,16131031.0147797
"2008-09-10",0.11,12932133.4880709
"2008-09-17",0.09,6878645.01127561
"2008-09-22",0.098,3835618.81261776
"2008-09-24",0.092,3330743.48289567
"2008-10-01",0.093,875849.579798458
"2008-10-06",0.0605,474709.053236947
"2008-10-08",0.117,713470.360794509
"2008-10-15",0.104,666080.19246384
"2008-10-20",0.06,503945.631014515
"2008-10-22",0.113,617197.613049965
"2008-11-10",0.092,313112.738407795
"2008-11-13",0.037,582480.706048819
"2008-11-18",0.072,255544.815804768
"2008-11-19",0.068,316170.957840595
"2008-11-24",0.063,184594.124963808
"2008-12-10",0.0275,287301.366394963
"2008-12-17",0.057,679487.426457235
"2008-12-23",0.0245,245269.19851056
"2009-01-14",0.0436666666666667,481143.546923558
"2009-01-27",0.063,321847.013107872
"2009-02-02",0.056,458145.736788902
"2009-02-17",0.051,289062.900788256
"2009-02-18",0.036,519970.700842387
"2009-02-19",0.056,446891.489276198
"2009-02-25",0.053,326568.903912115
"2009-03-03",0.0296,176569.357172141
"2009-03-17",0.035,287130.106106726
"2009-03-31",0.0225,618543.229600397
"2009-04-01",0.048,1440666.01040342
"2009-04-08",0.07,468176.696528487
"2009-04-14",0.026,433459.789527341
"2009-04-29",0.0635,140922.751463424
"2009-05-06",0.07,965663.368100928
"2009-05-13",0.0323333333333333,449411.462088826
"2009-05-19",0.06,1163224.34345981
"2009-05-20",0.072,1376100.88173815
"2009-05-27",0.074,6704399.9008724
"2009-06-02",0.12,10981332.0105209
"2009-06-03",0.072,9628473.59647206
"2009-06-10",0.12,9099499.49761951
"2009-06-16",0.052,6559636.02580138
"2009-06-24",0.095,7568359.12351613
"2009-07-01",0.089,7310808.11576344
"2009-07-07",0.061,7477150.7871523
"2009-07-08",0.107,5972335.56592646
"2009-07-15",0.11,7428317.13924935
"2009-07-20",0.082,9846683.6694412
"2009-07-22",0.091,9388464.53538591
"2009-07-29",0.065,9769934.59455566
"2009-08-04",0.029,9656731.54403113
"2009-08-05",0.064,9247982.16752081
"2009-08-12",0.066,8784649.69057388
"2009-08-18",0.031,4052899.18687933
"2009-08-19",0.066,4428008.14962885
"2009-08-26",0.086,5263317.97262611
"2009-08-27",0.068,4457049.00136272
"2009-09-02",0.051,4131899.11126742
"2009-09-08",0.057,8248996.4404801
"2009-09-09",0.106,7246438.71314187
"2009-09-16",0.075,7228945.69798625
"2009-09-22",0.0385,6937313.89287445
"2009-09-30",0.055,4092509.24497296
"2009-10-07",0.041,757312.99458313
"2009-10-14",0.051,200692.592058067
"2009-10-21",0.0596666666666667,458537.188876301
"2009-10-28",0.096,128494.147688525
"2009-11-03",0.082,720492.032612218
"2009-11-09",0.045,168275.466070387
"2009-11-10",0.078,171040.096437638
"2009-11-17",0.076,174391.904935987
"2009-11-18",0.0415,575654.76027481
"2009-11-25",0.07,181095.521932685
"2009-11-30",0.0355,386754.662349619
"2009-12-02",0.063,302934.984135437
"2009-12-09",0.063,648146.793709901
"2009-12-16",0.0316666666666667,1099344.25594748
"2009-12-22",0.056,601294.871999405
"2009-12-28",0.03,161547.383318227
"2009-12-30",0.055,942298.571634336
"2010-01-06",0.057,173804.72680489
"2010-01-11",0.068,710558.935894483
"2010-01-12",0.056,125215.736456563
"2010-01-20",0.058,995462.658254131
"2010-01-25",0.055,1214969.41626278
"2010-01-27",0.058,1424176.09122177
"2010-02-03",0.06,2156093.63163493
"2010-02-08",0.069,3007061.53812812
"2010-02-11",0.075,2714230.91099866
"2010-02-17",0.0755,5463643.57835224
"2010-02-24",0.053,6194337.83099228
"2010-02-25",0.065,5992862.33475942
"2010-03-02",0.068,4498200.40205048
"2010-03-09",0.057,3423982.47696288
"2010-03-15",0.0564,12576205.6776039
"2010-03-17",0.07,14364089.6895297
"2010-03-24",0.074,7595932.02992225
"2010-03-29",0.098,14088238.2966911
"2010-03-31",0.087,16539242.1446698
"2010-04-07",0.113,13328552.1238281
"2010-04-12",0.0475,10710422.7002858
"2010-04-14",0.071,8176822.46186602
"2010-04-21",0.078,8277425.64832741
"2010-04-26",0.109,7250426.63128224
"2010-04-28",0.094,6375090.83234849
"2010-05-06",0.089,8582587.01620992
"2010-05-10",0.036,7009390.00846668
"2010-05-12",0.067,7111045.22241295
"2010-05-20",0.057,5277141.12446237
"2010-05-24",0.064,5469050.51030943
"2010-05-26",0.062,5420559.38298296
"2010-05-27",0.058,5128829.7148493
"2010-06-02",0.053,3613396.35575278
"2010-06-07",0.045,4413842.47721612
"2010-06-09",0.039,3870604.84292899
"2010-06-16",0.086,906260.513838221
"2010-06-21",0.051,1116568.14779301
"2010-06-23",0.085,712956.579929798
"2010-06-29",0.137,259116.816102278
"2010-07-07",0.089,4399750.20206978
"2010-07-08",0.0555,6177211.8021686
"2010-07-14",0.142,4110051.1916395
"2010-07-19",0.187,1466428.45090533
"2010-07-21",0.195,1182772.48207427
"2010-07-28",0.175,605331.721650701
"2010-08-02",0.13,416920.938834758
"2010-08-05",0.135,529365.550939949
"2010-08-11",0.117,729789.01968793
"2010-08-16",0.108,1269112.13310108
"2010-08-18",0.1,872106.31921271
"2010-08-19",0.111,1326631.12419318
"2010-08-25",0.092,4109635.27379664
"2010-09-01",0.077,4663001.7308452
"2010-09-08",0.075,2429743.10648187
"2010-09-14",0.0773333333333333,1130905.08049398
"2010-09-15",0.091,2032101.18295148
"2010-09-22",0.095,1482918.37008699
"2010-09-27",0.106,1228229.8557234
"2010-09-29",0.102,1498405.19329469
"2010-10-06",0.099,496165.520777472
