"Date","S65E_NITRATE_NITRITE_N_Ld_mg","S65E_PHOSPHATE_Ld_mg","S65E_AMMONIA_N_Ld_mg","S65E_S_FLOW_cfs"
"2003-09-15",804013424.335803,1629756941.22122,630172683.938873,21730092.5496163
"2003-09-23",176291181.532533,613979632.233996,620058638.493738,6079006.25974253
"2003-10-07",107718011.643021,387784841.914874,230824310.663616,6155314.95102975
"2003-10-21",136065051.250609,300370018.798514,328609935.095811,2567265.11793602
"2003-11-04",134839953.011585,168061390.710091,191511817.320802,1954202.2175592
"2003-11-18",264216433.705106,151218210.485312,58160850.1866585,1661738.57676167
"2003-12-02",152050168.499811,103551407.85763,52431092.5861416,1310777.31465354
"2003-12-16",262677072.837167,140995781.743479,42491879.4295417,1931449.06497917
"2003-12-30",137008866.699082,96908710.5920337,23391757.7291116,3341679.67558737
"2004-01-13",195042592.820358,238385391.224882,164702633.937191,4334279.8404524
"2004-01-27",205035557.241709,228529214.842321,162319816.149686,4271574.10920227
"2004-02-10",13677653.9885211,15335551.4416752,10154621.9005687,414474.363288518
"2004-02-24",127095807.435071,163812374.027425,73433133.1847079,2824351.27633492
"2004-03-09",120949593.745074,248618609.364874,36956820.3109948,3359710.93736316
"2004-03-15",184344574.258092,184344574.258092,138967448.286869,2836070.37320141
"2004-03-23",175761253.269218,155591929.12357,83558628.6033987,2881332.02080685
"2004-04-06",72217038.3436938,36710327.824711,12637981.7101464,601808.652864115
"2004-04-20",192718908.763806,82083979.6586581,101117945.956318,1189622.89360374
"2004-05-04",99823095.8484702,45304328.1158441,10750179.5529122,1535739.93613031
"2004-05-17",94260622.8509276,61549173.8250349,10760345.0743068,860827.605944544
"2004-05-18",50819239.6847679,38245407.1854439,11526013.1243803,523909.687471834
"2004-06-08",16605764.5337721,43174987.7878075,44282038.7567256,1107050.96891814
"2004-07-20",318018.122378007,15582887.9965223,3180181.22378007,636036.244756013
"2004-08-03",47102255.3203873,60323941.0243556,30575148.1904268,826355.356498022
"2004-08-17",273878939.167426,353615845.507309,270412117.152648,3466822.01477754
"2004-08-31",51254534.4059549,1068459909.53952,898925680.350593,3942656.49276576
"2004-09-14",167694697.967221,4835197124.72153,866422606.163973,27949116.3278701
"2004-09-29",3328935512.49851,10179788306.336,5210507758.69333,48245442.2101234
"2004-10-12",3105529598.11031,2601385182.83266,1512433245.83294,20165776.6111059
"2004-10-26",373124178.33763,337304257.217217,128354717.348144,8954980.28010311
"2004-11-22",553172443.607747,321659532.023764,368781629.071831,4097573.65635368
"2004-12-07",584057866.508948,281599328.495386,177303280.904502,3476534.91969612
"2004-12-21",235844989.506444,93158770.8550454,49527447.7963533,2358449.89506444
"2005-01-04",556218576.957348,162856790.550575,175384235.977542,2505489.08539346
"2005-01-18",459409344.127024,159344682.422436,80707046.941234,2069411.46003164
"2005-02-01",475518869.742753,134944544.116187,81395121.8478586,2141976.89073312
"2005-02-03",289593171.572149,121713072.110034,46167027.3520817,2098501.24327644
"2005-02-14",375397854.390017,115814231.673516,35942347.7607463,1996797.09781924
"2005-02-15",179874680.735111,57959619.3479802,13990252.9460642,999303.781861728
"2005-03-01",195212862.245498,77299052.8354657,62887365.018684,2620306.8757785
"2005-03-15",551148367.192587,322744539.34701,84410110.2907566,4965300.60533862
"2005-03-29",301238895.638007,747903465.032292,238913606.885316,10387548.1254485
"2005-04-12",186900364.936716,338756911.447797,99290818.8726303,5840636.40427237
"2005-04-26",38091957.9671837,201887377.226074,68565524.3409307,3809195.79671837
"2005-05-10",346570882.2904,374076507.869004,396081008.331886,5501125.11572064
"2005-05-16",16396252.0368698,111130152.69434,49188756.1106093,3643611.56374884
"2005-05-24",76418395.734719,164593467.736318,79357564.8014389,2939169.06671996
"2005-06-07",17071103.2026669,990123985.75468,79665148.2791122,17071103.2026669
"2005-06-21",234117902.896842,1297403378.55333,595049669.862806,9754912.62070174
"2005-07-05",98077341.8674508,1753132485.88068,208414351.468333,24519335.4668627
"2005-07-19",90831270.1406408,1067267424.15253,113539087.675801,22707817.5351602
"2005-08-02",24777008.8033927,334489618.845801,194086568.959909,8259002.93446422
"2005-08-16",240860322.581703,707041592.094676,404023766.911243,7769687.82521622
"2005-08-22",143316236.320311,560236196.524851,273603723.884229,6514374.37819594
"2005-08-30",257802319.992795,523920843.856325,382545378.053824,8316203.87073531
"2005-09-12",37968993.0802296,248907843.52595,126563310.267432,8437554.01782881
"2005-10-11",133481491.939535,157508160.488651,112124453.229209,2669629.8387907
"2005-11-08",427141703.90522,636965698.80603,112405711.554005,14987428.2072007
"2005-11-14",558875753.726608,868253403.11098,299397725.210683,9979924.17368943
"2005-11-16",408939964.745369,728979937.154788,275589976.241444,8889999.23359498
"2005-12-06",402758202.312684,331683225.433975,208486598.844213,4738331.79191393
"2005-12-20",330731018.231378,240173715.620406,141741864.956305,3937274.02656403
"2006-01-03",354225336.407389,197197609.958752,65732536.6529175,3651807.59182875
"2006-01-17",294207119.463291,151472972.396942,96127078.6365209,2912941.77686427
"2006-01-30",384050168.809295,188977067.191875,140208791.78752,3048017.21277218
"2006-02-13",207600241.222444,146973622.104385,86347002.9863261,3674340.55260962
"2006-02-28",270959807.55443,156322965.896786,85977631.2432325,2605382.76494644
"2006-03-13",117108274.411433,64409550.926288,40987896.0440015,1951804.57352388
"2006-03-28",135917694.005459,51947600.3266937,31310882.3886921,711610.963379366
"2006-04-11",112247638.307963,38879070.2519201,38879070.2519201,1254163.55651355
"2006-04-24",86282547.9535603,42784734.5224266,19253130.535092,713078.90870711
"2006-05-08",38741621.6377323,84933555.1288746,22350935.5602301,1490062.37068201
"2006-05-22",24405618.6354733,75541200.5383698,29054307.899373,1162172.31597492
"2006-06-19",2069802.91211904,6726859.46438688,1966312.76651309,206980.291211904
"2006-07-18",430890.885203789,3139347.87791332,554002.566690586,61555.8407433984
"2006-07-31",8120526.75854702,4261836.73852822,2015733.59254713,115184.776716979
"2006-08-31",357237242.165098,273460366.790097,208651840.556606,3161391.52358494
"2006-09-25",5696802.22790891,174529304.618664,185405017.962854,517891.111628083
"2006-10-10",3149917.08427308,72448092.9382808,114971973.575967,262493.09035609
"2006-10-24",4505858.18351021,27464278.4518717,58039744.6971196,107282.337702624
"2007-07-17",12394351.7172519,57014017.8993585,22805607.1597434,495774.068690074
"2007-08-06",4701731.02174218,277402130.282789,181016644.337074,2350865.51087109
"2007-08-20",5985375.81358794,283877824.301599,339883840.843029,1710107.37531084
"2007-08-21",9022579.1624457,302256401.941931,452632721.316026,1503763.19374095
"2007-09-04",40700178.7597637,151800666.725605,309101357.607935,2200009.66268993
"2007-09-17",215156942.413482,86495253.2315504,72439774.5814235,1081190.66539438
"2007-10-01",304479580.675046,94377434.6003832,60671207.9573892,1123540.8880998
"2007-10-15",129237906.654582,88282232.0105242,50056935.6760704,1820252.20640256
"2007-10-29",372847470.64335,187154808.793524,58485877.7479764,1462146.94369941
"2007-11-05",276165728.864741,112011274.64444,26071589.7879301,965614.436590003
"2007-11-20",104087599.354344,32246746.4666399,14694719.9088486,408186.664134682
"2007-11-26",21890245.3848732,6349842.1727113,2172314.4275065,83550.554904096
"2007-12-03",34701640.3697371,10492383.8876049,4759959.51974269,255911.802136704
"2007-12-18",57790071.6626258,18059397.3945706,8427718.78413294,240791.965260941
"2008-01-17",65634037.5214259,19425320.5220364,10595629.3756562,294323.038212672
"2008-01-29",20840321.9549597,6379690.39437543,1382266.25211468,212656.346479181
"2008-02-04",55270049.9184876,15309544.3436186,4930192.24625007,259483.802434214
"2008-02-19",59464410.1034506,25077162.8466572,8108783.19592508,450487.955329171
"2008-02-20",23248657.525412,14889589.6511066,3657092.19500863,261220.871072045
"2008-03-03",288187.026742702,2641714.4118081,688446.786107566,80051.9518729728
"2008-03-17",2266189.53121573,54388548.7491775,9064758.12486292,2266189.53121573
"2008-04-07",67988352.7038171,444539229.217266,130746832.122725,5229873.28490901
"2008-04-21",13354020.9752645,235030769.164655,61428496.4862167,2670804.1950529
"2008-06-17",26356591.3733116,27953960.5474517,9584215.04484058,798684.587070048
"2008-07-16",12800776.8469932,182411070.069654,420825538.844903,3200194.21174831
"2008-08-06",31980779.2390081,1298419637.10373,1068158026.58287,6396155.84780162
"2008-08-26",1285902491.75981,7322500300.29893,2821841579.13959,35719513.6599948
"2008-08-28",207809239.938481,6615260804.70832,2424441132.61561,34634873.3230802
"2008-09-08",225834434.206916,819456375.550809,1025933572.53999,16131031.0147797
"2008-09-22",46027425.7514131,375890643.636541,621370247.644077,3835618.81261776
"2008-10-06",74291966.8315822,28719897.7208353,14953335.1769638,474709.053236947
"2008-10-20",135561374.742905,30236737.8608709,3527619.4171016,503945.631014515
"2008-11-13",125524592.15352,21551786.1238063,6989768.47258583,582480.706048819
"2008-11-19",113505373.864774,21499625.1331605,6639590.11465249,316170.957840595
"2008-11-24",68484420.3615728,11629429.8727199,4614853.1240952,184594.124963808
"2008-12-10",41227746.0776772,7900787.57586148,2729362.98075215,287301.366394963
"2008-12-23",12508729.1240386,6009095.36350872,1716884.38957392,245269.19851056
"2009-01-14",30071471.6827224,21009934.8823287,6014294.33654448,481143.546923558
"2009-01-27",63725708.5953587,20276361.8257959,6115093.24904957,321847.013107872
"2009-02-02",67805569.0447575,25656161.2601785,14202517.840456,458145.736788902
"2009-02-17",2023440.30551779,14742207.9402011,5203132.21418861,289062.900788256
"2009-02-18",16639062.4269564,18718945.2303259,9879443.31600535,519970.700842387
"2009-03-03",6391810.7296315,5226452.97229537,1306613.24307384,176569.357172141
"2009-03-31",9278148.44400596,13917222.6660089,7113247.14040457,618543.229600397
"2009-04-14",22973368.8449491,11269954.5277109,6285166.94814644,433459.789527341
"2009-04-29",18601803.193172,8948594.71792742,3804914.28951245,140922.751463424
"2009-05-13",1348234.38626648,14530970.6075387,1572940.11731089,449411.462088826
"2009-05-20",8256605.2904289,99079263.4851468,26145916.7530249,1376100.88173815
"2009-05-27",536351992.069792,496125592.664558,201131997.026172,6704399.9008724
"2009-06-16",203348716.799843,341101073.341672,83088722.9934844,6559636.02580138
"2009-07-07",149543015.743046,456106198.01629,418720444.080529,7477150.7871523
"2009-07-20",334787244.761001,807428060.894179,1388382397.39121,9846683.6694412
"2009-08-04",120709144.300389,280045214.776903,675971208.082179,9656731.54403113
"2009-08-18",54714139.022871,125639874.793259,251279749.586518,4052899.18687933
"2009-08-26",294745806.467062,452645345.645845,836867557.647551,5263317.97262611
"2009-09-08",70116469.7440809,470192797.107366,346457850.500164,8248996.4404801
"2009-09-22",91572543.3859427,267086584.875666,285817332.386427,6937313.89287445
"2009-10-07",17039542.3781204,31049832.7779083,38244306.2264481,757312.99458313
"2009-10-21",61673251.9038625,27359385.6029526,11004892.5330312,458537.188876301
"2009-11-09",25073044.4444877,7572395.97316741,3702060.25354851,168275.466070387
"2009-11-18",102754374.709054,23889672.5514046,5756547.6027481,575654.76027481
"2009-11-30",72129744.5282039,13729790.5134115,3094037.29879695,386754.662349619
"2009-12-16",165451310.520096,34812568.1050036,12092786.8154223,1099344.25594748
"2009-12-28",26574544.5558483,4846421.49954681,1453926.44986404,161547.383318227
"2010-01-11",225957741.614446,48318007.6408248,24159003.8204124,710558.935894483
"2010-01-25",269723210.410337,66823317.8944529,94767614.4684968,1214969.41626278
"2010-02-08",673581784.540699,207487246.13084,318748523.041581,3007061.53812812
"2010-02-17",1354983607.43136,412505090.165594,387918694.063009,5463643.57835224
"2010-02-24",346882918.535568,328299905.042591,123886756.619846,6194337.83099228
"2010-03-15",797331439.960087,709298000.21686,636356007.286757,12576205.6776039
"2010-03-29",788941344.614702,1380647353.07573,1127059063.73529,14088238.2966911
"2010-04-12",401640851.260718,508745078.263575,348088737.759288,10710422.7002858
"2010-04-26",355270904.93283,790296502.809764,362521331.564112,7250426.63128224
"2010-05-10",52570425.0635001,252338040.3048,143692495.173567,7009390.00846668
"2010-05-24",120319111.226807,350019232.659804,235169171.943305,5469050.51030943
"2010-05-26",92149509.5107103,336074681.744943,151775662.723523,5420559.38298296
"2010-06-07",38621121.6756411,198622911.474725,98207995.1180587,4413842.47721612
"2010-06-21",10049113.3301371,56944975.5374435,65877520.7197876,1116568.14779301
"2010-07-08",154430295.054215,342835255.020357,185316354.065058,6177211.8021686
"2010-07-19",7332142.25452665,274222120.319297,275688548.770202,1466428.45090533
"2010-08-02",46278224.2106581,54199722.0485185,54199722.0485185,416920.938834758
"2010-08-16",129449437.57631,137064110.374917,206865277.695476,1269112.13310108
"2010-08-18",115118034.136078,87210631.921271,98548014.0710362,872106.31921271
"2010-09-14",15832671.1269157,87456659.5582011,109320824.447751,1130905.08049398
"2010-09-27",78606710.7662976,130192364.70668,195288547.060021,1228229.8557234
"2010-10-11",236049400.893332,59712101.4117519,33588057.0441105,933001.584558624
"2010-10-26",103531933.116282,25297395.4220779,8900935.42628667,468470.285594035
"2010-11-09",31674370.1175969,10002432.6687148,8891051.26107984,185230.23460583
"2010-11-17",32305660.0057933,9203356.6295574,3005177.67495752,187823.604684845
"2010-11-29",39651919.0012217,10354959.7391726,6819119.82823558,252559.993638355
"2010-12-09",73088263.8957099,28209505.3632564,8334626.5845985,641125.121892192
"2010-12-22",10993564.8882521,15426453.9560957,5319466.88141232,354631.125427488
"2011-01-10",6676949.32324359,8457469.14277521,11350813.8495141,222564.977441453
"2011-01-24",2112862.64173286,1901576.37755958,1954397.9436029,52821.5660433216
"2011-02-17",57325711.6239494,25223313.1145377,17770970.6034243,573257.116239494
"2011-03-09",5032116.58350644,13272207.4889982,6877225.99745879,251605.829175322
"2011-07-20",80162683.8821956,967417844.12377,736039188.372887,3643758.35828162
"2011-08-03",26106673.6812631,442073007.669389,377676545.922274,1740444.91208421
"2011-08-17",53015334.826584,234592856.607634,408218078.164697,1325383.3706646
"2011-08-24",136689882.179363,253595702.464345,388487033.562401,1798551.08130741
"2011-08-31",67630198.5096028,115437752.62846,192396254.380767,1166037.90533798
"2011-09-14",40761318.6826643,359209120.890979,236075970.703764,5095164.83533304
"2011-09-28",63900540.8838931,340802884.714096,731306190.115665,3550030.04910517
"2011-10-12",548451776.091276,7653395239.0919,4287895703.98634,49859252.3719342
"2011-10-26",402552812.295577,1730977092.87098,858779332.897232,26836854.1530385
"2011-11-07",341623172.563239,691380230.187508,569371954.272065,8133885.0610295
"2011-11-16",312140224.628164,295492745.981329,266359658.349367,4161869.66170886
"2011-11-22",230988292.389602,230988292.389602,251455609.436782,2923902.43531142
"2011-12-07",146665940.763689,85657839.3535833,67786779.3445623,1232486.89717386
"2011-12-21",262916935.103721,80720111.6546512,56888459.6423256,1537525.93627907
"2012-01-04",199120055.625722,52340128.9073326,44375326.6823038,1137828.88928984
"2012-01-18",186551287.537778,58776433.0598478,68998421.4180822,1277748.5447793
"2012-02-01",94432531.4816844,62683663.1387043,104201414.048755,1628147.0945118
"2012-02-15",196639179.090323,100529018.523705,66282869.3562888,2209428.97854296
"2012-02-22",136277976.720398,88179867.2896693,34069494.1800995,2004087.89294703
"2012-02-29",44845729.7625793,64577850.8581141,80722313.5726426,1793829.19050317
"2012-03-14",74038611.7008914,64441013.8878129,37019305.8504457,1371085.40186836
"2012-03-28",5418284.06772496,5821773.30681087,8185067.42145686,115282.639738829
"2012-04-11",2490369.2485177,1631621.23178746,973247.752294272,28624.933891008
"2012-04-25",84377497.4387248,67501997.9509798,15820780.7697609,1054718.71798406
"2012-05-23",11507517.0132508,88224297.1015892,28768792.5331269,1917919.50220846
"2012-07-11",3589003.99755677,117360430.720106,107670119.926703,717800.799511354
"2012-07-25",232633174.06085,178072300.763074,239828014.495722,1199140.07247861
"2012-08-08",50183961.8784312,42995074.7773889,37119542.0505751,414743.486598605
"2012-08-22",179227316.845576,137056183.470147,126513400.126289,1317847.91798218
"2012-09-05",118802576.908715,4013829919.84444,1731123263.52699,16971796.701245
"2012-09-19",72295915.9393046,1188364118.25232,1301326486.90748,9036989.49241308
"2012-10-03",82642581.7873752,1146665822.29983,1095014208.68272,10330322.7234219
"2012-10-17",106696529.653832,683524643.094863,700195975.853275,6668533.10336452
"2012-10-31",108917139.482621,237802421.203723,455636700.168966,1815285.65804369
"2012-11-14",94681617.3380469,87998209.0553612,144807179.458189,1113901.38044761
"2012-11-28",306748412.507851,129239178.873866,104325602.223482,1557098.54064899
"2012-12-05",43373429.5303629,12333676.6437051,10689186.4245444,205561.277395085
"2012-12-19",386644908.970615,159517435.121756,219732625.863082,2112813.71022194
"2013-01-02",102800284.699179,61011551.0816264,73548171.1668921,835774.672351046
"2013-01-16",125177056.097177,31665342.2538314,11874503.3451868,494770.972716115
"2013-01-30",160513215.834832,39831057.2627175,21401762.1113109,594493.391980858
"2013-02-06",71190210.5869369,16479215.4136428,8437358.29178512,263667.446618285
"2013-02-13",36723759.5244599,33412600.8788119,10234490.3592757,602028.844663277
"2013-03-13",11999939.2734425,19454447.0039143,14909015.4609437,363634.523437651
"2013-06-19",51000726.658788,661415673.856157,500444630.339357,3187545.41617425
"2013-07-02",214679664.455922,1540326592.47124,1384683835.7407,10733983.2227961
"2013-07-17",143484242.663071,2518945593.41836,1466727813.88917,15942693.6292301
"2013-07-31",230064710.120897,2887312112.01726,1679472383.88255,23006471.0120897
"2013-08-07",117336075.060544,1651086199.06622,1089549268.41933,16762296.4372205
"2013-08-14",532049444.314173,892660734.349335,780339184.99412,11823320.9847594
"2013-08-28",260016715.519696,717015791.281587,1008549684.44003,7879294.40968777
"2013-09-11",215226620.885039,669220274.314417,739841509.292321,6725831.90265746
"2013-09-25",172091145.292303,625981541.000753,653946352.110752,4302278.63230758
"2013-10-09",54356841.1300983,189203620.087457,236243194.14235,2090647.73577301
"2013-10-23",137593451.460101,60770441.0615445,64210277.348047,764408.063667226
"2013-11-04",186003939.656573,61355466.2061613,27125574.5332503,645847.012696435
"2013-11-06",223234703.03148,54404683.9149048,15443910.2726181,701995.921482643
"2013-11-20",210359574.753637,44731633.7119803,14507556.8795612,805975.382197843
"2013-12-04",108882667.233175,20995312.515814,15624418.6164197,488263.081763117
"2013-12-18",109655051.133123,30017304.5001287,20215735.6837601,612598.051023034
"2013-12-30",91809606.7700711,27784486.2593636,12684221.9879704,604010.570855731
"2014-01-15",92033688.6243512,27292749.0403248,8886011.3154546,634715.093961043
"2014-01-29",120697033.751435,50513943.7552303,5364312.6111749,894052.101862483
"2014-02-03",171330358.160444,61003991.1631883,28555059.6934073,1297957.25879124
"2014-02-12",176587217.173629,219752981.371627,78483207.6327238,3924160.38163619
"2014-03-12",13124532.1890271,103537976.157881,55414691.4647813,1458281.35433635
"2014-03-26",44239517.2737319,158741797.276332,166548770.912873,2602324.54551364
"2014-07-01",143907231.10926,806752659.248884,907051638.506853,4360825.1851291
"2014-07-16",278643424.851929,1017048500.70954,1079743271.30123,6966085.62129823
"2014-07-30",43184137.9803503,1070966621.91269,975961518.355917,8636827.59607006
"2014-08-13",74148365.0798957,804509761.116868,800802342.862873,7414836.50798957
"2014-08-18",253981405.09921,1136869146.63456,1209435262.37719,12094352.6237719
"2014-08-27",32761114.5094814,507797274.896961,799371194.031345,6552222.90189627
"2014-09-10",217644326.839833,404742081.491619,1118768206.38721,3818321.52350584
"2014-09-24",300329772.630778,593833868.610857,1460694803.2497,6825676.65069951
"2014-10-08",87518973.8373636,868938383.099539,675146369.602519,12502710.5481948
"2014-10-22",79376990.6112762,168434102.028806,362036518.15387,1936024.16125064
"2014-11-03",279684687.404409,103813093.578056,39082576.4058563,1221330.51268301
"2014-11-05",324353823.344061,91525583.8149082,28902815.9415499,1070474.66450185
"2014-11-19",181297853.730359,46989443.7219501,46619448.1020922,739991.23971575
"2014-12-03",465904561.818694,267690778.939688,196170341.818397,4086882.12121661
"2014-12-17",101488112.836464,232251642.837292,144425391.344199,3903388.95524861
"2014-12-30",90389614.3230333,199610398.296699,131818187.554424,3766233.93012639
"2015-01-14",292590177.684781,205131157.181178,181278697.043832,3180328.01831284
"2015-01-28",281113756.646723,391279958.575844,281113756.646723,7597669.09856008
"2015-02-02",171106202.908898,282697204.806005,119030402.023581,7439400.12647382
"2015-02-11",277672525.812159,317340029.499611,247921898.046571,9916875.92186283
"2015-02-25",255336612.225783,336193206.097281,212780510.188153,8511220.4075261
"2015-03-11",370144396.116842,712247550.103619,403793886.672918,11216496.8520255
"2015-03-25",165348701.141686,214140121.150709,243957100.045111,2710634.44494568
"2015-04-08",95332895.7484558,142999343.622684,155256430.218914,2723797.02138445
"2015-04-22",129322313.510927,302614213.615569,393139833.073218,5172892.54043708
"2015-05-04",126611165.285117,379833495.85535,211018608.808528,7033953.62695093
"2015-05-06",42140649.0441235,337125192.352988,114381761.691192,6020092.72058907
"2015-06-03",8587088.71521504,67086630.5876175,93384589.7779635,1073386.08940188
"2015-07-01",12725862.7037674,66174486.0595905,45813105.7335626,1272586.27037674
"2015-07-29",50952431.2575053,119888073.547071,185826513.99796,1498600.91933839
"2015-08-03",129901784.929054,121466604.089505,161955472.11934,1687036.16790979
"2015-08-12",175726267.238906,262775853.324846,181149917.462329,3254190.13405382
"2015-10-07",108306841.212612,613738766.871468,772588800.649966,7220456.0808408
"2015-10-21",112777835.694588,240592716.148455,387203902.55142,3759261.18981961
"2015-10-26",130382170.037558,208611472.060093,243380050.736775,4346072.33458527
"2015-11-04",83776912.0736343,186886957.702723,141776312.739996,3222188.92590901
"2015-11-18",100550805.278944,96206017.39652,166343307.498499,1241367.96640671
"2015-12-02",365398406.543469,207251665.371493,60659024.0111688,1444262.4764564
"2015-12-21",169560016.095186,152402157.323649,109002867.489762,1009285.81009039
"2016-01-04",267958984.783943,125427609.898867,54732047.9558693,1140250.99908061
"2016-01-20",695944072.211464,1102485658.94885,537461758.737567,6890535.36843034
"2016-02-01",797766216.007256,1960774795.96964,682426522.126689,9611641.15671393
"2016-02-15",86666513.5197873,519999081.118724,233999586.503426,8666651.35197873
"2016-02-29",196521670.066837,828808782.455792,384498919.695986,8544420.43768858
"2016-03-14",47177071.6005915,101093724.85841,59308318.5836007,1347916.33144547
"2016-03-28",731034448.969743,414911444.009854,304268392.273893,3951537.56199861
"2016-04-11",97965998.2143413,721385986.851059,293897994.643024,8905999.83766739
"2016-04-25",60814308.1610885,327461659.328938,107594545.20808,4678023.70469912
"2016-05-09",189145342.657945,315242237.763242,204907454.546108,3940527.97204053
