"","date","L001_RAIN_Inches","L005_RAIN_Inches","L006_RAIN_Inches","LZ40_RAIN_Inches","average_rainfall"
"137","2000-05-16",0,0,0,0,0
"138","2000-05-17",0,0,0,0,0
"139","2000-05-18",0,0,0,0,0
"140","2000-05-19",0,0,0,0,0
"141","2000-05-20",0,0,0,0,0
"142","2000-05-21",0,0,0,0,0
"143","2000-05-22",0,0,0,0,0
"144","2000-05-23",0,0,0,0,0
"145","2000-05-24",0,0,0,0,0
"146","2000-05-25",0,0,0,0,0
"147","2000-05-26",0,0,0,0,0
"148","2000-05-27",0,0,0,0,0
"149","2000-05-28",0,0,0,0,0
"150","2000-05-29",0,0,0,0,0
"151","2000-05-30",0,0,0,0,0
"152","2000-05-31",0,0,0,0,0
"153","2000-06-01",0,0,0,0,0
"154","2000-06-02",0,0,0,0,0
"155","2000-06-03",0,0,0,0,0
"156","2000-06-04",0,0,0,0.01,0.0025
"157","2000-06-05",0,0.12,0.1,0.02,0.06
"158","2000-06-06",0.12,0.05,0.01,0.01,0.0475
"159","2000-06-07",0.82,0.08,0.12,0.86,0.47
"160","2000-06-08",0,0,0.89,0.62,0.3775
"161","2000-06-09",0.01,0,0,0,0.0025
"162","2000-06-10",0,0,0,0,0
"163","2000-06-11",0,0.39,0.81,0.82,0.505
"164","2000-06-12",0,0,0.15,0.08,0.0575
"165","2000-06-13",0,0.07,0,0,0.0175
"166","2000-06-14",0,0,0,0,0
"167","2000-06-15",0,0,0,0,0
"168","2000-06-16",0,0,0,0,0
"169","2000-06-17",0,0,0,0,0
"170","2000-06-18",0,0,0,0,0
"171","2000-06-19",0.01,0.51,0,0.03,0.1375
"172","2000-06-20",0,0,0,0,0
"173","2000-06-21",0,0,0,0,0
"174","2000-06-22",0,0,0,0,0
"175","2000-06-23",0.01,0.14,0,0,0.0375
"176","2000-06-24",0.11,3.31,0.98,1.01,1.3525
"177","2000-06-25",0.59,0.03,0.29,0.11,0.255
"178","2000-06-26",0.13,0.01,0,0,0.035
"179","2000-06-27",0.67,0.05,0.26,0.05,0.2575
"180","2000-06-28",0.56,0.25,0.02,0.04,0.2175
"181","2000-06-29",0.01,0.01,0.95,0.04,0.2525
"182","2000-06-30",0.14,0,0,0.06,0.05
"183","2000-07-01",1.16,0.8,0.49,1.37,0.955
"184","2000-07-02",0,0,0,0,0
"185","2000-07-03",0.01,0.01,0.11,0.15,0.07
"186","2000-07-04",0.23,0,0,0,0.0575
"187","2000-07-05",0,0,0,0,0
"188","2000-07-06",0,0,0,0,0
"189","2000-07-07",1.23,0.37,0.14,0.48,0.555
"190","2000-07-08",0.05,0.01,0.06,0.07,0.0475
"191","2000-07-09",0,0,0,0,0
"192","2000-07-10",0,0,0,0,0
"193","2000-07-11",0,0,0,0,0
"194","2000-07-12",0,0,0,0,0
"195","2000-07-13",0.02,0.12,0.01,0.18,0.0825
"196","2000-07-14",0.16,0,0,0,0.04
"197","2000-07-15",0,0.03,0,0,0.0075
"198","2000-07-16",0.57,0,0,0,0.1425
"199","2000-07-17",0,0,0,0,0
"200","2000-07-18",0.13,0,0.21,0.18,0.13
"201","2000-07-19",0.02,0.16,0,0.17,0.0875
"202","2000-07-20",0,0.63,0,0,0.1575
"203","2000-07-21",0,0.08,0,0,0.02
"204","2000-07-22",0.05,0,0,0,0.0125
"205","2000-07-23",0.52,0.02,0.13,0,0.1675
"206","2000-07-24",0.14,0.39,0.36,0.1,0.2475
"207","2000-07-25",0,0.08,0.04,0,0.03
"208","2000-07-26",0,0.03,0.16,0,0.0475
"209","2000-07-27",0.17,0,0,0,0.0425
"210","2000-07-28",0.01,0,0,0,0.0025
"211","2000-07-29",0,0,0,0,0
"212","2000-07-30",1.68,0.22,0.67,1.01,0.895
"213","2000-07-31",0.02,0,0.03,0,0.0125
"214","2000-08-01",0.62,0,0.02,0.31,0.2375
"215","2000-08-02",0.01,0,0.03,0,0.01
"216","2000-08-03",0.01,0,0,0.06,0.0175
"217","2000-08-04",0,0,0,0,0
"218","2000-08-05",0,0.01,0,0.04,0.0125
"219","2000-08-06",0.09,0.05,0.22,0.37,0.1825
"220","2000-08-07",0,0,0,0,0
"221","2000-08-08",0,0,0,0,0
"222","2000-08-09",0,0,0,0,0
"223","2000-08-10",0,0.01,0.05,0,0.015
"224","2000-08-11",0,0,0,0,0
"225","2000-08-12",0,0.01,0,0,0.0025
"226","2000-08-13",0,0.05,0,0.01,0.015
"227","2000-08-14",1,0.13,0.32,0.25,0.425
"228","2000-08-15",0.11,0,0.1,0.14,0.0875
"229","2000-08-16",0,0,0,0,0
"230","2000-08-17",0,0,0,0,0
"231","2000-08-18",0,0,0,0,0
"232","2000-08-19",0,0,0,0,0
"233","2000-08-20",0,0,0,0,0
"234","2000-08-21",0.5,0,0,0.11,0.1525
"235","2000-08-22",1.09,0.17,0.01,0.07,0.335
"236","2000-08-23",0,0,0.01,0,0.0025
"237","2000-08-24",0,0.02,0.2,0.35,0.1425
"238","2000-08-25",0,0,0.66,0,0.165
"239","2000-08-26",0.03,0,0.32,0.04,0.0975
"240","2000-08-27",0.86,0.24,0.68,0.74,0.63
"241","2000-08-28",0,0,0,0,0
"242","2000-08-29",0.01,0.01,0,0.01,0.0075
"243","2000-08-30",0.61,0,0.03,0,0.16
"244","2000-08-31",0.14,0,0,0,0.035
"245","2000-09-01",1.79,0.01,0,0,0.45
"246","2000-09-02",0,0,0,0,0
"247","2000-09-03",0,0,0,0,0
"248","2000-09-04",0.02,0.59,0,0,0.1525
"249","2000-09-05",3.48,0.4,0.39,0.54,1.2025
"250","2000-09-06",0,0.25,0.35,0.12,0.18
"251","2000-09-07",0.35,0,0.21,0.01,0.1425
"252","2000-09-08",0,0,0,0.15,0.0375
"253","2000-09-09",0,0,0,0,0
"254","2000-09-10",0,0,0,0.01,0.0025
"255","2000-09-11",0,0,0,0,0
"256","2000-09-12",0,0,0,0,0
"257","2000-09-13",0,0,0,0,0
"258","2000-09-14",0,0,0,0,0
"259","2000-09-15",0,0,0,0,0
"260","2000-09-16",0.05,0.05,0.01,0.03,0.035
"261","2000-09-17",2.95,1.42,1.07,2.07,1.8775
"262","2000-09-18",0.01,0,0.48,0.57,0.265
"263","2000-09-19",0.02,0.03,0.09,0,0.035
"264","2000-09-20",0,0.02,0.41,0.53,0.24
"265","2000-09-21",0.01,0.03,0.39,0.4,0.2075
"266","2000-09-22",0,0,0,0.01,0.0025
"267","2000-09-23",0,0,0,0,0
"268","2000-09-24",0,0,0,0,0
"269","2000-09-25",0,0,0,0,0
"270","2000-09-26",0,0,0.02,0,0.005
"271","2000-09-27",0,0,0,0,0
"272","2000-09-28",0.02,0.36,0,0.25,0.1575
"273","2000-09-29",0,0,0,0,0
"274","2000-09-30",0,0.03,0,0,0.0075
"275","2000-10-01",0,0,0,0,0
"276","2000-10-02",0,0,0,0,0
"277","2000-10-03",0.56,0.53,0.36,0.43,0.47
"278","2000-10-04",0.82,0.17,0.86,0.74,0.6475
"279","2000-10-05",0.04,0.01,0,0,0.0125
"280","2000-10-06",0,0.07,0.6,0.25,0.23
"281","2000-10-07",0.06,0,0,0,0.015
"282","2000-10-08",0,0.11,0,0,0.0275
"283","2000-10-09",0,0,0,0,0
"284","2000-10-10",0,0,0,0,0
"285","2000-10-11",0,0,0,0,0
"286","2000-10-12",0,0,0,0,0
"287","2000-10-13",0,0,0,0,0
"288","2000-10-14",0,0,0,0,0
"289","2000-10-15",0,0,0,0,0
"290","2000-10-16",0,0,0,0,0
"291","2000-10-17",0,0,0,0,0
"292","2000-10-18",0,0,0,0,0
"293","2000-10-19",0,0,0,0,0
"294","2000-10-20",0,0,0,0,0
"295","2000-10-21",0.01,0,0.04,0.02,0.0175
"296","2000-10-22",0,0,0,0,0
"297","2000-10-23",0,0,0,0,0
"298","2000-10-24",0.16,0.07,0.02,0.24,0.1225
"299","2000-10-25",0,0,0,0.01,0.0025
"300","2000-10-26",0,0,0.08,0.02,0.025
"301","2000-10-27",0,0,0,0,0
"302","2000-10-28",0,0,0,0,0
"303","2000-10-29",0,0,0,0,0
"304","2000-10-30",0,0,0,0,0
"305","2000-10-31",0,0,0,0,0
"306","2000-11-01",0,0,0,0,0
"307","2000-11-02",0,0,0,0,0
"308","2000-11-03",0,0,0,0,0
"309","2000-11-04",0,0,0,0,0
"310","2000-11-05",0,0,0,0,0
"311","2000-11-06",0,0,0,0,0
"312","2000-11-07",0,0,0,0,0
"313","2000-11-08",0,0,0,0,0
"314","2000-11-09",0,0,0,0,0
"315","2000-11-10",0,0,0.04,0,0.01
"316","2000-11-11",0,0,0,0,0
"317","2000-11-12",0,0,0,0,0
"318","2000-11-13",0,0,0,0,0
"319","2000-11-14",0,0,0,0,0
"320","2000-11-15",0,0,0,0,0
"321","2000-11-16",0,0,0,0,0
"322","2000-11-17",0,0,0,0,0
"323","2000-11-18",0,0,0,0,0
"324","2000-11-19",0,0,0,0,0
"325","2000-11-20",0.07,0.33,0.17,0.34,0.2275
"326","2000-11-21",0,0,0,0,0
"327","2000-11-22",0,0,0,0,0
"328","2000-11-23",0,0,0,0,0
"329","2000-11-24",0,0,0,0,0
"330","2000-11-25",0,0.03,0,0.02,0.0125
"331","2000-11-26",0.07,0,0.02,0.17,0.065
"332","2000-11-27",0.01,0,0,0.01,0.005
"333","2000-11-28",0,0.01,0,0,0.0025
"334","2000-11-29",0.02,0,0,0,0.005
"335","2000-11-30",0,0,0,0,0
"336","2000-12-01",0,0,0,0,0
"337","2000-12-02",0,0,0,0,0
"338","2000-12-03",0,0,0,0,0
"339","2000-12-04",0,0,0,0,0
"340","2000-12-05",0,0,0,0,0
"341","2000-12-06",0,0,0.01,0,0.0025
"342","2000-12-07",0,0,0,0,0
"343","2000-12-08",0,0,0,0,0
"344","2000-12-09",0,0,0.03,0,0.0075
"345","2000-12-10",0.01,0.04,0,0,0.0125
"346","2000-12-11",0.07,0.04,0.01,0.01,0.0325
"347","2000-12-12",0.01,0.05,0,0,0.015
"348","2000-12-13",0,0,0,0,0
"349","2000-12-14",0,0,0,0,0
"350","2000-12-15",0,0,0.06,0,0.015
"351","2000-12-16",0,0,0,0,0
"352","2000-12-17",0,0.01,0,0,0.0025
"353","2000-12-18",0,0,0,0,0
"354","2000-12-19",0,0,0,0,0
"355","2000-12-20",0,0,0,0,0
"356","2000-12-21",0,0,0,0,0
"357","2000-12-22",0,0,0,0,0
"358","2000-12-23",0,0,0,0,0
"359","2000-12-24",0,0,0,0,0
"360","2000-12-25",0,0,0,0,0
"361","2000-12-26",0.01,0,0,0,0.0025
"362","2000-12-27",0,0,0,0,0
"363","2000-12-28",0.37,0.19,0.36,0.26,0.295
"364","2000-12-29",0,0,0,0.01,0.0025
"365","2000-12-30",0,0,0,0,0
"366","2000-12-31",0,0,0,0,0
"367","2001-01-01",0,0,0,0,0
"368","2001-01-02",0,0,0,0,0
"369","2001-01-03",0,0,0,0,0
"370","2001-01-04",0,0,0.01,0,0.0025
"371","2001-01-05",0,0,0,0,0
"372","2001-01-06",0,0,0,0,0
"373","2001-01-07",0,0,0,0,0
"374","2001-01-08",0,0.06,0,0,0.015
"375","2001-01-09",0.07,0.06,0.03,0.24,0.1
"376","2001-01-10",0,0,0,0,0
"377","2001-01-11",0,0,0,0,0
"378","2001-01-12",0.02,0,0,0,0.005
"379","2001-01-13",0,0,0,0,0
"380","2001-01-14",0,0,0,0,0
"381","2001-01-15",0,0,0,0,0
"382","2001-01-16",0,0,0,0,0
"383","2001-01-17",0.02,0,0,0,0.005
"384","2001-01-18",0,0,0,0,0
"385","2001-01-19",0.01,0.01,0,0,0.005
"386","2001-01-20",0.36,0.21,0.21,0.5,0.32
"387","2001-01-21",0,0,0,0,0
"388","2001-01-22",0.14,0.11,0.23,0.17,0.1625
"389","2001-01-23",0,0,0,0,0
"390","2001-01-24",0,0,0,0,0
"391","2001-01-25",0,0,0,0,0
"392","2001-01-26",0,0,0,0.01,0.0025
"393","2001-01-27",0,0,0,0,0
"394","2001-01-28",0,0,0,0,0
"395","2001-01-29",0,0,0,0,0
"396","2001-01-30",0.01,0,0,0,0.0025
"397","2001-01-31",0.02,0,0,0,0.005
"398","2001-02-01",0,0,0,0,0
"399","2001-02-02",0,0,0.01,0,0.0025
"400","2001-02-03",0,0,0,0,0
"401","2001-02-04",0.01,0.01,0,0,0.005
"402","2001-02-05",0,0,0,0,0
"403","2001-02-06",0,0,0,0,0
"404","2001-02-07",0,0,0,0,0
"405","2001-02-08",0,0,0,0,0
"406","2001-02-09",0,0,0,0,0
"407","2001-02-10",0,0,0,0,0
"408","2001-02-11",0,0,0,0,0
"409","2001-02-12",0,0,0,0,0
"410","2001-02-13",0,0,0,0,0
"411","2001-02-14",0,0,0,0,0
"412","2001-02-15",0,0,0,0.14,0.035
"413","2001-02-16",0,0,0,0,0
"414","2001-02-17",0,0,0,0,0
"415","2001-02-18",0,0,0,0,0
"416","2001-02-19",0,0,0,0,0
"417","2001-02-20",0,0,0,0,0
"418","2001-02-21",0,0,0,0,0
"419","2001-02-22",0,0,0,0,0
"420","2001-02-23",0,0,0,0,0
"421","2001-02-24",0,0,0,0,0
"422","2001-02-25",0,0.01,0,0,0.0025
"423","2001-02-26",0,0,0,0,0
"424","2001-02-27",0.14,0,0,0,0.035
"425","2001-02-28",0,0,0,0,0
"426","2001-03-01",0,0,0,0,0
"427","2001-03-02",0,0,0,0,0
"428","2001-03-03",0,0,0,0,0
"429","2001-03-04",0.26,0.3,0.34,0.4,0.325
"430","2001-03-05",0,0.01,0.01,0,0.005
"431","2001-03-06",0,0,0,0,0
"432","2001-03-07",0,0,0,0,0
"433","2001-03-08",0,0,0,0,0
"434","2001-03-09",0,0,0,0,0
"435","2001-03-10",0,0,0,0,0
"436","2001-03-11",0,0,0,0,0
"437","2001-03-12",0,0,0,0,0
"438","2001-03-13",0,0,0,0,0
"439","2001-03-14",0,0,0,0,0
"440","2001-03-15",0,0,0.06,0.01,0.0175
"441","2001-03-16",0,0,0,0,0
"442","2001-03-17",0.29,0.02,0.08,0.33,0.18
"443","2001-03-18",0.01,0.01,0.04,0.01,0.0175
"444","2001-03-19",0.8,0.06,0.31,1.48,0.6625
"445","2001-03-20",0,0.03,0.01,0,0.01
"446","2001-03-21",0,0,0,0,0
"447","2001-03-22",0,0,0,0,0
"448","2001-03-23",0,0,0,0,0
"449","2001-03-24",0,0,0,0,0
"450","2001-03-25",0,0,0,0,0
"451","2001-03-26",0,0,0,0,0
"452","2001-03-27",0,0,0,0,0
"453","2001-03-28",0,0,0,0,0
"454","2001-03-29",1.03,0.12,0.08,0.49,0.43
"455","2001-03-30",0.16,0.06,0.1,0.11,0.1075
"456","2001-03-31",0.37,0.04,0.07,0.25,0.1825
"457","2001-04-01",0,0.03,0.01,0,0.01
"458","2001-04-02",0,0,0,0,0
"459","2001-04-03",0,0,0,0,0
"460","2001-04-04",0,0,0,0,0
"461","2001-04-05",0,0,0,0,0
"462","2001-04-06",0,0,0,0,0
"463","2001-04-07",0,0,0,0,0
"464","2001-04-08",0,0,0,0,0
"465","2001-04-09",0,0,0,0,0
"466","2001-04-10",0,0,0,0,0
"467","2001-04-11",0,0,0,0,0
"468","2001-04-12",0,0,0,0,0
"469","2001-04-13",0,0,0,0,0
"470","2001-04-14",0,0,0,0,0
"471","2001-04-15",0,0,0,0,0
"472","2001-04-16",0,0,0,0,0
"473","2001-04-17",0,0,0,0,0
"474","2001-04-18",0,0,0,0,0
"475","2001-04-19",0,0,0,0,0
"476","2001-04-20",0,0,0,0,0
"477","2001-04-21",0,0,0,0,0
"478","2001-04-22",0,0,0,0,0
"479","2001-04-23",0,0,0,0,0
"480","2001-04-24",0,0,0,0,0
"481","2001-04-25",0.15,0.12,0,0,0.0675
"482","2001-04-26",0.24,0,0,0,0.06
"483","2001-04-27",0,0,0,0,0
"484","2001-04-28",0,0,0,0,0
"485","2001-04-29",0,0,0,0,0
"486","2001-04-30",0.27,0.17,0.15,0.26,0.2125
"487","2001-05-01",0.02,0.02,0.02,0.1,0.04
"488","2001-05-02",0,0,0,0.01,0.0025
"489","2001-05-03",0.63,0.03,0.03,1.61,0.575
"490","2001-05-04",0.5,0.06,0.02,0.04,0.155
"491","2001-05-05",0,0,0,0,0
"492","2001-05-06",0,0,0,0,0
"493","2001-05-07",0.01,0,0.04,0,0.0125
"494","2001-05-08",0,0,0,0,0
"495","2001-05-09",0,0,0,0,0
"496","2001-05-10",0,0,0,0,0
"497","2001-05-11",0,0,0,0,0
"498","2001-05-12",0,0,0,0,0
"499","2001-05-13",0,0,0,0,0
"500","2001-05-14",0,0,0,0,0
"501","2001-05-15",0,0,0,0,0
"502","2001-05-16",0,0,0,0,0
"503","2001-05-17",0,0,0,0,0
"504","2001-05-18",0,0,0,0,0
"505","2001-05-19",0,0,0,0,0
"506","2001-05-20",0,0,0,0,0
"507","2001-05-21",0,0,0,0,0
"508","2001-05-22",0.37,0.06,0.1,1.09,0.405
"509","2001-05-23",0.17,0.07,0.15,0.15,0.135
"510","2001-05-24",0,0,0,0,0
"511","2001-05-25",0,0,0.05,2.54,0.6475
"512","2001-05-26",0.03,0,0,0.11,0.035
"513","2001-05-27",0.25,0.47,0.09,0.62,0.3575
"514","2001-05-28",0.01,0,0,0,0.0025
"515","2001-05-29",0.06,0,0.01,0,0.0175
"516","2001-05-30",0,0.03,0,0.3,0.0825
"517","2001-05-31",1.2,0.04,0.06,0.43,0.4325
"518","2001-06-01",1.36,0.05,0.07,0.01,0.3725
"519","2001-06-02",0,0.01,0.05,0.09,0.0375
"520","2001-06-03",0,0,0,0,0
"521","2001-06-04",0,0,0,0,0
"522","2001-06-05",0,0,0.2,0.07,0.0675
"523","2001-06-06",0.06,0.13,0,0.12,0.0775
"524","2001-06-07",0,0,0,0,0
"525","2001-06-08",0,0.17,0,0,0.0425
"526","2001-06-09",0,0.01,0.05,0,0.015
"527","2001-06-10",0.12,0,0,0,0.03
"528","2001-06-11",0,0,0,0,0
"529","2001-06-12",0.02,0.15,0.01,0,0.045
"530","2001-06-13",0,0.07,0,0,0.0175
"531","2001-06-14",0,0,0,0,0
"532","2001-06-15",0.35,0,0,0,0.0875
"533","2001-06-16",0.02,0.02,0,0,0.01
"534","2001-06-17",0.01,0,0,0,0.0025
"535","2001-06-18",0,0,0.04,0.01,0.0125
"536","2001-06-19",0.38,0.03,0.12,0.02,0.1375
"537","2001-06-20",0.08,0,0,0,0.02
"538","2001-06-21",0,0.05,0.05,0.01,0.0275
"539","2001-06-22",0,0.01,0.01,0,0.005
"540","2001-06-23",0.53,0.2,0.1,0.49,0.33
"541","2001-06-24",1.88,0.12,0.08,0.06,0.535
"542","2001-06-25",0,0,0.29,0.07,0.09
"543","2001-06-26",1.28,0.26,0,0,0.385
"544","2001-06-27",0,0.12,0.03,0.03,0.045
"545","2001-06-28",0.33,0.3,0.01,0.14,0.195
"546","2001-06-29",0.02,0,0,0,0.005
"547","2001-06-30",0,0,0.09,0,0.0225
"548","2001-07-01",0,0,0,0,0
"549","2001-07-02",0,0,0,0,0
"550","2001-07-03",0,0,0,0,0
"551","2001-07-04",0.04,0.07,0.26,0.07,0.11
"552","2001-07-05",0,0,0,0,0
"553","2001-07-06",0,0,0.4,1.96,0.59
"554","2001-07-07",0,0,0,0,0
"555","2001-07-08",0.86,0.02,0.02,0.04,0.235
"556","2001-07-09",0.04,0.04,0.28,0.21,0.1425
"557","2001-07-10",0.02,0.01,0,0.66,0.1725
"558","2001-07-11",0.3,0.32,0.22,0.32,0.29
"559","2001-07-12",0.53,0.08,0.04,0.09,0.185
"560","2001-07-13",0.23,0.17,0.08,0.11,0.1475
"561","2001-07-14",1.37,0.39,0.1,0.62,0.62
"562","2001-07-15",0.93,0,0.04,0.02,0.2475
"563","2001-07-16",0.96,1.57,0.07,0,0.65
"564","2001-07-17",0.2,0.79,0.33,0.67,0.4975
"565","2001-07-18",0.06,0.05,0.04,1.26,0.3525
"566","2001-07-19",0.93,0.01,0,0.01,0.2375
"567","2001-07-20",0.04,0.02,0,0,0.015
"568","2001-07-21",0.86,0.45,0.19,0.46,0.49
"569","2001-07-22",0,0,0,0,0
"570","2001-07-23",0.18,0.34,0.28,0.57,0.3425
"571","2001-07-24",0,0,0,0,0
"572","2001-07-25",0.16,0,0.03,0,0.0475
"573","2001-07-26",0.01,0.03,0.04,0.01,0.0225
"574","2001-07-27",0.14,0,0.06,0.26,0.115
"575","2001-07-28",0,0,0.06,0.03,0.0225
"576","2001-07-29",0,0,0,0,0
"577","2001-07-30",0,0,0,0,0
"578","2001-07-31",0,0.25,0,0,0.0625
"579","2001-08-01",0.09,0.13,0.15,0.47,0.21
"580","2001-08-02",1.17,0.75,0.91,1.15,0.995
"581","2001-08-03",0.04,0.08,0.23,0.46,0.2025
"582","2001-08-04",1.02,0.46,0.79,0.23,0.625
"583","2001-08-05",0.02,0.14,0.06,0.06,0.07
"584","2001-08-06",0,0.05,0.09,0,0.035
"585","2001-08-07",0.02,0,0,0.01,0.0075
"586","2001-08-08",0,0,0,0,0
"587","2001-08-09",0,1.03,0,0,0.2575
"588","2001-08-10",0,0,0,0,0
"589","2001-08-11",0.12,0,0,0,0.03
"590","2001-08-12",0.08,0,0,0,0.02
"591","2001-08-13",0,0,0,0,0
"592","2001-08-14",0.5,0.6,0.36,3.14,1.15
"593","2001-08-15",0,0.01,0,0.01,0.005
"594","2001-08-16",0,0,0,0,0
"595","2001-08-17",0,0,0,0,0
"596","2001-08-18",0.06,0,0.14,0.03,0.0575
"597","2001-08-19",0,0,0,0,0
"598","2001-08-20",0.01,0.01,0,0.01,0.0075
"599","2001-08-21",1.81,0.24,0.25,1.92,1.055
"600","2001-08-22",0.07,0,0,0,0.0175
