"Date","S71_AMMONIA-N_mg/L","S71_S_FLOW_cfs"
"2004-11-15",0.112,220.1917991616
"2004-12-20",0.118,215592.237134669
"2005-01-03",0.011,840496.56315529
"2005-01-18",0.173,915802.158468557
"2005-02-14",0.122,176128.973573818
"2005-02-28",0.057,767980.063964736
"2005-03-14",0.122,1286433.88796845
"2005-04-04",0.049,660453.068707488
"2005-04-18",0.01,778622.66759088
"2005-06-27",0.15,552803.744672928
"2005-07-11",0.251,872204.18223456
"2005-07-25",0.089,507272.973757402
"2005-08-08",0.2025,2638998.71295178
"2005-08-22",0.088,828312.616935014
"2005-09-06",0.174,1827176.01519842
"2005-09-20",0.174,126439.024229683
"2005-10-17",0.187,636036.244756013
"2005-11-01",0.169,1100983.46156346
"2005-11-14",0.135,976208.108705222
"2005-12-19",0.07,404663.595348096
"2006-01-09",0.091,651205.013142701
"2006-02-06",0.431,1974166.27401652
"2006-02-21",0.038,30068.4134632896
"2006-03-06",0.089,60968.6626123008
"2006-05-22",0.009,464.8493537856
"2006-07-17",0.085,257869.062573696
"2006-08-21",0.1,729813.485443392
"2006-09-11",0.105,1804961.10923856
"2006-09-25",0.143,445766.064524928
"2007-03-26",0.113,611.64388656
"2007-07-09",0.093,829071.055354349
"2007-07-23",0.139,488238.616007654
"2007-08-06",0.243,1256243.14572785
"2007-08-20",0.384,119123.763346426
"2007-09-10",0.1545,257061.692643437
"2007-09-24",0.062,429153.816565958
"2008-04-02",0.021,193573.057218509
"2008-06-25",0.014,180092.425958726
"2008-07-16",0.074,4614657.3980515
"2008-07-30",0.018,4732460.01060296
"2008-08-13",0.07,633026.956834138
"2008-08-28",0.662,6099875.54915196
"2008-09-10",0.287,1133840.97114947
"2008-09-24",0.263,348637.0153392
"2008-10-08",0.134,1544743.33414047
"2008-10-22",0.172,105789.926619418
"2009-02-04",0.033,13529.5627707072
"2009-06-03",0.512,191322.207715968
"2009-06-17",0.143,1093594.80341382
"2009-07-08",0.224,2613627.72453727
"2009-07-22",0.334,584584.761018586
"2009-08-12",0.4,491565.958750541
"2009-08-26",0.563,216668.730375014
"2009-12-09",0.066,159687.985903085
"2009-12-23",0.033,64760.8547089728
"2010-01-13",0.057,257526.541997222
"2010-03-17",0.535,272034.734986426
"2010-04-07",0.352,147014.724573562
"2010-04-21",0.416,201157.441411853
"2010-08-18",0.189,126634.750273382
"2010-09-29",0.106,723232.197224007
"2011-04-06",0.065,109141.735117766
"2011-05-18",0.017,1467.945327744
"2011-07-06",0.612,710020.68927431
"2011-07-20",0.023,585465.528215232
"2011-08-10",0.251,381739.182479827
"2011-08-24",0.18,302788.189602662
"2011-09-07",0.705,573012.458684871
"2011-10-19",0.084,4671148.82741418
"2011-11-02",0.189,819089.02712569
"2011-11-16",0.268,85458.8838301632
"2011-12-21",0.086,233036.32077936
"2012-01-18",0.067,31267.2354809472
"2012-02-08",0.014,191444.53649328
"2012-06-20",0.075,10495.8090933696
"2012-07-25",0.357,3653128.74262372
"2012-08-22",0.016,3084202.06510107
"2012-09-05",0.026,3085033.90078679
"2012-09-20",0.102,3659783.42810949
"2012-10-03",0.234,2318228.19308425
"2012-10-17",0.011,946115.22948647
"2012-11-14",0.051,156042.588339187
"2012-12-19",0.088,233134.18380121
"2013-01-09",0.039,415917.8428608
"2013-02-06",0.098,97740.693072288
"2013-02-21",0.078,152788.642862688
"2013-03-06",0.04,424187.268207091
"2013-03-20",0.061,100016.008330291
"2013-04-17",0.033,19474.7413480704
"2013-05-08",0.024,97.8630218496
"2013-05-22",0.108,840447.631644365
"2013-06-05",0.08,783687.078971597
"2013-06-19",0.424,779625.763564839
"2013-07-10",0.178,1561991.69174147
"2013-07-24",0.266,1585062.89914251
"2013-08-07",0.344,4131801.24824557
"2013-08-21",0.431,102878.501719392
"2013-09-04",0.165,753251.679176371
"2013-09-18",0.245,3446711.16378745
"2013-10-07",0.267,142464.094057555
"2013-10-21",0.073,205757.003438784
"2014-01-21",0.02,6679.1512412352
"2014-02-03",0.062,9248.0555647872
"2014-03-17",0.047,600732.15962377
"2014-05-05",0.04,488752.396872365
"2014-05-19",0.115,2838.0276336384
"2014-06-23",0.019,465314.203139386
"2014-07-07",0.376,1009236.87857946
"2014-07-21",0.392,2105522.91509414
"2014-08-04",0.184,1150061.76702104
"2014-08-18",0.379,805583.930110445
"2014-09-08",0.578,148433.738390381
"2014-09-22",0.273,1709226.60811419
"2014-10-06",0.238,695855.016861581
"2014-10-20",0.276,54240.5798601408
"2014-11-03",0.064,34570.1124683712
"2014-11-17",0.099,122.328777312
"2014-12-01",0.128,206148.455526182
"2014-12-15",0.127,126561.353006995
"2015-01-05",0.092,35475.34542048
"2015-02-02",0.104,310494.902573318
"2015-02-16",0.044,186991.768999123
"2015-03-02",0.084,465265.271628461
"2015-04-20",0.022,350202.823688794
"2015-06-15",0.018,162941.931379584
"2015-07-06",0.2,1341946.68711264
"2015-08-03",0.158,908829.418161773
"2015-08-17",0.382,1195935.05851304
"2015-08-31",0.359,1295608.54626685
"2015-09-14",0.227,701286.414574234
"2015-09-28",0.257,440016.611991264
"2015-10-12",0.273,147332.779394573
"2015-10-26",0.294,63464.1696694656
"2015-11-09",0.122,45310.5791163648
"2015-11-23",1.366,2556940.56913089
"2015-12-07",0.222,1844032.92071201
"2015-12-21",0.237,317541.04014649
"2016-01-04",0.046,334104.356594534
"2016-01-20",0.213,1236450.34955877
"2016-02-01",0.142,2363073.92284683
"2016-02-15",0.165,171945.329389747
"2016-02-29",0.174,668600.165276467
"2016-03-14",0.137,141607.792616371
"2016-03-28",0.055,1883055.80067454
"2016-05-23",0.038,1396970.17114758
"2016-06-06",0.149,208986.483159821
"2016-06-20",0.235,1152801.93163283
"2016-07-06",0.265,766291.92683783
"2016-07-18",0.178,420810.99395328
"2016-08-15",0.127,647584.081334266
"2016-08-29",0.295,165828.890524147
"2016-09-12",0.14,665223.891022656
"2016-09-26",0.166,339388.959774413
"2016-10-10",0.152,627620.024876947
"2016-12-05",0.065,56418.0320962944
"2017-06-05",0.019,99257.5699109568
"2017-06-19",0.395,764138.940357139
"2017-07-17",0.411,97936.4191159872
"2017-08-01",0.2,871812.730147162
"2017-08-14",0.23,684135.919995091
"2017-08-28",0.218,465314.203139386
"2017-09-13",0.303,7484955.36314481
"2017-09-25",0.216,630213.394955962
"2017-10-09",0.428,1066682.47240518
"2017-10-23",0.243,340122.932438285
"2017-11-20",0.112,166660.726209869
"2017-12-18",0.112,299876.764702637
"2018-01-02",0.127,99795.8165311296
"2018-01-16",0.069,144568.149027322
"2018-01-29",0.077,93703.843420992
"2018-02-12",0.04,71953.7868149184
"2018-03-26",0.045,296353.695916051
"2018-04-09",0.08,97.8630218496
"2018-04-23",0.029,168936.041467872
"2018-05-21",0.492,1965113.94449543
"2018-06-04",0.331,627962.545453421
"2018-07-02",0.214,1325872.68577384
"2018-07-16",0.268,1256756.92659256
"2018-07-30",0.319,1096237.10500376
"2018-08-13",0.392,805877.519175994
"2018-08-27",0.174,447600.996184608
"2018-09-10",0.053,632586.573235814
"2019-01-28",0.066,1653028.76781706
"2019-02-11",0.035,23731.782798528
"2019-06-17",0.121,802770.368232269
"2019-07-29",0.037,293246.544972326
"2019-08-12",0.473,2534211.88230632
"2019-08-26",0.417,899728.15712976
"2019-09-09",0.61,445814.996035853
"2019-10-21",0.026,312672.354809472
"2019-12-30",0.127,599411.0088288
"2020-02-10",0.04,188484.18008233
"2020-06-01",0.09,511163.028875923
"2020-06-15",0.421,155479.875963552
"2020-06-29",0.322,213561.57943129
"2020-07-13",0.422,134390.394754963
"2020-07-27",0.244,1254212.48802447
"2020-08-10",0.227,521707.769480218
"2020-08-24",0.33,588841.802469043
"2020-09-08",0.457,163920.56159808
"2020-09-21",0.185,487186.588522771
"2020-10-05",0.254,2353458.88095011
"2020-10-19",0.232,452078.229434227
"2020-11-02",0.239,764187.871868064
"2020-11-16",0.24,907801.856432352
"2020-11-30",0.072,342031.261364352
"2020-12-14",0.278,205708.071927859
"2020-12-28",0.145,313357.395962419
"2021-02-08",0.107,29383.3723103424
"2021-02-22",0.068,8293.8911017536
"2021-04-19",0.058,611399.229005376
"2021-07-12",0.274,603986.105100269
"2021-07-26",0.245,1579509.17265254
"2021-08-09",0.232,1567936.87031883
"2021-08-23",0.31,106890.885615226
"2021-09-07",0.049,274456.844777203
"2021-09-20",0.196,589306.651822829
"2021-10-04",0.142,514270.179819648
"2021-10-18",0.127,217011.250951488
"2021-11-01",0.191,27817.5639607488
"2021-11-29",0.236,62485.5394509696
"2022-06-27",0.158,336208.411564301
"2022-07-11",0.252,456237.407862835
"2022-07-25",0.156,118169.598883392
"2022-10-03",0.392,3262337.2306228
"2022-10-31",0.059,1149.8905067328
"2022-11-28",0.133,474072.943594925
"2022-12-27",0.161,287619.421215974
"2023-01-09",0.075,45139.318828128
"2023-02-20",0.031,7853.5075034304
