"","date","L8.441_FLOW_cfs"
"101",2000-04-10,159027.4105056
"102",2000-04-11,58717.81310976
"103",2000-04-12,110095.8995808
"104",2000-04-13,-146794.5327744
"105",2000-04-14,-755991.84378816
"106",2000-04-15,-1154783.65782528
"107",2000-04-16,-1233074.07530496
"108",2000-04-17,-971290.49185728
"109",2000-04-18,-711953.48395584
"110",2000-04-19,-643449.36866112
"111",2000-04-20,-159027.4105056
"112",2000-04-21,166367.13714432
"113",2000-04-22,193279.46815296
"114",2000-04-23,176153.43932928
"115",2000-04-24,163920.56159808
"116",2000-04-25,430597.29613824
"117",2000-04-26,464849.3537856
"118",2000-04-27,469742.50487808
"119",2000-04-28,320501.39655744
"120",2000-04-29,450169.90050816
"121",2000-04-30,393898.66294464
"122",2000-05-01,411024.69176832
"123",2000-05-02,332734.27428864
"124",2000-05-03,254443.85680896
"125",2000-05-04,379219.2096672
"126",2000-05-05,751098.69269568
"127",2000-05-06,775564.44815808
"128",2000-05-07,650789.09529984
"129",2000-05-08,596964.43328256
"130",2000-05-09,570052.10227392
"131",2000-05-10,393898.66294464
"132",2000-05-11,315608.24546496
"133",2000-05-12,349860.30311232
"134",2000-05-13,-247104.13017024
"135",2000-05-14,-166367.13714432
"136",2000-05-15,408578.11622208
"137",2000-05-16,-70950.69084096
"138",2000-05-17,-256890.4323552
"139",2000-05-18,-313161.66991872
"140",2000-05-19,117435.62621952
"141",2000-05-20,305821.94328
"142",2000-05-21,286249.33891008
"143",2000-05-22,269123.3100864
"144",2000-05-23,68504.11529472
"145",2000-05-24,283802.76336384
"146",2000-05-25,73397.2663872
"147",2000-05-26,18349.3165968
"148",2000-05-27,-31805.48210112
"149",2000-05-28,51378.08647104
"150",2000-05-29,51378.08647104
"151",2000-05-30,-146794.5327744
"152",2000-05-31,8073.699302592
"153",2000-06-01,78290.41747968
"154",2000-06-02,16636.713714432
"155",2000-06-03,-44038.35983232
"156",2000-06-04,-188386.31706048
"157",2000-06-05,-364539.75638976
"158",2000-06-06,-768224.72151936
"159",2000-06-07,-743758.96605696
"160",2000-06-08,-251997.28126272
"161",2000-06-09,-107649.32403456
"162",2000-06-10,225084.95025408
"163",2000-06-11,332734.27428864
"164",2000-06-12,181046.59042176
"165",2000-06-13,481975.38260928
"166",2000-06-14,582284.98000512
"167",2000-06-15,433043.87168448
"168",2000-06-16,110095.8995808
"169",2000-06-17,63610.96420224
"170",2000-06-18,18838.631706048
"171",2000-06-19,-9541.644630336
"172",2000-06-20,-68504.11529472
"173",2000-06-21,88076.71966464
"174",2000-06-22,-176153.43932928
"175",2000-06-23,-39145.20873984
"176",2000-06-24,168813.71269056
"177",2000-06-25,-286249.33891008
"178",2000-06-26,-445276.74941568
"179",2000-06-27,-4893.15109248
"180",2000-06-28,-110095.8995808
"181",2000-06-29,88076.71966464
"182",2000-06-30,-132115.07949696
"183",2000-07-01,56271.23756352
"184",2000-07-02,-107649.32403456
"185",2000-07-03,26912.33100864
"186",2000-07-04,-36698.6331936
"187",2000-07-05,-320501.39655744
"188",2000-07-06,-479528.80706304
"189",2000-07-07,-381665.78521344
"190",2000-07-08,-508887.71361792
"191",2000-07-09,-440383.5983232
"192",2000-07-10,-188386.31706048
"193",2000-07-11,-667915.12412352
"194",2000-07-12,-650789.09529984
"195",2000-07-13,-178600.01487552
"196",2000-07-14,-92969.87075712
"197",2000-07-15,61164.388656
"198",2000-07-16,-11988.220176576
"199",2000-07-17,-137008.23058944
"200",2000-07-18,29358.90655488
"201",2000-07-19,-39145.20873984
"202",2000-07-20,66057.53974848
"203",2000-07-21,-73397.2663872
"204",2000-07-22,-85630.1441184
"205",2000-07-23,-97863.0218496
"206",2000-07-24,-247104.13017024
"207",2000-07-25,-141901.38168192
"208",2000-07-26,5382.466201728
"209",2000-07-27,-149241.10832064
"210",2000-07-28,-188386.31706048
"211",2000-07-29,-88076.71966464
"212",2000-07-30,44038.35983232
"213",2000-07-31,-384112.36075968
"214",2000-08-01,-22753.152580032
"215",2000-08-02,-193279.46815296
"216",2000-08-03,58717.81310976
"217",2000-08-04,-154134.25941312
"218",2000-08-05,9052.329521088
"219",2000-08-06,58717.81310976
"220",2000-08-07,-291142.49000256
"221",2000-08-08,-413471.26731456
"222",2000-08-09,-254443.85680896
"223",2000-08-10,34252.05764736
"224",2000-08-11,134561.6550432
"225",2000-08-12,110095.8995808
"226",2000-08-13,161473.98605184
"227",2000-08-14,636.1096420224
"228",2000-08-15,-364539.75638976
"229",2000-08-16,-496654.83588672
"230",2000-08-17,-499101.41143296
"231",2000-08-18,-481975.38260928
"232",2000-08-19,-562712.3756352
"233",2000-08-20,-565158.95118144
"234",2000-08-21,-557819.22454272
"235",2000-08-22,-609197.31101376
"236",2000-08-23,-650789.09529984
"237",2000-08-24,-445276.74941568
"238",2000-08-25,-584731.55555136
"239",2000-08-26,-562712.3756352
"240",2000-08-27,-618983.61319872
"241",2000-08-28,-746205.5416032
"242",2000-08-29,-817156.23244416
"243",2000-08-30,-782904.1747968
"244",2000-08-31,-697274.0306784
"245",2000-09-01,-472189.08042432
"246",2000-09-02,-266676.73454016
"247",2000-09-03,-242210.97907776
"248",2000-09-04,-548032.92235776
"249",2000-09-05,-366986.331936
"250",2000-09-06,-530906.89353408
"251",2000-09-07,-308268.51882624
"252",2000-09-08,-354753.4542048
"253",2000-09-09,-401238.38958336
"254",2000-09-10,-308268.51882624
"255",2000-09-11,-251997.28126272
"256",2000-09-12,-149241.10832064
"257",2000-09-13,-124775.35285824
"258",2000-09-14,-264230.15899392
"259",2000-09-15,-92969.87075712
"260",2000-09-16,-31805.48210112
"261",2000-09-17,-105202.74848832
"262",2000-09-18,-322947.97210368
"263",2000-09-19,-340074.00092736
"264",2000-09-20,-406131.54067584
"265",2000-09-21,-239764.40353152
"266",2000-09-22,-166367.13714432
"267",2000-09-23,-185939.74151424
"268",2000-09-24,-114989.05067328
"269",2000-09-25,-44038.35983232
"270",2000-09-26,-73397.2663872
"271",2000-09-27,-124775.35285824
"272",2000-09-28,-105202.74848832
"273",2000-09-29,-217745.22361536
"274",2000-09-30,4893.15109248
"275",2000-10-01,-29358.90655488
"276",2000-10-02,-137008.23058944
"277",2000-10-03,-760884.99488064
"278",2000-10-04,-1543789.16967744
"279",2000-10-05,-2175005.66060736
"280",2000-10-06,-2219044.02043968
"281",2000-10-07,-2282654.98464192
"282",2000-10-08,-2018424.825648
"283",2000-10-09,-1732175.48673792
"284",2000-10-10,-1756641.24220032
"285",2000-10-11,-1465498.75219776
"286",2000-10-12,-1494857.65875264
"287",2000-10-13,-1492411.0832064
"288",2000-10-14,-1389654.91026432
"289",2000-10-15,-1355402.85261696
"290",2000-10-16,-1321150.7949696
"291",2000-10-17,-1350509.70152448
"292",2000-10-18,-1308917.9172384
"293",2000-10-19,-1323597.37051584
"294",2000-10-20,-1401887.78799552
"295",2000-10-21,-1338276.82379328
"296",2000-10-22,-1296685.0395072
"297",2000-10-23,-1282005.58622976
"298",2000-10-24,-1284452.161776
"299",2000-10-25,-1328490.52160832
"300",2000-10-26,-1406780.939088
"301",2000-10-27,-1406780.939088
"302",2000-10-28,-1250200.10412864
"303",2000-10-29,-1252646.67967488
"304",2000-10-30,-1316257.64387712
"305",2000-10-31,-1247753.5285824
"306",2000-11-01,-1428800.11900416
"307",2000-11-02,-1326043.94606208
"308",2000-11-03,-1267326.13295232
"309",2000-11-04,-1169463.11110272
"310",2000-11-05,-1196375.44211136
"311",2000-11-06,-1191482.29101888
"312",2000-11-07,-381665.78521344
"313",2000-11-08,-173706.86378304
"314",2000-11-09,-58717.81310976
"315",2000-11-10,-85630.1441184
"316",2000-11-11,-85630.1441184
"317",2000-11-12,-48931.5109248
"318",2000-11-13,-146794.5327744
"319",2000-11-14,-78290.41747968
"320",2000-11-15,-132115.07949696
"321",2000-11-16,-183493.165968
"322",2000-11-17,-139454.80613568
"323",2000-11-18,-161473.98605184
"324",2000-11-19,-229978.10134656
"325",2000-11-20,-154134.25941312
"326",2000-11-21,-26912.33100864
"327",2000-11-22,-21040.549697664
"328",2000-11-23,-61164.388656
"329",2000-11-24,-198172.61924544
"330",2000-11-25,-266676.73454016
"331",2000-11-26,-259337.00790144
"332",2000-11-27,-198172.61924544
"333",2000-11-28,-232424.6768928
"334",2000-11-29,-193279.46815296
"335",2000-11-30,-176153.43932928
"336",2000-12-01,-193279.46815296
"337",2000-12-02,-122328.777312
"338",2000-12-03,-78290.41747968
"339",2000-12-04,-102756.17294208
"340",2000-12-05,-95416.44630336
"341",2000-12-06,-56271.23756352
"342",2000-12-07,-127221.92840448
"343",2000-12-08,-73397.2663872
"344",2000-12-09,-141901.38168192
"345",2000-12-10,-137008.23058944
"346",2000-12-11,-117435.62621952
"347",2000-12-12,-203065.77033792
"348",2000-12-13,-198172.61924544
"349",2000-12-14,-249550.70571648
"350",2000-12-15,-141901.38168192
"351",2000-12-16,-232424.6768928
"352",2000-12-17,-149241.10832064
"353",2000-12-18,-176153.43932928
"354",2000-12-19,-56271.23756352
"355",2000-12-20,-141901.38168192
"356",2000-12-21,-225084.95025408
"357",2000-12-22,-122328.777312
"358",2000-12-23,-137008.23058944
"359",2000-12-24,-129668.50395072
"360",2000-12-25,-151687.68386688
"361",2000-12-26,-144347.95722816
"362",2000-12-27,-34252.05764736
"363",2000-12-28,-34252.05764736
"364",2000-12-29,70950.69084096
"365",2000-12-30,56271.23756352
"366",2000-12-31,-58717.81310976
"367",2001-01-01,-20061.919479168
"368",2001-01-02,-18593.974151424
"369",2001-01-03,10764.932403456
"370",2001-01-04,29358.90655488
"371",2001-01-05,-7584.384193344
"372",2001-01-06,53824.66201728
"373",2001-01-07,39145.20873984
"374",2001-01-08,51378.08647104
"375",2001-01-09,100309.59739584
"376",2001-01-10,58717.81310976
"377",2001-01-11,-75843.84193344
"378",2001-01-12,-16392.056159808
"379",2001-01-13,29358.90655488
"380",2001-01-14,24465.7554624
"381",2001-01-15,16147.398605184
"382",2001-01-16,-70950.69084096
"383",2001-01-17,-48931.5109248
"384",2001-01-18,-56271.23756352
"385",2001-01-19,-58717.81310976
"386",2001-01-20,51378.08647104
"387",2001-01-21,-19327.946815296
"388",2001-01-22,41591.78428608
"389",2001-01-23,127221.92840448
"390",2001-01-24,48931.5109248
"391",2001-01-25,22997.810134656
"392",2001-01-26,-12232.8777312
"393",2001-01-27,-22997.810134656
"394",2001-01-28,-21040.549697664
"395",2001-01-29,-97863.0218496
"396",2001-01-30,-83183.56857216
"397",2001-01-31,-80736.99302592
"398",2001-02-01,4403.835983232
"399",2001-02-02,31805.48210112
"400",2001-02-03,2935.890655488
"401",2001-02-04,-11009.58995808
"402",2001-02-05,-24465.7554624
"403",2001-02-06,-53824.66201728
"404",2001-02-07,97.8630218496
"405",2001-02-08,1321.1507949696
"406",2001-02-09,13211.507949696
"407",2001-02-10,22753.152580032
"408",2001-02-11,-61164.388656
"409",2001-02-12,-78290.41747968
"410",2001-02-13,-119882.20176576
"411",2001-02-14,-22263.837470784
"412",2001-02-15,-13945.480613568
"413",2001-02-16,3669.86331936
"414",2001-02-17,58717.81310976
"415",2001-02-18,-8807.671966464
"416",2001-02-19,-51378.08647104
"417",2001-02-20,-63610.96420224
"418",2001-02-21,-7584.384193344
"419",2001-02-22,-7095.069084096
"420",2001-02-23,58717.81310976
"421",2001-02-24,-24465.7554624
"422",2001-02-25,-23976.440353152
"423",2001-02-26,34252.05764736
"424",2001-02-27,14679.45327744
"425",2001-02-28,122328.777312
"426",2001-03-01,53824.66201728
"427",2001-03-02,24465.7554624
"428",2001-03-03,-17370.686378304
"429",2001-03-04,88076.71966464
"430",2001-03-05,225084.95025408
"431",2001-03-06,156580.83495936
"432",2001-03-07,90523.29521088
"433",2001-03-08,23487.125243904
"434",2001-03-09,80736.99302592
"435",2001-03-10,48931.5109248
"436",2001-03-11,26912.33100864
"437",2001-03-12,-75843.84193344
"438",2001-03-13,21285.207252288
"439",2001-03-14,73397.2663872
"440",2001-03-15,39145.20873984
"441",2001-03-16,-13456.16550432
"442",2001-03-17,-15168.768386688
"443",2001-03-18,-48931.5109248
"444",2001-03-19,-31805.48210112
"445",2001-03-20,129668.50395072
"446",2001-03-21,-880.7671966464
"447",2001-03-22,-34252.05764736
"448",2001-03-23,-26912.33100864
"449",2001-03-24,-269.1233100864
"450",2001-03-25,36698.6331936
"451",2001-03-26,31805.48210112
"452",2001-03-27,-70950.69084096
"453",2001-03-28,-56271.23756352
"454",2001-03-29,-63610.96420224
"455",2001-03-30,-322947.97210368
"456",2001-03-31,-207958.9214304
"457",2001-04-01,0
"458",2001-04-02,0
"459",2001-04-03,0
"460",2001-04-04,0
"461",2001-04-05,-95416.44630336
"462",2001-04-06,-105202.74848832
"463",2001-04-07,-61164.388656
"464",2001-04-08,-46484.93537856
"465",2001-04-09,-61164.388656
"466",2001-04-10,-48931.5109248
"467",2001-04-11,-97863.0218496
"468",2001-04-12,-83183.56857216
"469",2001-04-13,-80736.99302592
"470",2001-04-14,-41591.78428608
"471",2001-04-15,-1076.4932403456
"472",2001-04-16,-17370.686378304
"473",2001-04-17,-51378.08647104
"474",2001-04-18,-48931.5109248
"475",2001-04-19,-53824.66201728
"476",2001-04-20,0
"477",2001-04-21,0
"478",2001-04-22,0
"479",2001-04-23,0
"480",2001-04-24,0
"481",2001-04-25,0
"482",2001-04-26,0
"483",2001-04-27,0
"484",2001-04-28,0
"485",2001-04-29,0
"486",2001-04-30,0
"487",2001-05-01,0
"488",2001-05-02,0
"489",2001-05-03,0
"490",2001-05-04,0
"491",2001-05-05,0
"492",2001-05-06,0
"493",2001-05-07,0
"494",2001-05-08,0
"495",2001-05-09,0
"496",2001-05-10,0
"497",2001-05-11,0
"498",2001-05-12,0
"499",2001-05-13,0
"500",2001-05-14,0
"501",2001-05-15,0
"502",2001-05-16,0
"503",2001-05-17,0
"504",2001-05-18,0
"505",2001-05-19,0
"506",2001-05-20,0
"507",2001-05-21,0
"508",2001-05-22,0
"509",2001-05-23,0
"510",2001-05-24,0
"511",2001-05-25,0
"512",2001-05-26,0
"513",2001-05-27,0
"514",2001-05-28,0
"515",2001-05-29,0
"516",2001-05-30,0
"517",2001-05-31,0
"518",2001-06-01,0
"519",2001-06-02,0
"520",2001-06-03,0
"521",2001-06-04,0
"522",2001-06-05,0
"523",2001-06-06,0
"524",2001-06-07,0
"525",2001-06-08,0
"526",2001-06-09,0
"527",2001-06-10,0
"528",2001-06-11,0
"529",2001-06-12,0
"530",2001-06-13,0
"531",2001-06-14,0
"532",2001-06-15,0
"533",2001-06-16,0
"534",2001-06-17,0
"535",2001-06-18,0
"536",2001-06-19,0
"537",2001-06-20,0
"538",2001-06-21,0
"539",2001-06-22,0
"540",2001-06-23,0
"541",2001-06-24,0
"542",2001-06-25,0
"543",2001-06-26,0
"544",2001-06-27,0
"545",2001-06-28,0
"546",2001-06-29,0
"547",2001-06-30,0
"548",2001-07-01,0
"549",2001-07-02,0
"550",2001-07-03,0
"551",2001-07-04,0
"552",2001-07-05,0
"553",2001-07-06,0
"554",2001-07-07,0
"555",2001-07-08,0
"556",2001-07-09,0
"557",2001-07-10,0
"558",2001-07-11,0
"559",2001-07-12,0
"560",2001-07-13,0
"561",2001-07-14,0
"562",2001-07-15,0
"563",2001-07-16,-628769.91538368
"564",2001-07-17,-677701.42630848
"565",2001-07-18,-692380.87958592
"566",2001-07-19,-680148.00185472
"567",2001-07-20,-826942.53462912
"568",2001-07-21,-934591.85866368
"569",2001-07-22,-1081386.39143808
"570",2001-07-23,-1181695.98883392
"571",2001-07-24,-1423906.96791168
"572",2001-07-25,-1392101.48581056
"573",2001-07-26,-1551128.89631616
"574",2001-07-27,-1492411.0832064
"575",2001-07-28,-1465498.75219776
"576",2001-07-29,-1384761.75917184
"577",2001-07-30,-1301578.19059968
"578",2001-07-31,-1428800.11900416
"579",2001-08-01,-1335830.24824704
"580",2001-08-02,-1568254.92513984
"581",2001-08-03,-1644098.76707328
"582",2001-08-04,-1719942.60900672
"583",2001-08-05,-1793339.87539392
"584",2001-08-06,-1869183.71732736
"585",2001-08-07,-1945027.5592608
"586",2001-08-08,-2020871.40119424
"587",2001-08-09,-1964600.16363072
"588",2001-08-10,-1837378.23522624
"589",2001-08-11,-1705263.15572928
"590",2001-08-12,-1587827.52950976
"591",2001-08-13,-1678350.82472064
"592",2001-08-14,-1693030.27799808
"593",2001-08-15,-1631865.88934208
"594",2001-08-16,-1680797.40026688
"595",2001-08-17,-1558468.62295488
"596",2001-08-18,-1431246.6945504
"597",2001-08-19,-1433693.27009664
"598",2001-08-20,-1509537.11203008
"599",2001-08-21,-1465498.75219776
"600",2001-08-22,-1399441.21244928
"601",2001-08-23,-1352956.27707072
"602",2001-08-24,-1189035.71547264
"603",2001-08-25,-1294238.46396096
"604",2001-08-26,-1228180.92421248
"605",2001-08-27,-1242860.37748992
"606",2001-08-28,-1169463.11110272
"607",2001-08-29,-1174356.2621952
"608",2001-08-30,-1152337.08227904
"609",2001-08-31,-1115638.44908544
"610",2001-09-01,-1088726.1180768
"611",2001-09-02,-1088726.1180768
"612",2001-09-03,-1066706.93816064
"613",2001-09-04,-1091172.69362304
"614",2001-09-05,-1169463.11110272
"615",2001-09-06,-1184142.56438016
"616",2001-09-07,-1274665.85959104
"617",2001-09-08,-1215948.04648128
"618",2001-09-09,-1308917.9172384
"619",2001-09-10,-1516876.8386688
"620",2001-09-11,-1487517.93211392
"621",2001-09-12,-1519323.41421504
"622",2001-09-13,-1737068.6378304
"623",2001-09-14,-2155433.05623744
"624",2001-09-15,-2128520.7252288
"625",2001-09-16,-2126074.14968256
"626",2001-09-17,-2047783.73220288
"627",2001-09-18,-1825145.35749504
"628",2001-09-19,-1761534.3932928
"629",2001-09-20,-1475285.05438272
"630",2001-09-21,-1343169.97488576
"631",2001-09-22,-1203715.16875008
"632",2001-09-23,-1030008.30496704
"633",2001-09-24,-1096065.84471552
"634",2001-09-25,-1030008.30496704
"635",2001-09-26,-1154783.65782528
"636",2001-09-27,-1355402.85261696
"637",2001-09-28,-1130317.90236288
"638",2001-09-29,-1348063.12597824
"639",2001-09-30,-1815359.05531008
"640",2001-10-01,-1585380.95396352
"641",2001-10-02,-1269772.70849856
"642",2001-10-03,-844068.5634528
"643",2001-10-04,-606750.73546752
"644",2001-10-05,-606750.73546752
"645",2001-10-06,-320501.39655744
"646",2001-10-07,-144347.95722816
"647",2001-10-08,-344967.15201984
"648",2001-10-09,-579838.40445888
"649",2001-10-10,-477082.2315168
"650",2001-10-11,-496654.83588672
"651",2001-10-12,-467295.92933184
"652",2001-10-13,-430597.29613824
"653",2001-10-14,-342520.5764736
"654",2001-10-15,-337627.42538112
"655",2001-10-16,-503994.56252544
"656",2001-10-17,-413471.26731456
"657",2001-10-18,-530906.89353408
"658",2001-10-19,-641002.79311488
"659",2001-10-20,-530906.89353408
"660",2001-10-21,-406131.54067584
"661",2001-10-22,-384112.36075968
"662",2001-10-23,-814709.65689792
"663",2001-10-24,-853854.86563776
"664",2001-10-25,-1494857.65875264
"665",2001-10-26,-1786000.1487552
"666",2001-10-27,-2091822.0920352
"667",2001-10-28,-2231276.89817088
"668",2001-10-29,-1954813.86144576
"669",2001-10-30,-1465498.75219776
"670",2001-10-31,-2064909.76102656
"671",2001-11-01,-1817805.63085632
"672",2001-11-02,-2042890.5811104
"673",2001-11-03,-2304674.16455808
"674",2001-11-04,-1487517.93211392
"675",2001-11-05,-1536449.44303872
"676",2001-11-06,-2312013.8911968
"677",2001-11-07,-1913222.07715968
"678",2001-11-08,-2133413.87632128
"679",2001-11-09,-875874.04555392
"680",2001-11-10,-293589.0655488
"681",2001-11-11,-134561.6550432
"682",2001-11-12,-159027.4105056
"683",2001-11-13,-83183.56857216
"684",2001-11-14,-97863.0218496
"685",2001-11-15,-10030.959739584
"686",2001-11-16,-18593.974151424
"687",2001-11-17,-8563.01441184
"688",2001-11-18,-13211.507949696
"689",2001-11-19,14679.45327744
"690",2001-11-20,-14924.110832064
"691",2001-11-21,-20795.89214304
"692",2001-11-22,-16147.398605184
"693",2001-11-23,-68504.11529472
"694",2001-11-24,-349860.30311232
"695",2001-11-25,-332734.27428864
"696",2001-11-26,-168813.71269056
"697",2001-11-27,-39145.20873984
"698",2001-11-28,-61164.388656
"699",2001-11-29,-22019.17991616
"700",2001-11-30,-51378.08647104
"701",2001-12-01,-61164.388656
"702",2001-12-02,-70950.69084096
"703",2001-12-03,-13945.480613568
"704",2001-12-04,-44038.35983232
"705",2001-12-05,-31805.48210112
"706",2001-12-06,22508.495025408
"707",2001-12-07,24465.7554624
"708",2001-12-08,-80736.99302592
"709",2001-12-09,-156580.83495936
"710",2001-12-10,-141901.38168192
"711",2001-12-11,-46484.93537856
"712",2001-12-12,90523.29521088
"713",2001-12-13,90523.29521088
"714",2001-12-14,95416.44630336
"715",2001-12-15,36698.6331936
"716",2001-12-16,-151687.68386688
"717",2001-12-17,-26912.33100864
"718",2001-12-18,80736.99302592
"719",2001-12-19,88076.71966464
"720",2001-12-20,92969.87075712
"721",2001-12-21,95416.44630336
"722",2001-12-22,92969.87075712
"723",2001-12-23,97863.0218496
"724",2001-12-24,88076.71966464
"725",2001-12-25,97863.0218496
"726",2001-12-26,110095.8995808
"727",2001-12-27,61164.388656
"728",2001-12-28,11498.905067328
"729",2001-12-29,70950.69084096
"730",2001-12-30,85630.1441184
"731",2001-12-31,68504.11529472
"732",2002-01-01,95416.44630336
"733",2002-01-02,88076.71966464
"734",2002-01-03,105202.74848832
"735",2002-01-04,90523.29521088
"736",2002-01-05,85630.1441184
"737",2002-01-06,95416.44630336
"738",2002-01-07,90523.29521088
"739",2002-01-08,78290.41747968
"740",2002-01-09,66057.53974848
"741",2002-01-10,66057.53974848
"742",2002-01-11,75843.84193344
"743",2002-01-12,73397.2663872
"744",2002-01-13,85630.1441184
"745",2002-01-14,88076.71966464
"746",2002-01-15,-46484.93537856
"747",2002-01-16,-168813.71269056
"748",2002-01-17,-244657.554624
"749",2002-01-18,-491761.68479424
"750",2002-01-19,-286249.33891008
"751",2002-01-20,20306.577033792
"752",2002-01-21,-80736.99302592
"753",2002-01-22,-6605.753974848
"754",2002-01-23,14679.45327744
"755",2002-01-24,154134.25941312
"756",2002-01-25,611643.88656
"757",2002-01-26,621430.18874496
"758",2002-01-27,596964.43328256
"759",2002-01-28,464849.3537856
"760",2002-01-29,596964.43328256
"761",2002-01-30,332734.27428864
"762",2002-01-31,291142.49000256
"763",2002-02-01,445276.74941568
"764",2002-02-02,491761.68479424
"765",2002-02-03,503994.56252544
"766",2002-02-04,154134.25941312
"767",2002-02-05,215298.64806912
"768",2002-02-06,188386.31706048
"769",2002-02-07,406131.54067584
"770",2002-02-08,391452.0873984
"771",2002-02-09,486868.53370176
"772",2002-02-10,496654.83588672
"773",2002-02-11,-648342.5197536
"774",2002-02-12,-941931.5853024
"775",2002-02-13,-763331.57042688
"776",2002-02-14,-337627.42538112
"777",2002-02-15,-406131.54067584
"778",2002-02-16,-154134.25941312
"779",2002-02-17,-229978.10134656
"780",2002-02-18,-173706.86378304
"781",2002-02-19,-234871.25243904
"782",2002-02-20,-207958.9214304
"783",2002-02-21,-293589.0655488
"784",2002-02-22,159027.4105056
"785",2002-02-23,-41591.78428608
"786",2002-02-24,-491761.68479424
"787",2002-02-25,-85630.1441184
"788",2002-02-26,-2691.233100864
"789",2002-02-27,413471.26731456
"790",2002-02-28,215298.64806912
"791",2002-03-01,237317.82798528
"792",2002-03-02,95416.44630336
"793",2002-03-03,271569.88563264
"794",2002-03-04,110095.8995808
"795",2002-03-05,308268.51882624
"796",2002-03-06,330287.6987424
"797",2002-03-07,41591.78428608
"798",2002-03-08,281356.1878176
"799",2002-03-09,337627.42538112
"800",2002-03-10,310715.09437248
"801",2002-03-11,242210.97907776
"802",2002-03-12,183493.165968
"803",2002-03-13,102756.17294208
"804",2002-03-14,124775.35285824
"805",2002-03-15,239764.40353152
"806",2002-03-16,-362093.18084352
"807",2002-03-17,-587178.1310976
"808",2002-03-18,-508887.71361792
"809",2002-03-19,-545586.34681152
"810",2002-03-20,-112542.47512704
"811",2002-03-21,168813.71269056
"812",2002-03-22,161473.98605184
"813",2002-03-23,159027.4105056
"814",2002-03-24,220191.7991616
"815",2002-03-25,384112.36075968
