"Date","S65E_AMMONIA-N_mg/L","S65E_S_FLOW_cfs"
"2003-03-25",0.084,5609312.68637537
"2003-04-08",0.021,6385268.58662085
"2003-04-22",0.013,4770406.39732514
"2003-05-06",0.008,2927376.57258708
"2003-05-20",0.05,2570421.20039067
"2003-06-03",0.0065,1529256.51093277
"2003-06-16",0.0155,1697140.52491576
"2003-07-01",0.039,2121132.06707916
"2003-07-15",0.012,3104900.09422226
"2003-08-12",0.06,12784849.6401872
"2003-08-26",0.043,23675780.6842746
"2003-09-09",0.015,29418969.9845402
"2003-09-15",0.029,21730092.5496163
"2003-09-23",0.102,6079006.25974253
"2003-10-07",0.0375,6155314.95102975
"2003-10-21",0.128,2567265.11793602
"2003-11-04",0.098,1954202.2175592
"2003-11-18",0.035,1661738.57676167
"2003-12-02",0.04,1310777.31465354
"2003-12-16",0.022,1931449.06497917
"2003-12-30",0.007,3341679.67558737
"2004-01-13",0.038,4334279.8404524
"2004-01-27",0.038,4271574.10920227
"2004-02-10",0.0245,414474.363288518
"2004-02-24",0.026,2824351.27633492
"2004-03-09",0.011,3359710.93736316
"2004-03-15",0.049,2836070.37320141
"2004-03-23",0.029,2881332.02080685
"2004-04-06",0.021,601808.652864115
"2004-04-20",0.085,1189622.89360374
"2004-05-04",0.007,1535739.93613031
"2004-05-17",0.0125,860827.605944544
"2004-05-18",0.022,523909.687471834
"2004-06-08",0.04,1107050.96891814
"2004-07-20",0.005,636036.244756013
"2004-08-03",0.037,826355.356498022
"2004-08-17",0.078,3466822.01477754
"2004-08-23",0.0805,4548722.18708033
"2004-08-31",0.228,3942656.49276576
"2004-09-14",0.031,27949116.3278701
"2004-09-29",0.108,48245442.2101234
"2004-10-12",0.075,20165776.6111059
"2004-10-26",0.0143333333333333,8954980.28010311
"2004-11-22",0.09,4097573.65635368
"2004-12-07",0.051,3476534.91969612
"2004-12-21",0.021,2358449.89506444
"2005-01-04",0.07,2505489.08539346
"2005-01-18",0.039,2069411.46003164
"2005-02-01",0.038,2141976.89073312
"2005-02-03",0.022,2098501.24327644
"2005-02-14",0.018,1996797.09781924
"2005-02-15",0.014,999303.781861728
"2005-03-01",0.024,2620306.8757785
"2005-03-15",0.017,4965300.60533862
"2005-03-29",0.023,10387548.1254485
"2005-04-12",0.017,5840636.40427237
"2005-04-26",0.018,3809195.79671837
"2005-05-10",0.072,5501125.11572064
"2005-05-16",0.0135,3643611.56374884
"2005-05-24",0.027,2939169.06671996
"2005-06-07",0.00466666666666667,17071103.2026669
"2005-06-21",0.061,9754912.62070174
"2005-07-05",0.0085,24519335.4668627
"2005-07-19",0.005,22707817.5351602
"2005-08-02",0.0235,8259002.93446422
"2005-08-16",0.052,7769687.82521622
"2005-08-22",0.042,6514374.37819594
"2005-08-30",0.046,8316203.87073531
"2005-09-12",0.015,8437554.01782881
"2005-10-11",0.042,2669629.8387907
"2005-11-08",0.0075,14987428.2072007
"2005-11-14",0.03,9979924.17368943
"2005-11-16",0.031,8889999.23359498
"2005-12-06",0.044,4738331.79191393
"2005-12-20",0.036,3937274.02656403
"2006-01-03",0.018,3651807.59182875
"2006-01-17",0.033,2912941.77686427
"2006-01-30",0.046,3048017.21277218
"2006-02-13",0.0235,3674340.55260962
"2006-02-28",0.033,2605382.76494644
"2006-03-13",0.021,1951804.57352388
"2006-03-28",0.044,711610.963379366
"2006-04-11",0.031,1254163.55651355
"2006-04-24",0.027,713078.90870711
"2006-05-08",0.015,1490062.37068201
"2006-05-22",0.025,1162172.31597492
"2006-06-19",0.0095,206980.291211904
"2006-07-18",0.009,61555.8407433984
"2006-07-31",0.0175,115184.776716979
"2006-08-31",0.066,3161391.52358494
"2006-09-11",0.044,6092168.8361813
"2006-09-25",0.358,517891.111628083
"2006-10-10",0.438,262493.09035609
"2006-10-24",0.541,107282.337702624
"2007-07-17",0.046,495774.068690074
"2007-08-06",0.077,2350865.51087109
"2007-08-20",0.19875,1710107.37531084
"2007-08-21",0.301,1503763.19374095
"2007-09-04",0.1405,2200009.66268993
"2007-09-17",0.067,1081190.66539438
"2007-10-01",0.054,1123540.8880998
"2007-10-15",0.0275,1820252.20640256
"2007-10-29",0.04,1462146.94369941
"2007-11-05",0.027,965614.436590003
"2007-11-20",0.036,408186.664134682
"2007-11-26",0.026,83550.554904096
"2007-12-03",0.0186,255911.802136704
"2007-12-18",0.035,240791.965260941
"2008-01-17",0.036,294323.038212672
"2008-01-29",0.0065,212656.346479181
"2008-02-04",0.019,259483.802434214
"2008-02-19",0.018,450487.955329171
"2008-02-20",0.014,261220.871072045
"2008-03-03",0.0086,80051.9518729728
"2008-03-17",0.004,2266189.53121573
"2008-04-07",0.025,5229873.28490901
"2008-04-21",0.023,2670804.1950529
"2008-05-06",0.014,1160043.7952497
"2008-05-19",0.001,878736.538943021
"2008-05-28",0.063,348245.563251802
"2008-06-03",0.0024,7657.7814597312
"2008-06-17",0.012,798684.587070048
"2008-07-01",0.0035,1139884.01274868
"2008-07-16",0.1315,3200194.21174831
"2008-08-06",0.167,6396155.84780162
"2008-08-26",0.079,35719513.6599948
"2008-08-28",0.07,34634873.3230802
"2008-09-08",0.0636,16131031.0147797
"2008-09-22",0.162,3835618.81261776
"2008-10-06",0.0315,474709.053236947
"2008-10-20",0.007,503945.631014515
"2008-11-13",0.012,582480.706048819
"2008-11-19",0.021,316170.957840595
"2008-11-24",0.025,184594.124963808
"2008-12-10",0.0095,287301.366394963
"2008-12-23",0.007,245269.19851056
"2009-01-14",0.0125,481143.546923558
"2009-01-27",0.019,321847.013107872
"2009-02-02",0.031,458145.736788902
"2009-02-17",0.018,289062.900788256
"2009-02-18",0.019,519970.700842387
"2009-03-03",0.0074,176569.357172141
"2009-03-17",0.009,287130.106106726
"2009-03-31",0.0115,618543.229600397
"2009-04-14",0.0145,433459.789527341
"2009-04-29",0.027,140922.751463424
"2009-05-13",0.0035,449411.462088826
"2009-05-20",0.019,1376100.88173815
"2009-05-27",0.03,6704399.9008724
"2009-06-02",0.0265,10981332.0105209
"2009-06-16",0.0126666666666667,6559636.02580138
"2009-07-07",0.056,7477150.7871523
"2009-07-20",0.141,9846683.6694412
"2009-08-04",0.07,9656731.54403113
"2009-08-18",0.062,4052899.18687933
"2009-08-26",0.159,5263317.97262611
"2009-09-08",0.042,8248996.4404801
"2009-09-22",0.0412,6937313.89287445
"2009-10-07",0.0505,757312.99458313
"2009-10-21",0.024,458537.188876301
"2009-11-09",0.022,168275.466070387
"2009-11-18",0.01,575654.76027481
"2009-11-30",0.008,386754.662349619
"2009-12-16",0.011,1099344.25594748
"2009-12-28",0.009,161547.383318227
"2010-01-11",0.034,710558.935894483
"2010-01-25",0.078,1214969.41626278
"2010-02-08",0.106,3007061.53812812
"2010-02-17",0.071,5463643.57835224
"2010-02-24",0.02,6194337.83099228
"2010-03-15",0.0506,12576205.6776039
"2010-03-29",0.08,14088238.2966911
"2010-04-12",0.0325,10710422.7002858
"2010-04-26",0.05,7250426.63128224
"2010-05-10",0.0205,7009390.00846668
"2010-05-24",0.043,5469050.51030943
"2010-05-26",0.028,5420559.38298296
"2010-06-07",0.02225,4413842.47721612
"2010-06-21",0.059,1116568.14779301
"2010-07-08",0.03,6177211.8021686
"2010-07-19",0.188,1466428.45090533
"2010-08-02",0.13,416920.938834758
"2010-08-16",0.163,1269112.13310108
"2010-08-18",0.113,872106.31921271
"2010-09-14",0.0966666666666667,1130905.08049398
"2010-09-27",0.159,1228229.8557234
"2010-10-11",0.036,933001.584558624
"2010-10-26",0.019,468470.285594035
"2010-11-09",0.048,185230.23460583
"2010-11-17",0.016,187823.604684845
"2010-11-29",0.027,252559.993638355
"2010-12-09",0.013,641125.121892192
"2010-12-22",0.015,354631.125427488
"2011-01-10",0.051,222564.977441453
"2011-01-24",0.037,52821.5660433216
"2011-02-07",0.006,654654.684662899
"2011-02-17",0.031,573257.116239494
"2011-02-23",0.01,202307.331918586
"2011-03-09",0.0273333333333333,251605.829175322
"2011-03-23",0.015,122035.188246451
"2011-04-13",0.015,2284489.9163016
"2011-04-27",0.005,2411124.66657498
"2011-05-11",0.01,1585699.00878453
"2011-05-18",0.005,1541538.3201749
"2011-05-25",0.008,815003.245963469
"2011-06-08",0.006,139136.751314669
"2011-07-06",0.008,2063980.06231899
"2011-07-20",0.202,3643758.35828162
"2011-08-03",0.217,1740444.91208421
"2011-08-17",0.308,1325383.3706646
"2011-08-24",0.216,1798551.08130741
"2011-08-31",0.165,1166037.90533798
"2011-09-14",0.0463333333333333,5095164.83533304
"2011-09-28",0.206,3550030.04910517
"2011-10-12",0.086,49859252.3719342
"2011-10-26",0.032,26836854.1530385
"2011-11-07",0.07,8133885.0610295
"2011-11-16",0.064,4161869.66170886
"2011-11-22",0.086,2923902.43531142
"2011-12-07",0.055,1232486.89717386
"2011-12-21",0.037,1537525.93627907
"2012-01-04",0.039,1137828.88928984
"2012-01-18",0.054,1277748.5447793
"2012-02-01",0.064,1628147.0945118
"2012-02-15",0.03,2209428.97854296
"2012-02-22",0.017,2004087.89294703
"2012-02-29",0.045,1793829.19050317
"2012-03-14",0.027,1371085.40186836
"2012-03-28",0.071,115282.639738829
"2012-04-11",0.034,28624.933891008
"2012-04-25",0.015,1054718.71798406
"2012-05-09",0.011,385776.032131123
"2012-05-16",0.01,419489.84315831
"2012-05-23",0.015,1917919.50220846
"2012-06-06",0.01,341615.343521491
"2012-06-20",0.019,337407.233581958
"2012-07-11",0.15,717800.799511354
"2012-07-25",0.2,1199140.07247861
"2012-08-08",0.0895,414743.486598605
"2012-08-22",0.096,1317847.91798218
"2012-09-05",0.102,16971796.701245
"2012-09-19",0.144,9036989.49241308
"2012-10-03",0.106,10330322.7234219
"2012-10-17",0.105,6668533.10336452
"2012-10-31",0.251,1815285.65804369
"2012-11-14",0.13,1113901.38044761
"2012-11-28",0.067,1557098.54064899
"2012-12-05",0.052,205561.277395085
"2012-12-19",0.104,2112813.71022194
"2013-01-02",0.088,835774.672351046
"2013-01-16",0.024,494770.972716115
"2013-01-30",0.036,594493.391980858
"2013-02-06",0.032,263667.446618285
"2013-02-13",0.017,602028.844663277
"2013-02-27",0.013,513169.22082384
"2013-03-13",0.041,363634.523437651
"2013-03-27",0.011,704026.579186022
"2013-04-10",0.02,526233.934240762
"2013-04-24",0.01,544045.004217389
"2013-05-08",0.0105,1726523.89722611
"2013-05-22",0.009,1826295.24800177
"2013-06-05",0.011,881623.498087584
"2013-06-19",0.157,3187545.41617425
"2013-07-02",0.129,10733983.2227961
"2013-07-17",0.092,15942693.6292301
"2013-07-31",0.073,23006471.0120897
"2013-08-07",0.065,16762296.4372205
"2013-08-14",0.066,11823320.9847594
"2013-08-28",0.128,7879294.40968777
"2013-09-11",0.11,6725831.90265746
"2013-09-25",0.152,4302278.63230758
"2013-10-09",0.113,2090647.73577301
"2013-10-23",0.084,764408.063667226
"2013-11-04",0.042,645847.012696435
"2013-11-06",0.022,701995.921482643
"2013-11-20",0.018,805975.382197843
"2013-12-04",0.032,488263.081763117
"2013-12-18",0.033,612598.051023034
"2013-12-30",0.021,604010.570855731
"2014-01-15",0.014,634715.093961043
"2014-01-29",0.006,894052.101862483
"2014-02-03",0.022,1297957.25879124
"2014-02-12",0.02,3924160.38163619
"2014-02-26",0.019,3411137.95534512
"2014-03-12",0.038,1458281.35433635
"2014-03-26",0.064,2602324.54551364
"2014-04-09",0.023,3114392.80734167
"2014-04-23",0.015,2758489.46263014
"2014-05-05",0.015,2385924.93844871
"2014-05-07",0.014,2986143.31720777
"2014-05-21",0.008,2589528.9554068
"2014-06-04",0.036,604328.625676742
"2014-06-18",0.077,3424349.46329482
"2014-07-01",0.208,4360825.1851291
"2014-07-16",0.155,6966085.62129823
"2014-07-30",0.113,8636827.59607006
"2014-08-13",0.108,7414836.50798957
"2014-08-18",0.1,12094352.6237719
"2014-08-27",0.122,6552222.90189627
"2014-09-10",0.293,3818321.52350584
"2014-09-24",0.214,6825676.65069951
"2014-10-08",0.054,12502710.5481948
"2014-10-22",0.187,1936024.16125064
"2014-11-03",0.032,1221330.51268301
"2014-11-05",0.027,1070474.66450185
"2014-11-19",0.063,739991.23971575
"2014-12-03",0.048,4086882.12121661
"2014-12-17",0.037,3903388.95524861
"2014-12-30",0.035,3766233.93012639
"2015-01-14",0.057,3180328.01831284
"2015-01-28",0.037,7597669.09856008
"2015-02-02",0.016,7439400.12647382
"2015-02-11",0.025,9916875.92186283
"2015-02-25",0.025,8511220.4075261
"2015-03-11",0.036,11216496.8520255
"2015-03-25",0.09,2710634.44494568
"2015-04-08",0.057,2723797.02138445
"2015-04-22",0.076,5172892.54043708
"2015-05-04",0.03,7033953.62695093
"2015-05-06",0.019,6020092.72058907
"2015-05-20",0.031,1077447.40480863
"2015-06-03",0.087,1073386.08940188
"2015-06-17",0.013,1078328.17200528
"2015-07-01",0.036,1272586.27037674
"2015-07-15",0.016,1842442.64660696
"2015-07-29",0.124,1498600.91933839
"2015-08-03",0.096,1687036.16790979
"2015-08-12",0.0556666666666667,3254190.13405382
"2015-08-26",0.063,7992570.85747868
"2015-09-09",0.064,14924991.5992606
"2015-09-23",0.058,12902187.4033849
"2015-10-07",0.107,7220456.0808408
"2015-10-21",0.103,3759261.18981961
"2015-10-26",0.056,4346072.33458527
"2015-11-04",0.044,3222188.92590901
"2015-11-18",0.134,1241367.96640671
"2015-12-02",0.042,1444262.4764564
"2015-12-21",0.108,1009285.81009039
"2016-01-04",0.048,1140250.99908061
"2016-01-20",0.078,6890535.36843034
"2016-02-01",0.071,9611641.15671393
"2016-02-15",0.027,8666651.35197873
"2016-02-29",0.045,8544420.43768858
"2016-03-14",0.044,1347916.33144547
"2016-03-28",0.077,3951537.56199861
"2016-04-11",0.033,8905999.83766739
"2016-04-25",0.023,4678023.70469912
"2016-05-09",0.052,3940527.97204053
"2016-05-23",0.065,20275163.0037783
"2016-06-06",0.08,8780025.66279149
"2016-06-20",0.118,12651731.4647163
"2016-07-06",0.05,4598876.98577825
"2016-07-18",0.199,2996051.94817004
"2016-08-01",0.067,2254641.69463747
"2016-08-15",0.061,2699551.45772122
"2016-08-29",0.159,2970803.28853285
"2016-09-12",0.106,13170503.343541
"2016-09-26",0.08,12998044.2332866
"2016-10-10",0.106,10132639.4192857
"2016-10-24",0.088,4102956.1225554
"2016-11-07",0.142,2201061.69017482
"2016-11-21",0.078,1980502.90468128
"2016-12-19",0.056,1861012.15500292
"2017-01-09",0.062,932267.611894752
"2017-01-23",0.018,1147810.9175185
"2017-02-06",0.009,1628978.93019752
"2017-06-05",0.02,13945.480613568
"2017-09-13",0.068,10412234.07271
"2017-09-25",0.09,17802849.4827918
"2017-10-09",0.131,11108627.3361918
"2017-10-23",0.11,3435285.65598651
"2017-11-06",0.08,4625666.98800958
"2017-11-20",0.118,2823617.30367105
"2017-12-04",0.114,1144459.10902015
"2018-03-26",0.015,509939.741102803
"2018-04-09",0.01,261245.336827507
"2018-05-21",0.087,87587.404555392
"2018-06-04",0.052,46533.8668894848
"2018-12-11",0.037,46705.1271777216
"2018-12-26",0.034,285466.434735283
"2019-01-07",0.029,531078.153822317
"2019-01-22",0.02,1042730.49780749
"2019-02-04",0.013,3169954.53799678
"2019-02-18",0.08,4828218.97748279
"2019-03-04",0.121666666666667,2701239.59484812
"2019-03-06",0.143,2306655.89075053
"2019-05-20",0.007,1136018.42338562
"2019-06-03",0.012,278200.10536295
"2019-06-17",0.094,584902.815839597
"2019-06-20",0.127,1770219.73648195
"2019-07-01",0.366,1942311.86040447
"2019-07-15",0.311,1959878.27282648
"2019-07-29",0.02,1776678.69592403
"2019-08-12",0.154,7077771.79498408
"2019-08-26",0.497,12475773.7514307
"2019-09-09",0.108,364221.701568749
"2019-09-23",0.054,2512070.37361284
"2019-10-08",0.262,894590.348482656
"2019-10-21",0.062,507126.179224627
"2019-11-04",0.029,282285.886525171
"2019-11-18",0.029,983498.903833018
"2019-12-02",0.028,841842.179705722
"2019-12-16",0.06,676331.344002586
"2019-12-30",0.023,985309.369737235
"2020-01-13",0.036,702240.579037267
"2020-01-27",0.036,306898.436520346
"2020-02-10",0.018,1872535.52582571
"2020-02-24",0.064,1239190.51417056
"2020-03-09",0.026,1073948.80177751
"2020-03-23",0.013,1133963.29992678
"2020-04-06",0.016,1031060.33245192
"2020-04-20",0.01,624292.682134061
"2020-05-04",0.008,1648869.58938845
"2020-05-18",0.009,243360.869584493
"2020-06-01",0.009,2206126.10155553
"2020-06-15",0.24,2232524.65169946
"2020-06-29",0.072,2123529.71111447
"2020-07-13",0.132,3398807.21459207
"2020-07-27",0.078,9354383.73802679
"2020-08-10",0.077,9821190.35224938
"2020-08-24",0.094,4266705.42386525
"2020-09-08",0.091,6483792.18386794
"2020-09-21",0.082,8877546.16406462
"2020-10-05",0.064,12004269.7121593
"2020-10-19",0.107,3549760.92579508
"2020-11-02",0.215,2823641.76942651
"2020-11-16",0.13,4709951.51557755
"2020-11-30",0.04,3740544.88689087
"2020-12-14",0.009,4232086.37988595
"2020-12-28",0.04,2816179.71401048
"2021-01-11",0.021,1715269.6497134
"2021-01-25",0.017,2140900.39749277
"2021-02-08",0.006,2308539.75392114
"2021-02-22",0.09,2505219.96208337
"2021-03-08",0.056,2246641.39260127
"2021-03-22",0.083,2022877.59314216
"2021-04-05",0.063,732137.73221232
"2021-04-19",0.005,1947841.12113898
"2021-05-03",0.013,2118783.35455476
"2021-05-17",0.034,1134207.9574814
"2021-06-01",0.007,771772.256061408
"2021-06-14",0.007,605478.516183475
"2021-06-28",0.054,2239497.39200625
"2021-07-12",0.097,2681618.05896728
"2021-07-26",0.028,4202482.81577645
"2021-08-09",0.087,4273042.05453001
"2021-08-23",0.115,5237677.86090152
"2021-09-07",0.02,4110858.56156976
"2021-09-20",0.104,5148989.49735032
"2021-10-04",0.103,5773722.5630827
"2021-10-18",0.118,4511607.63604387
"2021-11-01",0.093,3566691.22857506
"2021-11-15",0.086,3634118.85062943
"2021-11-29",0.246,929992.296636749
"2021-12-13",0.02,922212.186399706
"2021-12-27",0.018,931460.241964493
"2022-01-10",0.115,857255.605647034
"2022-01-24",0.038,1179053.68724398
"2022-02-07",0.012,2670363.81145457
"2022-02-21",0.016,2514174.42858261
"2022-03-07",0.077,703047.948967527
"2022-03-21",0.009,2091430.6399478
"2022-04-04",0.017,2260611.3389703
"2022-05-02",0.068,3964479.94663822
"2022-05-16",0.005,3074220.03687241
"2022-06-13",0.006,727073.320831603
"2022-06-27",0.011,940904.023572979
"2022-07-11",0.026,464751.49076375
"2022-07-25",0.03,108481.159720282
"2022-08-08",0.069,135564.751017158
"2022-08-22",0.251,658153.287694022
"2022-09-06",0.111,702803.291412902
"2022-09-19",0.129,3028126.55358125
"2022-10-03",0.021,23924768.6776154
"2022-10-17",0.078,32475794.8692788
"2022-10-31",0.09,11474781.8324421
"2022-11-14",0.118,7079508.86362191
"2022-11-28",0.085,7317291.54096098
"2022-12-12",0.094,3838065.388164
"2022-12-27",0.08,3526909.9101932
"2023-01-09",0.065,3707662.91154941
"2023-01-23",0.046,3372212.93840444
"2023-02-06",0.069,3406146.94123079
"2023-02-20",0.034,3152119.00226469
"2023-03-06",0.031,1885380.04744347
"2023-03-20",0.023,1271876.76346833
"2023-04-03",0.016,1107907.27035932
"2023-04-17",0.016,859457.52363865
"2023-05-01",0.011,597453.748391808
