"","date","LZ40_H2OT_Degrees Celsius"
"84",1995-03-25,NA
"85",1995-03-26,NA
"86",1995-03-27,NA
"87",1995-03-28,NA
"88",1995-03-29,NA
"89",1995-03-30,NA
"90",1995-03-31,NA
"91",1995-04-01,NA
"92",1995-04-02,NA
"93",1995-04-03,NA
"94",1995-04-04,NA
"95",1995-04-05,NA
"96",1995-04-06,NA
"97",1995-04-07,NA
"98",1995-04-08,NA
"99",1995-04-09,NA
"100",1995-04-10,NA
"101",1995-04-11,NA
"102",1995-04-12,NA
"103",1995-04-13,NA
"104",1995-04-14,NA
"105",1995-04-15,NA
"106",1995-04-16,NA
"107",1995-04-17,NA
"108",1995-04-18,NA
"109",1995-04-19,NA
"110",1995-04-20,NA
"111",1995-04-21,NA
"112",1995-04-22,NA
"113",1995-04-23,NA
"114",1995-04-24,NA
"115",1995-04-25,NA
"116",1995-04-26,NA
"117",1995-04-27,NA
"118",1995-04-28,NA
"119",1995-04-29,NA
"120",1995-04-30,NA
"121",1995-05-01,NA
"122",1995-05-02,NA
"123",1995-05-03,NA
"124",1995-05-04,NA
"125",1995-05-05,NA
"126",1995-05-06,NA
"127",1995-05-07,NA
"128",1995-05-08,NA
"129",1995-05-09,NA
"130",1995-05-10,NA
"131",1995-05-11,NA
"132",1995-05-12,NA
"133",1995-05-13,NA
"134",1995-05-14,NA
"135",1995-05-15,NA
"136",1995-05-16,NA
"137",1995-05-17,NA
"138",1995-05-18,NA
"139",1995-05-19,NA
"140",1995-05-20,NA
"141",1995-05-21,NA
"142",1995-05-22,NA
"143",1995-05-23,NA
"144",1995-05-24,NA
"145",1995-05-25,NA
"146",1995-05-26,NA
"147",1995-05-27,NA
"148",1995-05-28,NA
"149",1995-05-29,NA
"150",1995-05-30,NA
"151",1995-05-31,NA
"152",1995-06-01,NA
"153",1995-06-02,NA
"154",1995-06-03,NA
"155",1995-06-04,NA
"156",1995-06-05,NA
"157",1995-06-06,NA
"158",1995-06-07,NA
"159",1995-06-08,NA
"160",1995-06-09,NA
"161",1995-06-10,NA
"162",1995-06-11,NA
"163",1995-06-12,NA
"164",1995-06-13,NA
"165",1995-06-14,NA
"166",1995-06-15,NA
"167",1995-06-16,NA
"168",1995-06-17,NA
"169",1995-06-18,NA
"170",1995-06-19,NA
"171",1995-06-20,NA
"172",1995-06-21,NA
"173",1995-06-22,NA
"174",1995-06-23,NA
"175",1995-06-24,NA
"176",1995-06-25,NA
"177",1995-06-26,NA
"178",1995-06-27,NA
"179",1995-06-28,28.84
"180",1995-06-29,28.61
"181",1995-06-30,28.62
"182",1995-07-01,29.08
"183",1995-07-02,28.77
"184",1995-07-03,29.18
"185",1995-07-04,29.07
"186",1995-07-05,29.21
"187",1995-07-06,29.14
"188",1995-07-07,29.1
"189",1995-07-08,29.83
"190",1995-07-09,29.41
"191",1995-07-10,29.03
"192",1995-07-11,28.83
"193",1995-07-12,28.61
"194",1995-07-13,28.66
"195",1995-07-14,28.79
"196",1995-07-15,28.98
"197",1995-07-16,29.05
"198",1995-07-17,28.66
"199",1995-07-18,28.13
"200",1995-07-19,27.95
"201",1995-07-20,28.16
"202",1995-07-21,28.59
"203",1995-07-22,29.36
"204",1995-07-23,28.97
"205",1995-07-24,29.05
"206",1995-07-25,28.87
"207",1995-07-26,28.55
"208",1995-07-27,28.1
"209",1995-07-28,27.96
"210",1995-07-29,27.91
"211",1995-07-30,27.91
"212",1995-07-31,27.94
"213",1995-08-01,27.88
"214",1995-08-02,27.44
"215",1995-08-03,27.29
"216",1995-08-04,27.27
"217",1995-08-05,27.65
"218",1995-08-06,28.38
"219",1995-08-07,28.53
"220",1995-08-08,28.98
"221",1995-08-09,28.45
"222",1995-08-10,28.45
"223",1995-08-11,28.66
"224",1995-08-12,28.79
"225",1995-08-13,29.16
"226",1995-08-14,28.77
"227",1995-08-15,28.93
"228",1995-08-16,29.31
"229",1995-08-17,29.24
"230",1995-08-18,29.36
"231",1995-08-19,29.13
"232",1995-08-20,29.32
"233",1995-08-21,29.27
"234",1995-08-22,29.02
"235",1995-08-23,28.83
"236",1995-08-24,27.83
"237",1995-08-25,27.36
"238",1995-08-26,27.53
"239",1995-08-27,27.87
"240",1995-08-28,28.28
"241",1995-08-29,28.26
"242",1995-08-30,28.66
"243",1995-08-31,28.81
"244",1995-09-01,28.37
"245",1995-09-02,28.19
"246",1995-09-03,28.38
"247",1995-09-04,28.7
"248",1995-09-05,28.7
"249",1995-09-06,28.13
"250",1995-09-07,28.16
"251",1995-09-08,28.03
"252",1995-09-09,27.89
"253",1995-09-10,27.72
"254",1995-09-11,27.88
"255",1995-09-12,27.84
"256",1995-09-13,27.86
"257",1995-09-14,28.03
"258",1995-09-15,28.13
"259",1995-09-16,28.41
"260",1995-09-17,28.66
"261",1995-09-18,28.32
"262",1995-09-19,28.41
"263",1995-09-20,28.58
"264",1995-09-21,28.76
"265",1995-09-22,28.33
"266",1995-09-23,28.38
"267",1995-09-24,28.76
"268",1995-09-25,28.65
"269",1995-09-26,28.43
"270",1995-09-27,28.49
"271",1995-09-28,28.21
"272",1995-09-29,28.11
"273",1995-09-30,28.28
"274",1995-10-01,28.5
"275",1995-10-02,28.07
"276",1995-10-03,28.03
"277",1995-10-04,27.86
"278",1995-10-05,NA
"279",1995-10-06,NA
"280",1995-10-07,NA
"281",1995-10-08,NA
"282",1995-10-09,NA
"283",1995-10-10,NA
"284",1995-10-11,27.62
"285",1995-10-12,27.65
"286",1995-10-13,27.5
"287",1995-10-14,27.26
"288",1995-10-15,26.94
"289",1995-10-16,26.46
"290",1995-10-17,26.03
"291",1995-10-18,25.77
"292",1995-10-19,NA
"293",1995-10-20,NA
"294",1995-10-21,NA
"295",1995-10-22,NA
"296",1995-10-23,NA
"297",1995-10-24,NA
"298",1995-10-25,NA
"299",1995-10-26,NA
"300",1995-10-27,NA
"301",1995-10-28,NA
"302",1995-10-29,NA
"303",1995-10-30,NA
"304",1995-10-31,NA
"305",1995-11-01,NA
"306",1995-11-02,NA
"307",1995-11-03,NA
"308",1995-11-04,NA
"309",1995-11-05,NA
"310",1995-11-06,NA
"311",1995-11-07,NA
"312",1995-11-08,NA
"313",1995-11-09,NA
"314",1995-11-10,NA
"315",1995-11-11,NA
"316",1995-11-12,NA
"317",1995-11-13,NA
"318",1995-11-14,NA
"319",1995-11-15,NA
"320",1995-11-16,NA
"321",1995-11-17,NA
"322",1995-11-18,NA
"323",1995-11-19,NA
"324",1995-11-20,NA
"325",1995-11-21,19.97
"326",1995-11-22,19.42
"327",1995-11-23,19.27
"328",1995-11-24,19.79
"329",1995-11-25,19.21
"330",1995-11-26,18.92
"331",1995-11-27,19.73
"332",1995-11-28,20.25
"333",1995-11-29,20.14
"334",1995-11-30,20.1
"335",1995-12-01,20.67
"336",1995-12-02,20.19
"337",1995-12-03,20.87
"338",1995-12-04,20.89
"339",1995-12-05,20.89
"340",1995-12-06,21.09
"341",1995-12-07,21.85
"342",1995-12-08,21.92
"343",1995-12-09,22.56
"344",1995-12-10,21.1
"345",1995-12-11,19.56
"346",1995-12-12,19.19
"347",1995-12-13,19.57
"348",1995-12-14,19.68
"349",1995-12-15,20.12
"350",1995-12-16,20.61
"351",1995-12-17,20.65
"352",1995-12-18,20.73
"353",1995-12-19,20.83
"354",1995-12-20,20.51
"355",1995-12-21,19.37
"356",1995-12-22,18.36
"357",1995-12-23,17.4
"358",1995-12-24,16.06
"359",1995-12-25,14.7
"360",1995-12-26,14.1
"361",1995-12-27,13.76
"362",1995-12-28,13.51
"363",1995-12-29,13.48
"364",1995-12-30,14.33
"365",1995-12-31,14.33
"366",1996-01-01,14.66
"367",1996-01-02,15.42
"368",1996-01-03,15.98
"369",1996-01-04,15.76
"370",1996-01-05,15.8
"371",1996-01-06,16.18
"372",1996-01-07,16.07
"373",1996-01-08,14.75
"374",1996-01-09,13.9
"375",1996-01-10,14.36
"376",1996-01-11,14.63
"377",1996-01-12,13.87
"378",1996-01-13,13.33
"379",1996-01-14,13.76
"380",1996-01-15,14.14
"381",1996-01-16,14.08
"382",1996-01-17,14.98
"383",1996-01-18,16.28
"384",1996-01-19,15.78
"385",1996-01-20,15.38
"386",1996-01-21,16.5
"387",1996-01-22,16.02
"388",1996-01-23,17.13
"389",1996-01-24,17.92
"390",1996-01-25,17.03
"391",1996-01-26,17.05
"392",1996-01-27,18.68
"393",1996-01-28,17.59
"394",1996-01-29,18.16
"395",1996-01-30,19.52
"396",1996-01-31,19.85
"397",1996-02-01,20.34
"398",1996-02-02,19.51
"399",1996-02-03,19.54
"400",1996-02-04,18.43
"401",1996-02-05,16.17
"402",1996-02-06,15.31
"403",1996-02-07,15.51
"404",1996-02-08,16.34
"405",1996-02-09,17.67
"406",1996-02-10,17.99
"407",1996-02-11,17.28
"408",1996-02-12,16.69
"409",1996-02-13,15.78
"410",1996-02-14,16.34
"411",1996-02-15,16.45
"412",1996-02-16,16.45
"413",1996-02-17,15.31
"414",1996-02-18,15.92
"415",1996-02-19,15.93
"416",1996-02-20,17.38
"417",1996-02-21,18.85
"418",1996-02-22,18.63
"419",1996-02-23,19.81
"420",1996-02-24,19.99
"421",1996-02-25,19.88
"422",1996-02-26,21.04
"423",1996-02-27,21.42
"424",1996-02-28,21.79
"425",1996-02-29,21.66
"426",1996-03-01,20.89
"427",1996-03-02,20.15
"428",1996-03-03,19.58
"429",1996-03-04,19.34
"430",1996-03-05,19.67
"431",1996-03-06,21.78
"432",1996-03-07,21.28
"433",1996-03-08,20.67
"434",1996-03-09,18.52
"435",1996-03-10,17.11
"436",1996-03-11,16.06
"437",1996-03-12,15.85
"438",1996-03-13,16.24
"439",1996-03-14,17.32
"440",1996-03-15,18.15
"441",1996-03-16,18.35
"442",1996-03-17,18.76
"443",1996-03-18,18.59
"444",1996-03-19,19.02
"445",1996-03-20,18.55
"446",1996-03-21,17.75
"447",1996-03-22,18
"448",1996-03-23,18.21
"449",1996-03-24,18.18
"450",1996-03-25,18.78
"451",1996-03-26,19.96
"452",1996-03-27,20.2
"453",1996-03-28,21.24
"454",1996-03-29,23.3
"455",1996-03-30,24.02
"456",1996-03-31,24.33
"457",1996-04-01,22.45
"458",1996-04-02,21.71
"459",1996-04-03,21.52
"460",1996-04-04,22.54
"461",1996-04-05,22.91
"462",1996-04-06,23.3
"463",1996-04-07,22.32
"464",1996-04-08,22.58
"465",1996-04-09,22.27
"466",1996-04-10,21.77
"467",1996-04-11,21.69
"468",1996-04-12,21.59
"469",1996-04-13,22.98
"470",1996-04-14,24.03
"471",1996-04-15,23.29
"472",1996-04-16,23.17
"473",1996-04-17,23.13
"474",1996-04-18,23.37
"475",1996-04-19,23.59
"476",1996-04-20,23.89
"477",1996-04-21,24.31
"478",1996-04-22,24.5
"479",1996-04-23,25.56
"480",1996-04-24,25.9
"481",1996-04-25,26.4
"482",1996-04-26,26.73
"483",1996-04-27,25.97
"484",1996-04-28,26.12
"485",1996-04-29,26.36
"486",1996-04-30,26.22
"487",1996-05-01,26.29
"488",1996-05-02,26.6
"489",1996-05-03,27.35
"490",1996-05-04,27.93
"491",1996-05-05,28.19
"492",1996-05-06,27.7
"493",1996-05-07,27.37
"494",1996-05-08,27.24
"495",1996-05-09,27.19
"496",1996-05-10,27.04
"497",1996-05-11,27.5
"498",1996-05-12,28.55
"499",1996-05-13,27.72
"500",1996-05-14,27.35
"501",1996-05-15,27.08
"502",1996-05-16,27.03
"503",1996-05-17,27.46
"504",1996-05-18,27.33
"505",1996-05-19,27.53
"506",1996-05-20,27.39
"507",1996-05-21,26.59
"508",1996-05-22,27.6
"509",1996-05-23,27.48
"510",1996-05-24,27.59
"511",1996-05-25,28.9
"512",1996-05-26,29.03
"513",1996-05-27,28.54
"514",1996-05-28,28.56
"515",1996-05-29,28.05
"516",1996-05-30,27.45
"517",1996-05-31,27.54
"518",1996-06-01,27.18
"519",1996-06-02,26.48
"520",1996-06-03,26.68
"521",1996-06-04,26.94
"522",1996-06-05,27.51
"523",1996-06-06,27.95
"524",1996-06-07,29.16
"525",1996-06-08,28.4
"526",1996-06-09,27.67
"527",1996-06-10,27.69
"528",1996-06-11,27.69
"529",1996-06-12,28.08
"530",1996-06-13,27.94
"531",1996-06-14,28.8
"532",1996-06-15,29.08
"533",1996-06-16,29.04
"534",1996-06-17,29.07
"535",1996-06-18,30.71
"536",1996-06-19,29.36
"537",1996-06-20,28.63
"538",1996-06-21,28.37
"539",1996-06-22,28.46
"540",1996-06-23,28.75
"541",1996-06-24,29.61
"542",1996-06-25,30.19
"543",1996-06-26,29.61
"544",1996-06-27,29.31
"545",1996-06-28,29.33
"546",1996-06-29,29.63
"547",1996-06-30,28.95
"548",1996-07-01,29.98
"549",1996-07-02,29.89
"550",1996-07-03,29.31
"551",1996-07-04,29.38
"552",1996-07-05,29.36
"553",1996-07-06,29.33
"554",1996-07-07,30.67
"555",1996-07-08,30.29
"556",1996-07-09,30.43
"557",1996-07-10,29.92
"558",1996-07-11,29.94
"559",1996-07-12,29.93
"560",1996-07-13,30.55
"561",1996-07-14,30.72
"562",1996-07-15,30.09
"563",1996-07-16,30.15
"564",1996-07-17,30.14
"565",1996-07-18,30.06
"566",1996-07-19,30.8
"567",1996-07-20,31.49
"568",1996-07-21,31.05
"569",1996-07-22,31.19
"570",1996-07-23,31.42
"571",1996-07-24,31.15
"572",1996-07-25,31.2
"573",1996-07-26,30.98
"574",1996-07-27,30.56
"575",1996-07-28,30.2
"576",1996-07-29,30.05
"577",1996-07-30,30.13
"578",1996-07-31,30.27
"579",1996-08-01,30.67
"580",1996-08-02,30.57
"581",1996-08-03,30.41
"582",1996-08-04,30.74
"583",1996-08-05,30.25
"584",1996-08-06,30.14
"585",1996-08-07,30.54
"586",1996-08-08,30.19
"587",1996-08-09,29.69
"588",1996-08-10,29.71
"589",1996-08-11,30.22
"590",1996-08-12,30.33
"591",1996-08-13,30.7
"592",1996-08-14,31.15
"593",1996-08-15,31.23
"594",1996-08-16,30.7
"595",1996-08-17,30.59
"596",1996-08-18,30.05
"597",1996-08-19,29.73
"598",1996-08-20,29.38
"599",1996-08-21,29.19
"600",1996-08-22,29.15
"601",1996-08-23,29.5
"602",1996-08-24,29.55
"603",1996-08-25,29.64
"604",1996-08-26,28.86
"605",1996-08-27,29.28
"606",1996-08-28,30.3
"607",1996-08-29,30.3
"608",1996-08-30,30.14
"609",1996-08-31,31.38
"610",1996-09-01,31.24
"611",1996-09-02,30.81
"612",1996-09-03,31.29
"613",1996-09-04,30.39
"614",1996-09-05,30.48
"615",1996-09-06,30.93
"616",1996-09-07,30.63
"617",1996-09-08,30.51
"618",1996-09-09,29.41
"619",1996-09-10,28.81
"620",1996-09-11,28.99
"621",1996-09-12,30.02
"622",1996-09-13,29.77
"623",1996-09-14,30.29
"624",1996-09-15,29.68
"625",1996-09-16,29.23
"626",1996-09-17,29.66
"627",1996-09-18,29.74
"628",1996-09-19,29.65
"629",1996-09-20,29.44
"630",1996-09-21,30.18
"631",1996-09-22,29.05
"632",1996-09-23,29.3
"633",1996-09-24,28.76
"634",1996-09-25,28.15
"635",1996-09-26,27.8
"636",1996-09-27,27.75
"637",1996-09-28,28.24
"638",1996-09-29,28.5
"639",1996-09-30,28.29
"640",1996-10-01,28.18
"641",1996-10-02,28.07
"642",1996-10-03,27.91
"643",1996-10-04,27.52
"644",1996-10-05,27.27
"645",1996-10-06,26.95
"646",1996-10-07,26.73
"647",1996-10-08,26.48
"648",1996-10-09,27.34
"649",1996-10-10,26.21
"650",1996-10-11,25.45
"651",1996-10-12,24.82
"652",1996-10-13,24.47
"653",1996-10-14,24.47
"654",1996-10-15,24.65
"655",1996-10-16,25.06
"656",1996-10-17,25.39
"657",1996-10-18,25.61
"658",1996-10-19,25.29
"659",1996-10-20,24.58
"660",1996-10-21,24.29
"661",1996-10-22,25.11
"662",1996-10-23,25.72
"663",1996-10-24,25.34
"664",1996-10-25,24.96
"665",1996-10-26,25.26
"666",1996-10-27,25.33
"667",1996-10-28,25.56
"668",1996-10-29,26.23
"669",1996-10-30,26.9
"670",1996-10-31,26.92
"671",1996-11-01,27.08
"672",1996-11-02,26.61
"673",1996-11-03,25.21
"674",1996-11-04,24.35
"675",1996-11-05,24.05
"676",1996-11-06,24.55
"677",1996-11-07,24.94
"678",1996-11-08,25.01
"679",1996-11-09,23.29
"680",1996-11-10,21.43
"681",1996-11-11,20.39
"682",1996-11-12,19.66
"683",1996-11-13,19.44
"684",1996-11-14,19.36
"685",1996-11-15,19.64
"686",1996-11-16,19.91
"687",1996-11-17,20.18
"688",1996-11-18,20.44
"689",1996-11-19,21.95
"690",1996-11-20,21.94
"691",1996-11-21,21.83
"692",1996-11-22,21.45
"693",1996-11-23,20.75
"694",1996-11-24,20.65
"695",1996-11-25,20.96
"696",1996-11-26,21.21
"697",1996-11-27,20.47
"698",1996-11-28,20.17
"699",1996-11-29,20.19
"700",1996-11-30,20.41
"701",1996-12-01,20.66
"702",1996-12-02,21
"703",1996-12-03,21.09
"704",1996-12-04,20.92
"705",1996-12-05,21.05
"706",1996-12-06,21.83
"707",1996-12-07,21.4
"708",1996-12-08,21.19
"709",1996-12-09,19.26
"710",1996-12-10,18.22
"711",1996-12-11,18.67
"712",1996-12-12,19.55
"713",1996-12-13,19.97
"714",1996-12-14,19.31
"715",1996-12-15,19.3
"716",1996-12-16,19.2
"717",1996-12-17,19.71
"718",1996-12-18,19.58
"719",1996-12-19,19.09
"720",1996-12-20,16.52
"721",1996-12-21,15.24
"722",1996-12-22,15.63
"723",1996-12-23,15.7
"724",1996-12-24,NA
"725",1996-12-25,NA
"726",1996-12-26,NA
"727",1996-12-27,NA
"728",1996-12-28,NA
"729",1996-12-29,NA
"730",1996-12-30,NA
"731",1996-12-31,NA
"732",1997-01-01,NA
"733",1997-01-02,23.04
"734",1997-01-03,21.85
"735",1997-01-04,22.16
"736",1997-01-05,22.1
"737",1997-01-06,22.6
"738",1997-01-07,22.33
"739",1997-01-08,22.53
"740",1997-01-09,21.23
"741",1997-01-10,20.62
"742",1997-01-11,20.32
"743",1997-01-12,19.71
"744",1997-01-13,19.28
"745",1997-01-14,18.94
"746",1997-01-15,18.83
"747",1997-01-16,19.29
"748",1997-01-17,17.87
"749",1997-01-18,16.23
"750",1997-01-19,14.15
"751",1997-01-20,14.86
"752",1997-01-21,14.86
"753",1997-01-22,16.46
"754",1997-01-23,16.74
"755",1997-01-24,17.98
"756",1997-01-25,17.65
"757",1997-01-26,17.19
"758",1997-01-27,17.93
"759",1997-01-28,19.8
"760",1997-01-29,19.85
"761",1997-01-30,19.58
"762",1997-01-31,18.27
"763",1997-02-01,17.45
"764",1997-02-02,18.12
"765",1997-02-03,18.86
"766",1997-02-04,19.47
"767",1997-02-05,20.67
"768",1997-02-06,22.3
"769",1997-02-07,22.66
"770",1997-02-08,22.2
"771",1997-02-09,21.91
"772",1997-02-10,21.26
"773",1997-02-11,20.39
"774",1997-02-12,20.21
"775",1997-02-13,20.76
"776",1997-02-14,21.55
"777",1997-02-15,22.24
"778",1997-02-16,21.54
"779",1997-02-17,20.72
"780",1997-02-18,20.56
"781",1997-02-19,21.02
"782",1997-02-20,21.46
"783",1997-02-21,21.98
"784",1997-02-22,23.27
"785",1997-02-23,22.53
"786",1997-02-24,22.81
"787",1997-02-25,23.39
"788",1997-02-26,23.08
"789",1997-02-27,23.82
"790",1997-02-28,23.84
"791",1997-03-01,23.94
"792",1997-03-02,24.18
"793",1997-03-03,24.56
"794",1997-03-04,24.74
"795",1997-03-05,24.26
"796",1997-03-06,24.23
"797",1997-03-07,23.77
"798",1997-03-08,23.13
"799",1997-03-09,23.3
"800",1997-03-10,23.16
"801",1997-03-11,23.72
"802",1997-03-12,23.24
"803",1997-03-13,23.16
"804",1997-03-14,22.74
"805",1997-03-15,22.74
"806",1997-03-16,21.8
"807",1997-03-17,21.76
"808",1997-03-18,21.53
"809",1997-03-19,23.15
"810",1997-03-20,22.88
"811",1997-03-21,22.68
"812",1997-03-22,22.32
"813",1997-03-23,22.42
"814",1997-03-24,22.66
"815",1997-03-25,23.01
"816",1997-03-26,23.74
"817",1997-03-27,23.43
"818",1997-03-28,24.82
"819",1997-03-29,24.84
"820",1997-03-30,25.15
"821",1997-03-31,23.45
"822",1997-04-01,20.08
"823",1997-04-02,19.68
"824",1997-04-03,20.93
"825",1997-04-04,20.08
"826",1997-04-05,20.92
"827",1997-04-06,22.26
"828",1997-04-07,23.4
"829",1997-04-08,23.03
"830",1997-04-09,22.23
"831",1997-04-10,21.71
"832",1997-04-11,21.52
"833",1997-04-12,22.83
"834",1997-04-13,24.31
"835",1997-04-14,24.48
"836",1997-04-15,23.85
"837",1997-04-16,23.43
"838",1997-04-17,23.86
"839",1997-04-18,22.66
"840",1997-04-19,22.29
"841",1997-04-20,22.57
"842",1997-04-21,22.98
"843",1997-04-22,23.13
"844",1997-04-23,23.72
"845",1997-04-24,24.95
"846",1997-04-25,25.02
"847",1997-04-26,25.03
"848",1997-04-27,25.58
"849",1997-04-28,25.85
"850",1997-04-29,26.22
"851",1997-04-30,28.47
"852",1997-05-01,27.75
"853",1997-05-02,28.27
"854",1997-05-03,27.74
"855",1997-05-04,27.65
"856",1997-05-05,26.82
"857",1997-05-06,26.75
"858",1997-05-07,27.25
"859",1997-05-08,28.1
"860",1997-05-09,28.01
"861",1997-05-10,28.17
"862",1997-05-11,27.42
"863",1997-05-12,26.86
"864",1997-05-13,27.29
"865",1997-05-14,29.06
"866",1997-05-15,29.65
"867",1997-05-16,27.3
"868",1997-05-17,27.3
"869",1997-05-18,27.51
"870",1997-05-19,28.16
"871",1997-05-20,29.94
"872",1997-05-21,30.49
"873",1997-05-22,30.06
"874",1997-05-23,29.87
"875",1997-05-24,29.86
"876",1997-05-25,30.46
"877",1997-05-26,30.89
"878",1997-05-27,31.07
"879",1997-05-28,29.94
"880",1997-05-29,29.26
"881",1997-05-30,29.37
"882",1997-05-31,30.1
"883",1997-06-01,28.73
"884",1997-06-02,28.33
"885",1997-06-03,30.53
"886",1997-06-04,30.25
"887",1997-06-05,31.53
"888",1997-06-06,29.55
"889",1997-06-07,30.2
"890",1997-06-08,28.75
"891",1997-06-09,27.93
"892",1997-06-10,27.65
"893",1997-06-11,28.72
"894",1997-06-12,28.29
"895",1997-06-13,28.33
"896",1997-06-14,28.63
"897",1997-06-15,28.18
"898",1997-06-16,30.22
"899",1997-06-17,30.2
"900",1997-06-18,29.62
"901",1997-06-19,30.04
"902",1997-06-20,30.03
"903",1997-06-21,30.75
"904",1997-06-22,29.76
"905",1997-06-23,29.91
"906",1997-06-24,29.27
"907",1997-06-25,29.58
"908",1997-06-26,30.5
"909",1997-06-27,30.84
"910",1997-06-28,31.29
"911",1997-06-29,31.15
"912",1997-06-30,31.44
"913",1997-07-01,30.83
"914",1997-07-02,30.34
"915",1997-07-03,31.33
"916",1997-07-04,30.57
"917",1997-07-05,29.9
"918",1997-07-06,30.66
"919",1997-07-07,31.24
"920",1997-07-08,31.09
"921",1997-07-09,30.89
"922",1997-07-10,31.1
"923",1997-07-11,30.97
"924",1997-07-12,30.98
"925",1997-07-13,30.67
"926",1997-07-14,30.73
"927",1997-07-15,30.88
"928",1997-07-16,31.36
"929",1997-07-17,31.17
"930",1997-07-18,31.59
"931",1997-07-19,31.09
"932",1997-07-20,31.49
"933",1997-07-21,30.54
"934",1997-07-22,29.64
"935",1997-07-23,30.13
"936",1997-07-24,30.01
"937",1997-07-25,30.29
"938",1997-07-26,31.06
"939",1997-07-27,31.18
"940",1997-07-28,30.8
"941",1997-07-29,31.01
"942",1997-07-30,31.27
"943",1997-07-31,31.4
"944",1997-08-01,30.16
"945",1997-08-02,30.2
"946",1997-08-03,30.37
"947",1997-08-04,30.55
"948",1997-08-05,29.33
"949",1997-08-06,29
"950",1997-08-07,28.85
"951",1997-08-08,29.27
"952",1997-08-09,29.65
"953",1997-08-10,29.39
"954",1997-08-11,29.32
"955",1997-08-12,29.84
"956",1997-08-13,31.12
"957",1997-08-14,30.41
"958",1997-08-15,30.2
"959",1997-08-16,29.87
"960",1997-08-17,29.56
"961",1997-08-18,30.35
"962",1997-08-19,30.26
"963",1997-08-20,30.76
"964",1997-08-21,30.36
"965",1997-08-22,29.16
"966",1997-08-23,28.96
"967",1997-08-24,29.43
"968",1997-08-25,29.25
"969",1997-08-26,29.43
"970",1997-08-27,29.6
"971",1997-08-28,30.49
"972",1997-08-29,30.02
"973",1997-08-30,29.64
"974",1997-08-31,28.7
"975",1997-09-01,28.51
"976",1997-09-02,29.16
"977",1997-09-03,29.46
"978",1997-09-04,28.76
"979",1997-09-05,27.37
"980",1997-09-06,27.4
"981",1997-09-07,27.09
"982",1997-09-08,27.22
"983",1997-09-09,27.85
"984",1997-09-10,28.57
"985",1997-09-11,27.46
"986",1997-09-12,26.79
"987",1997-09-13,26.3
"988",1997-09-14,26.81
"989",1997-09-15,27.93
"990",1997-09-16,28.44
"991",1997-09-17,28.49
"992",1997-09-18,28.07
"993",1997-09-19,28.3
"994",1997-09-20,28.49
"995",1997-09-21,29.11
"996",1997-09-22,28.46
"997",1997-09-23,28.25
"998",1997-09-24,27.84
"999",1997-09-25,28.07
"1000",1997-09-26,26.92
"1001",1997-09-27,24.63
"1002",1997-09-28,24.05
"1003",1997-09-29,27.17
"1004",1997-09-30,27.7
"1005",1997-10-01,28.29
"1006",1997-10-02,28.62
"1007",1997-10-03,27.66
"1008",1997-10-04,27.99
