"Date","FECSR78_PHOSPHATE, TOTAL AS P_mg/L","FISHP_FLOW_cfs"
"2004-07-26",0.162,63610.96420224
"2004-08-09",0.677,2050230.30774912
"2004-09-13",0.332,4868685.3370176
"2004-10-04",0.304,9248055.5647872
"2004-11-01",0.14,371879.48302848
"2004-11-15",0.136,92969.87075712
"2004-12-20",0.119,31805.48210112
"2005-01-18",0.122,51378.08647104
"2005-02-14",0.097,26912.33100864
"2005-03-14",0.214,102756.17294208
"2005-04-18",0.071,48931.5109248
"2005-05-16",0.087,39145.20873984
"2005-06-13",0.326,6752548.5076224
"2005-06-27",0.168,4085781.1622208
"2005-07-11",0.185,8024767.7916672
"2005-07-25",0.175,1052027.4848832
"2005-08-08",0.108,2013531.67455552
"2005-08-22",0.123,841621.98790656
"2005-09-06",0.086,557819.22454272
"2005-09-20",0.077,80736.99302592
"2005-10-17",0.084,112542.47512704
"2005-11-01",0.129,2519972.8126272
"2005-11-14",0.138,900339.80101632
"2005-12-05",0.075,704613.75731712
"2005-12-19",0.059,141901.38168192
"2006-01-23",0.08,34252.05764736
"2006-02-21",0.079,134561.6550432
"2006-03-20",0.092,15902.74105056
"2006-04-17",0.083,6850.411529472
"2006-05-22",0.09,318.0548210112
"2006-06-19",0.103,7339.72663872
"2006-07-17",0.193,11743.562621952
"2006-08-21",0.242,92969.87075712
"2006-09-11",0.452,3449671.5201984
"2006-10-23",0.107,22508.495025408
"2006-11-27",0.097,4403.835983232
"2006-12-18",0.09,2691.233100864
"2007-01-22",0.191,6116.4388656
"2007-02-26",0.151,3669.86331936
"2007-03-26",0.152,440.3835983232
"2007-06-18",0.156,48931.5109248
"2007-07-09",0.406,645895.94420736
"2007-07-23",0.413,203065.77033792
"2007-08-20",0.248,85630.1441184
"2007-09-24",0.075,207958.9214304
"2007-10-22",0.054,107649.32403456
"2007-11-26",0.067,11743.562621952
"2007-12-19",0.091,36698.6331936
"2008-01-16",0.095,17370.686378304
"2008-02-20",0.282,20061.919479168
"2008-03-19",0.288,36698.6331936
"2008-04-16",0.152,149241.10832064
"2008-06-25",0.333,24465.7554624
"2008-07-16",0.529,765778.14597312
"2008-07-30",0.313,2764630.3672512
"2008-08-13",0.242,1162123.384464
"2008-08-28",0.319,6434493.6866112
"2008-09-10",0.221,1937687.83262208
"2008-09-24",0.193,315608.24546496
"2008-10-22",0.075,129668.50395072
"2008-11-19",0.064,17615.343932928
"2008-12-17",0.095,18104.659042176
"2009-01-21",0.079,4893.15109248
"2009-02-18",0.084,2691.233100864
"2009-06-17",1.537,968843.91631104
"2009-07-08",0.345,4354904.4723072
"2009-07-22",0.186,1717496.03346048
"2009-08-12",0.1015,1719942.60900672
"2009-08-26",0.14,658128.82193856
"2009-09-23",0.116,496654.83588672
"2009-10-28",0.093,15413.425941312
"2009-11-18",0.103,6850.411529472
"2009-12-23",0.176,31805.48210112
"2010-01-27",0.149,34252.05764736
"2010-02-24",0.128,31805.48210112
"2010-03-17",0.286,594517.85773632
"2010-04-07",0.239,663021.97303104
"2010-04-21",0.269,156580.83495936
"2010-05-12",0.281,48931.5109248
"2010-05-26",0.233,14190.138168192
"2010-06-30",0.179,41591.78428608
"2010-07-14",0.139,692380.87958592
"2010-07-28",0.106,70950.69084096
"2010-08-18",0.092,320501.39655744
"2010-09-15",0.143,1118085.02463168
"2010-09-29",0.109,256890.4323552
"2010-10-27",0.065,16147.398605184
"2010-11-17",0.065,51378.08647104
"2010-12-13",0.038,6605.753974848
"2011-01-05",0.065,16392.056159808
"2011-01-20",0.072,15413.425941312
"2011-02-03",0.121,56271.23756352
"2011-02-17",0.104,26912.33100864
"2011-03-16",0.083,9786.30218496
"2011-04-20",0.094,6605.753974848
"2011-05-18",0.117,562.7123756352
"2011-07-20",1.174,538246.6201728
"2011-08-24",0.191,1619633.01161088
"2011-09-07",0.145,755991.84378816
"2011-09-21",0.074,320501.39655744
"2011-10-05",0.053,286249.33891008
"2011-10-19",0.081,1284452.161776
"2011-11-02",0.101,1000649.39841216
"2011-11-16",0.061,401238.38958336
"2011-12-21",0.068,34252.05764736
"2012-01-18",0.058,11254.247512704
"2012-02-22",0.082,7095.069084096
"2012-03-21",0.074,3669.86331936
"2012-06-20",0.207,538.2466201728
"2012-07-11",0.268,232424.6768928
"2012-07-25",0.249,457509.62714688
"2012-08-08",0.246,420810.99395328
"2012-08-22",0.096,1140104.20454784
"2012-09-05",0.286,2691233.100864
"2012-09-20",0.176,2441682.39514752
"2012-10-03",0.177,2116287.8474976
"2012-10-17",0.13,1869183.71732736
"2012-11-14",0.111,119882.20176576
"2012-12-05",0.09,24465.7554624
"2013-01-09",0.077,51378.08647104
"2013-02-06",0.058,9786.30218496
"2013-03-06",0.093,8318.356857216
"2013-04-03",0.076,513.7808647104
"2013-05-08",0.464,21529.864806912
"2013-06-05",0.273,18104.659042176
"2013-06-19",0.607,1832485.08413376
"2013-07-10",0.33,3669863.31936
"2013-07-24",0.166,5553726.4899648
"2013-08-07",0.151,2642301.5899392
"2013-08-21",0.128,1648991.91816576
"2013-09-04",0.09,2037997.43001792
"2013-09-18",0.099,1935241.25707584
"2013-10-07",0.142,1135211.05345536
"2013-10-21",0.137,303375.36773376
"2013-11-04",0.101,132115.07949696
"2013-12-02",0.104,17370.686378304
"2014-01-06",0.117,29358.90655488
"2014-02-03",0.128,105202.74848832
"2014-03-03",0.196,26912.33100864
"2014-04-07",0.2,21040.549697664
"2014-04-21",0.138,34252.05764736
"2014-05-05",0.218,17126.02882368
"2014-06-09",0.221,12477.535285824
"2014-07-07",0.272,171260.2882368
"2014-07-21",0.198,946824.73639488
"2014-08-04",0.112,614090.46210624
"2014-08-18",0.128,1115638.44908544
"2014-09-08",0.109,274016.46117888
"2014-09-22",0.111,1127871.32681664
"2014-10-06",0.135,1822698.7819488
"2014-11-03",0.077,266676.73454016
"2014-12-01",0.111,535800.04462656
"2015-01-05",0.1,70950.69084096
"2015-01-20",0.139,127221.92840448
"2015-02-02",0.071,58717.81310976
"2015-03-02",0.091,88076.71966464
"2015-04-06",0.097,26912.33100864
"2015-05-04",0.225,555372.64899648
"2015-06-01",0.142,24465.7554624
"2015-07-06",0.117,501547.9869792
"2015-07-20",0.13,792690.47698176
"2015-08-03",0.1,800030.20362048
"2015-08-17",0.104,2003745.37237056
"2015-08-31",0.138,3131616.6991872
"2015-09-14",0.143,6336630.6647616
"2015-09-28",0.143,2838027.6336384
"2015-10-12",0.101,1027561.7294208
"2015-10-26",0.103,516227.44025664
"2015-11-09",0.163,200619.19479168
"2015-11-23",0.209,198172.61924544
"2015-12-07",0.211,1247753.5285824
"2015-12-21",0.104,435490.44723072
"2016-01-04",0.145,141901.38168192
"2016-01-20",0.087,3425205.764736
"2016-02-01",0.108,8269425.3462912
"2016-02-15",0.091,1587827.52950976
"2016-02-29",0.088,2617835.8344768
"2016-03-14",0.119,359646.60529728
"2016-03-28",0.152,112542.47512704
"2016-04-11",0.122,58717.81310976
"2016-05-09",0.212,24465.7554624
"2016-05-23",0.338,890553.49883136
"2016-06-06",0.156,232424.6768928
"2016-06-20",0.183,2392750.88422272
"2016-07-06",0.129,1844717.96186496
"2016-07-18",0.106,1179249.41328768
"2016-08-01",0.088,1015328.8516896
"2016-08-15",0.106,1223287.77312
"2016-08-29",0.112,233647.96466592
"2016-09-12",0.122,2233723.47371712
"2016-09-26",0.097,1374975.45698688
"2016-10-10",0.092,2231276.89817088
"2016-10-24",0.103,359646.60529728
"2016-11-07",0.149,81960.28079904
"2016-11-21",0.136,35964.660529728
"2016-12-19",0.171,10349.0145605952
"2017-01-04",0.152,6728.08275216
"2017-01-17",0.137,4917.6168479424
"2017-02-13",0.13,1027.5617294208
"2017-06-19",0.674,1705263.15572928
"2017-07-05",0.309,1093619.26916928
"2017-07-17",0.182,518674.01580288
"2017-08-01",0.161,386558.93630592
"2017-08-14",0.541,956611.03857984
"2017-08-28",0.113,685041.1529472
"2017-09-13",0.387,25199728.126272
"2017-09-25",0.368,4354904.4723072
"2017-10-09",0.218,2642301.5899392
"2017-10-23",0.171,1056920.63597568
"2017-11-06",0.133,1543789.16967744
"2017-11-20",0.174,286249.33891008
"2017-12-18",0.1,233647.96466592
"2018-01-02",0.1,68504.11529472
"2018-01-16",0.119,55537.264899648
"2018-01-29",0.137,38166.578521344
"2018-02-12",0.159,93214.528311744
"2018-03-12",0.119,9761.8364294976
"2018-04-23",0.122,2911.4249000256
"2018-05-21",0.224,164409.876707328
"2018-06-04",0.889,1631865.88934208
"2018-06-18",0.443,5211205.9134912
"2018-07-02",0.204,2838027.6336384
"2018-07-16",0.177,1103405.57135424
"2018-07-30",0.097,2084482.36539648
"2018-08-13",0.127,1235520.6508512
"2018-08-27",0.119,528460.31798784
"2018-09-10",0.144,792690.47698176
"2018-09-24",0.105,885660.34773888
"2018-10-08",0.14,142146.039236544
"2018-10-22",0.162,41591.78428608
"2018-11-05",0.161,10177.7542723584
"2018-11-19",0.155,4648.493537856
"2018-12-03",0.118,831.8356857216
"2018-12-17",0.109,1149.8905067328
"2019-01-02",0.147,16954.7685354432
"2019-01-14",0.204,5602.6580008896
"2019-01-28",0.202,58717.81310976
"2019-02-11",0.153,113521.105345536
"2019-02-25",0.163,109851.242026176
"2019-03-11",0.113,45750.962714688
"2019-03-25",0.111,41836.441840704
"2019-04-08",0.125,19205.618037984
"2019-04-22",0.148,42325.756949952
"2019-05-06",0.142,22997.810134656
"2019-05-20",0.124,12159.4804648128
"2019-06-17",0.32,166856.452253568
"2019-07-01",0.33,144103.299673536
"2019-07-15",0.229,199151.249463936
"2019-07-29",0.278,440383.5983232
"2019-08-12",0.243,3009287.9218752
"2019-08-26",0.192,2519972.8126272
"2019-09-09",0.152,1291791.88841472
"2019-09-23",0.142,194013.440816832
"2019-10-08",0.153,19181.1522825216
"2019-10-21",0.151,56271.23756352
"2019-11-04",0.116,40857.811622208
"2019-11-18",0.139,41102.469176832
"2019-12-02",0.092,18789.7001951232
"2019-12-16",0.082,7168.4663504832
"2019-12-30",0.142,51867.401580288
"2020-01-13",0.101,32539.454764992
"2020-01-27",0.084,6850.411529472
"2020-02-10",0.145,85630.1441184
"2020-02-24",0.113,117190.968664896
"2020-03-09",0.076,30582.194328
"2020-03-23",0.084,48.9315109248
"2020-06-15",0.583,1083832.96698432
"2020-06-29",0.36,826942.53462912
"2020-07-13",0.136,90767.952765504
"2020-07-27",0.134,219947.141606976
"2020-08-10",0.097,293589.0655488
"2020-08-24",0.127,455063.05160064
"2020-09-08",0.086,611643.88656
"2020-09-21",0.141,2302227.58901184
"2020-10-05",0.088,3376274.2538112
"2020-10-19",0.106,1113191.8735392
"2020-11-02",0.114,866087.74336896
"2020-11-16",0.126,716846.63504832
"2020-11-30",0.078,239764.40353152
"2020-12-14",0.06,332734.27428864
"2020-12-28",0.048,251997.28126272
"2021-01-11",0.056,89789.322547008
"2021-01-25",0.059,41836.441840704
"2021-02-08",0.061,25444.385680896
"2021-02-22",0.146,95905.761412608
"2021-03-08",0.113,23854.11157584
"2021-03-22",0.099,5553.7264899648
"2021-04-05",0.09,3009.2879218752
"2021-04-19",0.115,37677.263412096
"2021-05-03",0.267,95661.103857984
"2021-05-17",0.204,11988.220176576
"2021-06-01",0.163,2446.57554624
"2021-06-14",0.158,8489.6171454528
"2021-06-28",0.113,24343.426685088
"2021-07-12",0.272,447723.32496192
"2021-07-26",0.35,489315.109248
"2021-08-09",0.216,1130317.90236288
"2021-08-23",0.115,775564.44815808
"2021-09-07",0.151,320501.39655744
"2021-09-20",0.12,526013.7424416
"2021-10-04",0.165,1678350.82472064
"2021-10-18",0.122,981076.79404224
"2021-11-01",0.136,286249.33891008
"2021-11-15",0.081,521120.59134912
"2021-11-29",0.061,191811.522825216
"2021-12-13",0.082,72663.293723328
"2021-12-27",0.092,41102.469176832
"2022-01-10",0.083,20893.7551648896
"2022-01-24",0.083,46729.592933184
"2022-02-07",0.084,21603.2620732992
"2022-02-21",0.089,13235.9737051584
"2022-03-07",0.117,4208.1099395328
"2022-03-21",0.102,5137.808647104
"2022-04-04",0.089,758.4384193344
"2022-04-18",0.084,513.7808647104
"2022-06-13",0.255,112787.132681664
"2022-06-27",0.292,398791.81403712
"2022-07-11",0.335,113521.105345536
"2022-07-25",0.176,494208.26034048
"2022-08-08",0.165,32050.139655744
"2022-08-22",0.179,41591.78428608
"2022-09-06",0.326,973737.06740352
"2022-09-19",0.185,3400740.0092736
"2022-10-03",0.252,7315260.8832576
"2022-10-17",0.307,1428800.11900416
"2022-10-31",0.148,594517.85773632
"2022-11-14",0.159,526013.7424416
"2022-11-28",0.122,499101.41143296
"2022-12-12",0.083,222149.059598592
"2022-12-27",0.06,177132.069547776
"2023-01-09",0.088,100798.912505088
"2023-01-23",0.077,51133.428916416
"2023-02-06",0.086,34986.030311232
"2023-02-20",0.091,14752.8505438272
"2023-03-06",0.092,5186.7401580288
"2023-03-20",0.082,1394.5480613568
