"Date","FECSR78_NITRATE+NITRITE-N_mg/L","FISHP_FLOW_cfs"
"2011-05-18",0.019,562.7123756352
"2011-07-20",0.011,538246.6201728
"2011-09-07",0.008,755991.84378816
"2011-09-21",0.005,320501.39655744
"2011-10-05",0.006,286249.33891008
"2011-11-16",0.012,401238.38958336
"2011-12-21",0.04,34252.05764736
"2012-01-18",0.058,11254.247512704
"2012-02-22",0.071,7095.069084096
"2012-03-21",0.046,3669.86331936
"2012-07-11",0.008,232424.6768928
"2012-07-25",0.013,457509.62714688
"2012-08-22",0.01,1140104.20454784
"2012-09-05",0.008,2691233.100864
"2012-09-20",0.009,2441682.39514752
"2012-10-03",0.025,2116287.8474976
"2012-11-14",0.007,119882.20176576
"2012-12-05",0.036,24465.7554624
"2013-01-09",0.023,51378.08647104
"2013-04-03",0.005,513.7808647104
"2013-06-19",0.009,1832485.08413376
"2013-08-21",0.01,1648991.91816576
"2013-09-04",0.008,2037997.43001792
"2013-09-18",0.006,1935241.25707584
"2013-10-07",0.008,1135211.05345536
"2013-10-21",0.025,303375.36773376
"2013-11-04",0.042,132115.07949696
"2013-12-02",0.131,17370.686378304
"2014-01-06",0.138,29358.90655488
"2014-02-03",0.125,105202.74848832
"2014-03-03",0.037,26912.33100864
"2014-04-07",0.035,21040.549697664
"2014-04-21",0.024,34252.05764736
"2014-05-05",0.091,17126.02882368
"2014-06-09",0.151,12477.535285824
"2014-07-07",0.015,171260.2882368
"2014-07-21",0.006,946824.73639488
"2014-08-04",0.008,614090.46210624
"2014-09-08",0.013,274016.46117888
"2014-09-22",0.005,1127871.32681664
"2014-11-03",0.047,266676.73454016
"2014-12-01",0.012,535800.04462656
"2015-01-05",0.022,70950.69084096
"2015-01-20",0.024,127221.92840448
"2015-02-02",0.01,58717.81310976
"2015-03-02",0.009,88076.71966464
"2015-06-01",0.045,24465.7554624
"2015-07-06",0.014,501547.9869792
"2015-08-17",0.008,2003745.37237056
"2015-11-09",0.005,200619.19479168
"2015-11-23",0.037,198172.61924544
"2015-12-07",0.011,1247753.5285824
"2015-12-21",0.006,435490.44723072
"2016-01-04",0.035,141901.38168192
"2016-01-20",0.005,3425205.764736
"2016-02-29",0.007,2617835.8344768
"2016-03-14",0.009,359646.60529728
"2016-03-28",0.024,112542.47512704
"2016-04-11",0.021,58717.81310976
"2016-05-09",0.025,24465.7554624
"2016-05-23",0.007,890553.49883136
"2016-06-06",0.014,232424.6768928
"2016-06-20",0.005,2392750.88422272
"2016-07-06",0.009,1844717.96186496
"2016-07-18",0.012,1179249.41328768
"2016-08-01",0.013,1015328.8516896
"2016-08-15",0.009,1223287.77312
"2016-08-29",0.017,233647.96466592
"2016-09-26",0.011,1374975.45698688
"2016-10-10",0.011,2231276.89817088
"2016-10-24",0.015,359646.60529728
"2016-11-07",0.04,81960.28079904
"2016-11-21",0.109,35964.660529728
"2016-12-19",0.328,10349.0145605952
"2017-01-04",0.282,6728.08275216
"2017-01-17",0.289,4917.6168479424
"2017-02-13",0.175,1027.5617294208
"2017-06-19",0.018,1705263.15572928
"2017-07-05",0.028,1093619.26916928
"2017-07-17",0.01,518674.01580288
"2017-08-01",0.017,386558.93630592
"2017-08-14",0.008,956611.03857984
"2017-09-13",0.013,25199728.126272
"2017-09-25",0.005,4354904.4723072
"2017-10-09",0.008,2642301.5899392
"2017-10-23",0.026,1056920.63597568
"2017-11-06",0.008,1543789.16967744
"2017-11-20",0.02,286249.33891008
"2017-12-18",0.042,233647.96466592
"2018-01-02",0.045,68504.11529472
"2018-01-16",0.108,55537.264899648
"2018-01-29",0.151,38166.578521344
"2018-02-12",0.095,93214.528311744
"2018-03-12",0.077,9761.8364294976
"2018-04-23",0.007,2911.4249000256
"2018-05-21",0.006,164409.876707328
"2018-06-04",0.018,1631865.88934208
"2018-06-18",0.023,5211205.9134912
"2018-07-02",0.021,2838027.6336384
"2018-07-16",0.008,1103405.57135424
"2018-07-30",0.011,2084482.36539648
"2018-08-13",0.016,1235520.6508512
"2018-09-10",0.022,792690.47698176
"2018-10-08",0.01,142146.039236544
"2018-10-22",0.061,41591.78428608
"2018-11-05",0.166,10177.7542723584
"2018-11-19",0.246,4648.493537856
"2018-12-03",0.176,831.8356857216
"2018-12-17",0.077,1149.8905067328
"2019-01-02",0.047,16954.7685354432
"2019-01-14",0.15,5602.6580008896
"2019-01-28",0.116,58717.81310976
"2019-02-11",0.019,113521.105345536
"2019-02-25",0.03,109851.242026176
"2019-03-11",0.021,45750.962714688
"2019-03-25",0.006,41836.441840704
"2019-04-08",0.015,19205.618037984
"2019-04-22",0.023,42325.756949952
"2019-05-06",0.025,22997.810134656
"2019-06-17",0.027,166856.452253568
"2019-07-01",0.009,144103.299673536
"2019-07-15",0.005,199151.249463936
"2019-07-29",0.026,440383.5983232
"2019-08-26",0.012,2519972.8126272
"2019-09-09",0.011,1291791.88841472
"2019-09-23",0.005,194013.440816832
"2019-10-08",0.079,19181.1522825216
"2019-10-21",0.143,56271.23756352
"2019-11-04",0.065,40857.811622208
"2019-11-18",0.035,41102.469176832
"2019-12-02",0.048,18789.7001951232
"2019-12-16",0.035,7168.4663504832
"2019-12-30",0.074,51867.401580288
"2020-01-13",0.038,32539.454764992
"2020-01-27",0.037,6850.411529472
"2020-02-10",0.036,85630.1441184
"2020-02-24",0.022,117190.968664896
"2020-03-09",0.007,30582.194328
"2020-03-23",0.005,48.9315109248
"2020-06-15",0.016,1083832.96698432
"2020-06-29",0.006,826942.53462912
"2020-07-13",0.008,90767.952765504
"2020-07-27",0.013,219947.141606976
"2020-08-10",0.009,293589.0655488
"2020-08-24",0.005,455063.05160064
"2020-09-08",0.011,611643.88656
"2020-10-05",0.008,3376274.2538112
"2020-11-16",0.01,716846.63504832
"2020-11-30",0.009,239764.40353152
"2020-12-14",0.013,332734.27428864
"2020-12-28",0.008,251997.28126272
"2021-01-11",0.016,89789.322547008
"2021-01-25",0.022,41836.441840704
"2021-02-08",0.044,25444.385680896
"2021-02-22",0.048,95905.761412608
"2021-03-08",0.048,23854.11157584
"2021-03-22",0.026,5553.7264899648
"2021-04-05",0.044,3009.2879218752
"2021-04-19",0.033,37677.263412096
"2021-05-03",0.034,95661.103857984
"2021-05-17",0.092,11988.220176576
"2021-06-01",0.038,2446.57554624
"2021-06-14",0.03,8489.6171454528
"2021-06-28",0.036,24343.426685088
"2021-07-12",0.066,447723.32496192
"2021-08-09",0.019,1130317.90236288
"2021-08-23",0.028,775564.44815808
"2021-09-20",0.006,526013.7424416
"2021-10-04",0.006,1678350.82472064
"2021-11-01",0.013,286249.33891008
"2021-11-15",0.012,521120.59134912
"2021-11-29",0.019,191811.522825216
"2021-12-13",0.042,72663.293723328
"2021-12-27",0.042,41102.469176832
"2022-01-10",0.074,20893.7551648896
"2022-01-24",0.131,46729.592933184
"2022-02-07",0.153,21603.2620732992
"2022-02-21",0.187,13235.9737051584
"2022-03-07",0.032,4208.1099395328
"2022-03-21",0.006,5137.808647104
"2022-04-04",0.02,758.4384193344
"2022-06-27",0.054,398791.81403712
"2022-07-11",0.01,113521.105345536
"2022-07-25",0.01,494208.26034048
"2022-08-08",0.028,32050.139655744
"2022-08-22",0.024,41591.78428608
"2022-09-06",0.007,973737.06740352
"2022-12-27",0.01,177132.069547776
"2023-01-09",0.015,100798.912505088
"2023-01-23",0.021,51133.428916416
"2023-02-06",0.02,34986.030311232
"2023-02-20",0.023,14752.8505438272
"2023-03-06",0.014,5186.7401580288
"2023-03-20",0.023,1394.5480613568
