"","date","LZ40_WNDS_MPH"
"134",2000-05-13,8.17
"135",2000-05-14,6.3
"136",2000-05-15,9.6
"137",2000-05-16,13.75
"138",2000-05-17,15.79
"139",2000-05-18,14.95
"140",2000-05-19,11.38
"141",2000-05-20,9.36
"142",2000-05-21,9.92
"143",2000-05-22,9.65
"144",2000-05-23,9.77
"145",2000-05-24,11.19
"146",2000-05-25,8.9
"147",2000-05-26,6.76
"148",2000-05-27,8.87
"149",2000-05-28,10.75
"150",2000-05-29,13.69
"151",2000-05-30,13.95
"152",2000-05-31,15.78
"153",2000-06-01,10.9
"154",2000-06-02,8.92
"155",2000-06-03,6.8
"156",2000-06-04,9.77
"157",2000-06-05,9.69
"158",2000-06-06,9.66
"159",2000-06-07,11.49
"160",2000-06-08,14.87
"161",2000-06-09,16.5
"162",2000-06-10,13.41
"163",2000-06-11,11.2
"164",2000-06-12,9.25
"165",2000-06-13,8.84
"166",2000-06-14,11.92
"167",2000-06-15,12.67
"168",2000-06-16,14.29
"169",2000-06-17,14.29
"170",2000-06-18,12.44
"171",2000-06-19,10.85
"172",2000-06-20,7.03
"173",2000-06-21,7.49
"174",2000-06-22,9.76
"175",2000-06-23,11.45
"176",2000-06-24,6.74
"177",2000-06-25,10.12
"178",2000-06-26,11.08
"179",2000-06-27,11.91
"180",2000-06-28,8.59
"181",2000-06-29,8.28
"182",2000-06-30,9.17
"183",2000-07-01,9.07
"184",2000-07-02,12.73
"185",2000-07-03,10.98
"186",2000-07-04,7.83
"187",2000-07-05,5.77
"188",2000-07-06,9.13
"189",2000-07-07,11.96
"190",2000-07-08,9.76
"191",2000-07-09,7.6
"192",2000-07-10,7.83
"193",2000-07-11,6.99
"194",2000-07-12,10.1
"195",2000-07-13,9.85
"196",2000-07-14,10.89
"197",2000-07-15,15.27
"198",2000-07-16,16.4
"199",2000-07-17,14.86
"200",2000-07-18,11.45
"201",2000-07-19,9.94
"202",2000-07-20,11.45
"203",2000-07-21,11.2
"204",2000-07-22,9.38
"205",2000-07-23,9.79
"206",2000-07-24,8.44
"207",2000-07-25,8.49
"208",2000-07-26,9.13
"209",2000-07-27,7.79
"210",2000-07-28,7.43
"211",2000-07-29,7.21
"212",2000-07-30,10.37
"213",2000-07-31,10.92
"214",2000-08-01,8.31
"215",2000-08-02,7.48
"216",2000-08-03,8.97
"217",2000-08-04,8.21
"218",2000-08-05,6.48
"219",2000-08-06,8.81
"220",2000-08-07,10.42
"221",2000-08-08,11.9
"222",2000-08-09,9.2
"223",2000-08-10,8.74
"224",2000-08-11,10.68
"225",2000-08-12,15.45
"226",2000-08-13,12.48
"227",2000-08-14,9.05
"228",2000-08-15,9.04
"229",2000-08-16,10.75
"230",2000-08-17,10.95
"231",2000-08-18,7.78
"232",2000-08-19,7.06
"233",2000-08-20,6.89
"234",2000-08-21,8.29
"235",2000-08-22,12.2
"236",2000-08-23,10.93
"237",2000-08-24,10.89
"238",2000-08-25,9.58
"239",2000-08-26,9.96
"240",2000-08-27,10.45
"241",2000-08-28,7.05
"242",2000-08-29,11.66
"243",2000-08-30,11.98
"244",2000-08-31,15.01
"245",2000-09-01,9.15
"246",2000-09-02,7.28
"247",2000-09-03,7.42
"248",2000-09-04,8.06
"249",2000-09-05,9.38
"250",2000-09-06,10.56
"251",2000-09-07,7.88
"252",2000-09-08,8.27
"253",2000-09-09,7.49
"254",2000-09-10,14.92
"255",2000-09-11,13.28
"256",2000-09-12,8.91
"257",2000-09-13,6.88
"258",2000-09-14,6.87
"259",2000-09-15,8.12
"260",2000-09-16,8.84
"261",2000-09-17,19.67
"262",2000-09-18,8.43
"263",2000-09-19,9.87
"264",2000-09-20,12.59
"265",2000-09-21,7.72
"266",2000-09-22,9.16
"267",2000-09-23,8.07
"268",2000-09-24,6.07
"269",2000-09-25,7.11
"270",2000-09-26,7.41
"271",2000-09-27,7.19
"272",2000-09-28,16.98
"273",2000-09-29,15.91
"274",2000-09-30,14.51
"275",2000-10-01,13.83
"276",2000-10-02,15.27
"277",2000-10-03,17.07
"278",2000-10-04,15.45
"279",2000-10-05,4.91
"280",2000-10-06,5.1
"281",2000-10-07,9.23
"282",2000-10-08,13.28
"283",2000-10-09,29.37
"284",2000-10-10,19.14
"285",2000-10-11,17.65
"286",2000-10-12,18.53
"287",2000-10-13,15.15
"288",2000-10-14,12.65
"289",2000-10-15,15.21
"290",2000-10-16,12.11
"291",2000-10-17,8.44
"292",2000-10-18,9.67
"293",2000-10-19,8.79
"294",2000-10-20,7.66
"295",2000-10-21,10.99
"296",2000-10-22,15.9
"297",2000-10-23,18.65
"298",2000-10-24,17.82
"299",2000-10-25,15.28
"300",2000-10-26,14.17
"301",2000-10-27,13.95
"302",2000-10-28,10.53
"303",2000-10-29,7.76
"304",2000-10-30,9.09
"305",2000-10-31,12.98
"306",2000-11-01,11.61
"307",2000-11-02,11.28
"308",2000-11-03,11.8
"309",2000-11-04,10.97
"310",2000-11-05,5.39
"311",2000-11-06,6.31
"312",2000-11-07,9.96
"313",2000-11-08,11.31
"314",2000-11-09,10.13
"315",2000-11-10,11.29
"316",2000-11-11,13.33
"317",2000-11-12,12.59
"318",2000-11-13,8.7
"319",2000-11-14,10.86
"320",2000-11-15,16.55
"321",2000-11-16,9.02
"322",2000-11-17,9.74
"323",2000-11-18,10.41
"324",2000-11-19,9.35
"325",2000-11-20,18.82
"326",2000-11-21,24.47
"327",2000-11-22,19.27
"328",2000-11-23,11.53
"329",2000-11-24,11.4
"330",2000-11-25,7.37
"331",2000-11-26,6.92
"332",2000-11-27,13.13
"333",2000-11-28,11.75
"334",2000-11-29,9.99
"335",2000-11-30,16.6
"336",2000-12-01,10.41
"337",2000-12-02,6.49
"338",2000-12-03,7.23
"339",2000-12-04,15.51
"340",2000-12-05,19.06
"341",2000-12-06,11.26
"342",2000-12-07,10.56
"343",2000-12-08,7.7
"344",2000-12-09,6.71
"345",2000-12-10,7.67
"346",2000-12-11,7.73
"347",2000-12-12,6.27
"348",2000-12-13,10.64
"349",2000-12-14,7.82
"350",2000-12-15,9.9
"351",2000-12-16,10.48
"352",2000-12-17,17.06
"353",2000-12-18,10.95
"354",2000-12-19,14.74
"355",2000-12-20,15.3
"356",2000-12-21,12.41
"357",2000-12-22,12.34
"358",2000-12-23,16.87
"359",2000-12-24,19.28
"360",2000-12-25,18.82
"361",2000-12-26,11.37
"362",2000-12-27,6.72
"363",2000-12-28,14.13
"364",2000-12-29,16.34
"365",2000-12-30,22.01
"366",2000-12-31,14.44
"367",2001-01-01,9.5
"368",2001-01-02,15.4
"369",2001-01-03,13.73
"370",2001-01-04,16.28
"371",2001-01-05,9.66
"372",2001-01-06,8.45
"373",2001-01-07,6.6
"374",2001-01-08,9.26
"375",2001-01-09,18.19
"376",2001-01-10,16.44
"377",2001-01-11,8.04
"378",2001-01-12,8.9
"379",2001-01-13,13.15
"380",2001-01-14,8.54
"381",2001-01-15,7.76
"382",2001-01-16,6.32
"383",2001-01-17,5.69
"384",2001-01-18,4.66
"385",2001-01-19,10.78
"386",2001-01-20,19.94
"387",2001-01-21,17.06
"388",2001-01-22,21.05
"389",2001-01-23,22.85
"390",2001-01-24,11.11
"391",2001-01-25,14.42
"392",2001-01-26,9.62
"393",2001-01-27,5.49
"394",2001-01-28,7.23
"395",2001-01-29,7.8
"396",2001-01-30,9.64
"397",2001-01-31,6.2
"398",2001-02-01,7.53
"399",2001-02-02,9.38
"400",2001-02-03,15.56
"401",2001-02-04,9.33
"402",2001-02-05,12.07
"403",2001-02-06,10.3
"404",2001-02-07,9.73
"405",2001-02-08,12.28
"406",2001-02-09,10.81
"407",2001-02-10,7.57
"408",2001-02-11,7.84
"409",2001-02-12,8.62
"410",2001-02-13,9.29
"411",2001-02-14,8.87
"412",2001-02-15,7.58
"413",2001-02-16,10.83
"414",2001-02-17,11.54
"415",2001-02-18,19.81
"416",2001-02-19,16.22
"417",2001-02-20,13.47
"418",2001-02-21,9.55
"419",2001-02-22,5.42
"420",2001-02-23,11.19
"421",2001-02-24,13.58
"422",2001-02-25,12.37
"423",2001-02-26,6.36
"424",2001-02-27,7.83
"425",2001-02-28,11.77
"426",2001-03-01,11.3
"427",2001-03-02,9.03
"428",2001-03-03,14.45
"429",2001-03-04,17.7
"430",2001-03-05,27.73
"431",2001-03-06,24.65
"432",2001-03-07,20.37
"433",2001-03-08,9.49
"434",2001-03-09,9.61
"435",2001-03-10,8.79
"436",2001-03-11,5.84
"437",2001-03-12,10.62
"438",2001-03-13,15
"439",2001-03-14,6.94
"440",2001-03-15,8.12
"441",2001-03-16,NA
"442",2001-03-17,NA
"443",2001-03-18,NA
"444",2001-03-19,NA
"445",2001-03-20,NA
"446",2001-03-21,NA
"447",2001-03-22,NA
"448",2001-03-23,NA
"449",2001-03-24,NA
"450",2001-03-25,NA
"451",2001-03-26,NA
"452",2001-03-27,NA
"453",2001-03-28,NA
"454",2001-03-29,NA
"455",2001-03-30,NA
"456",2001-03-31,16.21
"457",2001-04-01,17.35
"458",2001-04-02,15.67
"459",2001-04-03,11.59
"460",2001-04-04,6.94
"461",2001-04-05,12.1
"462",2001-04-06,14.35
"463",2001-04-07,11.31
"464",2001-04-08,9.33
"465",2001-04-09,8.39
"466",2001-04-10,9.8
"467",2001-04-11,8.8
"468",2001-04-12,11.3
"469",2001-04-13,8.06
"470",2001-04-14,9.72
"471",2001-04-15,10.56
"472",2001-04-16,14.62
"473",2001-04-17,14.72
"474",2001-04-18,23.01
"475",2001-04-19,16.38
"476",2001-04-20,13.24
"477",2001-04-21,14.37
"478",2001-04-22,15.72
"479",2001-04-23,14.61
"480",2001-04-24,10.05
"481",2001-04-25,6.76
"482",2001-04-26,18.68
"483",2001-04-27,17.07
"484",2001-04-28,13.49
"485",2001-04-29,16.69
"486",2001-04-30,17.68
"487",2001-05-01,16.14
"488",2001-05-02,14.69
"489",2001-05-03,13.88
"490",2001-05-04,16.34
"491",2001-05-05,17
"492",2001-05-06,17.36
"493",2001-05-07,16.95
"494",2001-05-08,18.82
"495",2001-05-09,15.12
"496",2001-05-10,12.76
"497",2001-05-11,14.05
"498",2001-05-12,9.62
"499",2001-05-13,7.15
"500",2001-05-14,7.6
"501",2001-05-15,10.78
"502",2001-05-16,11.69
"503",2001-05-17,9.62
"504",2001-05-18,9.59
"505",2001-05-19,10.73
"506",2001-05-20,10.04
"507",2001-05-21,10.59
"508",2001-05-22,10.36
"509",2001-05-23,13.79
"510",2001-05-24,13.86
"511",2001-05-25,11.23
"512",2001-05-26,9.61
"513",2001-05-27,7.58
"514",2001-05-28,6.39
"515",2001-05-29,7.71
"516",2001-05-30,6.54
"517",2001-05-31,7.8
"518",2001-06-01,9.37
"519",2001-06-02,10.97
"520",2001-06-03,6.49
"521",2001-06-04,8.35
"522",2001-06-05,10.07
"523",2001-06-06,11.2
"524",2001-06-07,9.42
"525",2001-06-08,6.2
"526",2001-06-09,8.18
"527",2001-06-10,8.4
"528",2001-06-11,10.51
"529",2001-06-12,10.61
"530",2001-06-13,9.33
"531",2001-06-14,6.71
"532",2001-06-15,10.2
"533",2001-06-16,6.36
"534",2001-06-17,8.06
"535",2001-06-18,7.07
"536",2001-06-19,11.22
"537",2001-06-20,9.45
"538",2001-06-21,6.59
"539",2001-06-22,6.97
"540",2001-06-23,10.24
"541",2001-06-24,11.55
"542",2001-06-25,6.93
"543",2001-06-26,10.08
"544",2001-06-27,14.33
"545",2001-06-28,11.97
"546",2001-06-29,10.59
"547",2001-06-30,12.13
"548",2001-07-01,12.83
"549",2001-07-02,11.94
"550",2001-07-03,10.88
"551",2001-07-04,7.78
"552",2001-07-05,6.24
"553",2001-07-06,6.24
"554",2001-07-07,8.1
"555",2001-07-08,5.89
"556",2001-07-09,10.12
"557",2001-07-10,13.48
"558",2001-07-11,12.8
"559",2001-07-12,13.75
"560",2001-07-13,16.39
"561",2001-07-14,12.24
"562",2001-07-15,9.02
"563",2001-07-16,7.56
"564",2001-07-17,6.08
"565",2001-07-18,6.4
"566",2001-07-19,4.4
"567",2001-07-20,5.9
"568",2001-07-21,12.65
"569",2001-07-22,20.61
"570",2001-07-23,21.37
"571",2001-07-24,11.57
"572",2001-07-25,9.79
"573",2001-07-26,10.08
"574",2001-07-27,9.16
"575",2001-07-28,8.53
"576",2001-07-29,7.39
"577",2001-07-30,7.4
"578",2001-07-31,9.35
"579",2001-08-01,18.04
"580",2001-08-02,19.25
"581",2001-08-03,13.27
"582",2001-08-04,9.28
"583",2001-08-05,12.4
"584",2001-08-06,8.69
"585",2001-08-07,8.95
"586",2001-08-08,6.88
"587",2001-08-09,6.42
"588",2001-08-10,7.07
"589",2001-08-11,6.31
"590",2001-08-12,8.11
"591",2001-08-13,7.05
"592",2001-08-14,6.35
"593",2001-08-15,7.27
"594",2001-08-16,6.11
"595",2001-08-17,9.97
"596",2001-08-18,7.81
"597",2001-08-19,9.23
"598",2001-08-20,6.58
"599",2001-08-21,5.91
"600",2001-08-22,7.31
"601",2001-08-23,7.81
"602",2001-08-24,6.24
"603",2001-08-25,5.54
"604",2001-08-26,11.22
"605",2001-08-27,11.38
"606",2001-08-28,7.83
"607",2001-08-29,8.53
"608",2001-08-30,9.07
"609",2001-08-31,8.94
"610",2001-09-01,6.71
"611",2001-09-02,9.11
"612",2001-09-03,7.81
"613",2001-09-04,7.81
"614",2001-09-05,5.58
"615",2001-09-06,8.17
"616",2001-09-07,8.36
"617",2001-09-08,8.33
"618",2001-09-09,11.66
"619",2001-09-10,11.71
"620",2001-09-11,10.66
"621",2001-09-12,14.84
"622",2001-09-13,12.72
"623",2001-09-14,27.22
"624",2001-09-15,24.6
"625",2001-09-16,11.91
"626",2001-09-17,9.3
"627",2001-09-18,7.8
"628",2001-09-19,6.76
"629",2001-09-20,6.37
"630",2001-09-21,6.94
"631",2001-09-22,7.89
"632",2001-09-23,8.77
"633",2001-09-24,7.67
"634",2001-09-25,8.74
"635",2001-09-26,8.15
"636",2001-09-27,9.31
"637",2001-09-28,8.17
"638",2001-09-29,17.48
"639",2001-09-30,19.37
"640",2001-10-01,19.08
"641",2001-10-02,14.49
"642",2001-10-03,9.29
"643",2001-10-04,10.04
"644",2001-10-05,8.35
"645",2001-10-06,5.41
"646",2001-10-07,9.57
"647",2001-10-08,18.75
"648",2001-10-09,24.89
"649",2001-10-10,17.31
"650",2001-10-11,14.78
"651",2001-10-12,11.56
"652",2001-10-13,11.56
"653",2001-10-14,11.16
"654",2001-10-15,7.82
"655",2001-10-16,8.76
"656",2001-10-17,23.6
"657",2001-10-18,22.58
"658",2001-10-19,12.01
"659",2001-10-20,10.66
"660",2001-10-21,10.64
"661",2001-10-22,8.35
"662",2001-10-23,5.32
"663",2001-10-24,7.13
"664",2001-10-25,7.27
"665",2001-10-26,20.18
"666",2001-10-27,24.2
"667",2001-10-28,21.99
"668",2001-10-29,16.99
"669",2001-10-30,14.1
"670",2001-10-31,11.63
"671",2001-11-01,13.32
"672",2001-11-02,13.24
"673",2001-11-03,13.71
"674",2001-11-04,14.46
"675",2001-11-05,21.82
"676",2001-11-06,17.74
"677",2001-11-07,13.63
"678",2001-11-08,7.39
"679",2001-11-09,7.61
"680",2001-11-10,8.47
"681",2001-11-11,7.16
"682",2001-11-12,10.91
"683",2001-11-13,13
"684",2001-11-14,12.18
"685",2001-11-15,20.66
"686",2001-11-16,18.19
"687",2001-11-17,16.07
"688",2001-11-18,12.69
"689",2001-11-19,9.63
"690",2001-11-20,6.68
"691",2001-11-21,7.78
"692",2001-11-22,7.03
"693",2001-11-23,8.08
"694",2001-11-24,8.92
"695",2001-11-25,8.68
"696",2001-11-26,8.96
"697",2001-11-27,11.74
"698",2001-11-28,12.22
"699",2001-11-29,9.75
"700",2001-11-30,7.22
"701",2001-12-01,12.21
"702",2001-12-02,11.5
"703",2001-12-03,13.53
"704",2001-12-04,13.16
"705",2001-12-05,13.75
"706",2001-12-06,13.73
"707",2001-12-07,8.46
"708",2001-12-08,8.22
"709",2001-12-09,5.83
"710",2001-12-10,8.74
"711",2001-12-11,6.24
"712",2001-12-12,10.79
"713",2001-12-13,9.87
"714",2001-12-14,10.37
"715",2001-12-15,7.68
"716",2001-12-16,12.41
"717",2001-12-17,9.36
"718",2001-12-18,12.16
"719",2001-12-19,10.82
"720",2001-12-20,13.54
"721",2001-12-21,17.93
"722",2001-12-22,13.92
"723",2001-12-23,11.3
"724",2001-12-24,7.48
"725",2001-12-25,15.14
"726",2001-12-26,20.51
"727",2001-12-27,8.74
"728",2001-12-28,6.85
"729",2001-12-29,11.3
"730",2001-12-30,6.63
"731",2001-12-31,7.59
"732",2002-01-01,14.89
"733",2002-01-02,12.77
"734",2002-01-03,17.34
"735",2002-01-04,17.67
"736",2002-01-05,10.97
"737",2002-01-06,11.97
"738",2002-01-07,14.74
"739",2002-01-08,16.12
"740",2002-01-09,8.91
"741",2002-01-10,5.3
"742",2002-01-11,4.39
"743",2002-01-12,5.76
"744",2002-01-13,7.8
"745",2002-01-14,8.18
"746",2002-01-15,9.21
"747",2002-01-16,9.68
"748",2002-01-17,6.4
"749",2002-01-18,8.26
"750",2002-01-19,6.77
"751",2002-01-20,5.41
"752",2002-01-21,4.49
"753",2002-01-22,7.21
"754",2002-01-23,8.66
"755",2002-01-24,8.79
"756",2002-01-25,5.19
"757",2002-01-26,4.18
"758",2002-01-27,7.1
"759",2002-01-28,6.88
"760",2002-01-29,6.85
"761",2002-01-30,9.85
"762",2002-01-31,11.94
"763",2002-02-01,7.88
"764",2002-02-02,NA
"765",2002-02-03,NA
"766",2002-02-04,NA
"767",2002-02-05,NA
"768",2002-02-06,NA
"769",2002-02-07,NA
"770",2002-02-08,NA
"771",2002-02-09,NA
"772",2002-02-10,NA
"773",2002-02-11,NA
"774",2002-02-12,NA
"775",2002-02-13,NA
"776",2002-02-14,NA
"777",2002-02-15,4.9
"778",2002-02-16,6.59
"779",2002-02-17,16.12
"780",2002-02-18,18.22
"781",2002-02-19,13.47
"782",2002-02-20,9.45
"783",2002-02-21,6.83
"784",2002-02-22,9.29
"785",2002-02-23,17.64
"786",2002-02-24,17.52
"787",2002-02-25,10.52
"788",2002-02-26,5.46
"789",2002-02-27,17.5
"790",2002-02-28,19.89
"791",2002-03-01,16.86
"792",2002-03-02,16.06
"793",2002-03-03,10.92
"794",2002-03-04,19.43
"795",2002-03-05,23.47
"796",2002-03-06,14.37
"797",2002-03-07,7.49
"798",2002-03-08,8.45
"799",2002-03-09,6.95
"800",2002-03-10,9.89
"801",2002-03-11,12.66
"802",2002-03-12,8.58
"803",2002-03-13,15.1
"804",2002-03-14,6.88
"805",2002-03-15,6.11
"806",2002-03-16,7.8
"807",2002-03-17,9.47
"808",2002-03-18,9.25
"809",2002-03-19,9.8
"810",2002-03-20,12.11
"811",2002-03-21,11.66
"812",2002-03-22,17.42
"813",2002-03-23,17.4
"814",2002-03-24,13.69
"815",2002-03-25,10.06
"816",2002-03-26,7.67
"817",2002-03-27,7.06
"818",2002-03-28,14.03
"819",2002-03-29,10.72
"820",2002-03-30,11.05
"821",2002-03-31,10.72
"822",2002-04-01,9.42
"823",2002-04-02,7.51
"824",2002-04-03,10.68
"825",2002-04-04,6.28
"826",2002-04-05,16.4
"827",2002-04-06,17.16
"828",2002-04-07,21.41
"829",2002-04-08,18.9
"830",2002-04-09,16.15
"831",2002-04-10,10.03
"832",2002-04-11,10.82
"833",2002-04-12,11.83
"834",2002-04-13,10.29
"835",2002-04-14,10.03
"836",2002-04-15,8.66
"837",2002-04-16,9.67
"838",2002-04-17,9.05
"839",2002-04-18,10.61
"840",2002-04-19,11.3
"841",2002-04-20,7.72
"842",2002-04-21,7.67
"843",2002-04-22,8.87
"844",2002-04-23,10.38
"845",2002-04-24,14.31
"846",2002-04-25,12.16
"847",2002-04-26,10.4
"848",2002-04-27,11.39
"849",2002-04-28,11.03
"850",2002-04-29,8.38
"851",2002-04-30,7.82
"852",2002-05-01,9
"853",2002-05-02,8.54
"854",2002-05-03,11.26
"855",2002-05-04,8.5
"856",2002-05-05,9.58
"857",2002-05-06,13.21
"858",2002-05-07,11.59
"859",2002-05-08,11.09
"860",2002-05-09,11.55
"861",2002-05-10,13.16
"862",2002-05-11,15.76
"863",2002-05-12,16.48
"864",2002-05-13,10.12
"865",2002-05-14,10.95
"866",2002-05-15,20.57
"867",2002-05-16,14.74
"868",2002-05-17,10.35
"869",2002-05-18,9.6
"870",2002-05-19,10.67
"871",2002-05-20,17.11
"872",2002-05-21,20.41
"873",2002-05-22,22.41
"874",2002-05-23,18.7
"875",2002-05-24,17.55
"876",2002-05-25,13.8
"877",2002-05-26,13.35
"878",2002-05-27,15.11
"879",2002-05-28,13.92
"880",2002-05-29,7.96
"881",2002-05-30,7.51
"882",2002-05-31,9.27
"883",2002-06-01,9.78
"884",2002-06-02,5.21
"885",2002-06-03,7.26
"886",2002-06-04,10.17
"887",2002-06-05,11.82
"888",2002-06-06,8.81
"889",2002-06-07,8.25
"890",2002-06-08,11.56
"891",2002-06-09,15.63
"892",2002-06-10,14.42
"893",2002-06-11,11.48
"894",2002-06-12,10.31
"895",2002-06-13,12.96
"896",2002-06-14,14.69
"897",2002-06-15,21.74
"898",2002-06-16,11.25
"899",2002-06-17,15.62
"900",2002-06-18,14.09
"901",2002-06-19,9.91
"902",2002-06-20,15.67
"903",2002-06-21,14.84
"904",2002-06-22,12.88
"905",2002-06-23,9
"906",2002-06-24,8.2
"907",2002-06-25,8.81
"908",2002-06-26,7.66
"909",2002-06-27,6.16
"910",2002-06-28,4.88
"911",2002-06-29,9.6
"912",2002-06-30,11.07
"913",2002-07-01,8.5
"914",2002-07-02,5.58
"915",2002-07-03,6.48
"916",2002-07-04,5.91
"917",2002-07-05,5.64
"918",2002-07-06,7.19
"919",2002-07-07,10.39
"920",2002-07-08,13.1
"921",2002-07-09,11.97
"922",2002-07-10,11.76
"923",2002-07-11,7.5
"924",2002-07-12,8.9
"925",2002-07-13,12.9
"926",2002-07-14,8.38
"927",2002-07-15,8.1
"928",2002-07-16,7.53
"929",2002-07-17,8.32
"930",2002-07-18,6.46
"931",2002-07-19,10.02
"932",2002-07-20,6.43
"933",2002-07-21,12.18
"934",2002-07-22,7.27
"935",2002-07-23,9.77
"936",2002-07-24,7.96
"937",2002-07-25,8.9
"938",2002-07-26,9.18
"939",2002-07-27,10.66
"940",2002-07-28,8.85
"941",2002-07-29,9.6
"942",2002-07-30,8.05
"943",2002-07-31,6.11
"944",2002-08-01,9.91
"945",2002-08-02,5.49
"946",2002-08-03,6.9
"947",2002-08-04,7.39
"948",2002-08-05,6.85
"949",2002-08-06,11.12
"950",2002-08-07,13.79
"951",2002-08-08,13.56
"952",2002-08-09,11.18
"953",2002-08-10,13.99
"954",2002-08-11,11.01
"955",2002-08-12,7.06
"956",2002-08-13,8.01
"957",2002-08-14,9.73
"958",2002-08-15,13.94
"959",2002-08-16,14.71
"960",2002-08-17,11.87
"961",2002-08-18,6.78
"962",2002-08-19,6.46
"963",2002-08-20,7.42
"964",2002-08-21,8.65
"965",2002-08-22,9.8
"966",2002-08-23,7.4
"967",2002-08-24,6.72
"968",2002-08-25,6.91
"969",2002-08-26,10.99
"970",2002-08-27,10.24
"971",2002-08-28,8.57
"972",2002-08-29,6.9
"973",2002-08-30,9.58
"974",2002-08-31,8.21
"975",2002-09-01,6.11
"976",2002-09-02,6.29
"977",2002-09-03,5.64
"978",2002-09-04,7.58
"979",2002-09-05,11.76
"980",2002-09-06,12.17
"981",2002-09-07,13.11
"982",2002-09-08,11.93
"983",2002-09-09,7.59
"984",2002-09-10,7.65
"985",2002-09-11,8.1
"986",2002-09-12,11.79
"987",2002-09-13,13.69
"988",2002-09-14,11.89
"989",2002-09-15,8.87
"990",2002-09-16,9.48
"991",2002-09-17,9.3
"992",2002-09-18,9.78
"993",2002-09-19,11.52
"994",2002-09-20,13.84
"995",2002-09-21,11.22
"996",2002-09-22,12.83
"997",2002-09-23,9.31
"998",2002-09-24,11.13
"999",2002-09-25,16.76
"1000",2002-09-26,15.52
