"Date","S308C_PHOSPHATE_Ld_mg","S308.DS_FLOW_cfd"
"2003-08-25",118071735.861542,3107150.9437248
"2003-09-02",776689872.90935,6997206.0622464
"2003-09-08",665860000.664678,7046137.5731712
"2003-09-15",1124935436.16115,10226685.7832832
"2003-09-22",336012685.520602,6165370.3765248
"2003-09-29",24710413.017024,244657.554624
"2003-10-06",448838963.411005,4007490.74474112
"2003-10-13",272289178.843235,5042392.20080064
"2003-10-27",320599259.57929,2740164.6117888
"2003-11-03",1095038282.9861,3938986.6294464
"2003-11-10",119079724.986593,704613.75731712
"2003-11-17",91440761.04072,731526.08832576
"2003-11-24",71011855.229616,1052027.4848832
"2003-12-08",41689647.3079296,293589.0655488
"2003-12-15",264156761.727533,866087.74336896
"2004-01-05",46141191.5143133,932145.28311744
"2004-03-15",372491126.91504,2568904.323552
"2004-04-05",947822939.217746,2820901.60481472
"2004-04-19",165625824.753809,1245306.95303616
"2004-05-03",115292426.041014,565158.95118144
"2004-05-17",58896413.1246355,442830.17386944
"2004-06-07",70676674.3797811,450169.90050816
"2004-06-21",9727584.37185024,68504.11529472
"2004-07-12",-51789111.1628083,-359646.60529728
"2004-07-26",45880631.2186387,344967.15201984
"2004-08-09",-120885297.739718,-746205.5416032
"2004-08-23",26090281.6251034,151687.68386688
"2004-09-13",266321981.085955,1504643.9609376
"2004-09-16",596132597.596838,3205013.9655744
"2004-09-21",-52541433.1432771,-340074.00092736
"2004-09-29",617491202.115514,3449671.5201984
"2004-10-04",1032024283.21714,6106652.56341504
"2004-10-14",1842124591.78594,15677656.1003059
"2004-10-18",4762748615.86541,15119836.8757632
"2004-10-25",3189453745.10031,13867190.1960883
"2004-11-01",1217660649.36365,8697576.0668832
"2004-11-08",1128365535.07698,9522072.02596608
"2004-11-15",335949074.556399,2365838.55321408
"2004-11-23",354812172.01791,2771970.09388992
"2004-12-06",199963512.545288,1360296.00370944
"2004-12-16",2628285158.63479,3916967.44953024
"2004-12-20",1064040170.81524,1394548.0613568
"2005-01-31",601485704.892012,1903435.77497472
"2005-02-14",447879905.796879,1142550.78009408
"2005-02-28",115356037.005216,200619.19479168
"2005-03-14",223952185.776171,584731.55555136
"2005-03-29",680311922.416318,3843570.18314304
"2005-04-04",201475496.232864,550479.497904
"2005-04-12",243157803.814155,1000649.39841216
"2005-04-18",2000603969.36919,4017277.04692608
"2005-04-26",489068005.11783,2860046.81355456
"2005-05-02",255290371.947959,1668564.52253568
"2005-05-10",975070451.076221,3305323.56297024
"2005-05-16",242387132.517089,1262432.98185984
"2005-05-24",525416778.008317,2478381.02834112
"2005-05-31",577786950.863358,4327992.14129856
"2005-06-07",201044898.936726,885660.34773888
"2005-06-13",107566140.465988,604304.15992128
"2005-06-21",244045910.73744,1834931.65968
"2005-07-05",681678334.858893,6461406.01761984
"2005-07-11",1725951398.54829,6253447.09618944
"2005-07-19",1059801478.68138,11457313.2830419
"2005-07-25",2446661176.38412,11486672.1895968
"2005-08-02",689632151.959719,7146447.17056704
"2005-08-08",587105957.118986,4641153.81121728
"2005-08-16",510580743.895918,5157381.25147392
"2005-08-22",1256098797.77062,7899992.43880896
"2005-08-30",328742686.284949,3442331.79355968
"2005-09-06",367690945.693317,1482624.78102144
"2005-09-13",87577618.253207,557819.22454272
"2005-09-20",458157969.666634,2130967.30077504
"2005-09-27",1760268290.44762,18826398.8283168
"2005-10-03",179617790.302756,976183.64294976
"2005-11-01",1021738879.62075,5377573.05063552
"2005-11-14",981585681.755858,6723189.60106752
"2005-11-22",679999984.034173,3569553.72196416
"2005-11-29",518353514.406323,6062614.20358272
"2005-12-05",1330932204.00347,7312814.30771136
"2005-12-13",930442466.537257,6693830.69451264
"2005-12-19",1186921874.20069,5495008.67685504
"2005-12-27",610151475.476794,1871630.2928736
"2006-01-03",385592538.965155,3672309.89490624
"2006-01-09",84712678.28856,305821.94328
"2006-01-17",32992071.2410464,227531.52580032
"2006-01-31",36331646.861664,220191.7991616
"2006-02-14",113031790.236288,538246.6201728
"2006-02-21",447092108.47099,1952367.28589952
"2006-03-06",688671871.05782,2732824.88515008
"2006-03-14",406080162.589369,4252148.29936512
"2006-03-20",393409347.835392,1957260.436992
"2006-03-28",83301004.1983795,325394.54764992
"2006-04-03",322015826.820563,1470391.90329024
"2006-04-11",-92194306.3089619,-579838.40445888
"2006-04-17",515322207.304531,2886959.1445632
"2006-04-25",-96992040.9551386,-915019.25429376
"2006-05-02",-152358045.56655,-474635.65597056
"2006-05-08",-250969719.533299,-1091172.69362304
"2006-05-16",-640562409.516557,-2463701.57506368
"2006-05-22",50979294.6570029,163920.56159808
"2006-05-30",41814422.6607878,198172.61924544
"2006-06-05",101112074.175007,616537.03765248
"2006-08-07",40280419.7932954,479528.80706304
"2006-08-21",-40348923.9085901,-325394.54764992
"2006-09-11",-198935950.815867,-861194.59227648
"2006-10-09",115534637.020092,726632.93723328
"2006-10-23",87592297.7064845,572498.67782016
"2007-01-08",24588084.239712,183493.165968
"2007-01-22",84773842.677216,513780.8647104
"2007-02-12",71342142.9283584,440383.5983232
"2007-02-26",10569206.3597568,44038.35983232
"2007-03-12",103355583.950909,868534.3189152
"2007-03-26",134449112.568073,946824.73639488
"2007-04-09",161584081.951421,873427.47000768
"2007-04-23",74008910.27376,611643.88656
"2007-05-07",-76856724.2095834,-276463.03672512
"2007-05-21",-34447783.6910592,-215298.64806912
"2007-06-05",-116799516.577498,-758438.4193344
"2007-06-18",-420815887.104373,-1930348.10598336
"2007-07-09",-764505926.689075,-1761534.3932928
"2007-07-23",-204873789.666591,-755991.84378816
"2007-08-06",-53798972.9740445,-486868.53370176
"2007-08-20",-201304235.944627,-831835.6857216
"2007-09-10",-47165083.3804147,-462402.77823936
"2007-09-24",-1294116135.18365,-3645397.5638976
"2007-10-02",-1881710184.12411,-4501699.0050816
"2007-10-08",-1043973358.18498,-2148093.32959872
"2007-10-22",-848462613.133847,-2343819.37329792
"2007-11-13",-226550449.006278,-540693.19571904
"2007-11-26",658923.958991088,4648.493537856
"2007-12-05",-28178433.8538192,-207958.9214304
"2007-12-19",-144886203.848333,-770671.2970656
"2008-01-02",-23270603.3080618,-124775.35285824
"2008-01-16",-5597764.84979712,-31805.48210112
"2008-02-06",54695642.9117414,396345.23849088
"2008-02-20",77602318.1073,428150.720592
"2008-03-05",-5441184.01483776,-39145.20873984
"2008-03-19",11782707.8306918,137008.23058944
"2008-04-02",49504009.6026202,327841.12319616
"2008-04-16",-1640184.2461993,-3914.520873984
"2008-05-14",28977240.7696666,205512.34588416
"2008-05-28",-21531822.067349,-278909.61227136
"2008-06-11",-3937763.34167328,-70950.69084096
"2008-06-25",-26147776.15044,-418364.41840704
"2008-07-16",-225420131.103915,-1132764.47790912
"2008-07-30",-262598293.104578,-1450819.29892032
"2008-08-13",-75354526.824192,-428150.720592
"2008-08-28",5304175.78424832,48931.5109248
"2008-09-10",318837725.185997,3523068.7865856
"2008-09-24",675450576.805939,2838027.6336384
"2008-10-08",424089405.185242,3963452.3849088
"2008-10-22",51962818.0265914,775564.44815808
"2008-11-05",199585516.623394,1093619.26916928
"2008-11-19",306719836.50547,1064260.3626144
"2008-12-03",509567861.619775,1255093.25522112
"2008-12-17",25674363.7822426,322947.97210368
"2009-01-07",60283621.4593536,274016.46117888
"2009-01-21",60361911.8768333,234871.25243904
"2009-02-04",423920591.472551,1636759.04043456
"2009-02-18",125729517.321274,1100958.995808
"2009-03-11",21710911.3973338,374326.05857472
"2009-03-25",104126255.247974,650789.09529984
"2009-04-08",73897591.0864061,472189.08042432
"2009-04-22",-611741.74958185,-2299.7810134656
"2009-05-06",73911047.2519104,464849.3537856
"2009-05-20",-186906138.855005,-2018424.825648
"2009-06-03",-114027546.483608,-545586.34681152
"2009-06-17",-8323250.00830848,-44038.35983232
"2009-07-08",-92191859.7334157,-555372.64899648
"2009-07-22",16328445.1956058,173706.86378304
"2009-08-12",-2045337.15665664,-26912.33100864
"2009-08-26",5423568.67090483,83183.56857216
"2009-09-09",6987419.76006144,51378.08647104
"2009-09-23",-3493709.88003072,-29358.90655488
"2009-10-14",-23516484.1504589,-264230.15899392
"2009-10-28",-16881371.269056,-122328.777312
"2009-11-04",58262750.0581594,359646.60529728
"2009-11-18",129338216.251978,800030.20362048
"2009-12-09",50330952.1372493,362093.18084352
"2009-12-23",19915124.9463936,90523.29521088
"2010-01-13",-58130634.9786624,-293589.0655488
"2010-02-10",64259306.7219936,207958.9214304
"2010-02-24",10314762.5029478,151687.68386688
"2010-03-03",157439582.97609,496654.83588672
"2010-03-17",-15985924.6191322,-132115.07949696
"2010-04-07",240449444.684467,2003745.37237056
"2010-04-21",23210662.2071789,129668.50395072
"2010-05-12",459589216.361184,5406931.9571904
"2010-05-26",335327644.367654,3767726.3412096
"2010-06-16",345260741.085389,3596466.0529728
"2010-06-30",229586649.259162,3327342.7428864
"2010-07-14",267508570.225882,3767726.3412096
"2010-07-28",82327267.130976,1646545.34261952
"2010-08-04",112432379.227459,1729728.91119168
"2010-08-18",-5095401.33763584,-53824.66201728
"2010-09-15",162017125.823105,1384761.75917184
"2010-09-29",4824646.97718528,41591.78428608
"2010-10-13",-232180.019338176,-3180.548210112
"2010-10-27",43827954.3353434,413471.26731456
"2010-11-03",63121649.092992,733972.663872
"2010-11-17",47972453.3106739,420810.99395328
"2010-12-01",128151627.112051,660575.3974848
"2010-12-13",474464395.682323,1157230.23337152
"2011-01-05",5245457.97113856,78290.41747968
"2011-01-20",-11743562.621952,-117435.62621952
"2011-02-03",1318704.21942336,17126.02882368
"2011-02-17",42815072.0592,428150.720592
"2011-03-02",79621354.5768345,552926.07345024
"2011-03-16",103049762.007629,990863.0962272
"2011-04-06",5062209.46272518,24221.097907776
"2011-04-20",42472551.4827264,379219.2096672
"2011-05-04",45885524.3697312,379219.2096672
"2011-05-18",-28567847.1282623,-151687.68386688
"2011-06-08",13940587.4624755,181046.59042176
"2011-06-22",2994608.46859776,44038.35983232
"2011-07-06",-3596466.0529728,-24465.7554624
"2011-07-20",-30151597.0318618,-193279.46815296
"2011-08-10",42731888.4906278,200619.19479168
"2011-08-24",-37605497.196073,-215298.64806912
"2011-09-07",5906033.36862336,41591.78428608
"2011-09-21",1526663.14085376,14679.45327744
"2011-10-05",-49176168.479424,-327841.12319616
"2011-10-19",-242511907.869947,-1719942.60900672
"2011-11-02",-71586800.4829824,-325394.54764992
"2011-11-16",38421022.3781531,381665.78521344
"2011-12-07",50888771.361792,489315.109248
"2011-12-21",15584686.2295488,119882.20176576
"2012-01-04",2137328.39719526,11743.562621952
"2012-01-18",14248855.9813018,137008.23058944
"2012-02-08",61002914.6699482,335180.84983488
"2012-02-22",-2553409.34509247,-15168.768386688
"2012-03-07",73079211.5661888,503994.56252544
"2012-03-21",24617443.1462669,190832.89260672
"2012-04-04",84431322.1007424,496654.83588672
"2012-04-18",72903058.1268595,775564.44815808
"2012-05-02",34007400.092736,340074.00092736
"2012-05-16",-150524744.957234,-1120531.60017792
"2012-06-06",-39502408.769591,-190832.89260672
"2012-06-20",6458959.4420736,58717.81310976
"2012-07-11",-1975120.43847955,-16881.371269056
"2012-07-25",-71400860.7414682,-469742.50487808
"2012-08-08",-40074907.4474112,-342520.5764736
"2012-08-22",-148350554.821809,-797583.62807424
"2012-09-05",-850967906.493197,-1830038.50858752
"2012-09-20",113134546.40923,897893.22547008
"2012-10-03",158714248.835681,1037348.03160576
"2012-10-17",312452163.01031,3156082.4546496
"2012-11-14",36101668.7603174,291142.49000256
"2012-11-28",80766351.9324749,641002.79311488
"2012-12-05",20896201.7404358,178600.01487552
"2012-12-19",-8905534.9883136,-63610.96420224
"2013-01-23",42709869.3107117,168813.71269056
"2013-02-06",94227410.5878874,719293.21059456
"2013-02-21",-11436109.6283078,-90523.29521088
"2013-03-06",-16475239.7283802,-63610.96420224
"2013-03-20",-42541055.5980211,-308268.51882624
"2013-04-03",121115275.841065,1017775.42723584
"2013-04-17",28184550.2926848,220191.7991616
"2013-05-08",13558106.15208,85630.1441184
"2013-05-22",-13052480.5391904,-134561.6550432
"2013-06-05",8665770.58478208,75354.526824192
"2013-06-19",127124065.38263,1059367.21152192
"2013-07-10",439894283.213952,3547534.542048
"2013-07-24",580229856.546278,4795288.0706304
"2013-08-07",1294377103.24191,9223589.8093248
"2013-08-21",1227789472.12508,9982028.2286592
"2013-09-04",349224193.470298,2984822.1664128
"2013-09-18",-14398097.0896224,-134561.6550432
"2013-10-07",726632937.23328,3229479.7210368
"2013-10-21",100153016.560881,841621.98790656
"2013-11-04",189645487.941611,841621.98790656
"2013-11-18",48980442.4357248,342520.5764736
"2013-12-02",24331193.8073568,95416.44630336
"2013-12-16",-1785021.5185367,-7829.041747968
"2014-01-06",-109220025.535246,-494208.26034048
"2014-01-21",-75834055.631255,-401238.38958336
"2014-02-03",-45632711.5632863,-379219.2096672
"2014-02-17",-34129728.870048,-183493.165968
"2014-03-03",-29958317.5637088,-193279.46815296
"2014-03-17",15024420.4294598,56271.23756352
"2014-04-07",66356021.9651213,347413.72756608
"2014-04-21",-73617458.1863616,-249550.70571648
"2014-05-05",-7569704.74006656,-41591.78428608
"2014-05-19",55170278.567712,269123.3100864
"2014-06-09",13669017.5768429,90523.29521088
"2014-06-23",15266631.4085376,73397.2663872
"2014-07-07",79269.047698176,293.5890655488
"2014-07-21",21341478.4898515,149241.10832064
"2014-08-04",-73886581.496448,-369432.90748224
"2014-08-18",-11087880.3755597,-53824.66201728
"2014-09-08",4022170.19801856,29358.90655488
"2014-09-22",13255546.3095283,105202.74848832
"2014-10-06",16543743.8436749,112542.47512704
"2014-10-20",20409333.2067341,210405.49697664
"2014-11-03",46416431.2632653,227531.52580032
"2014-11-17",-50869198.7574221,-450169.90050816
"2014-12-01",89006418.3722112,523567.16689536
"2014-12-15",137277353.899526,758438.4193344
"2015-01-05",-2008883.18101766,-16881.371269056
"2015-01-20",257597492.688063,1220841.19757376
"2015-02-02",162609197.105295,983523.36958848
"2015-02-16",357934002.414912,2045337.15665664
"2015-03-02",213064924.595403,1489964.50766016
"2015-03-16",513511741.400314,3400740.0092736
"2015-04-06",72173978.61408,577391.82891264
"2015-04-20",-21745163.4549811,-107649.32403456
"2015-05-04",213377270.740139,1458159.02555904
"2015-05-18",314409423.447302,2214150.8693472
"2015-06-01",10040746.041769,92969.87075712
"2015-06-15",-14077595.693065,-102756.17294208
"2015-07-06",-16577995.9013222,-107649.32403456
"2015-07-20",3393400.28263488,23242.46768928
"2015-08-03",-27767001.3994599,-137008.23058944
"2015-08-17",-10412625.5247974,-92969.87075712
"2015-08-31",-16514384.93712,-110095.8995808
"2015-09-14",22931752.5949075,251997.28126272
"2015-09-28",-22875481.357344,-269123.3100864
"2015-10-12",-13651891.5480192,-88076.71966464
"2015-10-26",63415238.1585408,528460.31798784
"2015-11-09",-2100629.76400166,-19817.261924544
"2015-11-23",7104855.38628096,29358.90655488
"2015-12-07",8550781.5341088,36698.6331936
"2015-12-21",75489088.4792352,403684.9651296
"2016-01-04",18574401.5470541,63610.96420224
"2016-01-20",-25055380.1690438,-80736.99302592
"2016-02-01",336565611.594052,2353605.67548288
"2016-02-15",1865905306.0954,8367288.3681408
"2016-02-29",1534002867.49248,8073699.302592
"2016-03-14",618298572.045773,3816657.8521344
"2016-03-28",595398624.932966,2862493.3891008
"2016-04-11",455454503.688038,2544438.5680896
"2016-04-25",386558936.30592,1932794.6815296
"2016-05-09",226308238.0272,1810465.9042176
"2016-05-23",256650667.951668,1010435.70059712
"2016-06-06",287864078.770598,3890055.1185216
"2016-06-20",736419239.41824,4281507.20592
"2016-07-06",66457147.0876992,687487.72849344
"2016-07-18",291299070.837519,2407430.33750016
"2016-08-01",221341689.668333,2030657.7033792
"2016-08-15",131735860.287293,1480178.2054752
"2016-08-29",145987162.844141,1247753.5285824
"2016-09-12",160299629.789645,1335830.24824704
"2016-09-26",298743184.699545,3718794.8302848
"2016-10-10",1034094086.12926,5358000.4462656
"2016-10-24",834893905.1544,3058219.4328
"2016-11-07",3956112.65827008,26912.33100864
"2016-11-21",-538148.75715095,-2299.7810134656
"2016-12-05",-18031261.7757888,-134561.6550432
"2016-12-19",-29120773.2017127,-193279.46815296
"2017-01-04",-53271735.9438298,-278909.61227136
"2017-01-17",51055138.4989363,344967.15201984
"2017-01-30",-85581212.6074752,-269123.3100864
"2017-02-13",33533009.0943201,115233.708227904
"2017-02-27",68990983.8284218,398791.81403712
"2017-03-14",562343758.252898,516227.44025664
"2017-03-27",40838239.0178381,261783.58344768
"2017-04-10",61188854.4114624,298482.21664128
"2017-04-24",-43500113.2121472,-217500.566060736
"2017-05-08",15305776.6172774,56271.23756352
"2017-05-22",13884316.224912,111074.529799296
"2017-06-05",-563103827.722598,-3351808.4983488
"2017-06-19",-1139737218.2159,-2960356.4109504
"2017-07-05",-171416869.071759,-369432.90748224
"2017-07-17",-160123476.350316,-494208.26034048
"2017-07-31",-189653643.193432,-552926.07345024
"2017-08-01",-611957048.229919,-1888756.32169728
"2017-08-14",-368424918.357189,-1379868.60807936
"2017-08-28",-186164826.464494,-912572.67874752
"2017-09-13",40517248.3061714,159516.725614848
"2017-09-25",890896019.407834,7070603.3286336
"2017-12-18",721250471.031552,3278411.2319616
"2018-02-26",92323974.8129126,518674.01580288
"2018-03-26",88737295.0621248,286249.33891008
"2018-04-09",-22557426.5363328,-73397.2663872
"2018-04-23",28804757.1936566,122573.434866624
"2018-05-07",-65127841.0409088,-296035.64109504
"2018-06-04",1401365851.87899,3253945.4764992
"2018-06-18",754646227.237728,4868685.3370176
"2018-07-16",1547948348.10605,6972740.306784
"2018-07-30",689078002.598496,3205013.9655744
"2018-08-13",230929819.234047,1054474.06042944
"2018-08-27",239524639.127988,1900989.19942848
"2018-09-10",180798670.766407,1252646.67967488
"2018-09-24",182201374.079585,1702816.58018304
"2019-01-14",-48768079.6783112,-143858.642118912
"2019-02-11",104811296.400922,616537.03765248
"2019-02-25",942502452.929855,3180548.210112
"2019-03-11",519065467.890278,3327342.7428864
"2019-03-25",99967076.8193664,555372.64899648
"2019-04-08",17538521.4607761,120126.859320384
"2019-04-22",-34087647.7706527,-152176.998976128
"2019-06-03",11978433.874391,58717.81310976
"2019-08-12",-487861843.373533,-1362742.57925568
"2019-11-18",71087699.0715494,313161.66991872
"2019-12-02",146447119.046834,423257.56949952
"2019-12-16",-168642452.402323,-746205.5416032
"2019-12-30",-708308086.391943,-3205013.9655744
"2020-01-13",258433405.999695,1707709.73127552
"2020-01-27",-25609284.8727126,-128689.873732224
"2020-02-10",16664115.3605499,94682.473639488
"2020-02-24",-4033522.30855311,-21921.3168943104
"2020-03-09",76083606.3369715,357200.02975104
"2020-03-23",15146259.8916626,113031.790236288
"2020-04-06",42508108.380665,205023.030774912
"2020-04-20",-160505142.135529,-521120.59134912
"2020-05-04",6764781.3853536,38655.893630592
"2020-05-18",2514149.96282715,12697.7270849856
"2020-06-01",-86510911.3150464,-540693.19571904
"2020-06-15",-165833783.67524,-579838.40445888
"2020-06-29",-23186196.4517165,-99086.30962272
"2020-07-13",-198087804.626504,-790243.90143552
"2020-07-27",-134096805.689414,-770671.2970656
"2020-08-10",-93287925.5781312,-601857.58437504
"2020-10-19",184569659.208346,1125424.7512704
"2020-11-02",534332099.298816,2226383.7470784
"2020-11-16",516378312.415326,3921860.60062272
"2020-11-30",1093323233.52818,4034403.07574976
"2020-12-14",736666343.54841,4411175.70987072
"2020-12-28",1286624720.86106,5167167.55365888
"2021-03-08",776019511.209681,1580487.80287104
"2021-03-22",740358226.047686,1602506.9827872
"2021-04-05",38166578.521344,190832.89260672
"2021-05-03",31377331.380528,139454.80613568
"2021-05-17",29329547.6483251,132115.07949696
"2021-06-01",715868.004829824,4648.493537856
"2021-06-14",41307981.5227162,102756.17294208
"2021-07-02",-86926829.1579072,-464849.3537856
"2021-07-12",-193021762.195423,-773117.87261184
"2021-07-26",-157437136.400544,-572498.67782016
"2021-08-09",-76352729.6470579,-406131.54067584
"2021-11-01",79768149.109609,322947.97210368
"2022-01-10",246793415.075868,1656331.64480448
"2022-02-21",357102166.72919,2177452.2361536
"2022-03-07",149412368.608877,963950.76521856
"2022-03-21",227042210.691072,1135211.05345536
"2022-04-04",274447058.475018,1604953.55833344
"2022-04-18",206627984.333245,1497304.23429888
"2022-05-02",247427078.142344,1888756.32169728
"2022-05-16",346043645.260186,1663671.3714432
"2022-05-31",531043901.764669,3493709.88003072
"2022-06-27",-272883696.700971,-1783553.57320896
"2022-07-11",-116853341.239515,-817156.23244416
"2023-01-22",163470391.697572,851408.29009152
"2023-01-23",339741266.653071,1291791.88841472
"2023-02-06",164703465.772877,457509.62714688
"2023-02-20",289111832.299181,954164.4630336
"2023-03-02",353931404.821263,1047134.33379072
"2023-03-20",525942791.750759,961504.18967232
"2023-04-03",564948545.684464,2148093.32959872
